"Title","Url","Date","Content","Category"
"Attack of the Butt Spider","http://urbanlegends.about.com/od/spiders/a/butt_spider.htm","2016-08-23 06:55:25","  By David Emery
  Email prank warns of deadly South American 'Blush Spiders' (scientific name: Arachnius gluteus , or 'Butt Spider') migrating to the U.S. in airliner bathrooms and lurking under public toilet seats everywhere. Read all about it in the Journal of the United Medical Association (JUMA)!
  Description: Email hoax / Joke Circulating since: Aug. 1999 Status: False (see details below)
  Example: Email text contributed August 31, 1999:
  continue reading below our video
  Best Vacation Reads of 2015
  Analysis: Don't panic, it's a joke. It gives itself away as such in the very first sentence:
  There is no such medical journal. There is no 'United Medical Association.' If 'Dr. Beverly Clark' has ever had an article published in any legitimate scientific publication, for some mysterious reason it does not turn up in online searches. Moreover, there have been no recent news reports of spider-caused deaths among air travelers in Chicago.
  Nor, for that matter, is there a 'Blare Airport' in Chicago (try O'Hare International Airport ); nor a restaurant in Chicago (or anywhere else on earth) called 'Big Chappies.'
  Lastly, there is no real genus of spider known as Arachnius gluteus (apparently meant to be translated 'butt spider').
  Update: New Variant - A new version of this hoax first spotted in 2002 alleges that an Asian spider called the Two-striped Telamonia is now migrating to the U.S. under airliner toilet seats and has already killed five women in North Florida.
  Note: Australian Redback Spider - I've heard from several Aussie readers keen to point out that there is a spider in Australia known as the Redback ( Latrodectus hasselti ), the bite of which can be toxic and which is famous in popular lore — much like its American relative, the Black Widow — for residing under outdoor toilet seats. Though ' Arachnius gluteus ' remains a fiction, it is not without its precedents in real life and world folklore.
  Further reading:
  Blush Spider Arachnius Gluteus Is a Hoax Debunking by the Dept. of Entomology, University of California at Riverside Do Poisonous Spiders Lurk Under Toilet Seats? The Straight Dope, 18 March 2003
  Last updated: 05/09/09
","Funny Urban Legends"
"The Bristol Zoo Parking Attendant","http://urbanlegends.about.com/od/humor/a/bristol_zoo_car_park_attendant.htm","2017-01-06 17:25:47","  By David Emery
  A viral tale tells about a 'very pleasant attendant' who showed up every day at Bristol Zoo in England for 25 years running to collect parking fees from visitors — then one day simply vanished with all the cash. What really happened to 'The Bristol Zoo Parking Attendant'?
  continue reading below our video
  Celebrity Breakups of 2015 We Didn't See Coming
  If ever there was a story too good to be true, this is one. Not only has a crack team of journalists from the Bristol Evening Post conducted a thorough investigation and found the tale of the phantom car park attendant to be 'nothing more than an urban myth,' they have also succeeded in pinning down its exact point of origin: the Bristol Evening Post themselves.
  'A version of the story did appear in the Evening Post two years ago,' explained an article in the June 13, 2009 edition, 'in a feature on urban myths published to coincide with April Fools' Day.'
  In other words, at the time of the self-expose, it was a five-year-old April Fools' prank gone viral. There's nothing more to it than that. For the record, the Bristol Evening Post article further stated that Bristol Zoo actually owns more than one car park — several, in fact, none of which are open to coaches (buses) — with a comparable number of duly-hired attendants on the job.
  This is an example of why many publishers ban April Fools articles. They can easily take on a life of their own, separate from their original publication date when the joke may be more apparent. Also, April Fools is not a universal tradition. With the global scope of the internet, what might be seen as a humorous 'gotcha' prank story in one country will be seen as actual news in others.
  Sources and further reading:
  Urban Myth of the Bristol Zoo Parking Attendant Bristol Evening Post , 13 June 2009
","Funny Urban Legends"
"The Atheists' Holiday","http://urbanlegends.about.com/od/religion/a/atheist_holiday.htm","2016-04-01 14:51:54","  By David Emery
  An incorrigible atheist and his ACLU lawyer go before a judge to complain that while Christians celebrate Christmas and Easter, and Jews observe Yom Kippur and Hanukkah, there is no such public holiday, or 'holy day,' for atheists. The judge begs to differ. Full story below.
  Description: Viral joke / Urban legend Circulating since: 2003 (this version) Status: False (details below)
  Example: Email text contributed by L. McGuinn, Jan. 29, 2004:
  WAY TO GO, JUDGE!
  In Florida, an atheist became incensed over the preparation for Easter and Passover holidays and decided to contact his lawyer about the discrimination inflicted on atheists by the constant celebrations afforded to Christians and Jews with all their holidays while the atheists had no holiday to celebrate.
  The case was brought before a wise judge who after listening to the long, passionate presentation of his lawyer, promptly banged his gavel and declared, 'Case dismissed!'
  The lawyer immediately stood and objected to the ruling and said, 'Your honor, how can you possibly dismiss this case? Surely the Christians have Christmas, Easter and many other observances. And the Jews -- why in addition to Passover they have Yom Kippur and Hanukkah... and yet my client and all other atheists have no such holiday!'
  The judge leaned forward in his chair and simply said 'Obviously your client is too confused to know about or to celebrate the atheists' holiday!'
  The lawyer pompously said 'We are aware of no such holiday for atheists, just when might that be, your honor?'
  The judge said 'Well it comes every year on exactly the same date-- April 1st!'
  'The fool says in his heart, 'There is no God.'' Psalm 14:1, Psalm 53:1
  continue reading below our video
  Highest Paid Female Actors Ever
  Analysis: Although several readers have forwarded the above story to me for verification, it's quite obviously a joke at the expense of unbelievers , and not based on any actual court records or news reports I could find. The earliest iteration of the text I've come across online is dated June 2, 2003.
  Another version of the story attributed to the 'Maryland Church News,' was published in the 1997 edition of The Speaker's Quote Book by Roy B. Zuck (Kregel Publications):
  An atheist complained to a friend because Christians have their special holidays, such as Christmas and Easter, and Jews celebrate their national holidays, such as Passover and Yom Kippur. 'But we atheists,' he said, 'have no recognized national holiday. It is unfair discrimination.'
  To which his friend replied, 'Why don't you celebrate April first?'
  And yet another, more minimal variant was published seven years before that in, of all places, an advertisement for Sunday church services in the Wellsboro, Pennsylvania Gazette , March 28, 1990:
  Lastly, the more complex form of the joke we're familiar with today was presaged by this one-liner from famous Borscht Belt comedian Henny Youngman (1906-1998):
  Take that, atheists!
","Funny Urban Legends"
"The Barrel of Bricks","http://urbanlegends.about.com/od/accidentsmishaps/a/barrel_bricks.htm","2016-08-23 06:34:44","  By David Emery
  As told by Cory Vandenham...
  I am a general contractor and heard this story from an insurance investigator.
  A bricklayer working on a three-story-tall chimney had set up a pulley system so that his helper could raise the bricks up to where he needed them. As he was working, his helper complained about how difficult it would be to get the last of the bricks up to the flat roof of the building. Just then another contractor had some material delivered and it was placed on the roof by a fork lift brought to unload it. The bricklayer asked if the driver would load the rest of the bricks up there as well and the driver agreed. The bricklayer realized that he would not need his helper any more and sent him home.
  When the bricklayer completed the chimney he noticed that he had quite a few bricks left over and that the fork lift was no longer at the jobsite. Now he had to figure out how to get the leftover bricks back down by himself. If he dropped them, they would surely break. So he decided to use the pulley he had set up earlier to lower them down.
  continue reading below our video
  Highest Paid Male Actors Ever
  First he went down to the ground and raised a large metal bucket up to the roof level using the rope and pulley. Next, he tied the rope off onto a railing and climbed back up to the roof and loaded the bricks into the bucket. Then he went back down to the ground. He knew that the bricks would be heavy, so he wrapped the rope around his hand a couple of times and then untied the end of the rope with his other hand. Well, the bricks were heavier than he imagined and with physics being as it is, he was immediately launched upwards at a high rate of speed.
  As he was racing up towards the roof he encountered the bucket full of bricks coming down at an equally fast rate. He collided with the bucket and broke his nose and his shoulder. The bucket passed him by as he sped upwards. He reached the pulley just before the bucket hit the ground and broke a few of his fingers as they were pulled into the pulley. When the bucket hit the ground, its bottom fell out and all of the bricks spilled onto the ground. Now the fun reversed. As the now light bucket sped upwards, the mason took a shot to the groin when one of his legs slipped into the empty bucket.
  He then tilted enough to fall out of the bucket and continued with his gravity experiment. Eventually he landed on top of the pile of bricks and broke both feet. He collapsed in pain there on the bricks, but was glad to be alive. He let go off the rope and cried out for help.
  It was then that the bucket hit him in the head and fractured his skull.
  Analysis: This is quite an old story, reckoned by folklorists to date back at least 80 years. It's a comedy staple, in fact, having turned up in numerous recordings, radio shows, movies and novels since the 1930s.
  And newspapers. A classic version that made the rounds in the late 1950s under headlines on the order of ' Saddened Bricklayer Asks for Sick Leave ' was attributed to an anonymous bricklayer in Barbados.
  A variant of the tale was published as a 'True Fact' by National Lampoon in 1986, when it was also circulating from workplace to workplace as 'office faxlore.' More recently it has been sighted on email joke lists, a multitude of websites and blogs, and social media.
  Examples:
  Last updated 07/03/15
","Funny Urban Legends"
"Funny College Application Essay","http://urbanlegends.about.com/od/humor/fl/College-Application-Essay.htm","2016-07-03 22:42:42","  By David Emery
  Circulating via email and social media, this has to be the funniest, most outrageous 'college application essay' ever written. Is it real? Yes. Was it written for the purpose of applying for college? No.
  Description: Satire / Email hoax Circulating since: 1990 Status: Not an actual application essay (details below)
  Example: Email text contributed by Bruce G., June 25, 2000:
  This is an actual essay written by a college applicant to NYU in response to this question:
  3A. IN ORDER FOR THE ADMISSIONS STAFF OF OUR COLLEGE TO GET TO KNOW YOU, THE APPLICANT, BETTER, WE ASK THAT YOU ANSWER THE FOLLOWING QUESTION: ARE THERE ANY SIGNIFICANT EXPERIENCES YOU HAVE HAD, OR ACCOMPLISHMENTS YOU HAVE REALIZED, THAT HAVE HELPED TO DEFINE YOU AS A PERSON?
  I am a dynamic figure, often seen scaling walls and crushing ice. I have been known to remodel train stations on my lunch breaks, making them more efficient in the area of heat retention. I translate ethnic slurs for Cuban refugees, I write award-winning operas, I manage time efficiently.
  Occasionally, I tread water for three days in a row. I woo women with my sensuous and godlike trombone playing, I can pilot bicycles up severe inclines with unflagging speed, and I cook Thirty-Minute Brownies in twenty minutes. I am an expert in stucco, a veteran in love, and an outlaw in Peru.
  Using only a hoe and a large glass of water, I once single-handedly defended a small village in the Amazon Basin from a horde of ferocious army ants. I play bluegrass cello, I was scouted by the Mets, I am the subject of numerous documentaries. When I'm bored, I build large suspension bridges in my yard. I enjoy urban hang gliding. On Wednesdays, after school, I repair electrical appliances free of charge.
  I am an abstract artist, a concrete analyst, and a ruthless bookie. Critics worldwide swoon over my original line of corduroy evening wear. I don't perspire. I am a private citizen, yet I receive fan mail. I have been caller number nine and have won the weekend passes. Last summer I toured New Jersey with a traveling centrifugal-force demonstration. I bat 400.
  My deft floral arrangements have earned me fame in international botany circles. Children trust me. I can hurl tennis rackets at small moving objects with deadly accuracy. I once read Paradise Lost, Moby Dick, and David Copperfield in one day and still had time to refurbish an entire dining room that evening. I know the exact location of every food item in the supermarket. I have performed several covert operations with the CIA.
  I sleep once a week; when I do sleep, I sleep in a chair. While on vacation in Canada, I successfully negotiated with a group of terrorists who had seized a small bakery. I balance, I weave, I dodge, I frolic, and my bills are all paid.
  On weekends, to let off steam, I participate in full-contact origami. Years ago I discovered the meaning of life but forgot to write it down. I have made extraordinary four course meals using only a mouli and a toaster oven. I breed prize-winning clams. I have won bullfights in San Juan, cliff-diving competitions in Sri Lanka, and spelling bees at the Kremlin.
  I have played Hamlet, I have performed open-heart surgery, and I have spoken with Elvis.
  But I have not yet gone to college.
  (The author was accepted and is now attending NYU.)
  continue reading below our video
  5 Classic Novels Everyone Should Read
  Analysis: This satirical essay — or a version of it — was written in 1990 by high school student Hugh Gallagher , who entered it in the humor category of the Scholastic Writing Awards and won first prize. The text was then published in Literary Cavalcade , a magazine of contemporary student writing, and reprinted in Harper's and The Guardian before taking off as one of the most forwarded viral emails of the 1990s. Though it was not Gallagher's actual college application essay, he did submit it as a sample of his work to college writing programs and was accepted, with scholarship, to New York University, from which he graduated in 1994. Since then he has worked as a freelance writer. His first novel, Teeth , was published by Pocket Books in March 1998.
  See also: Urban Legends with a Punch Line
  Sources and further reading:
  A Star by Accident - Spoof Launches His Career Newsday , 10 December 1992
  You Probably Read His Essay for College, But Now 26, Gallagher Has Graduated to Writing Novel Baltimore Sun , 15 March 1998
","Funny Urban Legends"
"Biscuits for Brains","http://urbanlegends.about.com/od/accidentsmishaps/a/biscuit_brain.htm","2015-10-15 14:46:08","  By David Emery
  Also known as 'The Brain Drain,' 'The Killer Biscuits,' 'Killer Biscuits Wanted for Attempted Murder,' etc.
  As told by reader Vanessa Berger...
  There was a sweet older lady who would often do grocery shopping for the infirm and elderly in her church. One hot, summer day a lady asked her to pick up a few things and bring them by her house in a dangerous part of Baltimore City. The sweet old lady was wary but felt that she couldn't say no, even though she was terrified of driving in the part of the city that often had shoot-outs and other drug violence. Anyway, the woman went on her way, picked up the groceries and proceeded to the lady's house.
  As she entered the lady's neighborhood she noticed young hoodlums gathering on every street corner. Although she had no air conditioning in the car, she rolled the windows up tightly (as a safety precaution) and suffered in the 90+ degree heat.
  She drove ahead until suddenly she heard a loud 'POP!' and felt a jolt to the back of her head. She reached to feel the back of her head and came back with a wet oozing mess that she was sure was part of her brain! Knowing that she had been shot, the woman turned around and raced to a local hospital.
  continue reading below our video
  Celebrity Breakups of 2015 We Didn't See Coming
  Somehow she made it to the emergency room and had the strength to walk right in. She told the attendant that she had been shot. Immediately she was rushed back to an exam room. Doctors whirled around and asked where she had been shot (since they saw no blood.) She said 'my head,' and the doctors found a mass of the oozing white substance the woman had first noticed.
  Upon inspection the doctors realized that the white substance wasn't part of her brain but was instead a lump of biscuit dough (the kind in a can) that had exploded from the heat of her car!
  Analysis: Vanessa's marvelous retelling of this popular tale (which has also been circulating as a viral email since around 1998) has all the vivacity and attention to detail of an old-fashioned, word-of-mouth urban legend. Her uncle swears it really happened to a 'sweet old lady' in his church. In all likelihood, of course, it did not.
  As folklorist Jan Harold Brunvand reported in his 1999 book Too Good to Be True , the story he calls 'The Brain Drain' first began showing up in newspaper columns, stand-up comedy routines , and Internet discussions during the mid-1990s. A Usenet forum posting dated July 18, 1995 attributes it to comedienne Brett Butler:
  Sue, have you ever heard Brett Butler's story about her sister-in-law (or some such relative): driving home from the grocery store with a bag of groceries in the seat behind her; it was unbelievably hot weather; she stopped at a convenience store to get a soda or something and started toward home again. All of a sudden she heard this really loud explosion and felt something hit her in the back of the head. She put her hand up (but not too close) and felt something mushy. She was convinced she had been shot and her brains were falling out!
  When she finally pulled into her driveway and started screaming/honking for someone to come out and help her, they discovered a can of biscuits in the grocery bag had exploded and hit her in the head. Ha ha ha.
  In August 1995 the story was retold by a paramedic as follows:
  One of our trucks recently were toned to respond to the GSW to the head. The victim called 911 via her cellular phone. She told the operator that she just sat down in her car and someone shot her in the back of the head. She told the dispatched that she was afraid to move because she could feel brain tissue hanging out the back of her head.
  When the crew arrived, they found the woman sitting in the front seat. Her groceries were in the back seat. The Medics found dough where the woman thought that she felt brain tissue. A can of biscuit dough in the shopping bag exploded and hit her in the back of the head. Needless to say, the woman was greatly relieved to find that out.
  'Funny but true,' the author went on to write — and in that three-word statement is encapsulated the critical distinction between a joke and an urban legend .
  Embarrassing moments: • Always Wear Underwear in Public • The Glitter Spray Mistake • The Package of Cookies • The Halloween Surprise
  Last updated 04/15/13
","Funny Urban Legends"
"Craigslist Gold Digger Meets Her Match!","http://urbanlegends.about.com/od/sex/a/gold_digger.htm","2016-08-23 06:56:20","  By David Emery
  Netlore Archive: A self-described 'spectacularly beautiful' woman posts an online personals ad stating her wish to pair off with a marriageable 'rich guy' in New York City.  Wall Street banker replies, 'Your offer... is plain and simple a crappy business deal.'
  Description: Viral text / Forwarded email Circulating since: September 2007 Status: Unknown (see details below)
  Example: Email contributed by Gregory D., October 11, 2007:
  THIS APPEARED ON CRAIG'S LIST
  What am I doing wrong?
  Okay, I'm tired of beating around the bush. I'm a beautiful (spectacularly beautiful) 25 year old girl. I'm articulate and classy. I'm not from New York. I'm looking to get married to a guy who makes at least half a million a year. I know how that sounds, but keep in mind that a million a year is middle class in New York City, so I don't think I'm overreaching at all.
  Are there any guys who make 500K or more on this board? Any wives? Could you send me some tips? I dated a business man who makes average around 100 - 150. But that's where I seem to hit a roadblock. 150,000 won't get me to central park west. I know a woman in my yoga class who was married to an investment banker and lives in Tribeca, and she's not as pretty as I am, nor is she a great genius. So what is she doing right? How do I get to her level?
  Here are my questions specifically:
  -Where do you single rich men hang out? Give me specifics - bars, restaurants, gyms
  -What are you looking for in a mate? Be honest guys, you won't hurt my feelings
  -Is there an age range I should be targeting (I'm 25)?
  -Why are some of the women living lavish lifestyles on the upper east side so plain? I've seen really 'plain jane' boring types who have nothing to offer married to incredibly wealthy guys. I've seen drop dead gorgeous girls in singles bars in the east village. What's the story there?
  -Jobs I should look out for? Everyone knows - lawyer, investment banker, doctor. How much do those guys really make? And where do they hang out? Where do the hedge fund guys hang out?
  -How you decide marriage vs. just a girlfriend? I am looking for MARRIAGE ONLY
  Please hold your insults - I'm putting myself out there in an honest way. Most beautiful women are superficial; at least I'm being up front about it. I wouldn't be searching for these kind of guys if I wasn't able to match them - in looks, culture, sophistication, and keeping a nice home and hearth.
  --------------------
  THE ANSWER
  Dear Pers-:
  I read your posting with great interest and have thought meaningfully about your dilemma. I offer the following analysis of your predicament. Firstly, I'm not wasting your time, I qualify as a guy who fits your bill; that is I make more than $500K per year. That said here's how I see it.
  Your offer, from the prospective of a guy like me, is plain and simple a crappy business deal. Here's why. Cutting through all the B.S., what you suggest is a simple trade: you bring your looks to the party and I bring my money. Fine, simple. But here's the rub, your looks will fade and my money will likely continue into perpetuity...in fact, it is very likely that my income increases but it is an absolute certainty that you won't be getting any more beautiful!
  So, in economic terms you are a depreciating asset and I am an earning asset. Not only are you a depreciating asset, your depreciation accelerates! Let me explain, you're 25 now and will likely stay pretty hot for the next 5 years, but less so each year. Then the fade begins in earnest. By 35 stick a fork in you!
  So in Wall Street terms, we would call you a trading position, not a buy and hold...hence the rub...marriage. It doesn't make good business sense to 'buy you' (which is what you're asking) so I'd rather lease. In case you think I'm being cruel, I would say the following. If my money were to go away, so would you, so when your beauty fades I need an out. It's as simple as that. So a deal that makes sense is dating, not marriage.
  Separately, I was taught early in my career about efficient markets. So, I wonder why a girl as 'articulate, classy and spectacularly beautiful' as you has been unable to find your sugar daddy. I find it hard to believe that if you are as gorgeous as you say you are that the $500K hasn't found you, if not only for a tryout.
  By the way, you could always find a way to make your own money and then we wouldn't need to have this difficult conversation.
  With all that said, I must say you're going about it the right way.
  I hope this is helpful, and if you want to enter into some sort of lease, let me know. ____________ Rob Campbell J.P.Morgan Diversified Industrials Investment Banking 277 Park Avenue, 16/F, New York , NY 10172
  continue reading below our video
  Top 5 Longest Running TV Shows
  Analysis: Craigslist is a classified ad website which also attracts its fair share of pranksters, so the authenticity of the above exchange — which began on September 25, 2007 with the post entitled 'What am I doing wrong?' — has been questioned by some people right along.
  'It does look as if the post was made sincerely,' a Craigslist spokesperson told the New York Times two weeks after it first appeared. But reporters' queries to the anonymous poster's mailbox have gone unanswered, and — to no one's surprise, really — she(?) has not stepped forward to claim authorship.
  The Wall Street banker's response bears the signature line of Rob Campbell, an actual employee of J.P. Morgan Chase & Company's investment banking division, but the company denies he authored it, stating that Campbell merely forwarded the message as received, whereupon his email program automatically appended his signature line. This is perfectly plausible given that the same thing happens to 'frequent forwarders' all the time. What's more, the exchange was already making the rounds before Rob Campbell's name became attached to it.
  A well-known Craigslist prankster has also denied authoring the reply.
  Hoax or not, the complementary postings function well together as a humorous commentary on the current state of the 'Battle of the Sexes,' which, as folklorists Dundes and Pagter noted in their 1991 collection Never Try to Teach a Pig to Sing: Still More Urban Folklore from the Paperwork Empire , remains fraught with tensions 'as old as humankind itself.'
  Sources and further reading:
  Acquisitive Craigslist Post Reddens Faces All Around NY Times , 8 October 2007
  Rob Campbell, Accidental Sexist New York Magazine , 8 October 2007
  The Economics of Gold-Digging Freakonomics, 9 October 2007
  Last updated: 07/01/15
","Funny Urban Legends"
"The Cigar Arsonist - an Urban Legend","http://urbanlegends.about.com/od/classics/fl/The-Cigar-Arsonist-an-Urban-Legend.htm","2016-08-17 00:13:14","  By David Emery
  Netlore Archive: North Carolina man takes out fire insurance on pricey stash of rare cigars; he smokes them and files claim, according to an urban legend circulating since the 1960s. Who do you think prevailed in court?
  This story is decades old and likely originated as a joke. A much briefer version appeared in a 1965 toastmaster's manual and was apparently the direct inspiration of the earliest Internet variant, posted in a Usenet discussion in February 1996:
  Here's the same tale set in North Carolina in this Usenet version dated February 1997:
  A North Carolina man, having bought several expensive cigars, insured them against... get this... fire. After he had smoked them, he then decided that he had a claim against the insurance company and filed. The insurance company refused to pay, citing the obvious reason that the man had consumed the cigar normally. The man sued. The judge stated that since the company had insured the cigars against fire, they were obligated to pay. After the man accepted payment for his claim, the company then had him arrested for... arson.
  As the story traveled via email, it grew longer and more detailed, and by 1997 the latter-day version set in Charlotte, NC had become standard. David Boraks, a reporter for the Charlotte Observer , tried vainly to authenticate it. 'Somewhat sheepishly,' he wrote, 'I've tried to verify the cigar story. But searches of court records and newspaper files fail to turn up a single case or N.C. news article matching the incident.' Not that anyone should be surprised.
  A new variant claiming the scheming cigar aficionado was himself a lawyer began circulating in mid-2002 Here's an email contributed anonymously in 1997:
  FW: Subject: Our wonderful legal system
  A Charlotte, North Carolina man, having purchased a case of rare, very expensive cigars, insured them against (get this) fire! Within a month, having smoked his entire stockpile of fabulous cigars, and having yet to make a single premium payment on the policy, the man filed a claim against the insurance company.
  In his claim, the man stated that he had lost the cigars 'in a series of small fires.' The insurance company refused to pay, citing the obvious reason that the man had consumed the cigars in a normal fashion. The man sued -- and won! In delivering his ruling, the judge stated that since the man held a policy from the company in which it had warranted that the cigars were insurable and also guaranteed that the cigars would be insured against fire, without defining what it considered to be unacceptable fire, it was obligated to compensate the insured for his loss.
  Rather than endure a lengthy and costly appeal process, the insurance company grudgingly accepted the judge's ruling and paid the man $15,000 for the rare cigars he lost in the fires. After the man cashed his check, however, the insurance company had him arrested on 24 counts of arson. With his own insurance claim and testimony from the previous case being used as evidence against him, the man was convicted of intentionally burning the rare cigars and sentenced to 24 consecutive one-year terms.
  So don't piss off your insurance company!
  Sources and further reading:
  Internet Speeds Spread of Charlotte Cigar Myth Charlotte Observer , December 30, 1997
  Fantastic Tales Guardian (UK), October 15, 2002
","Funny Urban Legends"
"The Colander Lie Detector Trick","http://urbanlegends.about.com/od/crime/a/fake_lie_detector.htm","2015-06-28 00:25:37","  By David Emery
  Forwarded email tale echoes an urban legend dating back several decades about police interrogators wiring a metal colander to a photocopy machine and convincing a suspect it's a lie detector, thereby extracting a confession.
  Description: Urban legend Circulating since: 1989 (this version) Status: Probably based on fact (see details below)
  Example: Email excerpt contributed by Courtland B., June 12, 2001:
  Analysis: Though the basic premise isn't all that implausible, we have reason to believe, thanks to documentation provided by Jan Harold Brunvand in his 1993 book, The Baby Train (New York: W.W.
  continue reading below our video
  Highest Paid Male Actors Ever
  Norton), that the specifics of the story above may be false. Brunvand contacted the police chief of Radnor, Pennsylvania, where most versions of the story say the ' Colander Copier Caper ' took place, and was told that despite repeated claims to the contrary in publications dating from the late 1970s on, no such incident ever occurred in the township.
  We also, interestingly enough, have reason to believe the story may be true. According to a letter written to Brunvand in 1993 by Judge Isaac Garb, who says he presided over the case in question, the sequence of events occurred pretty much as stated. 'I can confirm the veracity of the colander polygraph (lie detector),' Garb wrote. 'The matter came before me in court on a motion to suppress the confession.' Indeed, the only major discrepancy between Garb's account and the anecdotal version is the specified location. Most variants, including those published in newspapers, name Radnor Township, Delaware County, Pennsylvania, as the setting. Garb says it took place in Warminster Township, Bucks County, which would account for the Radnor police chief's denial. (Judge Garb's letter was published in Jan Harold Brunvand's 2001 book, Too Good to Be True: The Colossal Book of Urban Legends .)
  History of a human interest story
  The item's earliest appearance in print was in the July 22, 1977 edition of the Philadelphia Inquirer , which named 'a small police department' in Bucks County as the locale. Four months later, this version was distributed nationwide by United Press International (story dated Nov. 18, 1977):
  There's Still One Born Every Minute
  RADNOR, Pa. (UPI) — The police department here recently was told by a Bucks County judge that a Xerox machine cannot be used as a lie detector.
  Detectives bent on obtaining a confession pretended an office copier was a lie detector after a suspect agreed to undergo a polygraph test. Prior to interrogation, the sleuths placed a typewritten card in the machine reading: 'He's lying.'
  The suspect was seated near the copier. A metal colander was fastened to his head and wires ran from the colander to the Xerox machine.
  Each time investigators received answers they did not fancy, they pushed the copy button.
  Out came the message: 'He's lying.'
  Convinced that the machine was infallible, the suspect finally confessed.
  Judge Ira Garb threw the case out of court.
  'It's the kind of comic relief we need around here once in a while,' the judge laughed.
  The incident was brought up again for comic relief in a March 13, 1978 Chicago Tribune feature on the societal impact of photocopy machines.  '[T]he top prize for imaginative use of copiers,' wrote reporter Paul Weingarten, 'goes to detectives in Radner [ sic ], PA. They put a colander on the head of one unsuspecting suspect and hooked it to the Xerox machine, but they told the suspect that the machine was a lie detector. He bought it.' (Tempo section, p. B5)
  From 'News of the Weird' to Internet meme
  The email version, which typically circulates as part of a compendium of allegedly-true 'dumb criminal' stories, looks to have been snipped verbatim from News of the Weird , Chuck Shepherd's volume of human interest stories published in 1989 (New York: New American Library). It made its way onto the Internet in the early '90s, spawning minimally reworded variants such as the this one:
  Variations on the fake polygraph trick have been used as a sub-plot in episodes of several TV crime series, including Homicide: Life on the Street , The Wire , and The Unusuals .
  Last updated: 06/07/15
","Funny Urban Legends"
"Dumb Burglars Break Into Wrong Bank","http://urbanlegends.about.com/od/crime/a/sperm_bank.htm","2015-07-01 13:41:16","  By David Emery
  Two robbers break into a bank intending to steal diamonds and gold, instead finding what they believe to be a cache of freshly made vanilla pudding. Yes, pudding!
  Description: Email joke / Urban Legend Circulating since: 1996 Status: See below
  Example: Email contributed by J. Thomas, Jan. 30, 2000:
  continue reading below our video
  5 Classic Novels Everyone Should Read
  Analysis: No such thing happened in Ireland, or anywhere else. No such article appeared in the Dublin Times , or any other legitimate newspaper. This is but one version of an old (by Internet standards) joke that first began circulating in crude form around 1996 and over time evolved into the infinitesimally more sophisticated narrative we know today. To see how the story has evolved, peruse the four online variants below (please note, all grammatical errors and misspellings are in the originals). As posted on the Internet May 5, 1996:
  As posted on the Internet Dec. 9, 1997:
  As posted on the Internet Dec. 1, 1998:
  As posted on the Internet April 22, 1999:
  Last updated: 07/01/15
","Funny Urban Legends"
