"Title","Url","Date","Content","Category"
"9/11 Tear Drop Memorial from Russia","http://urbanlegends.about.com/od/manmadewonders/ss/tear_drop.htm","2015-07-19 16:32:07","  Description: Viral images Circulating since: March 2009 Status: Authentic
  Example: Email text contributed by Pat T., March 13, 2009:
  Subject: Russian gift to the U.S. I had never heard of this before receiving an e-mail. Wonder why the press hasn’t report it? This is the 'TEAR DROP' made and installed by the Russians to honor those who died in 9 11 and a statement against terrorism. It is very impressive. The tear drop is lined up with the Statue of Liberty.
  Email text continues:
  Email text continues:
  Email text continues:
  Email text continues:
  True. The images are authentic. Variously known as 'The Tear of Grief,' 'The Teardrop Memorial,' and 'The Memorial at Harbor View Park' — as well as by its official name, 'To the Struggle Against World Terrorism' — this monument to the victims of 9/11 was built by Russian artist Zurab Tsereteli on the waterfront of Bayonne Harbor, New Jersey and publicly dedicated on September 11, 2006. It was, in the words of Vladimir Putin, 'a gift from the Russian people.' The monument comprises a 100-foot-tall bronze tower with a jagged split down the middle and a 40-foot-long stainless steel teardrop suspended in the gap.
  It stands on an 11-sided slab of black marble carved with the names of every person who died in the September 11 attack, as well as the victims of the 1993 World Trade Center bombing. The brightly lit memorial is visible even at night from the Statue of Liberty, Battery Park, the Staten Island Ferry, and other locations around the Hudson River. Though not well known in the United States, Zurab Tsereteli is renowned for his work in Russia, as well as public sculptures he has erected all around the world. He reportedly spent $12 million of his own money to complete the Bayonne Harbor monument.
  Sources and further reading:
  To the Struggle Against World Terrorism: A History Official Tsereteli Monument website The Memorial at Harbor View Park Brochure from Bayonne Local Redevelopment Authority Famed Russian Sculptor Crafts Giant Teardrop in Memory of 9/11 ARTINFO.com, 31 July 2006
  Last updated: 07/19/15
","Photo Hoaxes & Viral Images"
"109-Pound Shrimp Caught in Florida","http://urbanlegends.about.com/od/fauxphotos/ss/109-Pound-Shrimp-Caught-in-Florida.htm","2016-08-23 06:44:46","  Description: Viral image / Hoax Circulating since: September 2015 Status: Fake
  Analysis: This photo of a fisherman allegedly holding a 109-pound shrimp caught in waters off Florida has been circulating since 2010. It has appeared on Facebook, Twitter, various other social sites, and before that on a Spanish-language site claiming that the shrimp was caught in Spain. Before that it was supposedly hooked in Australia.
  Any number of stories have been made up to 'explain' the photo, which is suspect on any number of grounds, not the least of which is that if the critter actually did weigh 109 pounds it would take considerably more effort to hold it at arm's length than we see here (if you don't get what I mean, check out what it looks like when three guys are holding up a 109-pound catfish).
  For that matter, even if a shrimp did grow to be this huge, it wouldn't weigh 109 pounds, or even 50 pounds, or 25, or anywhere close to that. In a PBS News Hour segment about Asian tiger shrimp ( Penaeus monodon) , an invasive species found in greater and greater numbers in the Gulf of Mexico of late, it was reported that an extra-large specimen 'as long as a human forearm' might weigh as much as 11 ounces.
  Ounces, not pounds.
  To extrapolate, if you double that length — say, if the tiger shrimp measured twice as long as a human forearm — it might weigh 22 ounces, or around a pound-and-a-half.
  A shrimp three times the length of a human forearm — if such existed — could weigh a little over two pounds. At most.
  Given that the specimen in our photo looks to be about three feet in length, it's twice the size of any real shrimp ever caught (or would be, if real). In 2006, quite a fuss was made over a 16-inch-long black tiger shrimp caught off the coast of Colombia. In 2014, the Internet went gaga over an 18-inch-long mantis shrimp caught by someone fishing from a dock in Fort Pierce, Florida. Both were said by experts to be of 'record size.' I've found no reports of any non- prehistoric shrimp larger than those found anywhere on earth, ever.
  Given all the above, it's a foregone conclusion that the photo was manipulated. Never mind the preposterous weight attributed to the specimen, its physical dimensions betray the image as a hoax. The original snapshot must have shown the subject holding an ordinary fish of some kind. The'109-pound shrimp' was Photoshopped in after the fact, not only giving it an unreal appearance — it looks like the shrimp was cut and pasted in as an afterthought, doesn't it? — but degrading the overall quality of the image in the process.
  In July 2015 a 12-inch tiger shrimp was caught in the St. Johns River in Jacksonville, Florida. Local shrimpers claimed the larger shrimp that are increasingly showing up in Florida were farm-raised in North Carolina and escaped during Hurricane Hugo.
  In 2012 a foot-long tiger shrimp was caught off the coast of Louisiana. Scientists say the invasive species is on its way to becoming 'established' within 10 years and is most likely there to stay.
  In 2011 a ' giant tiger prawn ' was caught near Panama City, Florida ('tiger prawn' and 'tiger shrimp' seem to be used interchangeably in these media reports).
  The good news, for humans at any rate, is that they're both harmless and edible.
","Photo Hoaxes & Viral Images"
"Is This a Frozen "Alaskan Tree Frog"?","http://urbanlegends.about.com/od/animalkingdom/ss/Alaskan-Tree-Frog.htm","2016-01-17 21:53:10","  Description: Viral image / Hoax Circulating since: 2013? Status: Mislabeled (details below)
  Caption example #1:
  Alaskan tree frog. Freezes solid in winter, thaws in spring and hops off
  Caption example #2:
  This is what an Alaskan tree frog looks like. It freezes in winter, stopping its heart, then thaws in spring.
  Caption example #3:
  the Alaskan tree frog freezes and stops its heart rate completely. Thaws and comes back to life again when the conditions become favorable
  Analysis: Sorry, enthusiastic sharers, but the whimsical specimen in this photograph doesn't appear to be a real frog at all, much less a 'frozen Alaskan tree frog.' More likely, it's an iced-over ceramic garden ornament. Cute photo, to be sure, but circulating under false pretenses.
  There is, in fact, no such species as an 'Alaskan tree frog' — none that I could find in reference books on amphibians, at any rate — though it's true that scientists have identified a diminutive species named Rana sylvatica (commonly called a wood frog), that can survive Arctic temperatures for months at a time with up to two-thirds of its bodily fluids frozen solid.
  'Alaska wood frogs spend more time freezing and thawing outside than a steak does in your freezer and the frog comes back to life in the spring in better shape than the steak,' says University of Alaska Fairbanks grad student Don Larson, the lead author of a recent study on the freeze tolerance of the Alaska wood frog.
  How does the species accomplish such a feat, given that the freezing process normally damages and kills living tissues (think frostbite)?
  By overdosing on sugar, apparently. Researchers have discovered that wood frogs' bodies prepare for the coldest winter months by 'packing' their cells with glucose (blood sugar), which acts as a ' cryoprotectant ' to prevent tissues from drying out and collapsing when the water they contain turns to ice. According to Larson, wood frogs tracked in the wild proved able to endure below-zero temperatures for as many as 218 days straight with a 100 percent survival rate.
  Larson and co-author Brian Barnes believe their research may ultimately serve a more practical purpose, namely indicating ways to improve and extend the preservation of human organs for transplantation.
  Thank you, wood frog!
  Sources and further reading:
  Rana Sylvatica (Wood Frog) AmphibiaWeb.com, 7 February 2015
  Wood Frog National Park Service
  Alaska's Frog Alaska Public Lands Information Center
  Alaska Frogs Reach Record Lows in Extreme Temperature Survival Institute of Arctic Biology/Univ. of Alaska Fairbanks, 22 July 2014
  How Arctic Frogs Survive Being Frozen Alive NationalGeographic.com, 21 August 2013
  Last updated 02/14/15
","Photo Hoaxes & Viral Images"
"Alligator and Deer in Cross Lake","http://urbanlegends.about.com/od/alligators/ss/Alligator-and-Deer-in-Cross-Lake.htm","2016-01-17 20:02:10","  Synopsis: Viral photos purportedly taken at Cross Lake, Louisiana (or Lake Wiess in Alabama, or Lake Conroe in Texas, etc.) show an alligator swimming through the water with a full-grown deer in its jaws.
  Description: Viral images Circulating since: June 2004 Status: Authentic / Partly true
  Text example:
  Subject: FW: Swimming in Louisiana
  This was taken by a KTBS helicopter flying over Cross Lake! (For those of you who are not local, Cross Lake is in Shreveport, La.) That has to be a HUGE gator to have a whole deer in its mouth! Are you ready to go skiing on Cross Lake?! If you ski at the west end of the lake -- try not to fall.
  Email contributed by a reader Aug. 25, 2004
  Example #2:
  The  picture below, was taken by a KTBS helicopter flying over Lake Wiess about 90 miles north of Birmingham, Alabama. The helicopter pilot and the game warden were in communication via radios; following is a transcript of their conversation: 'Air1, have you a visual on the gator? Over.' 'Approaching inlet now; over.' 'Roger, Air1.' 'Gator sighted. Looks like it has a small animal in its mouth. Moving in; over.' 'Roger, Air1.' 'It's a deer!!!' 'Confirm, Air1! Did you say 'deer'? Over.' 'Roger. A deer, in its mouth. Looks like a full-sized buck. That's a BIG Gator! We're gonna need more men. Over.' 'Roger, Air1. Can you give me a idea on size of animal? Over.' It's big... 25 feet long..... at least!!! Please advise; gator is heading to inlet. Do I pursue? Over.'
  Email contributed by a reader Jan. 15, 2009
  Analysis: These photos showing a 12- to 14-foot-long alligator swimming off with a full-grown deer between its teeth are authentic, according to a press release put out by the U.S. Fish and Wildlife Service. They were taken by district fire management officer Terri Jenkins on March 4, 2004.
  The various texts accompanying the photos on their viral rounds are complete fabrications, however. The photos weren't taken at Cross Lake in Louisiana, or Lake Wiess in Alabama, or any of the other places the different versions of the story say they were.
  Nor was the alligator in the photo 25 feet long, nor was there an amusing conversation between the helicopter pilot and a game warden recorded for posterity during the taking of the photos.
  According to Jenkins herself, she was about 40 miles south of Savannah, Georgia, on her way to start a prescribed fire at Harris Neck National Wildlife Refuge , when she spotted the gator making off with its lunch from her helicopter (which, contrary to what the email says, does not belong to KTBS-TV in Shreveport).
  American alligators typically feed on smaller prey such as fish, snakes and small or infant mammals but have been known to catch and eat adult deer when hungry and smaller prey isn't available.
  Update: A June 2004 variant of the email, equally false, claims the photographs were taken by an officer of the Texas Forest Service on assignment at a game refuge in South Carolina.
  Update: A May 2006 variant claims the photos were taken by the WIS-TV 'News Hawk' helicopter flying over Lake Murray in South Carolina.
  Sources and further reading:
  Alligator Takes Deer to Lunch in South Georgia U.S. Fish and Wildlife Service press release, 23 August 2004
  Prankster Credits News Hawk for Pics of Alligator with Deer WIS-TV News, 9 May 2006
  Last updated: 09/27/15
","Photo Hoaxes & Viral Images"
"","https://www.thebalance.com/becoming-a-marine-corps-pilot-3354348","","  1 Becoming a Marine Corps Pilot
  
  The process of becoming a Marine pilot is arduous and competitive.
  
  The following planes, helicopters, and hybrid machines are the aircraft of the Marine Corps.  Marine pilots are capable of flying supersonic jets, hover in VSTOL aircraft, fly propeller transport planes, and a variety of helicopters.
  
  USMC Fixed Wing Aircraft F/A 18 – Hornet – The dual mission of the Fighter / Attack mode the F/A-18 offers is of paramount importance to the missions of the Marine Corps:  fighter escort, enemy defenses suppression, air control, reconnaissance, and close air support of Marines on the ground.
  
  F-35 Joint Strike Fighter (Lightning II) is the future of Marine Corp fighter / attack missions and will replace the F/A 18 Hornet in the near future. AV-8B Harrier – The Harrier is the Marines first Vertical / Short Takeoff and Landing aircraft (VSTOL).  Using adjustable jets, the plane can hover, take off, and land with little to no run way and attack anywhere.
  
  EA-6B Prowler – Electronic warfare of this jet enables Marines and Navy planes and helicopters to have air superiority.  The EA-6B Prowler detects, jams, and / or destroys enemy air defenses.
  
  KC-130 Super Hercules – The multi-versatile propeller transport and refueling plane operates in all environments with the mission capabilities that include:  Delivery of Marines, fuel, and cargo, medevac, humanitarian assistance, battlefield illumination and more. Helicopters of the Marine Corps
  
  CH-53E Super Stallion – Is the heavy lift helicopter of the Marine Corps and capable of lifting or carrying 16 tons of cargo (vehicles, supplies, personnel).  With its speed and agility and armament, the CH-53E is much more than just a heavy lifter.
  
  AH-1Z Super Cobra – The Cobra / Viper is the Marine Corps close air support helicopter.  Armed with rockets and guns, the AH-1 provided cover to advancing ground troops as well as escort of transport helicopters. UH-1Y Huey – The versatile fighting Huey helicopter provides combat support as well as medevac capabilities.  Some of the other missions is Close Air Support, Assault Support, Command and Control, and Aerial Reconnaissance. MV-22 Osprey – Is a hybrid transport plane and helicopter.  It has the range and speed of a turbo-prop plane and the maneuverability of a helicopter.  The unique tilt rotor systems allows for vertical / short take off and landing of up to 24 troops and gear.
  
  Though the Marines flying the drones are not pilots, they are skilled in operating the drones, communications, and target recognition.  They are still part of Marine Corps Aviation. Marine Aviators will be communicating with these in flight systems.
  
  RA-7B Shadow – Drone – Recent development of unmanned aircraft systems (UAS).  The Shadow is used to help Marines on the ground with reconnaissance, target acquisition, and relay of communications.
  
  Here are some of the hurdles prospective pilots have to clear:
  2 Education
  
  Pilots need at least a bachelor’s degree, earned either at a civilian college or university or through the U.S. Naval Academy, ROTC, or OCS. The Naval Academy graduates on average 20% of the class into the Marine Corps.
  3 Commissioning
  Pilots must be officers commissioned at the rank of second lieutenant. Prospective pilots should contact a local selection officer to inquire about the steps for becoming an officer in the Marine Corps and let the officer know they are interested in pursuing the Marine aviator track.
  4 Age Requirements
  Aviator candidates must be at least 18 years old when enlisting, at least 20 years old when entering an officer candidate program and no older than 27 years old when receiving their commissions.
  5 Citizenship
  
  Marines must be citizens of the United States. If a prospective Marine is not a citizen, he or she may apply to become one upon enlistment — regardless of time lived in the U.S. — due to an executive order signed by President Bush in 2002 expediting the naturalization process for members of the military.
  6 Testing
  Any Marine seeking entry into officer training programs must have a combined Math and English SAT score of at least 1,000, a composite ACT score of 22 or an Armed Forces Qualification Test score of at least 74 on the Armed Services Vocational Aptitude Battery. He or she also must pass the Navy/Marine Corps Aviation Selection Test Battery to become a Marine pilot.
  7 Physical Condition
  Prospective pilots must be in good physical and psychological health and must take a physical.
  8 Flight School
  
  After completing Officer Training School or Platoon Leaders Class, an aviator candidate will have a guaranteed spot in flight school in Florida, where his or her training will proceed in stages: The Basic School - All Marine Officers attend The Basic School (TBS) in Quantico, Va, before moving onto pilot training.
  
  Pre-indoctrination: This six-week phase includes an introduction to aerodynamics, aviation physiology, engines, navigation and land and sea survival in classrooms at the Naval Air Station in Pensacola, Fla.
  
  Primary flight training: A candidate’s first in-air experience is at Whiting Field in Milton, Fla., in a T-34C. Prospective pilots each spend 67 hours in the air, including four solo flights, as well as 27 hours on a flight simulator. Another 166 hours of classroom work attending flight support lectures round out the instruction. At the close of this training, candidates are picked, partly based on grades and aptitude, for flight training on one of three aircraft: jets, helicopters or turbo-props.
  9 Flight School (Con't)
  Intermediate Training:
  Those selected to fly helicopters or turbo-props will receive an additional 26 hours of instruction on the T-34, with emphasis on radio and navigation training. Those selected to fly jets will proceed to the Naval Air Station in either Kingsville, Texas, or Meridian, Miss. There, they will take five weeks of ground school, including instruction in meteorology, visual flight rules and safety. From there, trainees will progress to the T-2C or T-45 for hands-on training in aerobatics, gunnery, radio communication and catapult take-offs.
  
  Advanced Training: Jet pilots will then spend 92 hours in the TA-4 or T-45, focusing on performing combat maneuvers and night flights. Those with a concentration in turbo-props will head to Corpus Christi, Texas, for a 20-week course that requires 88 hours flight time on the multi-engine T-44 Beech Queen Air. Another 20 hours of instruction using flight simulators and 182 hours of classroom time are also required. Those bound for helicopters will report to South Whiting Field to do their flight training on the TH-57B/C Bell Jet Ranger, where they’ll log another 116 hours in the air. After this phase, candidates finally earn their wings.
","Photo Hoaxes & Viral Images"
"Black and White Twins","http://urbanlegends.about.com/od/fauxphotos/fl/Black-and-White-Twins.htm","2016-08-21 02:29:23","  By David Emery
  Emailed images circulating since February 2006 show a pair of twin sisters — one black, the other white — born to a British couple who both had mixed-race parents. These images are authentic.
  The following images credited in online news stories to freelance photographer Gary Roberts, are authentic. The subjects are real as well — twins Kian and Remee Hodgson of Nottingham, England.
  According to a February 21, 2006 article in the London Daily Mail , Kian, who is dark-skinned and dark-haired, and Remee, who is light-skinned and fair-haired, were born in April 2005 to Kylie and Remi Hodgson, who themselves were born to mixed-race parents. Kylie noted:
  “I didn’t see them at first. They were both whisked away to be checked over and then the midwife came back and placed them both in my arms. I noticed that both of them had beautiful blue eyes, but whilst Remee’s hair was a blonde colour, Kian’s was black and she had darker skin.
  It seemed strange, but I was feeling so ill from the Caesarean that I didn’t really take it in at that stage. All that mattered was my precious daughters had arrived safely.
  But the following day, Kylee mentioned the colour difference to her mother. “I said to my mother that Remee’s skin was a lot lighter, and she told me that it would get darker as she got older. I had just assumed that both our babies would have the same skin tone as me.”
  While very rare, the phenomenon is not unknown, though it does entail a very particular combination of circumstances at the moment of conception. First, both parents must be of mixed race. Second, the twins must be fraternal (each conceived from a separate egg fertilized by separate sperm) as opposed to identical (both conceived from a single egg and sperm). Third, each sperm and egg must carry the genes for a particular skin color (i.e., black/black or white/white).
  The odds against it are indeed a million to one.
  As the twins grew, Remee’s skin became lighter, whilst Kian’s got darker. Remee’s eyes stayed blue and  Kian’s turned brown. Despite the differences in their appearance, the girls share a a very strong bond and are best friends.
  Another set of black and white twins were born in 1997 to a white father and a half-Jamaican mother. Lucy Aylmer has red hair and a very fair complexion and her twin Maria has brown hair with a caramel complexion.
  Sample Email About the Twins Here's an email contributed by Stacey B. on March 1, 2006:
  Subject: AMAZING TWINS...WOW!
  A mixed-race British mom gave birth to twins recently - one of each. No, not a boy and a girl. Two girls - one black, the other white. The odds of such a birth are about a million to one, experts said.
  Sources and further reading:
  Black and White Twins The Daily Mail , 21 February 2006
  Meet My Twin Sister NY Daily News , 22 February 2006
","Photo Hoaxes & Viral Images"
"A Case of Breast Larvae Infestation","http://urbanlegends.about.com/od/medical/fl/A-Case-of-Breast-Larvae-Infestation.htm","2016-06-18 16:48:15","  By David Emery
  A viral image and video purport to document the case of a female anthropologist named Susan McKinley, who failed to seek treatment for a rash and wound up with an infestation of larvae in her breast.
  Description: Viral image / Hoax Circulating since: 2003 Status: See below
  Example: Email contributed by Belinda P., April 20, 2006:
  Fwd: Wash before Wearing! It is horrible. Guys tell your wife, sisters, girlfriends, and girl cousins wash bra before wearing. ALL PLEASE WASH ALL BRAS, UNDERWEAR WHEN YOU BUY BEFORE WEARING THEM. WE DO NOT KNOW WHAT PARASITE IS IN OUR CLOTHES WHEN WE BUY THEM. FORWARD TO EVERYBODY YOU KNOW. LET ME FORE WARN YOU THIS IS SO SQUIMISH, I FEEL LIKE SOMETHING IS CRAWLING ALL OVER ME EVEN AS I SEND THIS TO YOU. BE AWARE. IT IS SO GROTESQUE. PLEASE WASH YOUR UNDERWEAR BEFORE WEARING. PREFERABLY IN BOILING HOT WATER. This is not for the weak; I have never seen anything like this. Read the article first before looking at the picture and film. This looks horrible. Oh my God!!!!!!! Ladies this could happen to you and Guys this could happen to your wife, girlfriend, partner so please BEWARE, and also warn others.
  It has been reported that this is happening in Zimbabwe as well, please make sure you iron your undergarments before you wear them and make sure that your clothes are ironed when they are dry and not damp. The picture is horrible but I felt that I should share with you. After anthropologist Susan McKinley came back home from an expedition in South America, she noticed a very strange rash on her left breast. Nobody knew what it was and she quickly dismissed it believing that the holes would leave in time. Upon her return she decided to see a doctor after she started developing intense pains. The doctor, not knowing the exact severity of the disease, gave her antibiotics and special creams. As time lapsed the pain did not subside and her left breast became more inflamed and started to bleed. She decided to bandage her sores however as Susan's pain grew more intense she decided to seek help from a more certified doctor. Dr. Lynch could not diagnose the infection and told Susan to seek the aid of one of his colleagues who specialized in dermatology whom was sadly on vacation. She waited for two weeks and finally was able to react the dermatologist. Sadly,a life changing event was about to unfold during her appointment. To Miss McKinley's surprise, after she removed the bandages, they found larva growing and squirming within the pores and sores of her breast. Sometimes these wicked creatures would all together simultaneously move around into different crevices. What she didn't know was that the holes were in fact, deeper than she had originally thought for these larvae were feeding off the fat, tissue, and even milk canals of her bosom.
  continue reading below our video
  Best Vacation Reads of 2015
  Analysis: This viral message has three distinct components:
  1. The text, which appears to have been fabricated. 2. The photograph, which also appears to have been fabricated. 3. The linked video, which is authentic, albeit completely unrelated to the text and image.
  The fabricated image first turned up on the Internet, uncaptioned, in June 2003. As David Mikkelson of Snopes.com observes, it appears to have been created by combining elements of two separate images, one of a female breast and the other of a lotus seed pod .
  The cautionary tale about 'anthropologist Susan McKinley' and the breast larvae infestation she supposedly experienced (also described as 'boob worms' and 'nipple bugs' in other versions of the story) was attached to the image by person(s) unknown in August 2003.
  The video — which demonstrates that larvae infestations of the breast, though extremely rare, do occur — was downloaded from the website of a medical journal in 2005 and attached to the already-circulating email, again by person(s) unknown. As originally published, it accompanied a scientific study entitled ' Furuncular Myiasis of the Breast Caused by the Larvae of the Tumbu Fly (Cordylobia Anthropophaga) .' The case, which was recorded in Nigeria, not South America, is described as follows:
  Please note that while the particulars of the 'Susan McKinley' email remain unsubstantiated and the story is almost certainly a fabrication, its anonymous author does appear to know a thing or two about the causes of furuncular myiasis of the breast. The email warns: 'Please make sure you iron your undergarments before you wear them and make sure that your clothes are ironed when they are dry and not damp.' Compare that to the journal article's explanation of how the 70-year-old patient in Nigeria was exposed to infestation: 'She usually spreads her washed dresses on a line near the bush and does not iron them before wearing them.'
  Sources and further reading: Furuncular Myiasis of the Breast Caused by the Larvae of the Tumbu Fly (Cordylobia Anthropophaga) BioMed Central, 29 February 2004 Breast Rash Urban Legends Reference Pages, 11 September 2003
","Photo Hoaxes & Viral Images"
"Calico Buck / Calico Deer","http://urbanlegends.about.com/od/animalsinsects/ss/calico_buck.htm","2015-12-06 15:46:59","  Description: Viral images Circulating since: Jan. 2009 Status: Mislabeled
  Example: Email contributed by Jolene W., Feb. 5, 2009:
  The word ' calico ' aptly describes the coloring of this handsome animal, though ' piebald ' is more often used.
  Piebald deer are white-tailed deer with a genetic defect resulting in a coat with asymmetrical white and brown (or white and black) patches. Experts say the anomaly is quite rare.
  Though piebald deer can presumably be found anywhere white-tailed deer are common — including Wisconsin, where the specimen in the photographs was allegedly killed — it so happens that this deer was actually bagged in east Texas.
  According to the deer hunting and management website Buck Manager , the 195-pound buck was 'harvested' on Nov. 2, 2008 (EXIF data embedded in the images confirms the photos were taken on that date) near Palestine, Texas by James Curtis of Belleville, Texas.
  Among the falsehoods one finds in the various captions accompanying these photos on the Internet are the claims that the deer was killed in Michigan, Arkansas, West Virginia, or Georgia, and that the carcass was sold to hunting outfitter Cabela's for $13,000.
  See also:
  Albino Fawn Pictures Viral images show a completely white albino fawn photographed near Stanley, North Dakota, the Bolivar Peninsula in Texas, or West Liberty, Kentucky — depending on which version of the story you choose to believe.
  Black Fawn Pictures Images circulating via forwarded email show a 'melanistic' fawn covered head-to-toe in black fur. The photos are real, despite some skepticism among social media users.
  Sources and further reading:
  Piebald Deer - What Are They?
  Buck Manager, 17 July 2007
  Piebald Buck Is from East Texas Buck Manager, 30 December 2008
  Last updated: 12/05/15
","Photo Hoaxes & Viral Images"
"Card Trick: I Can Read Your Mind!","http://urbanlegends.about.com/od/classics/ss/Card-Trick-I-Can-Read-Your-Mind.htm","2016-08-22 02:12:53","  Here is a well-traveled card trick and mind reading illusion that keeps popping up online, most recently in the form of a PowerPoint presentation purporting to be the work of master stage magician David Copperfield (though it almost certainly is not).
  The illusion can be startling until you figure out how it works — at which point you may find yourself wondering how anyone could possibly fall for such a simple, obvious deception!
  I can read your mind! You don't believe me? Here, I'll prove it.
  Take a look at these six cards. Now pick one card — and only one — and remember it. Concentrate!
  Are you thinking of the card? Excellent.
  I will now, read your mind -- even though we're not in the same room and possibly not even on the same continent.
  Okay, I've got it. I know which card you chose. I will now make it disappear ...
  Voila! It's gone! Amazed? Don't be. Read on to learn how this simple trick is done.
  This is one of the simplest yet most effective mind reading illusions ever devised. How does it work? Take another look — a careful look — at the 'before' and 'after' card layouts, and it will become clear: Do you see it?
  The difference, aside from the fact that there's one fewer card in Figure 2, is that none of the cards in the second layout are the same as in the first. Not only did your chosen card disappear — they all disappeared and were replaced them with completely different but similar cards.
  Like most magic tricks, this one depends on misdirection which is a kind of deception — the audience is focused on one thing in or to distract attention from something else.
  There are two kinds of misdirection: the first method, which is time sensitive, encourages the audience to look away for a brief moment so that the magic trick or sleight of hand can be accomplished without detection.
  The second approach consists of reframing the audience's perception and has nothing to do with the senses. Here, the minds of the audience are distracted into thinking that focusing on an unimportant object is responsible for the resulting magic, when it really doesn't have any impact on the effect at all
  That's precisely the case with this trick — because you've been instructed to focus your attention and memory on one card and only one card, most of us fail to absorb any details about the other five. When the entire set is replaced by a different one that looks approximately the same, we accept it as exactly the same.
  Abracadabra!
","Photo Hoaxes & Viral Images"
"Mandatory Drug Sentencing Laws","http://crime.about.com/od/issues/i/drug_sentence.htm","2015-10-16 17:54:50","  In reaction to a virtual wave of cocaine being smuggled into the country and cocaine addiction reaching epidemic proportions in the 1980s, the U.S. Congress and many state legislatures adopted new laws that stiffened the penalties for anyone convicted of trafficking illegal drugs. These laws made jail terms mandatory for drug dealers and anyone in possession of certain amounts of illegal drugs.
  Mandatory drug sentencing for those found guilty of possession and sales of drugs is one that most Americans support.
  Voters have shown strong backing to political candidates who adopt the 'longer sentencing' position.
  Latest Developments
  More mandatory drug sentences are being proposed. Congressman James Sensenbrenner (R-Wis.), a proponent of mandatory sentencing, has introduced a bill to Congress called 'Defending America's Most Vulnerable: Safe Access to Drug Treatment and Child Protection Act of 2004.' The bill is designed to increase mandatory sentences for specific drug offenses.
  It includes mandatory sentencing of 10 years to life in prison for any person age 21 or over who attempts or conspires to offer drugs (including marijuana) to someone younger than 18 years old. Anyone who has offered, solicited, enticed, persuaded, encouraged, induced, or coerces or possess a controlled substance, will be sentenced to a term not less than five years.
  Background
  Mandatory drug sentencing laws came about in the 1980s in the height of the War on Drugs. The seizure of 3,906 pounds of cocaine, valued then at over $100 million wholesale, from a Miami International Airport hangar on March 9, 1982 brought about the public's awareness of the Medellin Cartel -- Colombian drug traffickers working together -- and changed U.S. law enforcement's approach towards the drug trade -- and sparked new life into the War on Drugs.
  Lawmakers began to vote more money for law enforcement and began to create stiffer penalties for not only drug dealers, but for drug users.
  Pros
  Supporters of mandatory minimums view it as a way to deter drug distribution and use by extending the time that a criminal is incarcerated therefore preventing them from committing more drug-related crimes.
  One reason mandatory sentencing guidelines are established is to increase sentencing uniformity -- to guarantee that defendants, who commit similar crimes and have similar criminal backgrounds, receive similar sentences.
  Mandatory guidelines for sentencing greatly curtail judges' sentencing discretion.
  Without such mandatory sentencing, defendants in the past, guilty of virtually the same offenses under the same circumstances, have received vastly different sentences in the same jurisdiction, and in some cases from the same judge.
  Proponents argue that a lack of sentencing guidelines opens up the system to corruption.
  Cons
  Opponents to the mandatory sentencing feel that such punishment is unjust and does not allow for flexibility in the judicial process of prosecuting and sentencing individuals. Other critics of mandatory sentencing feel that the money spent in longer incarceration has not been beneficial in the war against drugs and could be better spent on other programs designed to fight drug abuse.
  A study performed by the Rand Company said such sentences have proven to be ineffective in curtailing drug use or drug related crime. 'The bottom line is that only decision makers who are very myopic would find long sentences to be appealing,' said study leader Jonathan Caulkins of Rand's Drug Policy Research Center.
  The high cost of incarceration and the small results that it has shown in fighting the war on drugs, show that such money would be better spent on shorter sentencing and drug rehabilitation programs.
  Other opponents to mandatory sentencing include Court Justice Anthony Kennedy, who in August 2003 in a speech to the American Bar Association, denounced minimum mandatory prison terms.
  'In too many cases, mandatory minimum sentences are unwise and unjust,' he said and encouraged the bar to be leaders in the search for justice in sentencing and in racial inequities.
  Dennis W. Archer, former Detroit mayor and Michigan Supreme Court Justice takes the position that 'it is time for America to stop getting tougher and start getting smarter against crime by reassessing mandatory sentencing and irrevocable prison terms.' In an article posted on the ABA website, he states, 'The idea that Congress can dictate a one-size-fits-all sentencing scheme does not make sense. Judges need to have the discretion to weigh the specifics of the cases before them and determine an appropriate sentence. There is a reason we give judges a gavel, not a rubber stamp'
  Where It Stands
  Because of cuts in many state budgets, and overcrowded prisons due to mandatory drug sentencing, lawmakers are facing a financial crisis. Many states have begun to use alternatives to imprisonment for drug offenders -- usually called 'drug courts' -- in which defendants are sentenced into treatment programs, rather than jail. In states where these drug courts have been established, officials are finding this approach to be a more effective way of approaching the drug problem.
  Research shows that drug court alternatives are not only more cost-effective than prison sentences for defendants who commit non-violent crimes, they help reduce the rate of defendants who return to a life of crime after completing the program.
","Photo Hoaxes & Viral Images"
