"Title","Url","Date","Content","Category"
"Did Obama Declare December National Muslim Appreciation Month?","http://urbanlegends.about.com/od/Fake-News/fl/Obama-Declares-December-National-Muslim-Appreciation-Month.htm","2016-05-30 22:24:19","  By David Emery
  Synopsis: Internet users are circulating a fake 'Fox News' story via social media claiming that President Obama declared December 'National Muslim Appreciation Month.' Obama has made no such declaration, nor are any other statements or quotations in the article accurate or true. Though many people have seen fit to share and repost it, it's clearly a prank.
  Description: Fake news / Hoax Circulating since: November 2015 Status: False
  Example: Posted on FoxNews.com.hk, November 7, 2015:
  Obama Declares December As National Muslim Appreciation Month
  Written by: Darius Rubics
  Washington, DC — President Barack Obama held a press conference today to announce his decision which will make the month of December ‘National Muslim Appreciation Month’.
  “The Muslim community deserves our full acceptance and respect,” Obama told reporters. “We have disrespected these innocent and peaceful people in so many ways. We have killed millions of Muslims overseas since the September 11th attacks. They are not all bad. In fact most of them are good. So from now on, December will be a month to celebrate the Muslim people, the Sunnah and the Quran.”
  continue reading below our video
  Top 5 Grossing Movies of All Time
  Analysis: With the recent ISIS terror attacks in Paris , the timing was right for this poorly written, unoriginal bit of satire, which otherwise would have probably never seen the light of day. The article was published on Nov. 7, 2015, several days before the attacks occurred, on FoxNews.com.hk, a web domain which, despite appearances, has nothing to do with Fox News or any of its parent companies or affiliates. No legitimate news organization was involved in its dissemination.
  According to its WHOIS listing, the domain's actual owner is one Paul Horner , a serial prankster and prolific author of fake news articles on a number of different websites.
  By the looks of things, Mr. Horner is running out of fresh ideas. An almost identical article appeared two years ago on the news satire site NationalReport.net. It, too, bore the pseudonymous byline 'Darius Rubics,' and it, too, claimed that Obama held a press conference announcing a 'Muslim Appreciation Month.'
  As the debunkers at Politifact.com pointed out at the time, no such proclamation appears anywhere on the White House website or on any other government websites, because no such proclamation was made.
  'He has declared heritage months for Irish-Americans, Asian-Americans, Caribbean-Americans and Hispanics,' wrote Politifact's Becky Bowers. 'He has proclaimed a month for appreciation of African-American music. But nothing about Muslims.'
  Which must come as a shock to all those further-right American citizens who have convinced themselves not only that Barack Obama is sympathetic to Muslim extremists, but that he is a covert Muslim and dedicated to either converting the entire country or letting Islamic terrorists destroy it. Those people are the target audience of this hoax, of course. They find the premise plausible and outrageous, so they share the article. They share it a lot, in fact, which is precisely what Paul Horner intended.
  Had they read through to the end, they would have found this paragraph in which the author gives himself away:
  Fappy The Anti-Masturbation Dolphin, whose real name is Paul Horner, is a mascot for a Christian organization that travels around the country speaking to children about the dangers of masturbation, told Fox News he does not agree with what Obama is doing.
  It pays to read what you're about to post before clicking that Share button. Just sayin'.
  Sources and further reading:
  Obama Declares December As National Muslim Appreciation Month FoxNews.com.hk (hoax website), 9 November 2015
  ‘Obama Declares November National Muslim Appreciation Month,’ Bloggers Claim Politifact.com, 3 October 2014
  The Prankster Who Faces Castration in Louisiana Vocativ.com, 18 September 2014
  Last updated 11/15/15
","The Fake News Desk"
""15 Days of Darkness" Hoax Won't Die","http://urbanlegends.about.com/od/Fake-News/fl/15-Days-of-Darkness-Hoax.htm","2015-10-24 23:35:59","  By David Emery
  Ignore social media reports claiming that NASA has signed off on a prediction that the earth will undergo 15 days of darkness in November 2015 due to an odd confluence of cosmic events. Nothing of the sort has been predicted by scientists.
  Variants of the fabricated story have been circulating since 2012 . The current version first appeared on the fake news website NewsWatch33.com , which makes its hay spoofing current events and recycling online hoaxes. The preposterous headlines on the front page of the site say everything you need to know, but if you're in need of further convincing check the disclaimer , which states — or rather understates — that a portion of the site's content is satirical.
  It appears to me to be 100% satirical, but in any case the fabricated content isn't marked as such, so the site is generally unreliable even there is a nugget or two of fact hidden on it.
  According to the article in question , NASA administrator Charles Bolden — who is a real person — presented the Obama administration with a 1,000-page report on the upcoming cosmic event.
  continue reading below our video
  5 Urban Myths That Rule the Ages
  Here's an excerpt from NewsWatch33's summary of the alleged document:
  According to the report, on October 26, 2015, Venus and Jupiter will engage in a close parallelism, only being separated by 1 degree. Venus will pass to the southwest of Jupiter, causing Venus to shine 10 times brighter than Jupiter. The light from Venus will heat up the gases on Jupiter causing a reaction.
  Codswallop. Planets don't 'engage in close parallelisms' — whatever that's supposed to mean. Astronomers do sometimes describe planets as being in ' conjunction ' — meaning that from an earthly vantage point the planets appear to move closer together in the sky from time to time as they orbit around the sun — but in reality the planets are never close enough together to affect one another physically.
  Venus and Jupiter are, on average, 416,399,477 miles apart.
  The claim that 'light from Venus will heat up the gases on Jupiter, causing a reaction' makes no sense, either. Venus isn't a light source; any light emanating from it would only be reflected light from the sun. No matter how close the two planets got, the light from Venus wouldn't be intense enough to cause atmospheric changes on Jupiter.
  'The gaseous reaction will release an unprecedented amount of Hydrogen into Space,' the next paragraph begins. Why are 'Hydrogen' and 'Space' capitalized in that sentence? I don't know. Might as well move on.
  Ultimately, the hydrogen from Jupiter is supposed to reach the sun, causing a massive explosion. Here's where it gets even more stupid: 'The sun will then attempt to cease the explosions by emitting heat from its core. The heat will cause the sun to dim [ sic ] to a bluish color.'
  Why would increased heat cause the sun to dim ? I don't know. Again, let's move on.
  Once the sun 'dims' to a 'bluish color,' supposedly, it will take 15 days for its surface to return to its normal 'Red Giant' temperature (never mind that astronomers classify the sun as a 'red dwarf' star, not a 'red giant'). During this two-week period the earth will remain in total darkness, we are told, yet, miraculously, the planet will suffer no ill effects apart from a six to eight degree increase [ sic ] in temperature.
  Charles Bolden of NASA is quoted in the article as saying the polar ice caps will not be 'majorly' affected by the event, about which 'No one should worry much.'
  <sarcasm> And that, of course, is exactly how NASA officials speak. </sarcasm>
  Sources and further reading:
  NASA Confirms Earth Will Experience 15 Days of Complete Darkness in November 2015 NewsWatch33 (satire website), 14 July 2015
  Six Days of Darkness Hoax - Don't Believe It! About.com: Urban Legends, 7 December 2014
  NASA Predicts Total Blackout in Dec. 2012? About.com: Urban Legends, 11 December 2012
  Last updated 10/24/15
","The Fake News Desk"
"Does AriZona Tea Contain Human Urine?","http://urbanlegends.about.com/od/Fake-News/fl/AriZona-Tea-Uses-Human-Urine-in-Products.htm","2017-01-06 13:15:13","  By David Emery
  A viral fake news story originally published on the satirical website Huzlers.com claimed that AriZona Tea and other products manufactured by the Arizona Beverage Company contain human urine as an 'active ingredient.' The FDA has supposedly ordered it removed from store shelves. This was false, fabricated as an attempt at humor and satire.
  Example #1: Via Huzlers.com, April 19, 2015:
  AriZona Tea Exposed By FDA For Using Human Urine In Products; Will Be Taken Off Shelves
  NEW YORK — Popular American tea company AriZona has been reportedly discovered by the Food and Drug Administration (FDA) to be using Human Urine in their products as an active ingredient.
  Upon being unexpectedly inspected a few days ago, FDA inspectors visited five of AriZona's biggest factories in the United States and what they discovered was shocking. They discovered thousands and thousands of gallons of large industrial containers containing human urine.
  - Full Text -
  continue reading below our video
  Highest Paid Male Actors Ever
  Example #2: Via Twitter, April 22, 2015
  I just read that Arizona Tea won't be sold anymore. The Food and Drug Administration found human urine in there tea. Eewww!!
  Example #3: Via Twitter, April 29, 2015:
  I found out that Arizona tea has been putting human urine in their drinks this whole time... My life has been a nasty lie
  This hogwash originated as a fake news article on Huzlers.com , a website that describes itself as 'the most notorious urban satirical entertainment website with the most shocking headlines and articles.'
  It also boasts the most misspellings and grammatical errors of any website of its kind. Hard as it may be to believe that anyone could mistake this stuff for actual news, some people do. Unfortnately, many read only headlines on Facebook and other social media and then share posts with friends without checking the source.
  The basic premise of the story — that a bodily fluid (in this case, urine) has been found to be a secret ingredient in a popular, commercially sold beverage — is a familiar one. A rumor dating from the early 2000s holds that Red Bull and other popular energy drinks derive their energy-enhancing powers from the addition of bull semen or bull urine to the basic recipe, for example. Going back even further in time to the late 1980s, the scuttlebutt among beer drinkers was that Corona, the extra-foamy, bright yellow lager imported from Mexico and sold in clear glass bottles, was contaminated with the urine of brewery workers . Neither of these rumors proved to have any basis in fact.
  The allegations about AriZona Tea are also reminiscent of viral alerts that date back several years warning that an HIV-positive worker purposely contaminated products in a Pepsi-Cola (or similarly high-profile) soft drink plant with his own blood, thereby exposing consumers to the AIDS virus. Despite claims that these alerts were issued by governmental authorities, they did not come from any official sources, nor, as far as anyone knows, were they based on actual incidents. According to the CDC , the AIDS virus doesn't live long enough outside the human body to make transmission via food or beverage practicable. In any case, the experts say, even if a bit of the live virus were consumed this way it would be destroyed by digestive acids in the stomach before infection could occur.
  See also: Coors Light Beer Laced With Cocaine? No, It's a Hoax!
  Sources and Further Reading:
  The Encyclopedia of Urban Legends By Jan Harold Brunvand (Santa Barbara: ABC-CLIO, 2012)
","The Fake News Desk"
"Facebook Submitting Names of Gun Users to Homeland Security?","http://urbanlegends.about.com/od/Fake-News/fl/Facebook-Submits-Names-of-Gun-Users-to-DHS.htm","2016-08-23 06:29:54","  By David Emery
  Viral article from fake news website EmpireNews.net claims Facebook has begun submitting the names of users who post photos of themselves holding guns to the Department of Homeland Security. The article further claims the policy has been confirmed by CEO Mark Zuckerberg and openly applauded by leading Democrats.
  Description: Fake news / Satire Circulating since: Nov. 2014 Status: False (see details below)
  Example: Via EmpireNews.net, Nov. 30, 2014:
  Facebook Submits Names Of Users Posing In Pictures With Guns To Homeland Security
  MENLO PARK, California - facebook reporting guns to homeland security
  Facebook CEO Mark Zuckerberg confirmed rumors this morning that the company would be handing over names and photos of site users who have posted pictures of themselves with guns to the government. Democrat leaders applauded Facebook’s move, stating that it is important to know who has guns in America, especially since many of the weapons that they’d seen could very well be unregistered.
  Despite the excitement from the radical left, many Facebook users, regardless of political stance, were naturally outraged that their ‘private’ photos would be handed over to the Department of Homeland Security.
  - Full Text -
  continue reading below our video
  5 Classic Novels Everyone Should Read
  Analysis: Regular followers of this site should be familiar with the source of this hoax, Empire News , a self-described 'satirical and entertainment website' that spoofs current events and pop culture icons by publishing fake news articles for social media consumption. 'We only use invented names in all our stories, except in cases when public figures are being satirized,' the site disclaimer states. 'Any other use of real names is accidental and coincidental.'
  That includes the name of Facebook's CEO, Mark Zuckerberg, who has not, in fact, announced that the company plans on divulging the names of users who have posted photos of themselves holding guns to the Department of Homeland Security. No such policy, nor any plan to implement such a policy, has been announced.
  Previous 'scoops' from Empire News include Unborn Baby Becomes Pregnant , George W. Bush Arrested for Cocaine Possession , and Betty White Dyes Peacefully .
  Sources and further reading:
  Facebook Submits Names Of Users Posing In Pictures With Guns To Homeland Security Empire News (satire website), 30 November 2014
  Don't Be Fooled! A Guide to Fake News Websites About.com: Urban Legends
  Last updated 12/03/14
","The Fake News Desk"
"No, Bill Gates Didn't Offer Young Thug $9 Million to Stop Making Music","http://urbanlegends.about.com/od/Fake-News/ss/Bill-Gates-Offers-Young-Thug-9-Million.htm","2016-05-30 22:25:19","  Description: Fake news / Satire Circulating since: Oct. 2014 Status: False
  Example: Via Huzlers.com, Oct. 30, 2014:
  Bill Gates Offers Young Thug $9,000,000 Cash To Stop Making Music; Read What Gates Had To Say
  ATLANTA - It is being reported that Multi-Billionaire Microsoft Founder Bill Gates has offered Atlanta Rapper Young Thug 9 Million dollars cash to stop making music.
  Young Thug, whose real name is Jeffrey Williams, is known for his eccentric style of rap and making random noises in his music. Bill Gates has told reporters 'I may not be an avid rap listener but i sure heard Young Thug’s music and instantly went into depression. I even began to question my existence and why this man was even let 100 feet near a recording studio, he has to go, If he denies my offer, I will offer even more'. Young Thug has yet to reply to the offer.
  - Full Text -
  Analysis: Rubbish. It's doubtful Microsoft founder Bill Gates has ever heard a Young Thug recording, much less come to hate the Atlanta rapper's music so much that he would offer him $9 million to quit the business.
  The 'news article' above was published on Huzlers.com, a self-described 'satirical entertainment' website whose sole raison d'être is propagating fake news for Internet consumption.
  Other examples of Huzlers' handiwork include ' Ebola Victim Rises from the Dead in Africa ' and ' Miley Cyrus Tests Positive for HIV .' It is clearly not a serious news venue.
  Always check the validity of viral content before sharing. Our handy guide to satirical websites lists the most popular and notorious purveyors of fake news. Bookmark it!
  Bill Gates
  Born in Seattle, Washington in 1955, Bill Gates took an interest in computers and software at an early age and went on to form the Microsoft Corporation with friend and business partner Paul Allen in 1975. Gates is now among the richest people in the world, with a fortune estimated at $79.4 billion.
  Sources and further reading:
  Bill Gates Offers Young Thug $9,000,000 Cash To Stop Making Music; Read What Gates Had To Say Huzlers (satire website), 30 October 2014
","The Fake News Desk"
"Macaulay Culkin Found Dead at Age 34? It's a Hoax!","http://urbanlegends.about.com/od/Fake-News/ss/Macaulay-Culkin-Dead-Hoax.htm","2014-12-25 20:02:05","  Description: Fake news / Hoax Circulating since: Nov. 2014 Status: False (see details below)
  Example: Via http://msnbc.website, Nov. 8, 2014:
  Breaking News: Macaulay Culkin Found Dead at Age 34
  Sources are reporting that Macaulay Culkin, best known for his role as Kevin McCallister in Home Alone and sequel Home Alone 2: Lost in New York, has been found dead at the age of 34.
  Multiple unconfirmed reports say Culkin was found dead Friday afternoon in his Manhattan apartment after police responded to a wellness check requested by a family member.
  At least one occupant of the Manhattan apartment confirmed the apartment belongs to Culkin but police have not confirmed the man's identity at this time.
  'The apartment was exceptionally clean and we found no signs of abuse or foul-play so we are depending on the coroner to make a final ruling of what happened here today,' said Det. James Patterson, of the Manhattan Police Department.
  Born August 26, 1980, Culkin began acting at the tender age of four. At the height of his fame, he was regarded as the most successful child actor since Shirley Temple.
  This story is still developing. More details will be made available once they emerge.
  Analysis: False. Home Alone actor Macaulay Culkin has not been reported dead by any official agencies or legitimate media sources. Despite the fact that it originated on a web page with the URL 'http://msnbc.website,' it's neither an actual news site nor does it have any connection with MSNBC News . According to its WHOIS listing , the domain name was registered barely a week before the article was published. Its owner has chosen to remain anonymous.
  Portions of the text were copied verbatim from a previous hoax declaring that '80s 'Brat Pack' actor Judd Nelson was found dead in his Los Angeles condo.
  Nota bene: MediaMass.net is also a hoax
  Some venues are inaccurately reporting that the source of the Culkin death hoax was a Facebook page 'with over one million likes' proclaiming that 'our beloved actor Macaulay Culkin passed away.' In point of fact, no such Facebook page exists, or existed. The erroneous reports are based on misinformation purveyed by yet another fake news website called MediaMass.net , which maintains scores of virtually identical pages pre-emptively debunking celebrity death hoaxes.
  For example, the copy on the ' Macaulay Culkin Dead 2014 ' page on MediaMass.net reads as follows:
  Macaulay Culkin death hoax spreads on Facebook
  Rumors of the actor’s alleged demise gained traction on Thursday after a ‘ R.I.P. Macaulay Culkin ’ Facebook page attracted nearly one million of ‘likes’. Those who read the ‘About’ page were given a believable account of the American actor’s passing:
  Compare that to the copy on MediaMass.net's ' George Clooney Dead 2104 ' page:
  George Clooney death hoax spreads on Facebook
  Rumors of the actor’s alleged demise gained traction on Thursday after a ‘ R.I.P. George Clooney ’ Facebook page attracted nearly one million of ‘likes’. Those who read the ‘About’ page were given a believable account of the American actor’s passing:
  And so on: • Miley Cyrus Dead 2014: Actress Killed by Internet Death Hoax (MediaMass.net) • Brad Pitt Dead 2014: Actor Killed by Internet Death Hoax (MediaMass.net) • Justin Bieber Dead 2014: Singer Killed by Internet Death Hoax (MediaMass.net)
  Sources and further reading:
  Macaulay Culkin Bio IMDb.com
  Report of Judd Nelson's Death Is a Hoax About.com: Urban Legends, 26 October 2014
  Don't Be Fooled! A Guide to Fake News Websites About.com: Urban Legends
  Last updated 11/08/14
","The Fake News Desk"
"Report of Judd Nelson's Death Is a Hoax","http://urbanlegends.about.com/od/Fake-News/ss/Judd-Nelson-Dead-Hoax.htm","2016-08-23 06:32:06","  Description: Fake news / Hoax Circulating since: Oct. 2014 Status: False (see details below)
  Example: As published on Foxnews.es, Oct. 26, 2014:
  BREAKING: 'Brat Pack' Judd Nelson Found Dead in Los Angeles Condo
  Last Updated: 10/26/2014 @ 01:36 AM EST
  BREAKING NEWS: Sources are reporting that Judd Nelson, best known for his roles as John Bender in The Breakfast Club, has been found dead at age 55.
  Multiple unconfirmed reports say Nelson was found dead Saturday evening in his Los Angeles condo, Sierra Towers after police responded to a 911 call for an unconscious man around 9:25 p.m.
  Although police have not yet released the man's identity, multiple occupants of the 31-story West Hollywood high-rise have confirmed that it was Nelson's condo police responded to and a single body was carried out of the apartment on a stretcher.
  The Los Angeles County Department of Medical Examiner-Coroner will determine the cause of death as investigators try to rule out foul play.
  Nelson began acting in the mid-1980s, starring in many films but it was his roles in John Hughes's The Breakfast Club and Joel Schumacher's St. Elmo's Fire that made Nelson a star. A subsequent article in New York magazine, which focused primarily on the success of these films, resulted in the term 'Brat Pack' being coined.
  In 1986 Nelson provided the voice of Hot Rod/Rodimus Prime in The Transformers: The Movie and was signed on to voice Hot Rod/Rodimus Prime again in the live action movie Transformers 5.
  Additional details and information will be updated as it becomes available. This story is still developing.
  Analysis: Judd Nelson is alive and well according to his Hollywood agent Gregg Klein, who not only denied Internet reports of the actor's death on October 26, 2014 but provided a photo of Nelson holding a copy of that day's edition of the Los Angeles Times as proof.
  A fake news story (see screen shot above) claiming Nelson was found dead of unknown causes in his L.A. condo was published on the website foxnews.es, which has no discernible connection to the Fox News channel or FoxNews.com, and no other content aside from this hoax. According to the site's WHOIS record , the domain name is registered to a Uvalde, Texas resident named Fred Post. (Update: that domain name is now for sale.)
  Sources and further reading:
  Judd Nelson Isn't Dead; Report Is a Hoax Los Angeles Times , 26 October 2014
  Last updated 11/08/14
","The Fake News Desk"
"Gabriel Iglesias Found Dead? No, It's a Hoax!","http://urbanlegends.about.com/od/Fake-News/ss/Gabriel-Iglesias-Found-Dead.htm","2014-11-29 17:58:49","  Description: Fake news / Hoax Circulating since: Nov. 2014 Status: False (see details below)
  Example: Excerpt from Universalnoticias.org, Nov. 1, 2014:
  GABRIEL IGLESIAS FOUND DEAD, NOT CONFIRMED BUT IT SEEMS TO BE A HEALTH COMPLICATION.
  Gabriel Iglesias was one of the best standup comedians in the world. His constant touring garnered him international fame and his observational comedy and impressionism provided great comedy gags for the fans. Iglesias’s signature-style Hawaiian t-shirts, jokes about obesity and the smooth story-telling have won him millions of fans. He won numerous awards and accolades, including the key to the city of El Paso. Hector Saldaña dubbed him a “comedy genius.” Funny, charismatic, a people person, the best comedian around were just a few of his many qualities.
  Gabriel Iglesias,  (born July 15, 1976) known profesionally  as Gabriel Iglesias and comically as Fluffy died this Friday for causes that are still not confirmed but it seems to be a health complication. He has four sisters and one brother.
  Analysis: Completely false. Comedian Gabriel 'Fluffy' Iglesias is alive and well and has been actively responding to this hoax via Facebook and Twitter.
  'Seriously?! I must be doing good in life,' Iglesias tweeted the day after the above article went viral. 'More fake #FluffyDied shit popping up.'
  A few hours later he wrote on his Facebook page :
  According to this article below I guess I died Friday and no one decided to tell me. Well, since I'm dead now I guess I can start eating carbs again. It was a good life. Had a great childhood and an amazing career. I traveled the world and got drunk in all 50 states, woooooo! I made a lot of people happy over the years and pissed off most my ex girlfriends in the process. Can't win them all, right? Soooo I guess I want to be buried somewhere people can visit my grave, put pretty flowers and pour diet cokes on my plot. I'm gonna want my estate to buy both plots next to me so that even in death I can stretch my legs. I would love it very much if people were to visit my grave and take selfies with it. Even in death I'm still a social media attention whore, #FarewellFluffy . There should be no charge to visit my grave so don't pay any attention to the shady guy by the gate with the comedy club passes in the new Jaguar trying to raise money by selling tickets to get in the cemetery. U just tell him to go fund himself and he will leave u alone.
  Source of the story was a fake news website
  The hoax originally appeared November 1, 2014 on the fake news website Universalnoticias.org (now deleted), which explained its rather unusual mission as follows (translated from the Spanish by Google):
  The content of this page is not real, it's just a social experiment performed by Canadian students currently enrolled in the Master of Teaching for education in developing countries.
  The experiment attempts to collect vital data that may provide information on the relationship between Third World countries and the content they read. People living in the richest and most powerful countries in the world, tend to read at an early age, culture articles, historical, political, investment articles, health articles in all high value that enriches and humans, these items are the 'good' question. People living in poor countries mostly prefer reading things celebrities, religious articles, cartoons, novels, and her favorite shows are reality shows, these items are considered 'junk'.
  Our experiment is to obtain data items considered good, and comparing the number of visitors compared to trash items.
  By 'trash items' the authors presumably mean articles such as this one falsely declaring Mr. Iglesias dead. We look forward to viewing the results of their 'experiment.' (UPDATE: Apparently the experiment is over. Not long after the article went viral, the entire website was deleted.)
  Sources and further reading:
  Don't Be Fooled! A Guide to Fake News Websites About.com: Urban Legends
  The Fake News Desk About.com: Urban Legends
  Gabriel Iglesias Bio FluffyGuy.com
  Gabriel Iglesias' Hilarious Response to His Death Hoax KLAQ.com, 3 November 2014
  Gabriel Iglesias Found Dead Universalnoticias.org, 1 November 2014
  ¿Por qué existe esta página? Universalnoticias.org, 1 November 2014
  Last updated 11/29/14
","The Fake News Desk"
"Coors Light Beer Laced With Cocaine? No, It's a Hoax!","http://urbanlegends.about.com/od/Fake-News/fl/Coors-Light-Beer-Laced-With-Cocaine.htm","2015-05-04 15:30:21","  By David Emery
  A viral article published on the satirical website Huzlers.com claims that production of Coors Light beer was halted after an investigation by the FDA discovered thousands of cans laced with cocaine across the country. Consumers allegedly reported feeling ''weird,' 'high,' and even sick' after drinking the tainted beer.
  Description: Fake news / Satire Circulating since: Sep. 2014 Status: False
  Example: Via Huzlers.com, Sep. 7, 2014:
  FDA Finds Thousands of Coors Light Beers Laced With Cocaine Nationwide; Production Will Stop For 30 Days For Investigation
  U.S. - It has been reported by the FDA that cocaine has been found in Thousands of Coors Light beers nationwide. The FDA began investigating beers before they were sent out from the factories, as well as beers that were already on shelves ready for sale in thousands of businesses across the U.S.
  - Full Text -
  Analysis: 'Huzlers.com is a combination of real shocking news and satirical entertainment to keep its visitors in a state of disbelief,' reads a disclaimer found on every page of the website responsible for this fictitious report.
  continue reading below our video
  5 Urban Myths That Rule the Ages
  'Shocking' and 'satirical' are accurate descriptions of the content usually found there. I have yet to come across anything on Huzlers.com that qualifies as 'real news.'
  A similar article published on the site in February 2014 claimed that ' human meat ' was found by food inspectors in a McDonald's meat factory. Both of these stories echo familiar urban legends about food and beverage products adulterated with foreign substances.
  Sources and further reading:
  FDA Finds Thousands of Coors Light Beers Laced With Cocaine Nationwide Huzlers (satire website), 7 September 2014
  Last updated 09/11/14
","The Fake News Desk"
"Tupac Shakur Comes Out of Hiding? No, It's a Hoax!","http://urbanlegends.about.com/od/Fake-News/fl/Tupac-Shakur-Comes-Out-of-Hiding.htm","2016-03-30 12:44:05","  By David Emery
  Iconic rapper Tupac Shakur died on September 13, 1996 of gunshot wounds sustained during a drive-by shooting in Las Vegas, Nevada. He was 25. The case was never solved, however, giving rise to any number of conspiracy theories about the circumstances of his death and rumors that he either survived the shooting or faked his own death and went into hiding.
  Various Internet hoaxes have sprung up purporting to prove that Tupac is still alive. On April Fools' Day 2005, for example, a bogus CNN story appeared claiming he had been spotted strolling the streets of Beverly Hills. More recently, on August 28, 2014, the satirical website Huzlers.com posted a photo supposedly showing a 43-year-old Shakur posing with his arm around singer Beyonce.
  Description: Fake news / Satire Circulating since: Aug. 2014 Status: False
  The source of this story, the humor website Huzlers.com, describes its own content as 'a combination of real shocking news and satire news to keep its visitors in a state of disbelief' -- and disbelief is the appropriate response.
  continue reading below our video
  Great Singers Gone too Soon
  The image is a doctored version of a photo taken in 2012 of Beyonce and her husband, Jay-Z. As for the accompanying text, it looks to have been written by a 12-year-old badly in need of remedial English lessons:
  California, U.S. – Tupac Shakur who was supposedly killed at the age of 25 is now admitting he has been hiding this whole time. It was Shakur who in 1996 was reportedly attending a special event in Las Vegas, the Mike Tyson-Benson fight, and then afterwards was brutally murdered. A day or so later he is autopsied, then quickly cremated. There is no funeral. Nor is there any record of a tribute or memorial. Now we know exactly why it was because Tupac Shakur was never killed it is unclear why he has been hiding. This story is still under development but Tupac has already been spotted with Celebrities.
  The better to mislead readers, the story was being promoted on a Facebook page titled 'TMZ Breaking News,' lending the impression that the actual source is celebrity gossip site TMZ.com. But while TMZ.com has been known to publish bogus ' Tupac Is Alive! ' reports in the past, it was not the source of this one. Similarly, the web address of the current story is given as http://tmznewsonline.com/tupacalive , but in fact the URL redirects to the actual source, Huzlers.com.
  Sources and further reading:
  After Nearly 18 Years, Tupac Shakur Now 43, Comes Out Of Hiding! Huzlers (satire website), 28 August 2014
  Jay-Z, Beyonce and the Art of Putting Parenthood to Music The Guardian , 10 January 2012
  Tupac Is Alive! About.com: Urban Legends, 6 April 2005
  Tupac Shakur Biography Rolling Stone
","The Fake News Desk"
