"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Meet Betsy DeVos, Donald Trump’s Education Secretary-Truth! & Fiction!","2016-11-28 11:54:21","https://www.truthorfiction.com/meet-betsy-devos-donald-trumps-education-secretary/"," President-elect Donald Trump selected billionaire Betsy DeVos to serve as Secretary of Education because she donated millions to his campaign, but she has no experience in education and opposes public schools. "," Rumors about Betsy DeVos, President-elect Trump’s pick for Secretary of Education, circulating on social media are a combination of truth and fiction. These claims can be traced back to a meme titled “Meet Betsy DeVos” that began circulating after Trump tapped her to serve as Secretary of Education. The meme lists a number of reasons why DeVos is unqualified to hold the post and argues that she was rewarded for donating $9.5 million to Trump’s campaign. We’ll start out by providing a little background. Betsy DeVos is the daughter-in-law of Richard DeVos, the founder of Amway with an estimated net worth of about $5.1 billion. The DeVos family is known for supporting Republican causes. Betsy and her husband “Dick” DeVos have focused their lobbying efforts on education, school choice and opposition to Common Core standards through their Dick and Betsy DeVos Family Foundation . Now we’ll take a look at some of the specific claims made in the ”Meet Betsy DeVos” meme making the rounds on social media. Betsy DeVos Donated $9.5 Million to Trump’s Campaign- Fiction! Betsy DeVos didn’t back Donald Trump during his campaign, and she even went on the record as saying that Trump “does not represent the Republican Party” before the election. However, as the owners of the nation’s largest charter school lobbying organization, the DeVos family spent heavily to influence other races during the 2016 election cycle. The Detroit Free Press reports that the DeVos Family contributed $1.45 million to Republican state lawmakers in Michigan alone over a seven-week period after they backed off a proposal to step up oversight on charter schools in the state. Overall, it’s not clear how much the DeVos family spent in the 2016 election cycle, but claims that Betsy DeVos donated $9.5 million to Trump’s campaign can easily be proven false. Betsy DeVos Doesn’t Have an Education Degree, Has No Classroom Experience- Truth! Calvin College in Michigan issued a release saying that DeVos graduated with a Bachelor of Arts degree in the college’s “economics group” in 1979 — so it’s true that she doesn’t have formal training in education. And Inside Higher Ed reported the Devos would be “the first education secretary without a substantial background in higher education” to serve in the position. But DeVos has been involved in educational policy for nearly 30 years. She serves as chair of the Alliance for School Choice , the American Federation for Children and the Great Lakes Education Project , all of which advocate for school choice. DeVos is also a board member of the “Christ-centered” Potter’s House School and of the Foundation for Excellence in Education , which was founded by Jeb Bush in 2008. Betsy DeVos Does Not Support Public Education- Disputed! Betsy DeVos has signaled that she supports personal choice and freedom over traditional public education models from a policy standpoint — but the DeVos family has supported public schools in Michigan with donations. A DeVos spokesperson pushing back on claims the DeVos does not support public education told the Detroit News that the DeVos family has quietly helped many underprivileged children in Michigan over the years. But it’s not clear that help has come through support for public education. In an interview with Philanthropy Roundtable , DeVos talked about the failures of “traditional public schools” boosting support for her school choice initiatives across the country, and that seems to be where these claims come from: This confluence of events is forcing people to take note, particularly because of the public’s awareness that traditional public schools are not succeeding. In fact, let’s be clear, in many cases, they are failing. That’s helped people become more open to what were once considered really radical reforms—reforms like vouchers, tax credits, and education savings accounts. … I’m most focused on educational choice. But, thinking more broadly, what we are trying to do is tear down the mindset that assigns students to a school based solely on the zip code of their family’s home. We advocate instead for as much freedom as possible. One long-term trend that’s working in our favor is technology. It seems to me that, in the internet age, the tendency to equate “education” with “specific school buildings” is going to be greatly diminished. Within the right framework of legislation, that freedom will ultimately be healthy for the education of our kids. Given all that, we’re calling this one “disputed.” Betsy DeVos Believes School Teachers Are Overpaid- Unproven! There doesn’t appear to be any record of Betsy DeVos arguing that public school teachers are overpaid, but a non-profit tied to DeVos reached that conclusion in a 2011 study . The American Enterprises Institute and the Heritage Foundation study concludes that, “Public school teachers receive total compensation more than 50 percent greater than that of private sector employees — if you take into account benefits, job security, summer vacations and other factors.” However, it’s not clear that DeVos personally holds that view. In conclusion, claims made in the “Meet Betsy DeVos” meme are true, false, unproven and disputed. ","Education"
"Elementary School Forces Kids to Cross Dress for LGBT Week-Fiction!","2016-06-02 10:13:58","https://www.truthorfiction.com/elementary-school-forces-kids-cross-dress-lgbt-week/"," A report that Sunny Oaks Elementary School in California forced students to cross dress to celebrate Lesbian, Gay, Bisexual and Transgender (LGBT) week have gone viral. "," Rumors that children at Sunny Oaks Elementary School in California were forced to cross dress to celebrate LGBT week are false. These rumors trace back to The Free Patriot , a website that publishes fake news reports with a right-wing slant. The story, which appeared under the headline “Elementary School Forces Students to Cross Dress for LGBT Week,” reports: Sunny Oaks Elementary School in California is making headlines this week for the absurd thing they are having their students participate in. The staff is under question by parents and media after a student came home complaining to her parents that she had to dress up in boys clothes over her dress that she wore to school. Parents of the girl said to Fox News, “It is bad enough that our society is now forcing us to allow transgenders into the wrong bathrooms, but for our school system to teach our kids that this is normal is absolutely wrong.” Key details of the story don’t check out. First, there’s no school in California listed under the name “Sunny Oaks Elementary.” The only online footprint from the so-called school is The Free Patriot article. Second, a picture that supposedly shows Sunny Oaks Elementary that ran with the story doesn’t actually show sunny oaks elementary. It shows PERSON’s International Elementary School in Canada . The school’s name has been airbrushed from the side of the building in The American Patriot article, but it can be seen in the original: Third, the story cites a FOX News report about the elementary students being forced to cross-dress that doesn’t actually exist. Given all that, we’re call reports that kids at an elementary school in California were forced to cross dress for LGBT week “fiction.”a ","Education"
"Oxford Pushes Back Letter About Cecil Rhodes Statute-Unproven!","2016-03-30 12:43:02","https://www.truthorfiction.com/oxford-pushes-back-letter-cecil-rhodes-statute/"," An open letter to Oxford students demanding that a statute of Oxford benefactor Cecil Rhodes be removed from campus has gone viral. "," No author is listed for this open letter to Oxford University students demanding the removal of a Cecil Rhodes statute, and we haven’t been able to verify where it came from. The “ Rhodes Must Fall ” movement gained widespread publicity in early 2016. The Cecil Rhodes statute, which has sat outside a building at Oriel College for more than 100 years, represents racism and colonialism, student activists have argued. According to a Change.org petition started by supporters of the group: We find it deplorable that Oriel College continues to glorify an international criminal through its uncritical, deeply violent iconography. As long as the statue remains, Oriel College and Oxford University continue to tacitly identify with Rhodes’s values, and to maintain a toxic culture of domination and oppression. We believe that the colonialism, racism and patriarchy this statue is seeped in has no place in our university – which for many of us is also our home. The removal of this statue would be a welcome first step in the University’s attempt to redress the ways in which it has been an active beneficiary of empire. While it remains standing, the statue of Rhodes remains a celebration not just of the crimes of the man himself, but of the imperialist legacy on which Oxford University has thrived, and continues to thrive. While the statue remains standing, Oxford University continues to condone the persistent racism that shadows this institution. At issue is Cecil Rhodes’ legacy of British imperialism in South Africa, where he served as prime minister of Cape Colony and enforced racial segregation. Rhodes was intent on “painting the map red” (a term for British colonization) in Africa, and he even dreamed of reclaiming the American colonies for the British Empire, according to Encyclopedia Britannica . After his political career, Cecil Rhodes became the benefactor of the Rhodes Scholarships . Each year, 32 American students are selected as Rhodes Scholars for “their character, commitment to others and to the common good, and for their potential for leadership in whatever domains their careers may lead.” Oxford University Chancellor Chris Patten told student demonstrators in January that Nelson Mendela had endorse the Rhodes scholarships, and that those who were not prepared to embrace freedom of though should “think about being educated elsewhere,” The Guardian reports : In early February, Oxford University administrators announced that they would not remove the Rhodes statue from campus, despite concerns from student groups. After the Oxford Union backed a motion to remove the Cecil Rhodes statute on January 20th, it was later revealed that the statute would remain due to pressure from donors, the Telegraph reports : “I think that we are giving them [the students] the respect of listening to their views, even when we don’t agree with them,” he told the Today programme on BBC Radio 4. “But if people at a university are not prepared to demonstrate the sort of generosity of spirit which Nelson Mandela showed towards Rhodes and towards history, if they are not prepared to embrace all those values which are contained in the most important book for any undergraduate, Karl Popper’s Open Society, if they are not prepared to embrace those issues then maybe they should think about being educated elsewhere. But I hope they will embrace those issues and engage in debate.” “That focus on Rhodes is unfortunate but it’s an example of what’s happening in American campuses and British campuses,” Patten said. “One of the points of a university – which is not to tolerate intolerance, to engage in free inquiry and debate – is being denied. People have to face up to facts in history which they don’t like and talk about them and debate them.” He added: “Can you imagine a university where there is no platform? I mean a bland diet of bran to feed people, it’s an absolutely terrible idea. If you want universities like that you go to China where they are not allowed to talk about western values, which I regard as glob.” By mid-February, administrators made clear that the Rhodes statute would not be removed. Around that same time, the “Oxford Pushes Back” letter to student demonstrators first surfaced on a discussion board called the Daily Gripe, on February 13th. Some of Patten’s quotes are included in the Oxford Pushes Back letter, but there’s no indication that he actually wrote it, or that it came from the university. In the end, there’s no way to tell who the original author was. ","Education"
"7th Graders Forced to Write, “Allah is the Only God”-Truth!","2015-09-14 14:21:30","https://www.truthorfiction.com/7th-graders-forced-to-write-allah-is-the-only-god/"," Seventh grade students in Tennessee were forced to write, “Allah is the Only God,” as part of a social studies lesson. "," This one is mostly true. As part of a social studies lesson on Islam, seventh graders at Spring Hill Middle School in Tennessee learned about the Shanada, the first of five pillars of Muslim of Faith. The mother of one of the students protested when she saw that her daughter had been instructed to write, “Allah is the only God,” the Spring Hill Home Page reports : (The mother) said her daughter’s teacher “was not happy about it,” but told the parent she must teach to the standards. “She said this will be on TCAPs. Both her teacher and Principal Shanda Sparrow said students would not have to write the Shahada again. “The teacher approached my daughter before class and was very understanding. My daughter told her she would not recite or write the Shahada or anything saying ‘Allah is the only God.’ The teacher said she wouldn’t have to.” Maury County Director of Schools Chris Marczak said in a statement that the Tennessee State Board of Education had included the curriculum in its curriculum standards, so the school had no choice but to include the lesson: In middle school, the standards have us address early American History, world history early civilizations to the Roman Empire, middle ages through exploration of the Americas, and colonization to reconstruction of the Americas. Our teachers work together to make sure that our students are learning what is expected through the Tennessee academic standards. For this last section on the Islamic World this past week, our educators had students complete an assignment that had an emphasis on Islamic Faith. The assignment covered some sensitive topics that are of importance to Islamic religion and caused some confusion around whether we are asking students to believe in or simply understand the religion. It is our job as a public school system to educate our students on world history in order to be ready to compete in a global society, not to endorse one religion over another or indoctrinate. That section of the state’s social study curriculum is labeled “Islamic World, 400 A.D./C.E. — 1500s.” The section summary says, “Students analyze the geographical, political, economic, social and religious structures of the civilizations.” The Shahada isn’t listed in the curriculum, which focuses on historical, geographical and cultural aspects of the religion: 7.3 Identify the physical location and features and the climate of the Arabian Peninsula, its relationship to surrounding bodies of land and water, including Northern Africa, Mediterranean Sea, Black Sea, Caspian Sea, Tigris and Euphrates Rivers, Nile River. (G) 7.4 Describe the expansion of Muslim rule through conquests and the spread of cultural diffusion of Islam and the Arabic language. (C, E, G, H) 7.5 Trace the origins of Islam and the life and teachings of Muhammad, including Islam’s historical connections to Judaism and Christianity. (C, H) 7.6 Explain the significance of the Qur’an and the Sunnah as the primary sources of Islamic beliefs, practice, and law and their influence in Muslims’ daily life. (C, H, P) 7.7 Analyze the origins and impact of different sects within Islam, Sunnis and Shi’ites. (C, H) 7.8 Examine and summarize the contributions Muslim scholars made to later civilizations in the areas of science, geography, mathematics, philosophy, medicine, art, and literature. (C, G, H) 7.9 Describe the establishment of trade routes among Asia, Africa, and Europe and the role of merchants in Arab society. (E, G, H) 7.10 Gather relevant information from multiple print and digital sources to examine the art and architecture, including the Taj Mahal during the Mughal period. (C, H) 7.11 Explain the importance of Mehmed II the Conqueror and Suleiman the Magnificent. (H, P) 7.12 Write an explanatory text to describe the Shah Abbas and how his policies of cultural blending led to the Golden Age and the rise of the Safavid Empire. (C, H, P) Primary Documents and Supporting Texts to Consider: excerpts from The Hadith, Muhammad; excerpts from The Book of Golden Meadows, Masoudi. The Shahada conveys two fundamental beliefs of Muslims: There is no God but God, and Muhammad is the prophet of Allah: In Islam, the first of the five pillars is the shahada. Shahada is the Muslim profession of faith, expressing the two simple, fundamental beliefs that make one a Muslim: La ilaha illa Allah wa-Muhammad rasul Allah. There is no god but God and Muhammad is the prophet of Allah. Sincere recitation of this confession of faith before of two Muslims is the sole requirement for those who wish to join the Muslim community. It represents acceptance not only of Allah and his prophet, but of the entirety of Islam. As one of the Pillars, the shahada must be recited correctly aloud with full understanding and internal assent at least once in every Muslim’s lifetime. So, we’re calling this one mostly true for the simple fact that students weren’t forced to write or recite the Shahada if the chose not to, according to reports, but everything else is true. ","Education"
"Old Blackboards Discovered During Oklahoma School Remodel-Truth!","2015-06-11 18:24:29","https://www.truthorfiction.com/old-blackboards-discovered-during-oklahoma-school-remodel/"," Workers remodeling Emerson High School in Oklahoma discovered blackboards from 1917 with perfectly preserved writings and drawings. "," This one is true. In June 2015, workers remodeling Emerson High School discovered writings and drawings on blackboards that were nearly 100 years old behind newer black boards that were covering them, the Oklahoman reports : “Emerson, built in 1895, is undergoing MAPS for Kids renovations. Workers discovered the blackboards Wednesday when they pulled existing chalkboards and cork boards off the walls to make way for Smart Boards, interactive whiteboards that use touch detection for user input.” The writing indicates that new blackboards were placed over the older blackboards in a number of classrooms in November and December of 1917. “We this day give to this room slate blackboards,” is scrawled on one blackboard in cursive, along with the date November 30, 1917. Children named Agnes, Gladys, Homer and Mable had signed the blackboards. There were also English and math assignments written on them, along with instructions on cleaning the room. ","Education"
"Cornell University Would Welcome ISIS Training Camps, Speakers-Disputed!","2015-03-29 17:41:51","https://www.truthorfiction.com/cornell-university-would-welcome-isis-training-camps-and-speakers/"," A Cornell University dean said he would allow an ISIS training camps and speakers on the campus. "," Claims that an assistant dean at Cornell said ISIS training exercises and speakers would be allowed there are disputed. A man posing as a student from Morocco used a hidden camera to record an exchange with Cornell Dean for Students Joseph Scaffido for Project Veritas , an organization founded by conservative activist James O’Keefe. In the video, the student asks Scaffido questions about starting a humanitarian group for distressed areas of the Middle East, bringing people to the campus to speak, and holding training exercises for “freedom fighters.” Here’s a transcript of the conversation: Student: I think maybe it would be nice to start a humanitarian group that supports distressed communities, a humanitarian group in the Middle East, in northern Iraq and Syria. I think it would be important especially for people in the Islamic State Iraq and Syria, the families and the freedom fighters in particular. I think it would be important to maybe just probably educate, but to maybe send them care packages, whether it be food, water, electronics. Scaffido: There are a lot of our student organizations that do things like that all over the world. Student: If you did like, supported like Hamas or something like that, is that a problem? Scaffido: The university is not going to look at different groups and say, ‘You’re not allowed to support that group because we don’t believe in them,’ or something like that. I think it’s just the opposite. I think the university wants the entire community to understand what’s going on in all parts of the world. Student: That would be good. Maybe, you know, get a group that educates on the Islamic State in Iraq and Syria and just educate people, maybe bring them in. Scaffido: Ithaca is a great place. Ithaca itself, the community of Ithaca is also very active. I don’t know if you’ve talked to many people about it, it’s very liberal; the community is a very liberal community … There are funding sources on campus … kind of like grants, programming money. If I wanted to bring in a speaker… Student: Maybe we could get like a freedom fighter to come and do like a training camp for students? Scaffido: I have no idea. I mean, you would be allowed to do something like that. It’s just like bringing in a coach to do training on a sports team or something. Scaffido definitely doesn’t say that these things wouldn’t be allowed on campus. But an unedited version of the video would be needed to understand his actual responses. After video of the interview went viral, Cornell officials shot back that it had been creatively edited to make Scaffido appear to endorse ISIS training camps and speakers on the campus. In a statement , Cornell University President David Skorton said the video’s allegations were ludicrous and offensive: “As the president of Cornell University, I want to be clear that the notion that Cornell would allow ISIS training sessions on our campus is ludicrous and absolutely offensive. “Project Veritas, the organization behind this shoddy piece of ‘journalism’ has been repeatedly vilified for dishonest, deceitful activity. It is shameful that any individual would pose as a student facing racial discrimination at another university, ask leading questions on hidden camera about Cornell’s tolerance for differing viewpoints and backgrounds, and then conveniently splice together the resulting footage to smear our assistant dean and our University. After speaking with Assistant Dean Scaffido, I am convinced that he was not aware of what he was being asked. “Let me be clear: Cornell has an unwavering commitment to the free and responsible exchange of ideas. However, we remain vigilant in maintaining an appropriate balance of freedom of expression within accepted boundaries. Of course, incitement to violence is not protected and would never be tolerated on our campus.” ","Education"
"Children of Congress Members Don’t Pay Back Student Loans-Fiction!","2015-03-24 18:08:23","https://www.truthorfiction.com/children-of-congress-members-dont-pay-back-student-loans/"," A chain email says that children of members of Congress and their staffers have their student loans forgiven. The email also says that 35 governors have sued for a 28th amendment to the U.S. Constitution that would limit federal power. "," Both of these claims are false. There is a Student Loan Repayment Program in place to help attract and retain federal employees, but it does not extend to family members. Elected officials, uniform service members and other government employees are eligible under the law . Federal employees can have up to $10,000 in federally insured student loans repaid each year, and up to $60,000 repaid over their career, the Office of Personnel Management reports . And the federal government does not forgive these loans, as the eRumor claims. The loans are repaid. That’s important because it means federal employees have to pay taxes on loan payments just like the rest of their salaries. In 2013, $52.9 million in student loan repayments were made for 7,314 federal employees, the Office of Personnel and Management reports . The email’s claim that 35 governors had sued the U.S. government for a 28th amendment is also false. The email says that the proposed 28th amendment would state: “Congress shall make no law that applies to the citizens of the United States that does not apply equally to the Senators, Representatives of Congress; and, Congress shall make no law that applies to the Senators and/or Representatives that does not apply equally to the citizens of the United States…” That same language was used in an eRumor that TruthorFiction.com found to be false in 2013. Click here for that story. Both versions of the eRumor said that 35 governors had signed onto a petition for a constitutional convention to create the 28th amendment, but that’s not true. At last count, three states had tried to force a constitutional convention. Resolutions in Kansas, Georgia and Indiana sought to balance state and federal power, the Huffington Post reports . And under Article V of the U.S. Constitution, 34 states have to pass a resolution on the same subject to force a constitutional convention — not 38 states, as the eRumor claims. ","Education"
"Atheist in a university classroom is upstaged by a piece of chalk-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/chalk/"," A notorious atheist professor at the University of Southern California is known for challenging students about their faith.  He dramatically drops a piece of chalk to the floor saying that if God existed, he could prevent the chalk from breaking.  This happens year after year until a particular Christian student becomes a part of the class.  This time, when the professor drops the chalk, it bounces off his clothing and ends up harmlessly on the floor.  The stunned professor runs from the room in shame and the student preaches the Gospel to the remaining class members. "," This has been one of the most commonly circulated inspirational stories on the Internet and one of the most commonly asked-about at TruthOrFiction.com. We’ve never found any evidence that an incident of this nature has taken place involving a piece of chalk, but there is a first-hand source of a similar, older story, which the chalk tale may be based upon. First, the University of Southern California has officially denied that this ever happened there.  Dr. Dallas Willard, a philosophy professor at USC, has told TruthOrFiction.com that he’s never heard of it happening in his more than 30 years at the school. There is a related story, however, told by author Richard H. Harvey in his book 70 YEARS OF MIRACLES. It’s a first-hand account of his experience in a Chemistry class at Allegheny College in Meadville, Pennsylvania in the 1920’s.  Harvey says the professor, a Dr. Lee, was a deist who annually lectured against prayer.   In one of the class sessions, Dr. Lee said he was going to drop a glass flask on the floor and asked if anyone would like to pray first that the flask would not break, therefore demonstrating the reality of prayer.  Richard Harvey volunteered and prayed.  The professor dropped the flask and it rolled off his shoe to the floor without damage.  The class cheered and the professor stopped his annual lectures against prayer.  TruthOrFiction.com has confirmed with Allegheny college that Richard Harvey was a student there and that Dr. Lee was a professor.  Richard Harvey’s son, Rev. John Harvey, a minister in Toccoa, Georgia, says this all happened before he was born, but confirms that the story was told by his father. Updated 2/18/01 For more information: Statement on the USC website ","Education"
"Winston Churchill’s life saved by a doctor whom Churchill’s father put through school-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/churchill/"," A Scottish farmer saves a drowning boy’s life, but refuses a reward from the boy’s nobleman father.  The nobleman then offers to provide an education for the farmer’s son.  The son grows up to become Sir Alexander Fleming, the discoverer of penicillin.  Years later, the nobleman’s son is stricken with pneumonia but saved by penicillin.  That nobleman’s son is Winston Churchill. "," According to the Winston Churchill center in Washington, D.C., this is a myth.  There is no evidence these events ever happened.  Churchill’s official biographer, Sir Martin Gilbert, says there’s no record of Churchill nearly drowning or of his father paying for Fleming’s education.  Churchill was once treated for pneumonia, but according to the center, not with penicillin. updated 07/06/07 ","Education"
"Bill Gates’ high school speech on The Eleven Rules of Life-Fiction!","2015-03-17 22:02:01","https://www.truthorfiction.com/billgatesspeech/",".gadsense_slot_1{ display: inline-block; width: 300px; height: 250px;} (adsbygoogle = window.adsbygoogle || []).push({}); Bill Gates’ High School Speech on The Eleven Rules of Life- Fiction! Summary of the eRumor: Bill Gates spoke before a group of high school students and gave them his eleven rules of life. "," This is not from Bill Gates. It’s an excerpt from the book “Dumbing Down our Kids” by educator Charles Sykes. It is a list of eleven things you did not learn in school and directed at high school and college grads. ","Education"
