"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Plastic Rice Being Sold in China, Nigeria, Jamaica-Unproven!","2016-12-14 13:47:01","https://www.truthorfiction.com/plastic-rice-sold-china-nigeria-jamaica/"," Warnings have gone viral about Chinese companies selling plastic rice, with some versions tied to a particular company called Wuchang Rice. "," Rumors about plastic rice or fake rice being sold in Chinese markets have been circulating since 2011 — but we couldn’t find any credible sources or confirmed instances to back those claims up. And there haven’t been any accounts of plastic rice being sold in the U.S. All of these plastic rice rumors seem to lead back to a 2011 report by the Korean-language newspaper Hong Kong Weekly that cited unnamed sources in reporting that eating one bowl of plastic rice was equivalent to eating an entire vinyl bag (an allegation that has been repeated countless times): …Some distributors are selling fake rice in Taiyuan, Shaanxi Province, and this rice is a mixture of potatoes, sweet potatoes and plastic. “This ‘plastic rice’ is made by forming potatoes and sweet potatoes into rice-like shape, then adding industrial synthetic resins,” said a food expert. “Since the rice is different from normal rice, it is hard like stone even when cooked. Moreover, the synthetic resin in it is very harmful to the human body.” One Chinese restaurant association official warns that eating three bowls of ‘plastic rice’ is the same as eating one vinyl bag. He added that since the rice is very dangerous there would be strict investigation on the rice factory. In the mean time, merchants say that as the fake rice can leave huge profits, it is still sold in mass quantity. This is not the first time for fake rice e sold in China. A Chinese television report has alleged that a company in Xi’an, Shaanxi Province, has been producing a fake version of high-quality “Wuchang rice” by adding flavoring to ordinary rice. It’s entirely possible that vendors in Chinese markets were selling so-called plastic rice, but the report relies on unnamed sources and we couldn’t find any official confirmation one way or the other. Still, the report was picked up by American alternative and natural health websites like Natural News, which reported in February 2011 that “ Chinese Companies (are) Mass Producing Fake Rice Out of Plastic ,” citing the Weekly Hong Kong report. By late 2015, warnings about China selling plastic rice were still bouncing around American alternative health websites. These stories were citing a broadcast from the Blue Ocean Network (BON) that relied on the original 2011 Weekly Hong Kong plastic rice story as its source. It’s been implied in these new versions that Chinas has begun exporting plastic rice to other countries — but, again, there are no confirmed reports of that happening. Some have pointed to a YouTube clip that incorrectly identifies waste plastic being shredded into beads as the manufacturing of plastic rice. A story that appeared at AltHealth Works website in 2015 under the headline “ Chinese Companies Are Mass Producing Plastic Rice (and it Could Cause Series Health Problems)” has been shared on social media more than 135,000 times. Again, there’s no official indication that the claim is true. We did find one report that the New Dehli High Court heard a case on plastic rice in 2015 — but the court apparently rejected an application to test Chinese rice imports. In 2016, the plastic rice story took new life in Africa and Jamaica. Reports from Nigeria claimed that marketplace vendors were selling plastic rice — but, again, we couldn’t find any official confirmation of that. Reports about plastic rice in Jamaica was being imported from Guyana and Suriname were debunked by the Jamaica Customs Agency in December 2016, Caribbean 360 reports: On Monday, the JCA stopped the shipments and met with the relevant regulatory agencies, including the Bureau of Standards (BSJ), the Ministry of Commerce, Industry and Fisheries, the Ministry of Health, and the Jamaica Constabulary Force (JCF), to verify whether the artificial rice was in fact in the country. The concern was triggered by a Television Jamaica report on Sunday, showing a woman cooking the product. However, Minister of Industry, Commerce, Agriculture and Fisheries Karl Samuda said yesterday there was no evidence of plastic rice in samples tested by the BSJ. “The BSJ was provided with samples… and, so far, I can assure the people of Jamaica that there is absolutely no evidence of any contamination of plastic within the samples tested,” he said. The minister said more samples will be taken from across the country to be tested and the BSJ had been asked to conduct island wide investigations into the source of all rice now in supermarkets. According to the Jamaica Observer, Jamaica imports rice from Trinidad and Tobago, Vietnam, India, United States, Guyana, Thailand, China, and Suriname. Samuda said yesterday that rice originating from Guyana and Suriname would be cleared to enter the island. Ultimately, none of these reports of plastic rice can be definitively confirmed or debunked. There has never been an official report of plastic rice being found, but that doesn’t mean marketplace sellers in China or Nigeria haven’t sold an imitation or synthetic form of rice to make money. This one is unproven. ","Food - Drink"
"Warnings About Shark Finning-Truth!","2016-08-17 14:53:23","https://www.truthorfiction.com/warnings-shark-finning-truth/"," The practice of shark finning involves fisherman cutting off shark fins and dumping their carcasses back into the ocean. "," Shark finning is a phenomenon that leads to the deaths of countless sharks each year and threatens ocean ecosystems. The practice of shark finning involves fisherman catching various shark species, cutting off their dorsal fin, and dumping the carcasses back into the water to die. One of the driving forces of shark finning has been the historic significance of shark fin soup in China. Chinese empowers once believet hat the dish had healing power and represented the triumph of man over beast, the Smithsonian Ocean Portal reports : In the past, Chinese Emperors favored the soup as a dish that honored guests because it was thought to have medicinal benefits and represented a victory against powerful sharks. This popularity has not faded with time, and has even expanded with China’s growing population. Today shark fin soup is still prevalent and has become a staple for more than just emperors on special occasions. As a result, fishermen have a large incentive to gather and sell shark fins. Because shark fins are far more valuable than other parts of the shark, fisherman routinely dump the less valuable shark carcasses back into the ocean to save room on their boats for the more valuable commodity, National Geographic reports : It will cost countries money to monitor the international trade in shark fins. But keep in mind that fins are a luxury product that fetch exorbitant prices. We saw one set of large great hammerhead fins on sale in Bangkok that was advertised for USD$1,100 per kilogram (about $500 per pound). Shark fin soup was selling for $365 a bowl at a nearby restaurant. There is money in this trade that could and should be redirected towards ensuring compliance with the new international law and promoting sustainability. Overall, researchers believe that humans kill more than 100 million sharks each year, which endangers the species and threatens to imbalance the ocean’s ecosystems since sharks play an important role in them. However, there is some good news. A government frugality drive and public awareness campaigns in China had led to a 70 percent decrease in fin soup consumption by 2014, the nonprofit WildAid reports : Prices of shark fin are falling in China by 50 percent-70 percent and sales have decreased by 82 percent according to a new report released last week by WildAid. “Evidence of Declines in Shark Fin Demand, China” compiles public opinion surveys, surveys of shark find vendors and traders in the markets of Guangzhou, China (the current center of China’s shark fin trade) and surveys of shark fin price data from Indonesian shark fishermen, as well trade statistics and media reports. The report also found rising public awareness with 85 percent of Chinese consumers surveyed online saying that they had given up shark fin soup within the last three years. Two-thirds of these respondents cited awareness campaigns as a reason for ending their shark fin consumption, while the second and third most popular reason given were that they “want to protect sharks” and that it is “cruel the way they kill sharks” — key messages of WildAid’s ongoing public awareness campaign. Similar steps have followed in the U.S. Legislation that would ban the trade of shark fins in the country was introduced in June 2016. Even though shark finning is illegal in U.S. waters, shark fins are routinely bought and sold in the country. The bill would make that illegal, nonprofit Ocean reports : Oceana also released a new report today demonstrating why Congress needs to pass a federal ban on the buying and selling of shark fin products. The demand for shark fins is one of the greatest threats facing shark populations around the world.  In fact, fins from as many as 73 million sharks end up in the global market every year. According to the new report, a nationwide ban on the trade of shark fins would reduce the international fin trade, improve enforcement of the current finning ban, and send a message to other countries that the United States recognizes shark finning as a cruel process that should not be allowed to continue. “Shark finning is cruel and wasteful and it’s putting some shark species at risk of extinction. The United States rightly decided to ban the trade of ivory and rhino horns—yet we still import shark fins, which can be the result of an equally brutal practice,” said Lora Snyder, campaign director at Oceana. “To protect sharks, we need to end the demand for shark fins. Today, the United States took an important step towards achieving this. We applaud the leadership of the bill’s supporters today in helping to end the shark fin trade in the United States.” ","Food - Drink"
"General Mills Gold Medal Flour Recall-Truth!","2016-06-01 12:59:26","https://www.truthorfiction.com/general-mills-gold-medal-flour-recall/"," General Mills has issued a massive recall for Gold Medal Flour because a suspected E. coli outbreak. "," It’s true that General Mills voluntarily recalled 10 million pounds of flour across 20 states on May 31, 2016. In a statement , General Mills said it had voluntarily recalled flour sold under its Gold Medal, Gold Medal Wondra and Signature Kitchen brands after 38 cases of illness from E. coli contamination: State and federal authorities have been researching 38 occurrences of illnesses across 20 states related to a specific type of E. coli (E. coli O121), between December 21, 2015, and May 3, 2016. While attempting to track the cause of the illness, CDC found that approximately half of the individuals reported making something homemade with flour at some point prior to becoming ill. Some reported using a General Mills brand of flour. Based on the information that has been shared with General Mills, some of the ill consumers may have also consumed raw dough or batter. Consumers are reminded to not consume any raw products made with flour. Flour is an ingredient that comes from milling wheat, something grown outdoors that carries with it risks of bacteria which are rendered harmless by baking, frying or boiling. Consumers are reminded to wash their hands, work surfaces, and utensils thoroughly after contact with raw dough products or flour, and to never eat raw dough or batter. General Mills recalled 13.5-ounce Gold Medal Wondra flour; 2-pound, 5-pound and 10-pound packages of Gold Medal All Purpose Flour; 5-pound packages of Gold Medal unbleached flour; 5-pound packages of Signature Kitchens All Purpose Flour Enriched Bleach; 5-pound packages of Signature Kitchens Unbleached Flour; and 2-pound packages of Gold Medal self-rising flour. Click here to contact General Mills directly about the flour recall. ","Food - Drink"
"Budweiser Being Renamed “America”-Mostly Fiction!","2016-05-10 14:53:50","https://www.truthorfiction.com/budweiser-being-renamed-america/"," Reports that Budweiser is being rebranded “America” for the summer have swept social media. "," It’s true that “America” will replace “Budweiser” on labels this summer — but the seasonal packaging doesn’t mean that Budweiser is actually changing its name to America. The story went viral after Budweiser released a video that showed the new seasonal design for its beer labels being rolled out for the summer of 2016. The can features “America” written in Budweiser’s trademark cursive font with “E Pluribus Unum,” which is Latin for “Out of Many, One,” scrawled beneath it: Budweiser plans to use the seasonal labels from late May through the November presidential election. Reports like this one from an NBC News affiliate in New York have contributed to rumors that Budweiser is actually renaming itself  “America” for the summer: Budweiser, now owned by Belgium’s AB Inbev, will rename its beer America this summer and alter its labels with images and phrases affiliated with the republic. However, including the name “America” on labels is hardly the same as officially renaming or rebranding a company. Besides, the Budweiser name and logo still prominently appears on the label. This a well-planned and executed marketing campaign. That’s why we’re calling it “mostly fiction.” ","Food - Drink"
"Coca-Cola Has Recalled Dasani Water Due to Parasite Worms-Fiction!","2016-04-19 15:14:30","https://www.truthorfiction.com/coca-cola-recalled-dasani-water-due-parasite-worms/"," Reports that Coca-Cola recalled bottles of its Dasani water after clear parasite worms were found in them have gone viral. "," A fake news website is behind false reports that Coca-Cola has recalled its Dasani brand water. The story first appeared at the fake news website News 4 , which has been designed to look like a local television news station to trick readers into believing that it’s a credible news source. The story , which appeared under the headline, “Coca-Cola Recalls Dasani Water After Clear Parasite Worm Was Found in Bottles Across U.S” reports that a “major recall” had been issued for “several thousand bottles” of Dasani drinking water: Even though the majority of the impurities have admittedly been removed from Dasani water, and minerals added back in, these parasites have somehow worked their way into their supposedly“clean” water system which has been passed on to the consumer. The Food and Drug Administration (FDA) has shut down the manufacturing facility and issued a major recall on the brand. Do not drink this water! The FDA is recommending that if you have no choice but to consume the water, you MUST boil the water first to kill the parasite. Otherwise, it will host itself in your stomach lining and intestine and breed offsprings. News 4 doesn’t clearly identify itself as a fake news website, but a review of its “news coverage” tells the story. Stories about t he FDA closing a McDonald’s meat packing plant after a man was found having sex with a cow , and ab out Donald Trump’s supporters dying after trying the “Plastic Bag Challenge” Internet trend rounded out its top stories. Despite the website’s lack of credibility, Coca-Cola issued a statement clarifying that it had not recalled its Dasani water due to parasites: Various on-line “reports” of a water recall targeting our Dasani® brand are being circulated (“shared”) via social platforms, emails and even word-of-mouth.   The article, credited as originating from a “news” source, surfaced on a website suggesting to “consume healthy food.”  Below is an excerpt from the article providing information confirmed to be false and inflammatory. In communications between Greg Babb, Corporate Director of Quality and Sustainability for Coca-Cola UNITED, and The Coca-Cola Company regarding the information, The Coca-Cola Company confirmed, “The source of this false and inflammatory information about our brand is a hoax news website. There is no recall of DASANI being conducted in the U.S., so please confidently continue to enjoy DASANI bottled water.” So, reports that Coca-Cola recalled Dasani over worm parasites are totally false. ","Food - Drink"
"Dr Pepper Saying Goodbye in Summer 2016-Fiction!","2016-04-18 17:54:45","https://www.truthorfiction.com/dr-pepper-saying-goodbye-summer-2016-fiction/"," Reports that Dr Pepper is ending production after being acquired by Coca-Cola are false. "," There’s no truth to reports that Dr Pepper is ending production. Rumors of Dr Pepper’s demise surfaced on social media in April 2016 after old reports about a Dr Pepper bottling plant closing from 2012 was re-reported as breaking news. Dr Pepper Bottling Co operated the plant in Dublin, Texas, under a licensing agreement with the Dr Pepper Snapple Group (DPS). Under the agreement, the Dr Pepper Bottling Co was licensed to produce and market “Dublin Dr Pepper,” a vintage version of Dr Pepper made with real can sugar and packaged in vintage bottles, a Fort Worth-based NBC affiliate reports . In 2011, DPS filed a lawsuit in 2011 that claimed the Dublin Dr Pepper distributor had broken terms of the licensing agreement by distributing outside of an agreed upon territory. After a legal battle, the plant dropped Dublin Dr Pepper production to end the lawsuit, the Dallas News reports : But “Dublin Dr Pepper,” the sugar-sweetened drink at the heart of the legal battle, will cease to exist and 14 of the bottler’s 40 workers, mostly in the warehouse and distribution operation, are out of jobs. Dr Pepper Snapple will now distribute Dr Pepper sweetened with cane sugar throughout Dublin’s former territory and continue to sell it in other areas of Texas, including Dallas-Fort Worth, Houston and Waco. The soda will be the same product Dublin sold but will not make reference to Dublin on the label. Somehow the demise of Dublin Dr Pepper reignited on social media in April 2016, and some were incorrectly led to believe that production of Dr Pepper would stop in the summer of 2016. Some of those reports claimed that Coca-Cola had bought the Dr Brand. Both are false — Dr Pepper isn’t ending production, and Coca-Cola didn’t buy the Dr Pepper brand. After a few days of the rumor floating around social media, Dr Pepper even released an animated graphic to “crush the rumor” that Dr Pepper was ending production: So, given all that, we’re calling this one fiction. ","Food - Drink"
"Chic-fil-A Offers Free Meal for New Mothers-Truth! & Fiction!","2016-04-11 07:33:37","https://www.truthorfiction.com/chic-fil-offers-free-meal-new-mothers/"," Discussion forums and social media have been abuzz with reports that Chic-fil-A offers a free meal for new moms. "," It’s true that some Chic-fil-A locations offer a free meal for new moms — but it’s not a companywide promotion. Rumors about a free lunch for new moms at Chic-fil-A date back years. Pregnancy discussion boards are filled with threads about how if new moms-to-be register at a local restaurant and provide their home address, that Chic-fil-A will deliver a free meal to them: Then, in April 2016, a post about the new mom promotion at Chic-fil-A went viral on Facebook: Attention expecting moms. If u contact ur closest chic fil a close to ur due date or right after u have the baby they offer a new mom meal for FREE. It’s a small platter, 4 large fries or fruit, a gallon of lemonade or tea, and cookies. Pretty cool!!!! So ladies, contact them when its time for this awesome deal. Tag expecting mothers u know. In-store promotions at Chic-fil-A like this one have caused confusion in the past. Last year, it was widely reported that all Chic-fil-A restaurants had a “missing man table” set to honor combat veterans who have gone missing in action. We found that a number of restaurants in the Atlanta market had elected to do that, but that it wasn’t a companywide policy. Click here for that story. The same is true for the free meal for new mothers claim. There’s no definitive list of Chic-fil-A locations that offer free meals for new mom. Thanks to a Houston-based mom blog , however, we can confirm that some restaurants in the area were offering the promotion as of the beginning of January 2015: Many Chick-fil-A locations deliver a New Mommy Meal when you are home from the hospital with your newborn. It’s a small nugget tray, fruit tray, a gallon of sweet tea and a gift for baby. You can sign up in their restaurant, or call your local Chick-fil-A to see if they participate in this program. And the free meal for new moms has also undoubtedly been confused with Chic-fil-A’s “ Mom Valet ” or “ Mommy VIP Service ” that some locations rolled out in early 2016. The service enables parents to place an order at the drive-thru window, and then an employee will make up a table inside for the family so they don’t have to stand in line. Again, the only sure way to know exactly what promotions and services your local Chic-fil-A locations offer to mothers is to check with individual restaurant operators. ","Food - Drink"
"Cadbury Drops the Word Easter From Packaging-Mostly Fiction!","2016-03-25 12:10:13","https://www.truthorfiction.com/cadbury-drops-word-easter-packaging/"," Cadbury has dropped the word “Easter” from the packaging for its chocolate eggs and bunnies. "," Cadbury hasn’t dropped the word “Easter” from its chocolate eggs and bunnies — but the word doesn’t’ appear prominently on the front of packaging, either. Reports that Cadbury had “quietly dropped” the word Easter from its seasonal candy packaging gained momentum after a report appeared in the U.K. Daily Telegraph under the headline, “Easter Quietly Dropped from Easter Eggs.” The report goes on to cite claims made by the Meaningful Chocolate Company that Cadbury and other manufacturers had phased out the word Easter: Growing numbers of chocolate eggs are on sale in the UK without any mention of the word “Easter” on the front of the packaging. Many of Britain’s best known brands have quietly dropped the name of the Christian festival from their main branding, now selling Easter products labelled simply as “chocolate egg” or even “egg”, it has been claimed. The allegation was highlighted by the makers of the “Real Easter Egg”, a fair trade chocolate product which carries a Christian message instead of pictures of bunnies and chicks and donates its profits to charity. The Meaningful Chocolate Company, based in Manchester, was set up six years ago in an attempt to reintroduce Easter eggs with references to the Easter story and Advent calendars featuring nativity scenes to the mainstream market. But since then, according to the company’s founder David Marshall, the secularizing trend has been gone further, with many products now seemingly dropping references to Easter from the title altogether. “It looks like there is a trend. A lot of businesses are not comfortable with the religious aspect of the festival.” David Marshall, The Meaningful Chocolate Company examples highlighted by the firm include the Cadbury Easter Egg Trail Pack, whose label now reads simply “Egg Hunt Pack”. It’s true that Cadbury eggs and bunnies don’t have “Easter” prominently displayed on the front of individual packaging — but claims that Cadbury has entirely “dropped” Easter aren’t true, either. In the 2016 Easter season, the company was clearly marketing its chocolate eggs, bunnies and chicks as Easter candy: Similarly, Cadbury’s Twitter feed was flush with references to Easter and the Easter bunny: A company spokesperson said the company doesn’t include the word “Easter” on the front of product labels because they simply didn’t think it was necessary — and noted that “Easter” appears on the back of the product labels: “Easter is stated on our Easter Eggs on the back of the pack — most of our Easter Eggs don’t say Easter or Egg on the front as we don’t feel the need to tell people this. It is very obvious through the packaging that it is an Easter egg. We do not have a policy to remove the word “Easter” from our packs or marketing. Some of our marketing states Easter and some just Egg.” So, for all of those reasons, we’re calling reports that Cadbury has “quietly dropped” the word “Easter” mostly fiction. ","Food - Drink"
"Bumble Bee Tuna Recall Involves Human Remains Mixed into Tuna-Fiction!","2016-03-21 13:58:53","https://www.truthorfiction.com/bumble-bee-tuna-recall-involves-human-remains-mixed-into-tuna/"," Bumble Bee Tuna issued a recall in March 2016 because human remains were mixed into a batch of tuna, according to viral reports. "," Bumble Bee Tuna issued a product recall in March 2016 — but it had nothing to do with human remains being mixed into a batch of tuna. That rumor can be traced back to The Rocket Report , a fake news website. A report appearing under the headline “Massive Bumble Bee Recall After 2 Employees Admit Cooking A Man And Mixing Him With A Batch Of Tuna” started false rumors about the Bumble Bee Tuna recall: AP – On Monday, Bumble Bee Foods and 2 employees were charged by Los Angeles prosecutors with violating safety regulations in the death of a worker who was cooked in an industrial oven with tons of tuna. José Melena was performing maintenance in a 35 foot long oven at the company’s Santa Fe Springs plant when coworkers loaded it with 12,000 pounds of canned tuna and turned it on. Temperatures reached 270° during a two-hour process to cook and sterilize the tuna. The body of Melena,62, was found when the oven was opened. The company, its plant operations director Angel Rodriguez and former safety manager Saul Florez were each charged with three counts of violating Occupational Safety and Health Administration rules that caused a death. Within days of being posted, the false report was shared more than 70,000 times on social media sites. Taken at face value, the report sparked a lot of concern among tuna eaters, but The Rocket Report’s disclaimer clearly states that it’s not a trusted news source: The Racket Report is a news web publication with news articles, inspired by real news events. The articles and stories may or may not use real names, always a semi real and/or mostly, or substantially, fictitious ways. A few articles are for entertainment purposes only. The purpose of said stories is to entertain and amuse and not to disparage any persons, institutions, in anyway and no malice is intended towards anyone or anything, nor should any be construed from the fictional stories. That means some stories on this website are fictitious. Any resemblance to persons, living or dead, is entirely coincidental or is intended purely as a spoof of such person and is not intended to communicate any true or factual information about that person. The false report about human remains being mixed into Bumble Bee tuna is especially misleading because even though it’s completely false, it’s based on two things that actually happened years apart. First, Bumble Bee actually issued a voluntary tuna recall in March 2016 , at the time time when the false news report went viral. The recall had nothing to do with human remains. Rather, it was due to deviations in the “commercial sterilization process” at a co-pack facility not owned or operated by Bumble Bee. The recall impacted about 32,000 cases of Chunk Light tuna. Second, Jose Melena was an actual Bumble Bee employee who was killed in a horrific workplace accident. Melena was cooked alive in 12,000 pounds of tuna fish back in 2012. The company said that “major error” resulted in the accidental death, the San Gabriel Valley Tribune reports . So, the report that Bumble Bee recalled tuna because human remains had been mixed into it are totally false. But the report is especially misleading because it blends together two different, actual events that happened years apart to create a false story. ","Food - Drink"
"Banana and Kiwi Grow Together-Fiction!","2016-03-18 13:20:21","https://www.truthorfiction.com/banana-kiwi-grow-together/"," A viral video claims that combining banana and kiwi scraps allows you to grow a hybrid fruit that is a combination of the two. "," Bananas and kiwi won’t grow as one if you plant clippings from the two fruits together. That rumor started as an April Fool’s Day joke, but the punch line has since been lost on lots of people. A video posted to the Kin Community YouTube channel on April 1, 2014, shows DIY crafter Robert Mahar showing viewers how to do amazing things with the scraps of fruits and vegetables that are thrown away every day. In the video, which can be viewed here , Mahar is first shown re-growing a head of lettuce and radishes by placing scraps from the vegetables in a dish of water. Then, the gag peaks as Mahar combines the cut ends of banana and kiwi, places them in dirt, and then cuts into a full-grown banana-kiwi hybrid fruit. Buried at the very bottom of notes about the video is a subtle reference to April Fool’s Day, which many of the video’s more than 600,000 viewers missed: New fruit hybrids are often a hit and miss process of experimentation and results are not guaranteed. However, if you are able to successfully grow the beautiful banana and kiwi combination demonstrated in this video, we recommend you proceed directly to your corner market and purchase a lottery ticket. Wishing you a very happy April Fool’s Day! In reality, some hybrid fruits are a reality. Hybrid fruit results when two plants from the same botanical species are cross-pollinated (not squished together and planted). And while this is possible, the process is meticulous and takes years, the Daily Beast reports : A hybrid fruit is the result of cross-pollination of two plants from the same species or genus. When humans intervene in the process by selecting plants to pollinate for intentional results, the procedure is painstakingly meticulous and monitored. It may take years of selective breeding to produce a desired fruit. The plum-apricot hybrid known as the “pluot” took biologist Floyd Zaiger around 20 years to perfect before he introduced it to the market. Different from open-pollination (which is uncontrolled or varied pollination by insects, birds, winds, or natural causes), when the human hand brushes pollen from the male flower of one plant to the stigma of the flower of a female plant this type of hand-pollination delivers controlled results. So, long story short, the claim that bananas and kiwi grow together is nothing more than an April Fool’s Day joke taken out of context.","Food - Drink"
