"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Planned Parenthood Sells Body Parts for Profit-Disputed!","2015-07-23 07:52:37","https://www.truthorfiction.com/planned-parenthood-sells-body-parts-for-profit/"," An undercover Planned Parenthood video claims that the group sells fetal body parts from partial birth abortions for profit. "," An undercover Planned Parenthood video that claims the group sells body parts from abortions for profit has been disputed. Planned Parenthood said patients who seek abortions can elect to “donate tissue to scientific research.” But the organization disputes that it, or its patients, profits from those donations. The controversy started when and anti-abortion group called the Center for Medical Progress posted an undercover video on YouTube. The video reportedly showed Dr. Deborah Nucatola, the senior director of medical services at Planned Parenthood, discussing the sale of fetal tissue and body parts with so-called “potential buyers.” One excerpt from the video — which had nearly 2 million views within days of being posted — captures a conversation between Nucatola and the two people posing as buyers over lunch: Nucatola: Every provider has had patients who want to donate their tissue, and they absolutely want to accommodate them. The just want to do it in a way that is not perceived as, “this clinic is selling tissue, this clinic is making money off of this.” Buyers: Okay, so, when you are, or the affiliate is, determining what that monetary… Nucatola: Yes Buyers: So that it doesn’t raise any question of this is what it’s about, this is the main — what price range would … Nucatola: You know, I would throw a number out, I would say it’s probably anywhere from $30 to $100, depending on the facility and what’s involved. Planned Parenthood responded with a statement that said it follows all state and federal laws related to tissue donations, and that it does not profit from them: In health care, patients sometimes want to donate tissue to scientific research that can help lead to medical breakthroughs, such as treatments and cures for serious diseases. Women at Planned Parenthood who have abortions are no different. At several of our health centers, we help patients who want to donate tissue for scientific research, and we do this just like every other high-quality health care provider does — with full, appropriate consent from patients and under the highest ethical and legal standards. There is no financial benefit for tissue donation for either the patient or for Planned Parenthood. In some instances, actual costs, such as the cost to transport tissue to leading research centers, are reimbursed, which is standard across the medical field. The Center for Medical Progress responded that Planned Parenthood had made “key admissions” in its response: Planned Parenthood makes two key admissions in their statement today: 1) aborted fetal parts are harvested at their clinics, and 2) money is exchanged in connection with this. They also tell several lies: 1) That proper consent is obtained from patients, 2) That Planned Parenthood does not make money off the body parts, and 3) that everything is legal. The Center for Medical Progress also released a flier from StemExpress, a California-based biomedical company that (the video claims) purchases fetal tissue from Planned Parenthood. The flier discusses the possibility of financial gain for clinics: StemExpress promotes global biomedical research while also providing a financial benefit to your clinic. By partnering with StemExpress, not only are you offering a way for your clients to participate in the unique opportunity to facilities life-saving research, but you will also be contributing to the fiscal growth of your own clinic. The stem cell rich blood and raw materials that are usually discarded during obstetrical procedures can, instead, be expedited through StemExpress to research laboratories with complete professionalism and source anonymity. Nucatola referenced conversations with StemExpress in the video, but she implied that there wasn’t an agreement between the groups in place at the time. Then, in a prepared statement to The Hill , Planned Parenthood said Nucatola was not discussing the sale of body parts and that reimbursements for donated tissue costs were not uncommon: “Deborah Nucatela was speculating on the range of reimbursement that patients can receive after stating they wish to donate any tissue after a procedure,” the organization wrote in a report prepared by its PR firm. “The promotional video mischaracterizing Planned Parenthood’s mission and services is made by a long time anti-abortion activist that has used deceptive and unethical video editing, and that has created a fake medical website as well as a fake human tissue website that purports to provide services to stem cell researchers,” the group wrote in a two-page statement. It also provided several pages of background research about the organization’s use of donated fetal tissue, which it describes as “humanitarian undertaking that hold the potential to cure disease, save lives, and ameliorate suffering.” Planned Parenthood and other critics of the undercover video have argued that it was a carefully edited attack by an anti-abortion group. The Center for Medical Progress (not the same as the Center for Medical Progress at the Manhattan Institute ) has a minimal online footprint, so little is known about the group. But David Daleiden, the group’s self-identified founder , has been a long time anti-abortion activist. In 2009, Daleiden posted another video in which he suggested during a Q&A session that Planned Parenthood had “an institutional tolerance for adult-child sexual relationships,” the Daily Beast reports . So, it’s true that Planned Parenthood donates fetal tissue to medical research. But the claim that Planned Parenthood does so illegally, or profits from it, are disputed. ","Medical"
"Puerto Ricans Get Disability Because They Don’t Speak English-Truth!","2015-04-17 13:05:01","https://www.truthorfiction.com/puerto-ricans-get-disability-because-they-dont-speak-english/"," Puerto Ricans who don’t speak English receive disability benefits. "," It’s true that some Puerto Ricans have received disability benefits because they don’t speak English. A report released by the Office of the Inspector General (OIG) found that 218 Puerto Ricans had received disability benefits from 2011 to 2013 because they didn’t speak English. That angered many people because Puerto Rico is a predominately Spanish-speaking country, even though both English and Spanish are listed as its official languages . The Social Security Administration has medical-vocational guidelines that assume people who can’t read or write in English have limited ability to find a job in the U.S., making them eligible for disability benefits. The problem is that these guidelines — or grid rules — also apply to Puerto Rico (a U.S. territory) even though most people in the country speak Spanish, according to the report : “A claimant asserting an inability to read, write, or communicate in English may increase his/her likelihood of receiving disability benefits under the English-language grid rules in Puerto Rico when the claimant’s residual functional capacity and other vocational factors line up under grid rules. In attempting to determine the number of cases associated with the English-language grid rules, we found the agency lacked complete data to determine how often adjudicators in Puerto Rico used these grid rules since policy required DDS staff report on only a portion of the cases where these grid rules were relevant.” The report said that the Social Security Administration would change its rules so that “factors that may affect a claimant’s ability to adjust to other work in the economy” could be considered. ","Medical"
"Amish Cure for Hearing Loss – Fiction!","2015-04-07 17:11:56","https://www.truthorfiction.com/amish-cure-for-hearing-loss/"," The Amish have found a natural way to cure hearing loss. "," The Amish haven’t developed a secret formula to cure hearing loss. Claims about the so-called Amish miracle cure for hearing loss can be traced back to websites that focus on holistic healing. Most of the websites claim that herbal supplements (which they happen to sell) can cure hearing loss. Other sites, like this one , sell books on how to improve your hearing naturally. There’s no scientific proof that herbal supplements can be used to cure hearing loss. The Mayo Clinic says that the known treatment options for hearing loss are: removing wax blockage, surgical procedures, hearing aids and Cochlear implants. But there is hope for a cure. Most noise-induced hearing loss comes from damaged cells and nerves in the inner ear. The Hearing Health Foundation said that chickens are able to regenerate these cells, and that could be a good sign for humans: “The key to restoring hearing in humans is to regenerate cells deep within the inner ear. In fact, most types of hearing loss in humans results from damage to these cells, called hair cells. “While humans cannot regenerate hair cells in the inner ear after they are damaged, chickens can. In fact, most animals other than mammals can regenerate these delicate cells, restoring their hearing spontaneously after damage. Our goal is to translate this to humans.” Still, there aren’t any known herbal cures (Amish or otherwise) for hearing loss. Be wary of any product or company that makes that claim. ","Medical"
"Chaplain Says Officials Ordered Him To Cover Christian Symbols In VA Chapel-Truth!","2015-03-30 21:41:03","https://www.truthorfiction.com/va-covers-religious-symbols/"," The Veterans Administration (VA) ordered that Christian symbols and statutes in a chapel at the Oscar G. Johnson VA Medical Center in Iron Mountain, Michigan, be covered when the chapel was not being used for Christian services. "," It’s true that Christian symbols were once covered by a curtain when Christian services were not being held in the chapel at the Oscar G. Johnson VAMC, but that policy is no longer in place. The story went viral in the spring of 2014 after a number of news outlets reported that the VA facility in Iron Mountain was not in compliance with a 2008 federal regulation that requires houses of worship to be nonsectarian. The story went viral again in early 2015, so TruthorFiction.com followed up with staff at the Oscar G. Johnson VAMC for an update. Bradley Nelson, the public affairs director at the facility, told TruthorFiction.com that the curtain was temporarily used to meet requirements outlined in the VA’s Spiritual and Pastoral Care Procedures that were issued in 2008. The policy states that the VA must “uphold the free exercise of religion by all medical, domiciliary, and nursing home patients in the health care facility.” “In keeping with this, it has been long standing policy that VA chapels not reflect any one denomination or faith when not being used for specific faith services or activities,” Nelson said. “This allows for our patients and their families who do not identify with the Christian faith to use the room for prayer, meditation or reflection according to their faith tradition. We were coming into compliance with this policy last spring and the person responsible for the Chapel thought the curtain would be the easiest way to do this, i.e., open it for chapel services and close it when not being used. Based on constructive feedback and what other VA medical centers have done, the curtains were taken down.” But VA medical facilities must still comply with the Spiritual and Pastoral Care Procedures. Today, Christian symbols are allowed in the main chapel while Protestant and Catholic services are being held, as well as 24/7 in the Holy Sacrament room located inside the chapel, Nelson said. “We have the smaller Holy Sacrament Room, which is dedicated solely to Christian worship and includes the crucifix, statues of Jesus and Mary, Stations of the Cross, Holy Water, stained glass windows, and other accoutrements found in churches, all of which remain in place 24/7,” Nelson said. “The room is available for anyone wishing to use it.” And there aren’t any specific directives that prohibit the use of scripture or religious items like the crucifix and statues of Jesus and Mary during worship services in the main chapel — but they can’t remain there 24/7. “These religious items are put away between chapel services, however, they are accessible for any group or individual wishing to use them in the chapel for their own prayer, meditation or worship,” Nelson said. Several versions of the Holy Bible and Catholic Rosaries are also available in the chapel. Nelson also provided a number of photos of the Oscar G. Johnson VAMC chapel: Posted 06/05/14  Updated 02/09/15 ","Medical"
"Kerosene Cures Cancer-Fiction!","2015-03-19 17:20:03","https://www.truthorfiction.com/kerosene-cures-cancer/"," Kerosene can be used to cure cancer and other blood diseases. "," There’s no proof that kerosene kills cancer cells, but there’s plenty of proof that it can kill humans. This eRumor surfaced a number of years ago. A report by a person identified as Caro Huptn, the editor of the newspaper TAGO, claimed that a woman had cured more than 20,000 patients with kerosene. It has appeared on many alternative medicine websites, often with a disclaimer like this one: “The following report was given to us by a woman from Michigan. Nothing has been done to verify the information as it sounds quite unusual compared with the knowledge we already have that benefits the cancer patient. It is being printed only to pass on information that arrives at the FACT office, and possibly, for someone doing research to conduct a project to validate or negate the information. If the research is undertaken, we would appreciate receiving the report.” Outside of that one report about kerosene and cancer, there is no record of anyone named Caro Huptn, or the newspaper TAGO, on the Internet. But there has been plenty of research done on how kerosene affects humans, and it’s not good. In 2010, a group of researchers looked at the impact medicinal kerosene had on people in developing countries. The researches looked at cases where kerosene had been used to treat hemorrhoids, but its effect on people who used it to treat cancer would be the same. According to the study : “Kerosene and other petroleum oils were used as the drugs of choice for many medical problems in the past years. The most common use of kerosene was antiseptic aid for cuts and scrapes. Daily applications of kerosene were also used to treat head lice, athlete’s foot, animal problems including cracked or infected hooves, and worm infections… “Nowadays, it is obvious that kerosene chemical-based components are toxic materials for the human body. These materials were found to cause significant direct and indirect dangerous effects on health through inhalation, ingestion, injection, or local dermal contacts. These negative effects may lead to losing the functions of organs of body or lead to long-term disabilities. Although training and increasing of public awareness about these side effects may prevent self-therapy of kerosene, early diagnosis of these side effects can help in the results of care.” That means that even if kerosene could kill cancer cells, it would likely kill the patient along with those cells. ","Medical"
"Vitamin-C and Shrimp are a poisonous combination-Fiction!","2015-03-17 22:02:15","https://www.truthorfiction.com/vitaminshrimp/"," This email says that there has been a case in Taiwan of a person eating shrimp shortly after taking vitamin-C and then dying.  The message claims that the combination somehow causes arsenic poisoning. "," This is a hoax.  It’s a brief message with no facts to back it up and refers only to an incident allegedly having happened in Taiwan.  There is no record that TruthOrFiction.com could find of any concerns over combining vitamin-C and shrimp. ","Medical"
"The tourist who woke up with no kidneys-Fiction!","2015-03-17 22:02:08","https://www.truthorfiction.com/kidneys/"," There    are various versions (such as the one below), but they all talk about a    traveling businessman or a tourist who becomes involved with someone from    the area where he is visiting.  The next thing he remembers, he’s    awakening in a bathtub full of ice.  He either reads a note that    informs him that his kidneys have been harvested for an organ transplant,    or he picks up the phone and reaches either the hotel operator or the    police.  Through the phone call, he learns that his kidneys have been    removed by medical crooks and he discovers the stitched wounds where the    surgery took place.  Emergency personnel arrive on the scene to give    him first-aid and take him to a hospital where he is described as being on    a transplant waiting list. "," This is a story that has been so widely circulated and for so long, that it is regarded by researchers as a classic urban legend.  There is not a documented case of a tourist being drugged and hijacked by medical thieves.  The person who’s name is at the bottom of the email below, by the way, is not the originator of the email.  Her name is being falsely attached to a large number of the emails being sent about this story. A real story that is related Interestingly, there is a reported case of a stolen kidney, but not to an unwary tourist.  BBC reporter Sue Lloyd Roberts has done a special report on the buying and selling of human organs In Turkey (BBC 1/8/01).  She says that the Moldovan village of Minghia has become known as the world’s best source human kidneys.  That’s because villagers have been willing to sell one of their kidneys to surgeons who make a profit on them for transplant patients, especially in Israel.  Roberts tells the story of a young engineer who went to Istanbul on the promise of a job.  When he got there, he was told that the job was no longer available, but that he could get some cash by selling some of his blood.  Apparently he was not suspicious that giving blood would be treated as a surgical procedure, but when he awakened, he had a scar and a missing kidney and was told that he could get the going rate for Moldovan kidneys, $3,000. Last updated 8/4/01 ","Medical"
"Pray for Cindy Hogman, an adult with cancer-Truth!","2015-03-17 22:02:03","https://www.truthorfiction.com/cindyhogman/"," Thirty-two-year-old Cindy Hogman has been diagnosed with cervical cancer and with slim chances for survival.  Her husband, Gary “Nick” Hogman asks your prayers. "," A new version of this email started circulating in 2004 that claimed that Nick “Hogan”  is a soldier serving in Iraq while his wife is back home suffering from cancer. His name is Hogman, not Hogan, he’s not a soldier in Iraq, and although the prayer request was true at one time, Nick told TruthOrFiction.com in January of 2002 that his wife was doing well. He says he hopes that he and Cindy can grow old together…and thanks you for your prayers.  He adds, “There are so many people in this world suffering from cancer, pray for them all.” updated 07/06/07 ","Medical"
"Winston Churchill’s life saved by a doctor whom Churchill’s father put through school-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/churchill/"," A Scottish farmer saves a drowning boy’s life, but refuses a reward from the boy’s nobleman father.  The nobleman then offers to provide an education for the farmer’s son.  The son grows up to become Sir Alexander Fleming, the discoverer of penicillin.  Years later, the nobleman’s son is stricken with pneumonia but saved by penicillin.  That nobleman’s son is Winston Churchill. "," According to the Winston Churchill center in Washington, D.C., this is a myth.  There is no evidence these events ever happened.  Churchill’s official biographer, Sir Martin Gilbert, says there’s no record of Churchill nearly drowning or of his father paying for Fleming’s education.  Churchill was once treated for pneumonia, but according to the center, not with penicillin. updated 07/06/07 ","Medical"
"Dangerous gas in car air conditioners is causing lung cancer and Alzheimer’s disease-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/carac/"," This email says that air conditioners in 1985 to 1998 cars are dangerously toxic and are spewing a gas that is the leading cause of Alzheimer’s disease and lung cancer. "," This story is filled with fiction and inaccuracies from top to bottom.   The writer claims to be a researcher for “The American Motor Vehicle Safety Organization.”  TruthOrFiction.com cannot find any such group.  It claims that all air conditioners for all cars were ordered from a corporation called Akson Technologies Initiative.  TruthOrFiction.com cannot find any such organization.  Also, there is no single company that has made all air conditioners for all cars.   The email claims that a flaw in the design of the air conditioners allowed carbon monoxide to leak into the guts of the air conditioning system and mix with freon gas to produce a toxic substance called Dichlorodifluorocarbonmonoxide.”   An air conditioner expert tells TruthOrFiction.com that In auto air conditioners, the freon gas is inside a sealed system and cannot mix with carbon monoxide.  Similarly, if the system with the freon inside is properly sealed, there would not be any toxic gas leaking anyway.  Additionally, there is no such substance as “Dichlorodifluorocarbonmonoxide.”  It’s a fabricated word.  Anyone familiar with health risks of this alleged magnitude knows that the determination of whether there was any danger or correlation with lung cancer or Alzheimer’s disease would not be made by an auto company.  It would be researched by health professionals and any findings of the significance alleged in this email would be front page news, not revealed by a poorly contrived email. update 06/07/08 ","Medical"
