"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Obama Crushed as Trump Ends Prayer Rug Tradition-Fiction!","2016-12-12 12:26:33","https://www.truthorfiction.com/obama-crushed-as-trump-ends-prayer-rug-tradition/"," President Obama was crushed after President-elect Donald Trump ordered an end to “the sickest tradition,” an Islamic prayer ritual. "," A fake news website is behind false reports that President Obama was crushed after President-elect Donald Trump ended secretive Muslim prayer rituals at the White House The hoax story appeared at a website identifying itself as “The Resistance” and making clear in its “About Us” section that information in its stories “may or may not be reliable” in December 2016. The story, which appears under the the headline, “Obama Crushed After Trump Orders White House to Top His Sickest Tradition,” begins: Obama was seen storming away from the West Wing after staffers from Donald Trump’s transition team began preparing the Executive offices for the new administration. On Trump’s orders, one of Obama’s most secretive rituals is being reversed and all signs of it removed from 1600 Pennsylvania Avenue. For the past 7 years, to appease any Muslims working at or visiting the White House, silence has been ordered during the five times of Islamic prayer each day. In addition, prayer rugs and crescent moon symbols are available in several areas of the executive mansion to make Muslims more comfortable. The administration has defended the practice by asserting that it also observes several other religious moments of silence and prayer out of respect, including a full 15 seconds for Christianity on Sunday morning while a chaplain blesses a staff breakfast. None of the prayer is mandatory or led by a government official, which has allowed the administration to subvert 1st Amendment issues, but the obvious favoritism towards Islam, which is observed for 25 minutes per day seven days a week, tells a story this president has denied for eight years. President-Elect Trump, who acknowledges that this country was founded by Christians and was built on Christian morals, is having all pagan symbols removed from the property unless they offer some historical significance. Only the cross in the White House chapel will remain for worship. Jim Mergernerlerny, head of the team that will transform the White House from the Obama’s home to the Trump’s second home, told MSNBC: “Mr. Trump doesn’t see the need to provide prayer rugs and false idols is a house built by Christians. Washington DC offers a diverse cultural center for worship of any kind. You won’t find any special considerations for Judaism or crucifixes to appease Catholics, either. There is a simple chapel with a single cross on one wall that is suitable for prayer by anyone. Our government doesn’t need to be forcing prayer rituals down people’s throats just so we don’t ‘offend’ people looking to blow us up.” The story falls in line with a long-running rumor that President Obama had installed Muslim prayer rugs at the White House and ordered silence daily during the Islamic call to prayer at the White House. Those (false) rumors were based on social media post by human rights attorney Qasim Rashid. Rashid posted video images of himself and others praying during a special event at the White House in July 2016. That led to false reports that Obama had special Muslim prayer rugs installed and ordered silence during daily Islamic prayers at the White House — both baseless claims. So, claims that Obama was crushed by Trump ending his “sickest tradition” are false and based on earlier false rumors. ","Obama"
"Muslim TSA Officer Frisks Nun at Airport-Truth! & Fiction!","2016-09-08 09:04:54","https://www.truthorfiction.com/muslim-tsa-officer-frisks-nun-airport/"," A photo showing a Muslim TSA agent with a head covering frisking a nun at an airport has sparked comments like “Only in Obama’s America” and “Only in Hillary’s America.” "," This photo of a TSA agent wearing a hijab frisking a nun at the airport is real. But claims that the picture summarizes President Obama’s or Hillary Clinton’s policies or principles when it comes to Muslims or religion in general don’t check out. The photo was taken in 2007, while President George W. Bush was in office. A private photographer named Chris Davis took the photo in 2007 Detroit Metropolitan Airport. Davis posted the photo on his Flickr account with the caption: This was captured as I collected my things from airport security (Detroit Metro Concourse A). I think of it as something like a Rorschach test. Is an elderly Catholic nun being frisked by a Muslim security agent the celebration of blind justice? Or is it simply an admission of absurdity? The photo didn’t gain much attention at the time. However, Drudge Report featured the photo on its website in 2010 under the headline, “The Terrorists Have Won.” Since then, it’s resurfaced from time to time over the course of Obama’s presidency. And the idea that an elderly nun would be stopped and frisked by a TSA officer at an airport check point has sparked plenty of outrage online  — but there’s another side the story. First, anyone wearing bagging clothes faces extra scrutiny and screening at airport checkpoints because baggy clothes makes it easier to conceal things. Travel experts have said as much going as far back as 2010. Second, it wouldn’t be smart to make it known that anybody dressed as a nun won’t face screening at an airport. That would signal that anyone woman — even terrorists — could simply dress as nuns and breeze through security check points. So, this is a real photo that was taken at Detroit Metropolitan Airport in 2007. Attempts to tie the photo to Obama or Clinton policies, however, don’t add up. Beside that, the idea that anyone dressed as a nun shouldn’t be screened at airport checkpoints is also faulty logic. ","Obama"
"Released from Prison by Obama, Wendell Callahan Killed 3 People-Mostly Fiction!","2016-09-07 10:46:22","https://www.truthorfiction.com/released-prison-obama-wendell-callahan-killed-3-people/"," Wendell Callahan, a man who was serving time on crack-cocaine charges, murdered his ex-girlfriend and her two children after President Obama gave him early release. "," The tragic details of this case are true — but Wendell Callahan was released due to reforms in federal prison sentencing guidelines, not because Obama pardoned him. Callahan was charged with three counts of aggravated murder in January 2016 for allegedly stabbing to death a woman and two young children, according to complaints filed in Franklin County Circuit Court in Ohio. Callahan faces the death penalty in the case, which is still pending. The Columbus Post Dispatch reported shortly after Callahan’s arrest that he had been given early release from federal prison on a 12-½ year sentence for selling crack that was handed down in 2007: The man charged with killing an ex-girlfriend and two of her children in a North Side stabbing rampage early on Tuesday likely would have been deep into a 12 1/2-year federal prison sentence if sentencing guidelines for convicted crack dealers had remained unchanged. Wendell L. Callahan, 35, twice benefited from changes in federal sentencing guidelines, which reduced his sentence by a total of more than four years, from the 150 months he was first given in 2007, to 110 months in 2008 including time served, and 100 months in 2011. Columbus police charged Callahan on Tuesday with three counts of murder in the deaths of ex-girlfriend Erveena Hammonds, 32, and her daughters, Breya Hammonds, 7, and Anaesia Green, 10. A number of media outlets have since reported that Callahan had been “pardoned” by Obama — but that’s not true. Callahan’s federal sentence was shortened by an amendment to federal sentencing guidelines that went into effect on November 1, 2007 — more than a year before Obama took office, according to a report by the U.S. Sentencing Commission: On May 1, 2007, pursuant to 28 U.S.C. § 994(a) and (p), the Commission submitted to Congress amendments to the federal sentencing guidelines that became effective on November 1, 2007. One of those amendments, Amendment 706, modified the drug quantity thresholds in the Drug Quantity Table of §2D1.1 so as to assign, for crack cocaine offenses, base offense levels corresponding to guideline ranges that include the statutory mandatory minimum penalties. Crack cocaine offenses for quantities above and below the mandatory minimum threshold quantities similarly were adjusted downward by two levels. The amendment also included a mechanism to determine a combined base offense level in an offense involving crack cocaine and other controlled substances. On December 11, 2007, the Commission voted to promulgate Amendment 713, which added Amendment 706 as amended by 711, to the amendments listed in subsection (c) in §1B1.10 that apply retroactively. The Commission voted to make Amendment 713 effective on March 3, 2008. As a result, some incarcerated offenders are eligible to receive a reduction in their sentence under 18 U.S.C. § 3582(c)(2) pursuant to Amendment 706. And the second time Callahan’s sentence was reduced — from 110 months to 100 months — was approved by Congress and signed into law by Obama in August 2010. The law reduced the disparity between sentences for crack-cocaine and power cocaine, the Sentencing Commission reports : This report provides data concerning the retroactive application of the guideline amendment implementation of the Fair Sentencing Act (FSA), Pub. L. No. 111–220, signed into law on August 3, 2010. The FSA increased the quantities of crack cocaine that trigger the five and ten-year statutory mandatory minimum penalties — from five grams to 28 grams for fiveyear mandatory minimums and from 50 to 280 grams for ten-year mandatory minimums — and eliminated the five-year mandatory minimum for simple possession of crack cocaine. Significantly, the FSA gave the Commission emergency amendment authority to temporarily change the guidelines to implement the statutory changes and to add certain enhancements and reductions to the guidelines. So, it’s true that Obama signed Fair Sentencing Act of 2010 into law — but Congress drafted and approved the bill with bipartisan support. It’s misleading to place the blame for any consequences solely on Obama. That’s why we’re call this one “mostly fiction.” ","Obama"
"Obama Asks Americans to Cancel 9/11 Tributes that would Offend Muslims-Fiction!","2016-09-06 10:07:16","https://www.truthorfiction.com/obama-asks-americans-cancel-911-tributes-offend-muslims/"," Claims that President Obama has asked Americans to not hold 9/11 tributes to avoid offending Muslim protesters have gone viral. "," False claims about Obama canceling 9/11 tributes came from a fake news website. The story appeared at Departed under the headline “Obama Asks Americans Not to Hold 9/11 Victim Tribute Because Muslim Protestors Being ‘Offended’” that was quickly shared more than 18,000 times on social media. Taken out of context, some believed that Obama had actually asked Americans to cancel tributes to 9/11 victims. However, Departed publishes reader-submitted stories that aren’t fact-checked and often report fake news with a conservative slant. There’s no truth to these reports, and Obama has participated in 9/11 memorial ceremonies and victim tributes every year to mark the anniversary. Click here to review the remarks Obama delivered at the Pentagon to mark the anniversary of 9/11 in 2015.","Obama"
"Obama Years Explained in Nine Charts-Truth! & Fiction!","2016-08-31 11:41:32","https://www.truthorfiction.com/obama-years-explained-in-nine-charts/"," A graphic making its way around social media shows the negative impact of President Obama’s policies and the illusion of economic recovery in nine charts. "," Claims made about the impact of President Obama’s eight years in office in these nine charts are all of the above: true, false and misleading. These charts seem to have originated in a blog posted at WND in March 2016 under the headline, “Obama’s Latest Fraud: ‘Economic Recovery’ Disproven in Just Nine Charts.” Donald Trump brought them to the fore by retweeting them during the presidential campaign. The charts claim to show the devastating impact of Obama’s policies on student loan debt, food stamps, federal debt, health insurance costs, labor force participation, business workforce share of income, median household income and homeownership. We’ll take a look at claims made in each of these charts. Student Debt Grew from $146.6 Billion to $945.6 Billion from 2009-2015- Truth! & False! It’s true that student debt totaled about $945.6 billion by the fourth quarter of 2015 — but the claim that student debt totaled $146.6 billion when Obama took office is false. In reality, outstanding student debt totaled nearly $800 billion in 2009 when Obama took office, and by June 2010 it had reached $830 billion. It should be noted that that amount included $665 billion in federal education loans and $168 billion in private student loans, the Federal Reserve reports . So, the end point cited in the chart is roughly correct, but the starting point appears to have been misrepresented to make it appear that Obama should share more of the fault in the country’s student debt quagmire than he actually does. In reality, student debt has exploded over the last 15 years, under both Obama and President George W. Bush. In 2000, when Bush took office, outstanding student debt stood at $200 billion. By the second quarter of 2016, that amount had risen to more than $1.2 trillion, the Federal Reserve reports . Food Stamp Program Grew from $54.8 Billion in 2009 to $69.4 Billion in 2014- Truth! & Misleading! The claim that federal Supplemental Nutrition Assistance (SNAP) program (also known as food stamps) grew from $54.8 billion in 2009 to $69.4 billion in 2014 is true — but it doesn’t tell the whole story. The Center on Budget and Policy Priorities reports that SNAP caseloads “grew significantly” from 2007 to 2011 due to the great recession and lagging economic recovery. By 2014, however, SNAP caseloads began falling and continued to fall through 2015: SNAP caseloads began falling in 2014 and continued falling in 2015. SNAP caseload growth slowed substantially in 2012 and 2013, and caseloads fellby about 2 percent in 2014 and another 2 percent in 2015.  For more than two years, fewer people have participated in SNAP each month than in the same month one year earlier. The number of people receiving SNAP has fallen by 2.6 million people since peaking in December 2012.[4] In 42 states, the number of SNAP participants was lower in December 2015 than in December 2012.[5] As a result of fewer caseloads, SNAP spending also fell. In 2014, at its peak, SNAP spending accounted for about 0.5 percent of gross domestic product (GDP). By 2016, SNAP spending had fallen to about 0.425 percent of GDP. So, it’s true that there was an increase in SNAP funding through 2014 — but the chart is misleading because it doesn’t reflect increases in SNAP spending trends before Obama took office, or drops in SNAP spending in 2015 and 2016. Federal Debt will Nearly Double Under President Obama- Truth! This one is true. Federal Debt has more than doubled since Obama took office. By the beginning of 2016, national debt stood at $13.6 trillion — a 116 percent increase since Obama took office, the Treasury Department reports . Health Insurance Costs Have Skyrocketed Under Obama- Misleading! This chart argues that the consumer price index for medical care has increased from 149.952 in January 2009 to 186.961 in February 2016 — however, these numbers refer to the chained consumer price index for urban (C-CPI-U) customers, not overall medical costs. The Bureau of Labor Statistics explains that the C-CPI-U was established in 2002 to “reflect the effect of substitution that consumers make across item categories in response to changes in relative prices.” Simply put, it’s not the best way to determine overall health insurance costs. The Insurance Journal reports that the average health care rate increase for mid-size and large companies was 3.2 percent in 2015, marking the lowest rate increase in nearly 20 years. The projected minimum increase for 2016 was 4.1 percent. However, despite low rate increases, the average amount that employees have to contribute toward health care has increased 134 percent over the last 10 years, the journal reports : …Employees contributed $2,490 toward the premium and another $2,208 in out-of-pocket costs, such as copayments, coinsurance and deductibles in 2015. In contrast, the amount of employees’ premium and out-of-pocket costs combined in 2005 was just $2,001. So, health care costs undoubtedly continue to increase. However, it’s not clear why the chart referenced here uses C-CPI-U to argue that overall healthcare costs are up under Obama. Labor Force Participation Dropped 65.7% in 2009 to 62.9% in 2016- True! This one is straightforward and easy to verify. The labor force participation rate was 65.7 percent in January 2009 and 62.9 percent in February 2016. Business Workforce Share of Income Index Dropped from 103.605 in 2007 to 99.350 in 2015- Misleading! The numbers referenced here are true — workforce share of non-farm business income was 103.605 in the second quarter of 2007 and about 99.350 in the third quarter of 2015. However, the chart fails to provide historical context showing that workforce share of business income has been dropping significantly since 2000. In the first quarter of 2001, the index stood at 107.659. By the first quarter of 2009, it had dropped to 99.328. So, the workforce share of business income is actually up slightly from when Obama took office, the Federal Reserve Bank of St. Louis reports . Median Household Income Fell from $57,357 in 2007 to $53,657 in 2014- Fiction! It’s true that the U.S. Census Bureau estimates the median household income from 2010-2014 to be $53,482 — but it’s not true that median household income was $57,357 in 2007. The Census Bureau reports that the median household income decreased 1.2 percent from 2007 to 2008, from $52,673 to $52,029. That means median household income is up slightly under Obama. Homeownership Rate Drops from 67.4% in 2009 to 63.7% in 2015- Truth! This claim is true, and the homeownership rate actually fell more in 2016, landing at 62.9 percent, the Census Bureau reported in July 2016 . The Wall Street Journal reported that a large part of that was lingering effects of the housing market crash of 2008, as well as student debt restricting younger homebuyers: There are many ways to interpret the numbers. Part of the story is the catastrophic housing market collapse, which was especially severe for Generation X—those born from 1965 to 1984. Younger households may struggle to save amid student debt, growing rents, rising home prices and limited inventories of starter homes. Indeed, the homeownership rate for 18- to 35-year-olds slipped to 34.1%, the lowest level in records dating to 1994. At 77.9%, the homeownership rate was highest for those 65 years and over. But the broader picture suggests a degree of economic strength: Renters are spurring a steady increase in overall household formation. Renter-occupied housing units jumped by 967,000 from the same period a year earlier. Overall, household formation has been fairly steady since the early days of the expansion. The bottom line is that these homeownership stats are true. ","Obama"
"Rush Limbaugh: Obama Invading Red States with Lesbian Farmers-Truth!","2016-08-24 15:14:37","https://www.truthorfiction.com/rush-limbaugh-obama-invading-red-states-lesbian-farmers/"," Conservative commentator Rush Limbaugh accused the Obama administration of sending lesbian farmers into red states and rural Republican strongholds. "," It’s true that Rush Limbaugh accused President Obama of “attacking” rural states with lesbian farmers. Limbaugh made the allegations in an August 17th segment on his radio show in which he took issue with the Iowa LGBT Rural Summit event that was hosted by the U.S. Department of Agriculture. USDA describes its LGBT Summit Series and the corresponding #RuralPride campaign on its website as such: The Office of the Assistant Secretary of Civil Rights, in collaboration with the National Center for Lesbian Rights and The True Colors Fund, will engage with LGBT rural communities across the country to host the LGBT Rural Summit Series. Each series will offer a unique opportunity for USDA and other federal agencies to share information relating to policies, programs, and services that exist to protect, promote and strengthen LGBT rural communities. Issues ranging from rural housing loans, community facility grants and bullying will be discussed. Each series will also include a strong presence from local nonprofit organizations, sharing USDA’s dedication to serving LGBT rural America. The Iowa LGBT Rural Summit event in question was held on August 18th in Des Moines. In his August 17th segment, Limbaugh said the Obama administration was using federal funds to breakup rural Republican strongholds: Rural America happens to be largely conservative. Rural America is made up of self-reliant, rugged individualist types. They happen to be big believers in the Second Amendment. So here comes the Obama Regime with a bunch of federal money and they’re waving it around, and all you gotta do to get it is be a lesbian and want to be a farmer and they’ll set you up. I’m like you; I never before in my life knew that lesbians wanted to be farmers. I never knew that lesbians wanted to get behind the horse and the plow and start burrowing. I never knew it. But apparently enough money it make it happen, and the objective here is to attack rural states. They’re already attacking suburbs, and that has been made perfectly clear by what happened in Milwaukee. They’re going after every geographic region that is known to be largely conservative. They never stop, folks. They are constantly on the march. So, it’s true that Rush Limbaugh said that Obama was sending lesbian farmers to invade liberal communities. ","Obama"
"President Obama’s Plan to Diversify the Suburbs-Mostly Truth!","2016-08-23 13:51:02","https://www.truthorfiction.com/president-obamas-plan-diversify-suburbs/"," President Obama plans to diversify the suburbs through a combination of federal regulations and new funding formulas for housing vouchers. "," The Obama administration’s plan to “further fair housing” has been inching forward for some time, and it would likely result in more diverse suburbs. There are two main parts to claims about Obama’s plans diversify the suburbs. The first part, which was set into motion in 2015, established new requirements for cities that receive federal housing grants to document and report on racially biased housing practices on a regular basis (we’ll cover that later). The second part was set into motion in June 2016. We’ll start there. In June 2016, HUD proposed a rule that would change the formula for how Fair Market Rents (FMR) are calculated. The FMR determines how much Section 8 housing assistance renters in a particular area can receive. The goal, HUD explains, is to promote more housing choices: In metropolitan areas where there is a wide variance in the rents being charged to tenants and where voucher holders are concentrated in a few high-poverty neighborhoods, HUD is proposing to calculate FMRs based upon the rents being charged by the zip codes within that area. This permits FMRs and the resulting payment standards to be higher in low-poverty/high-rent areas, and lower in high-poverty/low-rent areas. The idea, known as the Small Area Fair Market Rent approach, HUD explains, is to “increase voucher holders’ access to a greater number of units in low poverty areas while reducing excess subsidy from some high poverty neighborhoods.” Right or wrong, some have interpreted that as Obama trying to diversify the suburbs. HUD is accepting public comment on the rule, and some expected that it would be finalized in fall of 2016. And, when it comes the first HUD rule from 2015, its origins actually date back to a Government Accountability Office (GAO) report on housing and community grants published in 2010. The report, titled “ HUD Needs to Enhance Its Requirements and Oversight of Jurisdiction’s Fair Housing Plans ,” looked at how cities that receive federal grant funding are furthering fair housing opportunities, a requirement of the Civil Rights Act of 1968: Pursuant to the Fair Housing Act, Department of Housing and Urban Development (HUD) regulations require grantees, such as cities, that receive federal funds through the Community Development Block Grant (CDBG) and HOME Investment Partnerships Program (HOME) to further fair housing opportunities. In particular, grantees are required to prepare planning documents known as Analyses of Impediments (AI), which are to identify impediments to fair housing (such as restrictive zoning or segregated housing) and actions to overcome them. HUD has oversight responsibility for AIs. This report (1) assesses both the conformance of CDBG and HOME grantees AIs’ with HUD guidance pertaining to their timeliness and content and their potential usefulness as planning tools and (2) identifies factors in HUD’s requirements and oversight that may help explain any AI weaknesses. The GAO reviewed the AIs of 441 cities across the country. The watchdog found that 29 percent of cities that had received CDBG and HOME grants had Analysis of Impediments (AI) documents in place that predated 2004, 11 percent of the AI documents hadn’t been updated since the 1990s although they’re supposed to be updated every five years. About half of the cities with AIs that were drafted after 2005 didn’t meet minimum requirements, and 25 cities didn’t submit any AI documents at all. Following the study, the GAO recommended that HUD step up regulations to ensure that cities that receive federal CDBG and HOME grants comply with statutory requirements of the Civil Rights Act of 1968: GAO recommends that, through regulation, HUD require grantees to update their AIs periodically, follow a specific format, and submit them for review. HUD neither agreed nor disagreed with the recommendations but noted recent efforts to improve compliance and oversight. HUD published a final rule on “Affirmatively Furthering Fair Housing” (AFFH) in the Federal Register on July 16, 2015. The rule established new reporting requirements for cities that receive HUD grants to look for and report on racial population disparities every five years to help identify trends and promote long-term integration. HUD explained the new regulation with this statement : HUD’s rule clarifies and simplifies existing fair housing obligations for HUD grantees to analyze their fair housing landscape and set locally-determined fair housing priorities and goals through an Assessment of Fair Housing (AFH). To aid communities in this work, HUD will provide open data to grantees and the public on patterns of integration and segregation, racially and ethnically concentrated areas of poverty, disproportionate housing needs, and disparities in access to opportunity. This improved approach provides a better mechanism for HUD grantees to build fair housing goals into their existing community development and housing planning processes. In addition to providing data and maps, HUD will also provide technical assistance to aid grantees as they adopt this approach. HUD’s rule took steps to ensure that communities comply with a nearly 40-year-old requirement that communities receiving HUD funding continuously take steps to remove barriers to fair housing practices. Taken together, HUD’s actions could result in the diversification of the suburbs — even if it’s not the stated purpose. That’s why we’re calling this one mostly truth. ","Obama"
"Obama Executive Order Bans Pledge of Allegiance-Fiction!","2016-08-17 14:05:26","https://www.truthorfiction.com/obama-executive-order-bans-pledge-allegiance/"," President Obama has signed an executive order banning the Pledge of Allegiance in all public schools. "," A fake news website is behind false reports that President Obama signed an executive order banning the Pledge of Allegiance. The story appeared at a fake news website that is designed to dupe readers into thinking that it’s ABC News . The site has a very similar URL to ABC News’ website, but there’s one important difference: a “.co” that appears at the very end of the rogue site. The story, which appears under the headline “Obama Signs Executive Order Banning The Pledge of Allegiance in Schools Nationwide,” reports that with the president’s signage of Executive Order 13738, it’s now illegal for any federally-funded organization (including schools, apparently) to recite the Pledge of Allegiance. But in reality, there is no such thing as Executive Order 13738. All of the executive orders that Obama has signed can be viewed here, at the official White House website . Nothing pertaining to the Pledge of Allegiance can be found there. Fringe websites like Above Top Secret re-reported the story as actual news, incorrectly attributing the report to the Associated Press , but rest assured that there’s not truth to this rumor. ","Obama"
"Malia Obama Smoking Pot at Lollapalooza – Unproven!","2016-08-12 13:39:52","https://www.truthorfiction.com/malia-obama-smoking-pot-lollapalooza/"," Some believe that a video taken at the Lollapalooza music festival in Chicago shows Malia Obama smoking a joint. "," While Malia Obama can be clearly seen smoking something in this viral video, there’s no possible way to tell from the brief clip exactly what she is smoking. The celebrity gossip site Radar Online posted the video public in early August 2016. Obama, who is 18, can briefly be seen smoking something in the background of a video taken by another concertgoer: Malia can only be seen in a few frames of the video, which makes it impossible to tell if she’s smoking a cigarette, a joint, or something else. And, while most people assume that she was smoking pot, there’s just no way to confirm that from the video. Everyone will have to draw their own conclusions on this one.","Obama"
"UN Backs Secret Obama Takeover of Police-Fiction!","2016-08-05 14:09:27","https://www.truthorfiction.com/un-backs-secret-obama-takeover-police/"," The United Nations has backed President Obama’s secret plan to nationalize local police departments. "," The UN hasn’t backed Obama’s secret plan to takeover local police departments — and we couldn’t find evidence to prove that a “secret plan” like that exists. These rumors stem from a statement released by Maina Kiai , a human rights attorney from Kenya who was appointed by the UN Human Rights Commission to research and report on “the rights of freed of peaceful assembly and of association” in the United States in July 2016. One paragraph of Kiai’s lengthy statement drew speculation about the UN backing Obama’s police takeover: “The Civil Rights Division of the Department of Justice has provided oversight and recommendations for improvement of police services in a number of cities with consent decrees. This is one of the most effective ways to reduce discrimination in law enforcement and it needs to be beefed up and increased to cover as many of the 18,000-plus local law enforcement jurisdictions.” A website called Lifezette started rumors that Kiai’s statement meant the UN had backed a nationalized police force in the United States. In an article published August 4th under the headline, “UN Backs Secret Obama Takeover of Police,” the website reports: (That quote was from) United Nations Rapporteur Maina Kai on July 27, a representative of the U.N. Human Rights Council, who on the tail-end of touring the U.S., endorsed a little-known and yet highly controversial practice by the Justice Department to effect a federal takeover of local police and corrections departments. The story’s first mistake is that it mischaracterizes exactly what a “special rapporteur” is and falsely implied in the headline that Kiai’s statement amounted to a UN endorsement. In reality, a special rapporteur is an independent expert that the UN Human Rights Council has appointed to examine and report back on events unfolding in a country, or on a particular human rights theme. Then, the UN Human Rights Commission reviews and critiques that report and decides whether or not to act on it, according to special procedures of the Human Rights Council: The Commission on Human Rights exercises oversight over the work of the experts while keeping in mind that the experts are irremovable, independent and are immune from legal process . It examines their reports and passes resolutions either welcoming or criticizing the work of the expert, or simply takes note of their action …. Simply put, a special rapporteur does not speak for the UN; Kiai’s statement doesn’t amount to the UN “backing” anything. rapporteurLifezette explains Obama’s “secret plans” to take control of local police departments by issuing a flurry of the “consent decrees” (which Kiai endorsed in his statement): The consent decrees are already being implemented in Newark, New Jersey; Miami, Florida; Los Angeles, California; Ferguson, Missouri; Chicago, Illinois; and other municipalities… In short, the much-feared nationalization of local police departments is already being initiated by the Obama administration’s Justice Department. And somehow nobody noticed. But those claims about where consent decrees have been issued are misleading, and in some instances they’re false. The Los Angeles consent decree was issued under Bill Clinton in the 1990s — not Obama. The Miami consent decree was issued due to violations of the Clean Water Act — it had nothing do with police. Chicago, meanwhile, asked for a DOJ investigation of police tactics in December 2015 , and the review is ongoing (no consent decree has been issued). The story did, however, correctly report the Ferguson and Newark consent decrees reached under Obama. But a Washington Post review of the number of DOJ investigations launched and the number of consent decrees reached over the last two decades don’t support the idea that Obama is secretly trying to use them to create a nationalized police force: In the past two decades, the Justice Department has launched 67 civil rights investigations of police departments. Nine remain unresolved. Of the completed investigations, 24 were closed without reform agreements, meaning investigators did not have sufficient evidence to prove civil rights abuses or the agencies informally resolved the problems, officials said. In eight investigations, Justice documented patterns of civil rights abuses­ and won promises from the departments to reform. Those cases were settled out of court with no independent or federal oversight. Twenty-six investigations — a little more than half of them since President Obama took office — have led to the most rigorous outcome: binding agreements tracked by monitors. More than half were consent decrees, meaning they were approved and managed in federal court. In the end, there doesn’t seem to be sufficient evidence to prove that Obama is using consent decrees to secretly takeover the country’s police forces. And the UN hasn’t endorsed that — even though a special rapporteur for the UN Human Rights Commission did. ","Obama"
