"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Yavex USA Sent Ammo to Terrorists in Shipping Containers-Mostly Fiction!","2016-10-10 11:18:47","https://www.truthorfiction.com/yavex-usa-ammunition-headed-terrorists-europe/"," Greek border agents found guns and ammo made by Yavex USA headed to terrorists in shipping containers full of furniture. "," Claims that Greek customs officials found guns and Yavex ammunition headed to regions controlled by terrorists are mostly false This is actually a new twist on old rumor. In September 2015, Greek officials found guns and ammo inside a shipping container that was disguised to look like lawn furniture. Although it was rumored that the arms were headed to Syrian refugee camps in Europe, it was actually bound from Turkey to Libya, Reuters UK reports : Greek authorities have seized a freighter carrying an undeclared shipment of weapons en route from Turkey to Libya, coast guard officials said on Wednesday. A coast guard patrol boat raided the vessel on Tuesday, 20 nautical miles northeast of Crete. The freighter, with a crew of seven and which had sailed from the Turkish port of Iskenderun, was escorted to Heraklion port on the island. The United Nations has imposed an embargo on weapons shipments to Libya, which is plagued by factional conflict. “The ship’s crew is being questioned and the content of its containers will be checked,” a coast guard official said, declining to be named. The coast guard provided no further details of what kind of arms the freighter had on board, or its ownership. A Turkish foreign ministry spokesman confirmed the cargo included weapons but said it was fully documented and was destined for the Sudanese police force. The vessel was also carrying building materials for Libya, he said. In September 2016, the story was re-reported as breaking news. This time, photos showed boxes of “Yavex” brand ammunition, which led internet sleuths to claim that it was being supplied by Yavex USA, an American company based in Florida, to terrorist cells or refugees. First, we can confirm that boxes of Yavex ammunition were indeed found in the shipping containers in 2015. Photos and videos of the shipping containers, like this one published by the Independent , clearly show boxes of Yavex ammo: However, theories that Yavex USA shipped the arms to terrorists, proving that radical Muslims are infiltrating America, don’t check out. Turkish company Yavascalar A.S. makes Yavex ammunition, the company’s website reports : YAVASCALAR AS, based in Balikesir / Turkey and specializes in the manufacture and marketing of civil explosives, initiating systems and hunting munitions. Founded in 1940, Yavascalar ranks today as a leader in the field of explosives in Turkey and in the countries of the region. And Yavex USA is just a distribution division of Yavascalar AS, according to “ Shot Show ,” an online resource for gun shows and exhibitors: YAVEX USA is a US Distribution division of Yavascalar AS of Turkey. Yavascalar is a well known Turkish manufacturer of high quality pistol ammunition and shotshell loads. Currently product line includes 9mm Luger pistol ammunition and related components but in year 2016 company is planning to produce all pistol calibers and rifle calibers as well. Yavex USA servers all dealers form Fort Myers, FL USA warehouse location since 2013 directly. Besides that, it’s not clear exactly who sent the shipping containers full of arms, but it’s highly unlikely that it came directly from Yavascalar AS. In reality, anybody could have put the company’s ammunition into the shipping containers. And, even though it’s not clear exactly who was behind the shipment, the Turkish Foreign Ministry confirmed the contents and destination of the containers, indicating that it could have been behind the shipment. ","Terrorism"
"Shooter Arcan Cetin Illegally Voted 3 Times-Mostly Fiction!","2016-09-30 08:39:16","https://www.truthorfiction.com/shooter-arcan-cetin-voted-3-times-despite-lack-of-green-card/"," Arcan Cetin, the man accused of a mass shooting at Cascade Mall in Washington State on September 23rd, is a registered voter who participated in three elections even though he isn’t a naturalized citizen. "," It’s true that Arcan Cetin has voted in three state elections since 2014 — but he is a naturalized U.S. citizen who had the right to do so. Cetin, a Turkish native, was charged with five counts of murder in connection to a mass shooting at Cascade Mall in Burlington, Washington, on September 23rd. Almost immediately, speculation began to stir about Cetin’s political affiliations, citizenship and voting record. In the days that followed the shooting, state and federal authorities described Cetin as a “permanent U.S. resident” — not a naturalized U.S. citizen with voting rights. The National Review seized on those early reports to argue that non-citizens frequently vote for Democratic candidates: Arcan Cetin faces five counts of murder after his shooting rampage at a Seattle-area mall last week. But he also turns out to be a non-citizen who has voted three times in state elections since 2014. Liberals claim non-citizen voting fraud is extremely rare, but Cetin’s case should cast light on both just how easy it is to commit and the efforts of federal and state officials to block efforts to uncover it. Cetin, who is from Turkey, is a legal resident of the United States but not a citizen. In 2014, he registered to vote and voted three times, most recently in May’s presidential primary. Washington State, like all but a handful of states, doesn’t require any proof of citizenship. “Our hands are kind of tied,” Secretary of State Kim Wyman told a Seattle TV station, noting that the state doesn’t allow verification of a person’s citizenship for voting purposes. “But make no mistake,” she adds. “We want to make sure that everybody has confidence that people casting ballots are eligible. This is certainly going to be a topic at the next legislative session.” Local registrars can currently use a database to check the age and residence of people who register to vote, but a person’s claim to be a citizen is based on the honor system. However, NBC Washington affiliate KING 5-TV, the outlet that first reported that Cetin had voted illegally, updated its initial report with a correction that stated Cetin was indeed a naturalized citizen who legally voted: UPDATE: KING 5 learned Thursday that Arcan Cetin, the 20-year-old who killed five people at Cascade Mall on Sept. 23, is in fact a U.S. citizen. For days after the shooting, Cetin was described by local and federal law enforcement as being a permanent U.S. resident. He immigrated to the U.S. from Turkey when he was a child, after his mother married an American citizen. On Thursday, a federal official told KING that further investigation revealed that Cetin is a naturalized U.S. citizen. That means he was legally registered to vote. And, while it’s clear that Cetin praised an ISIS leader in a blog post , but his political affiliations aren’t clear at this point. Some have pointed to a 2015 tweet as proof that Cetin supports Hillary Clinton: However, Cetin appears to have been referring to the NFL Conference Championship game between the Green Bay Packers and Seattle Seahawks that was held on the same day, January 18, 2015, that Cetin tweeted. In saying that if “we win” he would vote for Hillary Clinton, Cetin appears to imply that he wouldn’t vote for Clinton under normal circumstances. So, it’s true the Cetin voted in three state elections in Washington since 2014, but he was a naturalized U.S. citizen who was legally allowed to do so. And claims that Cetin supports Hillary Clinton don’t check out since his tweet from January 2015 seems to state the opposite. ","Terrorism"
"Obama Asks Americans to Cancel 9/11 Tributes that would Offend Muslims-Fiction!","2016-09-06 10:07:16","https://www.truthorfiction.com/obama-asks-americans-cancel-911-tributes-offend-muslims/"," Claims that President Obama has asked Americans to not hold 9/11 tributes to avoid offending Muslim protesters have gone viral. "," False claims about Obama canceling 9/11 tributes came from a fake news website. The story appeared at Departed under the headline “Obama Asks Americans Not to Hold 9/11 Victim Tribute Because Muslim Protestors Being ‘Offended’” that was quickly shared more than 18,000 times on social media. Taken out of context, some believed that Obama had actually asked Americans to cancel tributes to 9/11 victims. However, Departed publishes reader-submitted stories that aren’t fact-checked and often report fake news with a conservative slant. There’s no truth to these reports, and Obama has participated in 9/11 memorial ceremonies and victim tributes every year to mark the anniversary. Click here to review the remarks Obama delivered at the Pentagon to mark the anniversary of 9/11 in 2015.","Terrorism"
"Hillary Clinton VP Pick Tim Kaine’s Ties to Radical Islam-Truth! & Fiction!","2016-07-25 15:28:45","https://www.truthorfiction.com/hillary-clinton-vp-pick-tim-kaine-ties-radical-islam/"," Claims about Tim Kaine having longstanding ties to radical Islam went viral after Hillary Clinton named the Virginia senator as her running mate. "," Claims about Tim Kaine’s connections to radical Islam are true, false and misleading. Those rumors started with a report by Breitbart that appeared under the headline, “Clinton VP Pick Tim Kaine’s Islamist Ties” that makes three specific claims about Kaine. We took a look at all three claims: Tim Kaine Appointed Muslim Brotherhood Terrorist Suspect to State Immigration Commission- Truth! & Fiction! Tim Kaine appointed Dr. Esam Omeish to serve on the Virginia Commission on Immigration while Kaine served as the state’s governor in 2007. Omeish resigned a month later after a video from a political rally in 2000 surfaced that showed him calling for support of the “jihad way.” Another video showed Omeish call for a crowd gathered for at a Jerusalem Day rally in December 2000 to stand with Muslims fighting in the Middle East. In the video, Omeish says, After requesting Omeish’s resignation, Kaine said in a statement that, “Dr. Omeish is a respected physician and community leader, yet I have been made aware of certain statements he has made which concern me. Dr. Omeish indicated he did not want this controversy to distract from the important work of the commission.” The American Islamic Forum for Democracy (AIFD) said in a statement that it was “unfortunate” that Kaine did not thoroughly vet Omeish prior to his appointment to the commission: Many of Dr. Omeishﾒs statements and activities in the past have in fact been a manifestation of political Islam and his attempt to use the Muslim community as a tool in a specific Islamist political agenda. This not only violates the core principles of the separation of religion and politics, which is a cornerstone of our nation, but is in fact the main mechanism of influence of transnational Islamism. His public advocacy of  jihad in the Middle East by co-religionists implicitly via terrorist organizations like Hezbullah or HAMAS against Israel, an ally of the United States, should certainly highlight the toxicity of Islamism as a political ideology — regardless of the ideological jujitsu one uses to define ‘jihad’. For his part, Omeish denied that he had advocated for violence, saying, “In Islam, jihad is a broad word that means constant struggle — struggling spiritually, emotionally, intellectually, physically — in all respects. So my words were in support of people who are resisting occupation and people who are trying to . . . remove oppression from their land.” So, while it’s true that Omeish resigned from the immigration commission after videos came to light of him making controversial comments about jihad, the claim that Omeish himself was suspected of terrorism is false. That claim appears to stem from his involvement with the Muslim American Society (MAS) — and allegations that the group has ties to the Muslim Brotherhood. Omeish served as president of multiple regional chapters of MAS, and he also served on its national board of trustees, according to his website . However, MAS denies any current ties to the Muslim Brotherhood. The group, which was founded in 1993, acknowledges that the Muslim Brotherhood (or Ikhawan) played an influential part in post-colonial Muslim history, and, as a result, literature written by Hassan al-Banna, the founder of the Muslim Brotherhood, has been used to form the foundation of MAS: The Ikhwan are an influential part of post-colonial Muslim history, and have given rise to many prominent Muslim thinkers. This naturally resulted in the literature of those Islamic movements becoming the foundational texts for the intellectual component for Islamic work in America. We believe this had the advantage of protecting the majority of Muslims from extremist ideologies. With Muslims establishing themselves more and more as an integral part of American society, there was a need for an ongoing effort to re-evaluate the literature. This resulted in a re-examination of various authors and their contributions to the legacy. The outcome was the realization that the majority of what was written by Hassan al-Banna can be categorized as foundational thought (e.g. balanced understanding of Islam, societal reform, peaceful change, etc.) while a part of what he wrote may have been applicable to his time and place, but not to Muslims in America. MAS is not listed as a terrorist organization by the State Department. Beside that, we could not find any official documents to support the claim that Omeish was suspected of terrorism. Tim Kaine Spoke At Dinner Honoring Muslim Brotherhood Terror Suspect- Truth! & Misleading! While running for the Senate in 2011, Tim Kaine spoke before the International Institute of Islamic Thought (IIIT) during a “Candidate Night” dinner hosted by the organization. Kaine was among “46 Democratic and Republican politicans making their pitch for election or reelection to state offices” during the dinner, IIIT reported in a 2011 press release about the dinner. And, as the former governor of Virginia, Kaine was invited to speak at the dinner. At the Candidate Night dinner, Dr. Jamal Barzingi, a man who was reportedly instrumental in establishing the Muslim Brotherhood’s influence in the United States, was honored with IIIT’s lifetime achievement award, according to the press release. Barzingi’s obituary (he died in 2015) reports that he was the president of the Muslim Students Association (MSA) in “its early days.” During that time, the Washington Post reported in 2004 , Bazingi shaped the Muslim Brotherhood’s influence in Egyptian elections: The life story of one of the IIIT network’s leaders illustrates the key role it has played in the global politics of the Ikhwan. Jamal M. Barzinji fled his native Iraq in 1969 when the Baathist regime started executing fellow Islamists. An engineering student and top MSA leader, he joined MSA associates in 1971 to host the top leaders of the Egyptian Brotherhood, just released from 16 years in prison, for two weeks of meetings in Indiana. He and other then-MSA leaders helped persuade the Egyptian brothers to try participating in Egyptian elections as an alternative to underground struggle , he said. “It was one of our main contributions to the Ikhwan movement worldwide,” he said. He and his associates likewise have hosted many other Islamist leaders here over the years to “show them how wrong they are in being anti-American,” Barzinji said. But again, there’s no indication that Barzinji was suspected of terrorism. In fact, Barzinji actively worked with Republican strategist and thought leader Grover Norquist to help Republicans win over Muslim voters. Norquist later said the Muslim vote won the presidency for George W. Bush in 2000. And Kaine’s appearance at the IIIT Candidate Night dinner has been mischaracterized. Kaine and nearly 50 other politicians from Virginia were in attendance that night to court support for their campaigns, which isn’t out of the ordinary. Tim Kaine Accepted Islamist Financial Support- Truth! & Fiction ! Claims that Tim Kaine accepted funding from an Islamist are a mixed bag of truth and fiction. The Breitbart article correctly states that Barzingi’s group, IITC, donated $10,000 to New Dominion PAC in 2011 — and that New Dominion PAC donated $43,050 to Kaine’s gubernatorial campaign from 2003-2005. So, clearly, Kaine received contributions from New Dominion PAC more than six years before IITC donated $10,000 to the PAC. That connection between IITC and Kaine’s political career doesn’t check out. Kaine did receive $7,800 from American Islamic organizations from 2011-2012, according to the Islamist Money in Politics database . But that’s not very unusual. Candidates from both parties are listed as having received donations from Islamic groups (even though Democrats usually receive more), so it doesn’t prove much. In conclusion, claims about Tim Kaine’s “longstanding ties” to radical Islam are a mixed bag of truth and fiction. It seems, however, that tidbits of truth have often been manipulated and misconstrued to support the larger narrative that Kaine has radical Islamic ties. ","Terrorism"
"Muslim Group Donates $87,000 to Family of Orlando Shooter-Fiction!","2016-06-30 07:49:41","https://www.truthorfiction.com/muslim-group-donates-87000-family-orlando-shooter/"," It’s been reported that a Muslim community group has donated $87,000 to the family of Orlando shooter Omar Mateeen, who killed 49 people at Pulse nightclub. "," A fake news website is behind false reports that the Muslim community donated $87,000 to the Orlando nightclub shooter’s family. The rumor started with an article published by Associated Media Coverage under the headline, “Muslim Community Donates $87,000 to Family of Orlando Shooter.” The article begins: According to several recent reports, the Muslim community has made a donation in excess of $87,000 to the family of Orlando nightclub shooter Omar Mateen. It’s currently unknown how the funds will be distributed, however it’s been said that the majority of the $87,000 will be allocated to Omar Mateen’s widow Noor Salman and father Seddique Mateen. Sources indicate that the remaining funds will be distributed among Omar’s siblings. Prior to distributing the donation, the Mateen family is expected to provide Omar with a ‘proper Islamic funeral’. Within days, the fake article had been shared more than 30,000 times on social media. Many who read it were led to believe that the report was true, but that’s not the case. But Associated Media Coverage isn’t a reputable news source. The site doesn’t clearly identify itself as fake news, but we’ve investigated plenty of its false reports in the past. There were false about states implementing a two-pet maximum law , and one about a curfew for motorcycle riders , just to name a few. Just like past stories published by the site, the report that the Muslim community donated $87,000 to the Orlando shooters family is false.","Terrorism"
"Akbar the Skateboarder Video Shows Suicide Bomber Mishap-Fiction!","2016-06-28 09:45:09","https://www.truthorfiction.com/akbar-skateboarder-video-shows-suicide-bomber-mishap/"," A video called “Akbar the Skateboarder” appears to show a would-be suicide bomber explode in a ball of flames after falling off a hover board. "," This Akbar the Skateboarder video isn’t real. A six-second video clip that appeared to show a man that lost his footing while going down a hill on a hover board and burst into flames when he hit the ground has been widely shared in discussion forums and on social media. However, it isn’t real. The real video shows a run-of-the-mill hover board fail in Dubai. The real version, which can be found here at the Daily Mail’s website, does not end with the man bursting into flames. That part was added using video editing software. ","Terrorism"
"All 4th of July Fireworks Canceled Due to Terrorism Fears-Fiction!","2016-06-27 13:10:59","https://www.truthorfiction.com/4th-july-fireworks-canceled-due-terrorism-fears/"," Reports that all fireworks displays for the 4th of July have been canceled due to fears about terrorism have gone viral. "," A fake news website is behind the false report that all 4th of July fireworks displays in the U.S. have been canceled because of terrorist threats. The story surfaced with a report at the Christian Times Newspaper under the headline, “BREAKING: Feds Cancel ALL July 4th Fireworks Due to Terror Fears.” The report begins: Thursday that Fourth of July fireworks shows across the U.S. will be canceled for safety and security reasons. Representatives from the FBI, DOD, and Department of Homeland Security held a joint press conference in Washington to announce the unprecedented policy move. “Ongoing threats to American national security from ISIS, domestic terrorists, and foreign terrorist organizations led federal authorities to determine that a cancellation of July 4th fireworks is necessary to reduce potential attack scenarios,” said Terrance Lively, a counter-terrorism expert with the DHS. However, a quick glance at the Christian Times Newspaper’s disclaimer reveals that it’s not a reputable source for news. It states that the site makes clear that “not all stories are necessarily grounded in fact.” Given the fake news website’s resemblance in name and branding to the reputable Christian Times , there’s often confusion about the credibility of the website. We can confirm, however, that reports that all fireworks shows have been canceled are false. ","Terrorism"
"Marco Rubio: Orlando Shooting God’s Sign I’m Needed in Senate-Fiction!","2016-06-24 09:05:19","https://www.truthorfiction.com/marco-rubio-orlando-shooting-sign-im-needed-senate/"," Florida Senator Marco Rubio said that the shooting at Pulse nightclub in Orlando that left 50 people dead was a signal from God that “He needs me back in the Senate.” "," This fake Marco Rubio quote came from a fake news website. A story published by Newslo on June 14th under the headline, “Rubio: ‘God Killed Those Gays in Orlando to Signal He Needs Me Back in the Senate,” begins: The terrorist attack at an Orlando, Florida, nightclub has “impacted” the thinking of Marco Rubio “about a lot of things,” the Florida senator said Monday, including making him “think a little bit about your service to your country and where you can be most useful to your country.” During an interview with Hugh Hewitt on Monday morning, the conservative radio host urged the former Republican presidential candidate to change his mind and seek re-election for his Senate seat. “This is indeed a time to reflect,” Rubio told Hewitt. “This is a time to reflect on our past, on what we have done to cause this tragedy, how to remedy it for the sake of the future, and most importantly, how to address the consequences of this terrible attack. Because, despite of what we might think, we have a lot to do with this, every single one of us. Especially the Democrats.” The story was quickly shared more than 33,000 times on Facebook, and many readers were duped into believing that it was true. One person commented on the story: OMG…I seriously considered as a possible candidate, but now he’s said all these stupid things, I would never ever vote for him. Are all politicians IDIOTS?? However, Newslo is a hybrid news-satire website that lets readers toggle between tidbits of fact and fiction in its story. Rubio’s quote that the Orlando nightclub massacre was a sign from God that he should return to the Senate was fiction. The truthful part was an exchange between Rubio and radio host Hugh Hewitt in which Rubio said that tragedies like the Orlando shooting make one rethink service to their country and how they can be most useful. ","Terrorism"
"Seddique Mateen Visits White House; Meets with President Obama-Unproven!","2016-06-22 14:23:57","https://www.truthorfiction.com/seddique-mateen-visits-white-house-meets-president-obama/"," Seddique Mateen, the father of Orlando terrorist attacker Omar Mateen, visited the White House and met with President Obama’s staff. "," We haven’t seen anything proving that Seddique Mateen met with President Obama or administration officials at the White House. That rumor started with Downstream Politics in an article appearing under the headline, “Orlando Killer’s Father Held Meetings at the White House.” The story, which was quickly shared nearly 54,000 times on Facebook, begins: Seddique Mateen, father of the Orlando killer and outspoken supporter of the Taliban, has also been a guest at Obama’s White House and Hillary’s State Department.  On his Facebook page – which has since been deleted – the senior Mateen publishes photos and makes it sound as though he were meeting with senior staff. But who knows? The article is based purely on speculation about Seddique Mateen’s Facebook posts, and it even concludes with the catchall disclaimer, “but who knows?” The article uses screen grabs of photos that Seddique Mateen posted of himself posing outside of a door marked “State Department” and “Committee on Foreign Affairs.” That’s flimsy proof that he held meetings with high-ranking officials. Seddique Mateen also posted pictures of himself with Democratic U.S. Rep. Charlie Rangel and Republican U.S. Rep. Ed Royce ( who chairs the Committee on Foreign Affairs ). Royce said in a statement that he had a “brief, inconsequential” meeting with Seddique Mateen: “About a year and a half ago, we had a brief and inconsequential meeting. I routinely meet with Afghan-Americans, and I vaguely recall a discussion about the issue of Afghanistan-Pakistan relations.” A spokesperson for Rangel, meanwhile, said the congressman was stopped in the hallway by Seddique and was asked for a photo — but the two men never had a meeting. Given that there’s no evidence that Seddique Mateen met with President Obama or administration officials, we’re calling this one unproven. ","Terrorism"
"Laila Alawa Hired by Obama to Department of Homeland Security Post- Truth! & Fiction!","2016-06-20 09:53:07","https://www.truthorfiction.com/laila-alawa-hired-obama-department-homeland-security-post/"," Laila Alawa, a Syrian immigrant, was appointed to the Department of Homeland Security (DHS) Advisory Council ‘s Countering Violent Extremism Subcommittee. "," Laila Alawa served on the DHS Advisory Council’s Countering Violent Extremism (CVE) Subcommittee — but this isn’t a new development and she wasn’t included in a final report released  by the subcommittee in June. DHS Secretary Jeh Johnson ordered the Homeland Security Advisory Council to establish the Countering Violent Extremism Subcommittee in November 2015. The goal was for the subcommittee to serve as “an incubator of ideas” and to develop recommendations to help DHS support non-governmental organizations directly or indirectly work to counter violent extremism. Laila Alawa was listed as a member of the subcommittee on the DHS website — and an article published by conservative pundit Tucker Carlson’s The Daily Caller under the headline, “Syrian Immigrant Who Said 9/11 ‘Changed the World for Good’ Is a Homeland Security Adviser.” The report takes issue with this 2014 tweet from Laila Alawa about 9/11: The Political Insider picked up the story under the headline, “Just After Orlando, Obama Hires Muslim Who Praised 9/11 FOR THIS JOB.” That story falsely made it appear that President Obama had “just” hired Laila Alawa for a DHS post and fueled outrage among conservative and right wing blog sites. Even though Laila Alawa was listed as a member of the subcommittee on the DHS website, her name does not appear anywhere in an i nterim report that was released by the subcommittee in June. Alawa, the CEO and founder of The Tempest , a media company that caters to young women, responded to her critics, and claims that she had “just” been hired in a blog post . Of her work on the subcommittee and its interim report, Alawa wrote: The report, focused on creating “just add water” solutions to counter extremists of all backgrounds and ideologies, went out this week, following the horrific Orlando tragedy and amidst the murky political election season we all know too well. We were working to “leverage outside expertise and new thinking to support and enhance, as well as assist in reframing and re-envisioning, where necessary the Department’s CVE efforts.” I worked to ensure that the future of America’s CVE programming focused on creating inclusive solutions that promoted a national sense of community and belonging, rather than isolation and alienation. The problem is – I wasn’t included on the final report. I was just noted on the DHS website, and that’s when things got horrific. And in response to the tweet about 9/11, Alawa wrote: Just like every American, 9/11 was a tragedy that hit close to home. I was 10 when it happened, living in upstate New York, and the event and ensuing aftermath left me – and the nation – reeling. So much so that it changed my career path for good – I now fight to ensure that every woman, no matter who or where or how she is, has a media outlet to find a space in. So in 2014, upon the anniversary of the attacks, I sent out a tweet, like I do every year, about the events that had transpired. To put it in third grade terms, since everyone is pretending not to understand given what I wear on my head, believe as my faith, and identify as my heritage: The tragedies of 9/11 changed the world as we know it permanently. It’s up to us to make the world a more united place by having conversations, no matter our differences. So, it’s true that Laila Alawa was once appointed to serve on the Homeland Security Advisory Council’s Countering Violent Extremism Subcommittee — but claims that she was “just” hired or that it was in response to the Orlando terrorist attack are false. And it’s also true that Alawa tweeted about 9/11, but she has argued that her statements were misinterpreted and taken out of context. Given all that, we’re calling this one truth and fiction. ","Terrorism"
