"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Marine Col. Jeffery Powers Letter to NFL Commissioner-Authorship Confirmed!","2016-12-15 09:56:18","https://www.truthorfiction.com/marine-col-jeffery-powers-letter-to-nfl-commissioner/"," Retired U.S. Marine Colonel Jeffrey A. Powers wrote a letter the NFL commissioner about players kneeling in protest during the playing of the national anthem. "," Major Colonel Jeffrey A. Powers’ wrote an open letter to NFL Commissioner Roger Goodell about the NFL’s handling of player protests during the national anthem. The letter first appeared on discussion forums and veteran email groups. Then, Colonel Jeffrey Powers’ letter to the NFL commissioner started to go viral in September 2016 after Allen B. West, a former congressman and current outspoken conservative, posted it on his website. The letter opens by Powers recalling how he missed the start of the 1990-1991 football season because he was serving with a battalion of Marines in Operation Desert Storm. Ultimately, 14 of Powers’ fellow Marines “returned home with the American flag draped across their lifeless bodies,” Powers wrote, and the last conversations he had with one of those fallen Marines was about the New York Giants: Many friends, Marines, and Special Forces Soldiers who worked with or for me through the years returned home with the American Flag draped over their coffins. Now I watch multi-millionaire athletes who never did anything in their lives but play a game, disrespect what brave Americans fought and died for. They are essentially spitting in the faces and on the graves of real men, men who have actually done something for this country beside playing with a ball and believing they’re something special! They’re not! My Marines and Soldiers were! Powers goes on to write that the NFL commissioner is complicit in the protests because he’s happy to fine them for “small infractions” but lacks the “moral courage and respect” to put an immediate stop to the player protests: I observed a player getting a personal foul for twerking in the end zone after scoring. I guess that’s much worse than disrespecting the flag and our National Anthem. Hmmmmm, isn’t it his 1st Amendment right to express himself like an idiot in the end zone? Why is taunting not allowed yet taunting America is OK? You fine players for wearing 9-11 commemorative shoes yet you allow scum on the sidelines to sit, kneel or pump their pathetic fist in the air. They are so deprived with their multi-million dollar contracts for playing a freaking game! You condone it all by your refusal to act. You’re just as bad and disgusting as they are. I hope Americans boycott any sponsor who supports that rabble you call the NFL. I hope they turn off the TV when any team that allowed this disrespect to occur, without consequence, on the sidelines. I applaud those who have not. Powers concludes his letter to the NFL commissioner by hoping that the NFL’s “high paid protesting pretty boys and (Goodell) look in the mirror” and see who they really are. While we weren’t able to track down where the letter was first published, many of the biographical details in Colonel Jeffrey Powers’ biography match up. Powers is a veteran of Operation Desert Storm and commanded a 1,200-man Task Force in Saudi Arabia as part of the lead contingent of Operation Desert Shield, according to his bio at Bloomberg Business: He was decorated for valor while serving as Operations Officer for the lead Task Force into Kuwait. He retired from the U.S. Marine Corps achieving the rank of Colonel. He held command assignments in Marine reconnaissance, light armor reconnaissance, a Dutch Marine rifle company, a U.S. Army Special Forces (Green Beret) training company, as well as an Officer in charge of Special Operations Training Group for the Marines on the west coast. He served as an Analyst for the U.S. Army’s Future Combat Systems at Boeing. He served as Chief Executive Officer of Domestic Energy Corp. until March 2008. Mr. Powers served as an Executive Officer of Eyemakers, Inc. He has been Chairman and Director of Homeland Security Technology Inc., since October 1, 2004. Colonel Powers is a graduate of Villanova University with a B.A. in Criminal Justice, an M.S. in Urban and Environmental Studies from Rensselaer Polytechnic Institute and an M.A. in National Security and Strategic Studies, Naval Warfare College, Newport, RI. Given all that, we’re confirming the authorship of Colonel Jeffrey A. Powers’ letter to the NFL commissioner. ","9-11 Attack on America"
"Boy Dies in Santa’s Arms-Investigation Pending!","2016-12-14 07:34:38","https://www.truthorfiction.com/boy-dies-santas-arms/"," A terminally ill boy died in Santa’s arms after asking to see him one last time. "," The Knoxville News-Sentinel first reported the story of a five-year-old boy dying in a column appearing under the headline “Santa’s Grant’s a Final Wish” on December 12th. The story, which was written by a columnist named Sam Venable, tells the story of five-year-old boy dying in Santa’s arms . Eric Schmitt-Matzen, the Santa impersonator, said it all began when he got a call from a friend at a local hospital that a dying five-year-old boy’s last wish was to see Santa: “When I walked in, he was laying there, so weak it looked like he was ready to fall asleep. I sat down on his bed and asked, ‘Say, what’s this I hear about you’re gonna miss Christmas? There’s no way you can miss Christmas! Why, you’re my Number One elf! “He looked up and said, ‘I am?’ “I said, ‘Sure!’ “I gave him the present. He was so weak he could barely open the wrapping paper. When he saw what was inside, he flashed a big smile and laid his head back down. ‘“They say I’m gonna die,’ he told me. ‘How can I tell when I get to where I’m going?’ “I said, ‘Can you do me a big favor?’ “He said, ‘Sure!’ “When you get there, you tell ’em you’re Santa’s Number One elf, and I know they’ll let you in. “He said, ‘They will?’ “I said, ‘Sure!’ “He kinda sat up and gave me a big hug and asked one more question: ‘Santa, can you help me?’ “I wrapped my arms around him. Before I could say anything, he died right there. I let him stay, just kept hugging and holding on to him. “Everyone outside the room realized what happened. His mother ran in. She was screaming, ‘No, no, not yet!’ I handed her son back and left as fast as I could. USA Today and Fox News picked up the story, and media outlets around the world quickly followed suite. But key details from the story of a boy dying in Santa’s arms haven’t been independently confirmed. The boy hasn’t been identified, and his family hasn’t come forward. The hospital that this supposedly happened in hasn’t been identified, either. Sam Venable said he heard about Santa granting a dying boy’s last wish from an old high school friend — but he hasn’t explained how (or if) he vetted Eric Schmitt-Matzen’s story. Venable said he was surprised how big the story had gotten: In some respects I’m surprised how big it ballooned, naturally. You got a Santa Claus story at Christmas you know you’re going to get some mileage out of it … I had absolutely no idea. I contacted (Eric) today after I realized what was going on, and I said ‘Eric you better be ready, they’re coming,’ and he said ‘they already are,’ and he had three interviews set up….” Right now, the story is based entirely on Schmitt-Matzen’s account and it’s been re-reported without key elements being independently verified. We’re trying to confirm the boy’s name and the hospital where he died. Our investigation is ongoing, so check back for updates. . ","9-11 Attack on America"
"GOP Plans to Cut Social Security-Reported as Fiction!","2016-12-12 11:22:53","https://www.truthorfiction.com/gop-plans-cut-social-security/"," GOP leaders and/or President-elect Donald Trump plan to “massively cut” Social Security by raising the retirement age to 69 and taking other steps in order to save Social Security have gone viral. "," A GOP lawmaker has introduced a plan to save Social Security by cutting benefits — but resident-elect Donald Trump and other GOP leaders don’t appear poised to massively cut Social Security in the near future. In light of a Social Security Board of Trustees report that Social Security would become insolvent by 2034 , Republican Congressman Sam Johnson released a “plan to permanently save Social Security” on December 8th, the last day of the 114th Congress. Johnson said his plan to save Social Security was intended to start a “fact-based conversation” when Congress reconvenes next year. The plan includes seven proposals, several of which would increase the full retirement age to 69, reform how benefits are calculated, and slow benefit increases by linking them to rate of inflation: “For years I’ve talked about the need to fix Social Security so that our children and grandchildren can count on it to be there for them just like it’s there for today’s seniors and individuals with disabilities,” Sam Johnson said. “My commonsense plan is the start of a fact-based conversation about how we do just that. I urge my colleagues to also put pen to paper and offer their ideas about how they would save Social Security for generations to come. Americans want, need, and deserve for us to finally come up with a solution to saving this important program.” It wasn’t clear if Rep. Johnson intended for the plan to be voted on by Congress, or if it was meant to be a place to start a conversation about how to save Social Security. The plan did, however, stir panic that the GOP was going to save Social Security by imposing massive cuts. Meanwhile, House Speaker Paul Ryan released “A Better Way,” a GOP policy blueprint earlier this year. Among other policy proposals, A Better Way lays the groundwork for privatizing Medicare by turning it into a voucher program. However, A Better Way does not outline a GOP plan to save Social Security — which could signal that Ryan did not intend on doing so in 2017. As for Donald Trump, he’s been fairly consistent about the need to save Social Security. Throughout the campaign, Trump said he would be unwilling to cut or gut Social Security and was instead focused on maintaining it through economic growth. In July, Trump told AARP he’d save Social Security by growing gross domestic product (GDP): “If we are able to sustain growth rates in GDP that we had as a result of the Kennedy and Reagan tax reforms, we will be able to secure Social Security for the future. As our demography changes, a prudent administration would begin to examine what changes might be necessary for future generations. Our goal is to keep the promises made to Americans through our Social Security program.” During a Republican primary debate in South Carolina in February 2016, Trump indicated that his plan to save Social Security would also center on eliminating waste and fraud: I’m going to save Social Security. You have tremendous waste, fraud and abuse. We have in Social Security thousands of people over 106 years old. You know they don’t exist. There’s tremendous waste, fraud and abuse, and we’re going to get it. But we’re not going to hurt the people who have been paying into Social Security their whole life and then all of a sudden they’re supposed to get less. We’re bringing jobs back. During another debate with Hillary Clinton in September, Trump said he would be ok with limiting Social Security for the country’s richest people to help save Social Security. And in 2013, Trump said the GOP could not change Medicare and Social Security and still win elections. Finally, in his 2011 book “Time to Get Tough,” Trump wrote that Social Security isn’t an “entitlement,” it’s honoring a deal: Social Security faces a problem: 77 million baby boomers set to retire. Now I know there are some Republicans who would be just fine with allowing these programs to wither and die on the vine. The way they see it, Social Security and Medicare are wasteful “entitlement programs.” But people who think this way need to rethink their position. It’s not unreasonable for people who paid into a system for decades to expect to get their money’s worth — that’s not an “entitlement,” that’s honoring a deal. We as a society must also make an ironclad commitment to providing a safety net for those who can’t make one for themselves. Social Security is here to stay. To be sure, we must reform it, root out the fraud, make it more efficient, and ensure that the program is solvent. Same goes for Medicare. Again, people have lived up to their end of the bargain and paid into the program in good faith. Of course they believe they’re “entitled” to receive the benefits they paid for — they are! So, GOP leaders haven’t indicated that they have plans to save Social Security by cutting benefits in the near future, and President-elect Trump has fairly consistently defended Social Security and spoken against cuts. For now, we’re reporting claims that the GOP plans to massively cut Social Security as fiction. ","9-11 Attack on America"
"“Dumped on Prom Night” Hillary Clinton on Election Night-Fiction!","2016-12-02 13:32:06","https://www.truthorfiction.com/dumped-prom-night-hillary-clinton-election-night/"," A “Dumped on Prom Night” story about Hillary Clinton’s election night letdown claims that Clinton went on a rampage, destroying everything in sight. "," A fake news website is behind “Dumped on Prom Night” reports about Hillary Clinton on election night. The story first appeared at The People’s Cube, described as a “political humor and satire collective” with a socialist bent, on November 12th. The story, published under the headline “Dumped on Prom Night,” starts out by describing the extravagant celebration Clinton had planned: Hillary Clinton’s night on the 9th of November went from a celebration to an absolute meltdown once the election unexpectedly turned on her leaving Trump as the victor. Some of the remnants of Hillary Clinton’s rampage in her private quarters was discovered by the custodial staff the day after the election. Hillary Clinton’s post election celebration included hundreds of thousands of dollars worth of fireworks, live performances by various celebrities such as Cher, who came believing that Hillary was going to win, a five hundred thousand dollar special effect glass ceiling that she would break through in a dramatic display once she won the election, among millions of dollars worth of celebratory preparations all paid for by the Clinton Foundation. The story then goes on to report on “notable damage” in a VIP room that Clinton had been using. The idea of Clinton breaking down in a fit of uncontrollable and destructive rage isn’t a new one. We even investigated a social media rumor that Clinton had a drunken meltdown on election night ( it was unproven ) and another rumor that she melted down after her Presidential Town Hall appearance with Matt Lauer ( also unproven ). Given that the latest version came from a notable fake news website, we’re calling it fiction. ","9-11 Attack on America"
"President Trump Can Send Unblockable Texts-Truth! & Fiction!","2016-12-01 15:22:47","https://www.truthorfiction.com/donald-trump-unblockable-texts/"," President-elect Donald Trump will be able to use the FCC’s Emergency Alert System to send unblockable text messages to all Americans whenever he pleases. "," Claims that Donald Trump will be able to text all Americans whenever he wants to, whether they like it or not, are a combination of truth and fiction. First, it should be noted that Trump has made to mention of abusing the Wireless Emergency Alerts (WEA) to send unblockable text messages to all Americans whenever he wants. At this point the rumor is purely speculation, and it appears to be based on a New York magazine story that appeared under the headline, “Starting January 20, Donald Trump Can Send Unblockable Mass Text Messages to the Entire Nation,” which picked up the story from Twitter user Chris Lawrence: You think Trump's tweets are bad? Wait until he has control over the completely unblockable presidential alerts on your cell phone. — Chris Lawrence (@lordsutch) November 29, 2016 First, let’s take a step back and look at how the WEA system was made possible. It was authorized under the Warning Alert and Response Network (WARN) Act of 2006. An FAQ posted at the FCC’s website explains: WEA is a public safety system that allows customers who own certain wireless phones and other enabled mobile devices to receive geographically-targeted, text-like messages alerting them of imminent threats to safety in their area. The technology ensures that emergency alerts will not get stuck in highly congested areas, which can happen with standard mobile voice and texting services. WEA (formerly known as the Commercial Mobile Alert System (CMAS) or Personal Localized Alerting Network (PLAN)) was established pursuant to the Warning, Alert and Response Network (WARN) Act. The FCC goes on to explain that WEA alerts cover only “critical emergency situations” and can include alerts from the president, Amber Alerts for missing children, and alerts involving imminent threats to safety or life. The WEA system, by design, allows wireless customers to block some alerts — but not those issued by the president: Can I block WEA alerts? Partially. Participating wireless carriers may offer subscribers with WEA-capable handsets the ability to block alerts involving imminent threats to safety of life and/or AMBER Alerts; however, consumers cannot block emergency alerts issued by the President. Why can’t consumers block WEAs issued by the President? In passing the WARN Act, Congress allowed participating carriers to offer subscribers the capability to block all WEAs except those issued by the President. So, the FCC states that the alerts can be used only in “critical emergency situations,” but it does not go any further in describing what situations would qualify. The original WARN Act doesn’t provide any clarity either. Rather, it called for an advisory committee to come up with standards for the WEA system within 180 days of passage. And, according to an FCC notice of rule making , regulations were drafted to ensure that WEA was used only as an “emergency” alerting system “because if the public were to receive alerts that did not relate to bona fide emergencies, it would risk increasing consumer opt out.” A FEMA FAQ goes further by stating that presidential alerts can only be used “during a national emergency,” and reports from 2011 narrow the definition of allowable presidential alerts even further as “alerts involving imminent threats to safety or life as in the case of some sort of attack or natural disaster.” So, it’s true that Donald Trump could send mass text messages to Americans in limited circumstances like a national emergency, natural disaster or situations involving imminent threats — but not whenever he wants to. ","9-11 Attack on America"
"Mattel Releasing Public Assistance Barbie-Fiction!","2016-11-28 12:06:06","https://www.truthorfiction.com/mattel-releasing-public-assistance-barbie/"," Mattel is releasing “Public Assistance Barbie” for the holidays. "," An old fake news report from 2014 that a Public Assistance Barbie would be released in time for Christmas began circulating again in 2016. The report was published by fake news website Empire News on November 19, 2014, under the headline, “Mattel Releasing ‘Public Assistance Barbie’ in Time for Holidays.” It begins: In a bold move today that is sure to create controversy among fans of the company, Mattel announced its new Barbie doll; ‘Public Assistance Barbie’ will be marketed directly to inner-city youths and children of welfare recipients. ”Since 1959 Barbie dolls have been through major changes to reflect the times we live in. Today with over 40% of Americans on some sort of public assistance, we felt the time was right for ‘Public Assistance Barbie,” said Mattel spokesman Rick Reynolds. “After doing research on people receiving assistance, we have come out with what we think is a fair and sensitive portrayal of that kind of person with our new doll. Each Public Assistance Barbie will come with a new Cadillac, Puma sweats, a pack of Newports, an Obama phone, an EBT card, and a rack of Budweiser. She will also come in three styles: heavily tattooed and pierced, pregnant and smoking, and a ‘black eye’ version from when drunken Ken beat her for not paying the cable bill. Public Assistance Barbies will be on the shelves in time for your holiday purchases, and will come in special theft-deterrent boxes. EBT cards cannot be used to purchase, unfortunately.” Empire News clearly identifies itself as “for entertainment purposes only” on its “About Page,” but its stories are commonly mistaken for actual breaking news when taken out of context on social media. That’s what happened when the story was picked up in November 2016. ","9-11 Attack on America"
"President Obama’s Uniparty Slush Fund-Fiction!","2016-11-21 09:39:23","https://www.truthorfiction.com/president-obamas-uniparty-slush-fund/"," Most Americans don’t know that the American Recovery and Reinvestment Act (ARRA) of 2009, aka the Stimulus Package, has renewed $1 trillion in federal spending in each of the last eight years, creating a “Uniparty Slush Fund” for President Obama. "," Claims that the Stimulus Package has quietly authored $1 trillion in federal spending in each of President Obama’s eight years in office, creating a Uniparty Slush Fund, are false. The rumor appears to have started with an article appearing at the Conservative Treehouse blog site under the headline, “Most Americans Don’t Know About President Obama’s UniParty Slush Fund.” The article first details how President-elect Donald Trump will be able to reverse Obama’s Deferred Action for Childhood Arrivals (DACA), DREAM Act and Deferred Action for Parents of Americans (DAPA) executive actions without the help of Congress. Then, it makes a series of false claims about the Stimulus Package to support the idea that Obama has had access to a little-known Uniparty Slush Fund for the last eight years: In February 2009 congress passed the American Recovery and Reinvestment Act, or ARRA, commonly referred to as Obama’s stimulus plan.  The stimulus was just shy of one trillion ($986 billion +/-). At the time of passage this single stimulus expenditure reflected a growth of approximately 20% in total federal spending.  The spending went directly into the deficit. Approximately 30% of that “one time” trillion dollar stimulus was spent in 2009, the remaining 70% was spent in 2010.  (*note fiscal years run from October 1st to September 3oth annually). However, absent a federal budget -and because of baseline budgeting- it became a repeated expenditure in each of the following fiscal years. The $1 Trillion Stimulus was spent eight more times. The idea that $1 trillion in stimulus spending became “a repeated expenditure in each of the following eight years” because of the absence of a new federal budget and baseline budgeting practices is completely false. The measure gave the federal government “ budget authority ” to spend a given amount of money for certain purposes, according to laws passed by Congress. The measure was not passed as part of the federal budget, and it does not “renew” with continuing resolutions passed by Congress. The ARRA legislative package outlined nearly $1 trillion in direct spending in infrastructure, education, healthcare, energy, tax incentives and social welfare programs as part of that budget authority. The stimulus package included a detailed accounting of one-time investments to be made in those specific areas, and various online databases feature dime-for-dime accountings of where stimulus spending went. Besides that, the nonpartisan Congressional Budget Office (CBO) is required to report on the impact of Stimulus Package spending each year, and part of that accounting is a review of the total cost of the measure. In its most recent report, the CBO found that the Stimulus Package would increase budget deficits a total of $840 billion between fiscal years 2009 and 2019: When ARRA was being considered, the Congressional Budget Office and the staff of the Joint Committee on Taxation estimated that it would increase budget deficits by $787 billion between fiscal years 2009 and 2019. CBO now estimates that the total impact over the 2009– 2019 period will amount to nearly $840 billion. By CBO’s estimate, close to half of that impact occurred in fiscal year 2010, and more than 95 percent of ARRA’s budgetary impact was realized by the end of December 2014. If, as the UniParty Slush Fund claim suggests, the Stimulus Package renewed $1 trillion in federal investments every single year, the economic impact of the bill would be far greater than $840 billion over a 10-year period. So, claims that President Obama has a UniParty Slush Fund, and that the Stimulus Package renews each year, are false. ","9-11 Attack on America"
"Donald Trump Wins Popular Vote in 2016 Election-Reported as Fiction!","2016-11-14 07:56:31","https://www.truthorfiction.com/donald-trump-wins-popular-vote-in-2016-election/"," President-elect Donald Trump won the Electoral College and the popular vote despite claims that Hillary Clinton won the popular vote and still lost the election. "," Hillary Clinton was leading in the popular vote by 630,877 votes as of November 13, but there were still millions of uncounted ballots that hadn’t been counted. At last count there were about 7 million uncounted ballots, mostly in states that Clinton carried by wide margins, so it seems unlikely that Donald Trump would close on Clinton’s popular vote margin of victory. Even so, Donald Trump gained 290 electoral votes (270 are needed) by winning key swing states like Florida, Ohio and Pennsylvania. Clinton, meanwhile, won 228 electoral votes but opened up a popular vote lead with overwhelming support in non-swing states like California, where she held a 28-point lead over Trump As of November 14th, Clinton led Trump in the popular vote by 60,350,241 to 60,981,118, a margin of about 630,877 votes, the Associated Press reports . However, millions of votes across the country hadn’t yet been added to the final tally. The Los Angeles Times reported on November 10th that there were more than 4 million ballots in California, which would likely add to Clinton’s popular vote lead: The official total — 4,362,087 ballots — will undoubtedly change and possibly even grow over the next few days. Three counties, including vote-rich San Diego County, did not submit an estimate of unprocessed ballots for Thursday night’s statewide report. In addition, California law says that any ballot postmarked by election day can still be counted if it arrives as many as three business days late. State officials have extended this year’s deadline to Monday, because that third day, Nov. 11, is a federal holiday. More than 1 million of the pending ballots — almost one of every four — remain to be sorted and counted in Los Angeles County. Three-fourths of the ballots statewide were cast absentee, with the rest being provisional ballots cast on election day by voters whose registration information could not be quickly verified. The Atlantic reported on November 13th that there were about 7 million uncounted provisional and absentee ballots, mostly in California, Washington and New York: State officials are still counting millions of provisional and absentee ballots, and within two weeks, Clinton will likely have another few million votes in the bank. Most were cast in the Clinton-leaning states of California, Washington, and New York—not swing states—so they won’t change the Electoral College. But there’s a sufficient amount to put her within striking distance of Obama’s 2012 turnout, and help put an end to the argument that she simply didn’t work hard enough. “We probably have about 7 million votes left to count,” said David Wasserman, an editor at Cook Political Report who is tracking turnout. “A majority of them are on the coasts, in New York, California, and Washington. She should be able to win those votes, probably 2-1.” By mid-December, when the Electoral College officially casts its ballots, Wasserman estimates that Clinton could be ahead by 2 percentage points in the popular vote. Clinton’s likely popular vote victory led to a Change.org petition for the Electoral College to cast electoral ballots for Clinton on December 19th. The petition, which had about 4.3 million signatures, states: On December 19, the Electors of the Electoral College will cast their ballots. If they all vote the way their states voted, Donald Trump will win. However, they can vote for Hillary Clinton if they choose. Even in states where that is not allowed, their vote would still be counted, they would simply pay a small fine – which we can be sure Clinton supporters will be glad to pay! We are calling on the Electors to ignore their states’ votes and cast their ballots for Secretary Clinton. Why? Mr. Trump is unfit to serve. His scapegoating of so many Americans, and his impulsivity, bullying, lying, admitted history of sexual assault, and utter lack of experience make him a danger to the Republic. Secretary Clinton WON THE POPULAR VOTE and should be President. Hillary won the popular vote. The only reason Trump “won” is because of the Electoral College. But the Electoral College can actually give the White House to either candidate. So why not use this most undemocratic of our institutions to ensure a democratic result? In the wake of the petition, rumors began circulating that the Trump had actually wont the popular vote but mainstream media withheld final tallies to make it appear Trump lost the popular vote to stir controversy. We didn’t find any evidence to support that claim. ","9-11 Attack on America"
"Obama Signs Executive Order to Investigate Election Results-Fiction!","2016-11-10 13:04:48","https://www.truthorfiction.com/obama-signs-executive-order-investigate-election-results/"," Shortly after Donald Trump was elected president, a report surfaced that President Obama had signed an executive order authorizing an investigation into the election results and a re-vote will be held December 19th. "," President Obama hasn’t contested the results of the 2016 presidential election, and there’s no “revote” scheduled for December 19th. Those rumors strem from an article that appears at a fake news website that uses the likeness of ABC News to trick readers into believing its articles are factual. The site published the report on November 10th under the headline, “Obama Signs Executive Order Declaring Investigation into Election Results; Revote Planned for Dec. 19th.” It begins: WASHINGTON, D.C. (AP) — Following the results of Tuesday night’s election, President Obama has signed Executive Order 13805, which orders a full recount of all votes cast in the election and calls for a special election to be held on December 19th. Obama signed the order in response to the concerns of thousands of voters across the country who said that they were prevented from casting a ballot on election day, too many absentee ballots have not been found or counted, equipment failures, as well as concerns that some members of the electoral college may have acted unethically. “People all over the country have been flooding my office with calls, telling my staff of horror stories about being harassed and intimidated by poll workers,” Obama told reporters. “Many have even said that they were flat out denied entry into the voting booths to cast their ballots if they were wearing a Hillary Clinton shirt or other signs showing support for her as President. This was especially bad in areas of Florida and North Carolina where there are high numbers of Latino and African American voters. We must investigate these claims. The margin of victory is too close to call, and the outcome of this election is too important. There is just too many legal challenges in too many states to just call this a victory for Trump.” Under the President’s order, the votes cast in all precincts nationwide will be recounted, and all poll workers who took part in Tuesday’s election will be subjected to strict background checks. This process is expected to take 30 days. In precincts where the Department of Justice has cause to believe that voter suppression has occurred, new elections will be held on Dec. 19th, with those results being used to help determine who will represent the individual states in the electoral college. In reality, Obama signed no such executive order. A complete list of executive orders can be found on the White House’s official website, and nothing about a review of election results or a revote on December 19th appears there. Beside that, Obama has publicly embraced the election results and said he and an “excellent meeting” with Trump in the Oval Office a few days after the election. ","9-11 Attack on America"
"Trump Accuser Summer Zervos Was Paid $500,000-Unproven!","2016-11-04 13:09:34","https://www.truthorfiction.com/trump-accuser-summer-zervos-paid-500000/"," A viral report alleges that Summer Zervos, an “Apprentice” contestant who came forward with sexual assault allegations against Donald Trump, was paid $500,000 by Gloria Allred to fake the story. "," These unfounded allegations are based on anonymous sources that can’t be verified. The story first appeared at GotNews under the headline, “Breaking: Ex-Apprentice #SummerZervos Paid $500,000 by @GloriaAllred to Accuse Trump, Deal Went to Others Too,” accused Zervos of being a “fake rape.” The story beings: The Apprentice loser and Trump “fake rape” accuser Summer Zervos was bribed $500,000 by Democrat fundraiser and lawyer Gloria Allred to make her accusations against Donald Trump, a deal that was shopped around to other ex-Apprentice contestants too, according to anonymous sources familiar with the matter. GotNews’ source tells us that Zervos’ sexual harassment accusation against Trump is a “completely fabricated hoax.” Zervos was paid half a million dollars by Gloria Allred, which is being paid out “slowly over time” according to our source. The story was quickly picked up and circulated on right-wing websites. Later, the original was updated with a comment from Gloria Allred, an attorney and Democratic booster, who denied the allegations: Your “tip” is completely false. I have never paid anyone to come forward. Feel free to tell your tipster, who is probably a Trump supporter that I said so. Zervos came forward in October with allegations that she was sexually assaulted by Trump. Zervos, who was represented by Allred, said Trump groped and kissed her in 2007 when she approached him about a job opportunity, ABC News reports : “When I arrived, he kissed me on the lips. I was surprised, but felt that perhaps that was just his form of greeting,” Zervos said in a statement that she read, sometimes haltingly and and often with tears. Trump praised her intelligence and attractiveness and said “that he would love to have me work for him,” according to Zervos. He promised to contact her a few days later, when he was in Los Angeles, then sent her off with another kiss on the lips. “This made me feel very nervous and embarrassed,” Zervos said. “When I arrived, he kissed me on the lips. I was surprised, but felt that perhaps that was just his form of greeting,” Zervos said in a statement that she read, sometimes haltingly and and often with tears. Trump praised her intelligence and attractiveness and said “that he would love to have me work for him,” according to Zervos. He promised to contact her a few days later, when he was in Los Angeles, then sent her off with another kiss on the lips. “This made me feel very nervous and embarrassed,” Zervos said. After that, Zervos agreed to meet Trump in Los Angeles, at the Beverly Hills Hotel. Trump, she said, greeted her with an “open-mouthed” kiss and pulled her towards him, then kissed her again and put his hand on her breast, as she attempted to push him away. “Come on man, get real,” she said she told him. Trump “thrusted his genitals” against her. He eventually stopped and their conversation turned to finances, she said. Their evening ended abruptly when he said he was tired, but he then asked her to meet him at his Palos Verdes golf course, Zervos said, and she wondered whether his advances had been “some kind of test,” since it seemed he was still considering her for a job. Trump has denied Zervos’ allegations. ","9-11 Attack on America"
