"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Warnings About Shark Finning-Truth!","2016-08-17 14:53:23","https://www.truthorfiction.com/warnings-shark-finning-truth/"," The practice of shark finning involves fisherman cutting off shark fins and dumping their carcasses back into the ocean. "," Shark finning is a phenomenon that leads to the deaths of countless sharks each year and threatens ocean ecosystems. The practice of shark finning involves fisherman catching various shark species, cutting off their dorsal fin, and dumping the carcasses back into the water to die. One of the driving forces of shark finning has been the historic significance of shark fin soup in China. Chinese empowers once believet hat the dish had healing power and represented the triumph of man over beast, the Smithsonian Ocean Portal reports : In the past, Chinese Emperors favored the soup as a dish that honored guests because it was thought to have medicinal benefits and represented a victory against powerful sharks. This popularity has not faded with time, and has even expanded with China’s growing population. Today shark fin soup is still prevalent and has become a staple for more than just emperors on special occasions. As a result, fishermen have a large incentive to gather and sell shark fins. Because shark fins are far more valuable than other parts of the shark, fisherman routinely dump the less valuable shark carcasses back into the ocean to save room on their boats for the more valuable commodity, National Geographic reports : It will cost countries money to monitor the international trade in shark fins. But keep in mind that fins are a luxury product that fetch exorbitant prices. We saw one set of large great hammerhead fins on sale in Bangkok that was advertised for USD$1,100 per kilogram (about $500 per pound). Shark fin soup was selling for $365 a bowl at a nearby restaurant. There is money in this trade that could and should be redirected towards ensuring compliance with the new international law and promoting sustainability. Overall, researchers believe that humans kill more than 100 million sharks each year, which endangers the species and threatens to imbalance the ocean’s ecosystems since sharks play an important role in them. However, there is some good news. A government frugality drive and public awareness campaigns in China had led to a 70 percent decrease in fin soup consumption by 2014, the nonprofit WildAid reports : Prices of shark fin are falling in China by 50 percent-70 percent and sales have decreased by 82 percent according to a new report released last week by WildAid. “Evidence of Declines in Shark Fin Demand, China” compiles public opinion surveys, surveys of shark find vendors and traders in the markets of Guangzhou, China (the current center of China’s shark fin trade) and surveys of shark fin price data from Indonesian shark fishermen, as well trade statistics and media reports. The report also found rising public awareness with 85 percent of Chinese consumers surveyed online saying that they had given up shark fin soup within the last three years. Two-thirds of these respondents cited awareness campaigns as a reason for ending their shark fin consumption, while the second and third most popular reason given were that they “want to protect sharks” and that it is “cruel the way they kill sharks” — key messages of WildAid’s ongoing public awareness campaign. Similar steps have followed in the U.S. Legislation that would ban the trade of shark fins in the country was introduced in June 2016. Even though shark finning is illegal in U.S. waters, shark fins are routinely bought and sold in the country. The bill would make that illegal, nonprofit Ocean reports : Oceana also released a new report today demonstrating why Congress needs to pass a federal ban on the buying and selling of shark fin products. The demand for shark fins is one of the greatest threats facing shark populations around the world.  In fact, fins from as many as 73 million sharks end up in the global market every year. According to the new report, a nationwide ban on the trade of shark fins would reduce the international fin trade, improve enforcement of the current finning ban, and send a message to other countries that the United States recognizes shark finning as a cruel process that should not be allowed to continue. “Shark finning is cruel and wasteful and it’s putting some shark species at risk of extinction. The United States rightly decided to ban the trade of ivory and rhino horns—yet we still import shark fins, which can be the result of an equally brutal practice,” said Lora Snyder, campaign director at Oceana. “To protect sharks, we need to end the demand for shark fins. Today, the United States took an important step towards achieving this. We applaud the leadership of the bill’s supporters today in helping to end the shark fin trade in the United States.” ","Animals"
"Ligers Are Biggest Cats in the World-Truth!","2016-08-17 14:31:51","https://www.truthorfiction.com/ligers-biggest-cats-world/"," A cross between a lion and a tiger, a liger, is the largest and possibly most dangerous cat in the world. "," Most of what you’ve heard about ligers is true — but breeding practices that result in these big cat hybrids are considered by many to be immoral and unethical. First and foremost, tigers and lions do not naturally breed with each other in the wild. The nonprofit Big Cat Rescue says that lions and tigers don’t coexist in the same areas of the wild, so crossbreeding is not something that happens naturally. Instead, ligers (the result of breeding a male lion to a tigress) and tigons (the result of breeding a male tiger to a lioness) occurs in captivity, most often for amusement. But often, the results aren’t pretty, Big Cat Rescue says: These cats suffer from many birth defects and usually die young. Because ligers are usually larger than either parent, it also puts the tigress at great risk in carrying the young and may require C-section deliveries or kill her in the process. When the public quits paying to see these unfortunate creatures, the evil people responsible for breeding them will stop this inhumane practice. Slate reported on the growing trend of breeding hybrid curiosities — zonkies, ligers, zebroids, just to name a few — and reported that ligers’ hearts and organs often can’t handle the weight of their enormous bodies, which leads to disability or death. And, while ligers are typically much larger than both of their parents, tigons are typically smaller. When standing on their hind legs, ligers can measure up to 12 feet tall, and they can weigh up to 1,000 pounds. To compare, average male lions typically weigh about 420 pounds and measure a little more than six feet long. So it’s true that ligers are the biggest cats in the world — but they are the result of highly questionable breeding practices.","Animals"
"Great White Shark Caught in Great Lakes-Fiction!","2016-06-22 14:32:35","https://www.truthorfiction.com/great-white-shark-captured-great-lakes/"," It’s been reported that a 3,000 pound great white shark has been caught in Lake Michigan. "," A fake news website is behind this tall tale. The story appeared on the fake news website Not Allowed To under the headline, “3,000-Pound Great White Shark Captured in Great Lakes.” The story, which was quickly shared nearly 20,000 times on social media, begins: Waukegan, IL | The capture of a huge 3,000-pound great white shark in Lake Michigan yesterday could explain the disappearance of missing people in the area in the last decade, has confirmed the U.S. Coast Guard this morning. Canadian tourist, John O’Keef and his friend from Chicago, Allan Brooks captured the 3,000-pound beast while fishing for sturgeon in Michigan Lake. “We reeled in the beast for a good 4-5 hours before my friend Allan finally shot it with a rifle and wounded it to the head” explains O’Keef. Taken out of context, many readers were tricked into believing that the report was true — but that’s not the case. Not Allowed To publishes “original and unique articles” that are submitted by its community of readers/contributors. It’s important to note that “accurate” is not listed in the criteria. ","Animals"
"Obama Replaces Bald Eagle with Buffalo As Symbol of America-Fiction!","2016-05-05 10:18:37","https://www.truthorfiction.com/obama-replaces-bald-eagle-buffalo-symbol-america/"," Reports that President Obama has ordered that the buffalo should replace the bald eagle as America’s national symbol. "," The buffalo has been designated as America’s national mammal — but President Obama didn’t “replace” the bald eagle with the buffalo as America’s national symbol. Those rumors started with a report that appeared at American News under the headline, “Obama to Replace National Bird the Bald Eagle with THIS.” The story reports : According to recent reports, our nation is about to get a new animal—and it’s quite a departure from the bald eagle, which has been the sole symbol of the United States for 234 years. Reports indicate that the National Bison Legacy Act has just been passed by Congress, and is expected to pass through the Senate next week. The act denotes the bison as America’s national mammal and a “historical symbol of the United States.” The eagle will reportedly still represent the nation, but it will no longer be the sole animal doing so. If passed, the bison will join the bald eagle, the oak, and the rose as a symbol for our country. The story isn’t factually incorrect, but its headline and overall tone have led readers to believe that the bald eagle has been outright replaced by the buffalo, which is not the case. Congress passed the National Bison Legacy Act in April 2016, which designates the buffalo as America’s national mammal. The legislation states that bison are a “historical symbol of the United States” and that the animal was” integrally linked with the economic and spiritual lives of many Indian tribes through trade and sacred ceremonies.” The bill, which was waiting for President Obama’s signature to become law when the rumor went viral, does nothing to change the bald eagle’s status as an American symbol. That’s why we’re calling this one fiction. ","Animals"
"Social Media Posts Make Claims About Veal Crates-Fiction!","2016-03-31 08:03:52","https://www.truthorfiction.com/social-media-posts-make-claims-veal-crates/"," Viral videos and social media posts that claim to show pictures of veal crates that calves are stored in to limit their mobility and keep their meat tender have been circulating for years. "," There are plenty of valid arguments about the treatment of veal calves, but these posts and videos do not show “veal crates.” Claims about veal crates have been in widespread circulation among animal rights activists and their supports since 2014. That year, a YouTube video tilted “Baby Calves in Veal Crates” was posted, and a Facebook post showing an image of rows upon rows of so-called veal crates began making the rounds: There’s a big problem with these claims, however. The images and videos show pictures of calf hutches, not veal crates. These little plastic huts are filled with hay and provide a small fenced in grass area for calves to enjoy — which is pretty posh considering how veal calves are treated: So, female calves that will grow up to become milk producers are given the luxury of calf hutches. The vast majority of male calves, on the other hand, are slaughtered and processed into veal at about four months of age because they’re unable to produce milk, rendering them worthless to dairy farmers. Veal calves are kept in stanchions in veal barns that limit their mobility and prevent them from getting exercise that toughens their meat into muscle: Animal rights advocates have long called the practice of raising veal calves inhumane. From the dairy industry prospective, however, this setup allows veal calves to receive individualized care and for their eating to be closely monitored, the USDA reports : Today’s modern, environmentally controlled veal barns provide for animal health and safety. The barns are lighted artificially and by natural light, and a constant source of fresh air is circulated. Individual stalls are used for each calf. These stalls provide a safe environment where the calves can stand, stretch, groom themselves and lay down in a natural position. These pens are invaluable to the health of the animal. They allow the calves to be individually looked after. The stall’s slotted floors allow for efficient removal of waste. …Individual stalls allow veal farmers and veterinarians to closely monitor the health of each calf and properly treat a calf with a specific, government approved antibiotic. Veal farmers monitor each calf for health deficiencies such as anemia. The feed is controlled to meet the calves’ iron needs. Health products for use with veal calves are approved by the Food and Drug Administration within the Department of Health and Human Services before being put on the market. The FDA also regulates information on the labeling of the product, the doses permitted, and withdrawal period. So, again, there are plenty of valid questions about raising veal calves — but these social media posts of so-called “veal crates” undercut them. That’s why we’re calling this one fiction. ","Animals"
"BHA in Milk-Bone Dog Treats Causes Cancer-Unproven!","2016-03-25 12:51:41","https://www.truthorfiction.com/bha-milk-bone-dog-treats-causes-cancer/"," Claims that Milk-Bone brand dog treats contain BPH, a preservative allegedly known to cause cancer, have gone viral. "," Claims that Milk-Bone and other dog treats contain cancer-causing BHA aren’t new — and they are haven’t been proven true, either. Panic that Milk-Bone and Beggin Strips, the two most popular dog treat brands in the nation, cause cancer have been floating around the web since at least 2010. Back then, a WordPress site called Good Stuff For Dogs warned that these dog treats contain a number of toxins, including the preservative butylated hydroxyanisole (BHA). Then, the claim went viral again in March 2016 when a Facebook community page called “Planet Paws” repeated the claim in a video that was quickly viewed 15 million times: On its face, that claim has some merit. A National Institutes of Health (NIH) study found that there was “sufficient evidence of carcinogenicity” when BHA was added to the diets of lab rats and hamsters. And the California State Regulatory Program lists BHA on its list of Known Carcinogens and Reproductive Toxins . However, the FDA allows BHA to be added to human food (and dog treats) at certain levels and classifies the preservative as “generally regarded as safe.” The idea is that although BHA might cause cancer in lab rats, its metabolized differently by other animals —humans and dogs in particular — and it’s used in foods at amounts well below levels that would cause problems. Still, the FDA concedes that more research is needed : While no evidence in the available information on butylated hydroxyanisole (BHA) demonstrates a hazard to the public when it is used at levels that are now current and in the manner now practiced, uncertainties exist requiring that additional studies be conducted. For its part, Milk-Bone has responded to customer concerns on Facebook by saying that BHA has been recognized as safe by the FDA, and that “very small amounts of BHA” are added to Milk-Bone treats to preserve fats and prevent staleness: So, after years of speculation about whether or not BHA is a cancer-causing preservative, the jury is still out. The FDA has acknowledged that more research is need, but it considers BHA generally safe for both humans and dogs. That’s why we’re calling this claim unproven. ","Animals"
"Opossums Kill Ticks, Help Stop the Spread of Lyme Disease-Mostly Truth!","2016-03-23 13:19:51","https://www.truthorfiction.com/opossums-kill-ticks-help-stop-spread-lyme-disease/"," Opossums stop the spread of Lyme disease because they kill up to 4,000 ticks a week. "," Claims about possums and ticks are mostly true — but the amount of ticks one possum kills in a week has been skewed. An “Awesome Possum” meme, as it has become known, was posted at the image-sharing community website FunnyJunk.com in mid-March. Within days, it had been shared thousands of times on Facebook, and the legend of the Awesome Possum was born: INSERT PIC The idea is that even though possums are scary looking scavengers that prowl in the night for animal carcasses to feed on, they actually serve an important purpose: preventing the spread of Lyme disease by “hoovering up and killing” up to 4,000 ticks a week, each. As it turns out, there’s scientific evidence to support the “Awesome Possum” claim. It comes from Richard Ostfeld of the Cary Institute for Ecosystem Studies in Millbrook, N.Y. The Cary Institute reports : And now ecologists have learned something else about opossums. They’re a sort of magnet when it comes to riding the world of black-legged ticks, which spread Lyme disease. “Don’t hit opossums if they’ve playing dead in the road,” said Richard Ostfeld, of the Cary Institute for Ecosystem Studies in Millbrook, N.Y. Ostfeld is forest ecologist and an expert on the environmental elements of infectious diseases like Lyme disease. Several years ago, scientists decided to learn about the part different mammals play in the spread of the ticks and the disease. They tested six species — white-footed mice, chipmunks, squirrels, opossums and veerys and catbirds — by capturing and caging them, and then exposing each test subject to 100 ticks. What they found, is that of the six, the opossums were remarkably good at getting rid of the ticks — much more so that any of the others. “I had no suspicion they’d be such efficient tick-killing animals,” Ostfeld said. Indeed, among other opossum traits, there is this: They groom themselves fastidiously, like cats. If they find a tick, they lick it off and swallow it. (The research team on the project went through droppings to find this out. All praise to those who study possum poop.) Extrapolating from their findings, Ostfeld said, the team estimated that in one season, an opossum can kill about 5,000 ticks. So, it’s true that ticks are very good at removing and eating ticks — but not quite as good as the Awesome Possum meme claims. Researchers estimated that one possum could kill about 5,000 ticks in one season — not 4,000 ticks in one year. And the idea that possums stop the spread of Lyme disease is based on a simple cause-and-effect theory: possums help stop the spread of Lyme disease by killing ticks, which carry the disease. That’s why we’re calling this one mostly true. ","Animals"
"Nylabone Dog Treats Are Toxic and Cause Seizures-Reported as Fiction!","2016-03-15 08:24:21","https://www.truthorfiction.com/nylabone-dog-treats-toxic-cause-seizures/"," A viral Facebook post warns that Nylabone dog treats are toxic and can cause seizures. "," There’s no proof that Nylabone dog chews are toxic, or that they can give dogs seizures. Those rumors surfaced with a Facebook post from a woman who said she was passing along a message “from a friend” about her 2 year-old dog having a seizure while eating a Nylabone dog chew: It’s true that chicken flavored Nylabone FlexiChew Bones are “not recommended for strong chewers.” That doesn’t mean they’re toxic or can cause seizures, however. Rather, according to the company’s chew style guidelines, its bones are formulated for specific chewing styles to prevent damage to dogs’ teeth, and to prevent dogs from being able to bite off and swallow large pieces: Get to know your dog’s chewing style – It is important to select the appropriate chew type, size, and formulation based on your dog’s age, breed, chewing style and weight. The pressure exerted by a dog’s jaw is considerable, and when directed straight down can put tremendous stress on their teeth. It is recommended that non-edible chews be large enough to encourage chewing from the side rather than the top and bottom. If your dog is between sizes, choose the larger-size chew item. If you have more than one dog in your household, select chews appropriate for the largest, strongest chewer. If your dog is an especially strong chewer, a larger chew may provide more of a challenge. Nylabone product warnings state that dog owners should call a veterinarian if a dog swallows a large piece of a bone, but there’s been no indication that that would cause seizures. The Canine Journal reports that Nylabones are made from compounds that are very difficult for dogs to digest, which can cause blockage or other severe medical problems: If your dog has eaten part of a Nylabone, you need to go to the vet immediately! The components of a these bones are very difficult for your dog to digest and can cause many problems, not only to your pup’s health but also to your bank account. It’s important to watch your dog and check his toys each time before giving them to him to make sure the toys are still in good condition and that there aren’t any pieces missing. If your dog swallows a large piece of Nylabone or other chew toy you may have to get an x-ray, have him stay overnight at the vet’s, have him undergo expensive emergency surgery or worse. For its part, Nylabone released a statement calling accusations that its products are toxic and cause seizures incorrect: Recently there has been some misinformation about the safety of our products circulating on Facebook. The negative information—mostly originating from and being spread by fake spam accounts—is incorrect, and we would like to set the record straight. All of our products are made from non-toxic, pet-safe materials and are designed for the specific chewing style and size of your dog. From gentle teething puppies to extreme power chewers, Nylabone has a safe, healthy chew for every dog. Nylabone stands for the highest quality in chews and treats. It is our goal to exceed consumer expectations for our products in innovation, safety, quality, and the enjoyment of the people and pets we serve. For decades pet parents like you have trusted Nylabone to help your dog develop positive and healthy chewing habits. If you have any questions or concerns about Nylabone or our products, please contact us at (855) 273-7527 or at http://www.nylabone.com/about/contact-us/ If you see one of these posts on your Facebook newsfeed we encourage you to share the above information in order to help us set the record straight. So, in conclusion, its true that Nylabone dog chews can be dangerous for dogs if large pieces are swallowed. But there’s no proof that Nylabones are toxic, or that they cause seizures. That’s why we’re reporting this one as fiction. ","Animals"
"Video Shows High Diving Giraffes-Fiction!","2016-02-17 11:41:37","https://www.truthorfiction.com/video-shows-high-diving-giraffes/","(adsbygoogle = window.adsbygoogle || []).push({}); Video Shows High Diving Giraffes- Fiction! People are wondering if a viral video showing what appear to be high diving giraffes jumping into a pool is real. "," The high diving giraffes video shows spectacular computer animation, not actual giraffes jumping into a pool. The high diving giraffes animation is the work of Nicolas Deveauxa, a French director at Cube Creative Products. Deveauxa said his work often combines his “passion for imagery with one for animals.” That pretty much sums up the high diving giraffes video, officially titled “5 Metres 80”. Nicolas Deveauxa also animated a wildly popular video of an elephant jumping on a trampoline called “ 7 tonnes 2 ”. It’s not clear how the high diving giraffes video was mistaken for the real thing, but the full video was likely chopped into shorter clips that made the footage appear much more lifelike.","Animals"
"Florida Man Emasculated in Attempted Pit Bull Rape-Fiction!","2016-01-15 13:05:10","https://www.truthorfiction.com/florida-man-emasculated-in-attempted-pit-bull-rape/"," A Florida man had his genitals bitten off by a pit bull after trying to get fresh with the dog, according to reports. "," A fake news website spun this fictional tale about a pit bull’s brutal revenge on a would-be attacker. World News Daily Report published an article under the headline “Florida: Man Emasculated During Attempt to Rape Pit Bull,” and it was quickly shared more than 120,000 times on social media sites. According to the fake news report: Miami| A 37-year old man suffering some very serious groin injuries after being bitten by a pit bull, was admitted at the Ryder Trauma Center, this morning. Jesus Ramon Sanchez, from the Little Havana neighborhood in Miami, was allegedly attempting to engage in sexual intercourse with a 4-year old male pit bull, when the dog defended itself by tearing off the man’s genitals with its teeth. World News Daily Report is notorious for presenting fake news stories in a light that makes them appear real, especially when taken out of context on social media sites. In its disclaimer, however, the website identifies itself as satire: WNDR shall not be responsible for any incorrect or inaccurate information, whether caused by website users or by any of the equipment or programming associated with or utilized in this website or by any technical or human error which may occur. WNDR assumes however all responsibility for the satirical nature of its articles and for the fictional nature of their content. All characters appearing in the articles in this website – even those based on real people –  are entirely fictional and any resemblance between them and any persons, living, dead, or undead is purely a miracle. ","Animals"
