"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Clinton Campaign Paid Beyonce, Jay-Z $62 Million to Secure Black Vote-Fiction!","2016-11-08 11:52:20","https://www.truthorfiction.com/clinton-campaign-paid-beyonce-jay-z-62-million-to-secure-black-vote/"," Desperate to secure the black vote ahead of Election Day, the Clinton Campaign paid Beyonce and Jay-Z $62 million to perform a concert in Cleveland. "," There’s no truth to reports that the Clinton Campaign paid Beyonce and Jay-Z millions to shore up the support of black voters. Empire Herald , a fake news website, started the rumor with a story that was shared on social media nearly 50,000 times in the days leading up to the 2016 presidential election. The story begins: Cleveland, Ohio – Beyonce and Jay Z performed for “free” at the Get out the Vote concert last night for Hillary Clinton. However, sources revealed that the power couple was paid $62 Million to perform. According to sources closely connected with the power couple, Clinton and her campaign flew Beyonce and Jay Z out to a private meeting to discuss the election. With Hillary lacking the African-American voting numbers that Barack Obama had during his 2008 presidential, the Clinton campaign made a quick and desperate move in their final efforts to secure African-American votes. “Jay and Beyonce got a call a few weeks ago from Clinton. She invited them for a weekend stay at a luxury hotel to meet regarding the election. Before Jay Z or Beyonce could voice any concerns or ask questions, Hillary pulled out a check. Beyonce saw the check first and her eye lit up like Christmas lights. On the last day of the meeting, Hillary told said to everyone, including Jay Z and Beyonce, “We definitely got the black vote now.” On the flight back to New York, Jay Z said, “You know what, Black Lives Matter, they matter because we got paid $62 Million to represent them.” Empire Herald doesn’t clearly identify itself as a fake or satirical new site, which led some to mistake this report about the Clinton campaign paying for Beyonce and Jay-Z’s support as truthful. However, earlier versions of the website clearly state that it’s a “satire & entertainment” site, a s shown in this Way Back Machine screen grab from January 2016: Given that Empire Herald isn’t a credible website, we’re calling this one “fiction.”","Celebrities"
"Dallas Cowboys Owner Jerry Jones Locker Room Speech-Incorrect Attribution!","2016-09-15 07:35:59","https://www.truthorfiction.com/dallas-cowboys-owner-jerry-jones-locker-room-speech-incorrect-attribution/"," In a now-famous locker room speech, Jerry Jones ordered Dallas Cowboys players to stand during the national anthem. "," Jerry Jones didn’t deliver this locker room speech before the Dallas Cowboys’ season opener on Sept. 11, 2016. A Texas man named Richie Newberry posted the locker room speech on Facebook , and it appears to be a work of fan fiction. The message resonated with fans who disagreed with players following 49ers quarterback Colin Kaepernick’s lead and kneeling during the national anthem in protest of social injustice within the criminal justice system. Newberry’s post imagines Jones, the flamboyant owner of the Cowboys, telling his players that “you WILL stand and you WILL put your hands over your hearts” during the national anthem: “You gentlemen are world class athletes, but you are also actors. You perform on a stage that is 100 yards long. Today, you play the role of a patriotic super hero. You will play this role well because you know that millions of children will be watching and looking at your example.” Then his inner fire started to shine through as he said quietly “but most of all I want you to remember, you are the actors, but this is MY stage and you will play the role I tell you to.” Within days, the post had been shared nearly 300,000 times. As more and more people read and shared the post, there seemed to be growing misunderstanding that Jones had actually given the locker room speech. And websites liked the Daily Snark falsely attributed the locker room speech to Jones in false reports, which fueled the misconception. In reality, none of the Cowboys’ players kneeled in protest during the national anthem, and Jones praised his team on his weekly call-in radio show in Dallas the following Monday morning: “I got to give a big pat on the back to our entire team, our coaching staff, our entire organization. We strongly, strongly support the flag. In every way, we support — it’s almost ridiculous to be saying it — the people that for generations and generations have given it all up so we can get out here and show off in front of millions of people on television. We respect that so much. That’s the real business. “The forum of the NFL and the forum on television is a very significant thing. I’m for it being used in every way we can to support the great, great contributors in our society and that’s people that have supported America, the flag, and there’s no reason not to go all out right there. For anybody to use parts of that visibility to do otherwise is really disappointing.” So, this locker room speech didn’t come from Jerry Jones — but, given his comments, he might agree with it. ","Celebrities"
"Jackie Robinson Refused to Salute the Flag, Stand for National Anthem-Authorship Confirmed!","2016-08-30 10:17:17","https://www.truthorfiction.com/jackie-robinson-refused-salute-flag-stand-national-anthem-authorship-confirmed/"," Baseball great Jackie Robinson once said, “I cannot stand and sing the anthem. I cannot salute the flag. I know that I am a black man in a white world.” "," Jackie Robinson, the first black man to play professional baseball, actually made these comments about the National Anthem and saluting the flag. Robinson’s comments were drudged up after NFL quarterback Colin Kaepernick refused to stand during the paying of the National Anthem during a San Francisco 49ers preseason football game. In explanation, Kaepernick said: “I am not going to stand up to show pride in a flag for a country that oppresses black people and people of color. To me, this is bigger than football and it would be selfish on my part to look the other way. There are bodies in the street and people getting paid leave and getting away with murder.” The move sparked national debate about whether or not refusing to rise for the singing of the National Anthem was an appropriate way to protest social issues. During that debate, comments that appeared in Jackie Robinson’s autobiography, “I Never Had It Made,” were used to argue in favor of Kaepernick’s protest: There I was, the black grandson of a slave, the son of a black sharecropper, part of a historic occasion, a symbolic hero to my people. The air was sparkling. The sunlight was warm. The band struck up the national anthem. The flag billowed in the wind. It should have been a glorious moment for me as the stirring words of the national anthem poured from the stands. Perhaps, it was, but then again, perhaps, the anthem could be called the theme song for a drama called The Noble Experiment. Today, as I look back on that opening game of my first world series, I must tell you that it was Mr. Rickey’s drama and that I was only a principal actor. As I write this twenty years later, I cannot stand and sing the anthem. I cannot salute the flag; I know that I am a black man in a white world. In 1972, in 1947, at my birth in 1919, I know that I never had it made. So we can confirm that Jackie Robinson actually wrote that he could not stand for the singing of the National Anthem. ","Celebrities"
"NFL QB Colin Kaepernick Converts to Islam, Refuses to Stand for National Anthem-Unproven!","2016-08-30 09:26:53","https://www.truthorfiction.com/nfl-qb-colin-kaepernick-converts-to-islam-refuses-to-stand-for-national-anthem/"," It’s been rumored that NFL quarterback Colin Kaepernick converted to Islam months before he refused to stand for the singing of the National Anthem in protest of racial inequality. "," Rumors that Colin Kaepernick has converted to Islam can’t be confirmed at this time. The San Francisco 49ers quarterback made waves in August 2016 when he refused to stand for the singing of the National Anthem in an effort to spark debate about racial inequality and needed criminal justice reforms, Kaepernick explained in a statement : “I am not going to stand up to show pride in a flag for a country that oppresses black people and people of color. To me, this is bigger than football and it would be selfish on my part to look the other way. There are bodies in the street and people getting paid leave and getting away with murder.” Kaepernick’s statement sparked plenty of debate about patriotism, the national anthem and athletes’ role in social issues. The debate also drudged up unproven rumors from July 2016 that Kaepernick had converted to Islam, and that his protest was in some way connected to his new faith. Those rumors started after Kapernick posted a message from his official Istagram account wishing Muslims who had been fasting during Ramadan a “Happy Eid”: Kaepernick didn’t indicate that he himself had been fasting for Ramadan in the post, or that he had converted to Islam, but the post immediately sparked rumors that he had. Infotainment websites like Media Takeout (MTO) News and the Terez Owens sports gossip blog reported that Kaepernick had converted to Islam, due in large part to his girlfriend, MTV host Nessa Diab. These stories both credited unnamed “people close to the player” for their scoop, and it’s impossible to confirm of debunk unnamed sources. It should be noted, however, that MTO News has an ambiguous disclaimer that states its stories are presented “as is” with no claim of truth or accuracy. And the Terez Owens story included photos in which Kaepernick’s head had been photoshopped onto the bodies of Osama bin Laden and an ISIS terrorist. Nevertheless, these blog sites were cited as evidence that Kaepernick had converted to Islam by fringe websites like the Conservative Daily Post and the Conservative Tree House and Info Wars . We couldn’t find any credible information about what religion, if any, that Kaepernick practices. That’s why we’re calling this one “unproven.” ","Celebrities"
"Angelina Jolie Suicide Rumor-Fiction!","2016-08-22 13:28:18","https://www.truthorfiction.com/angelina-jolie-suicide-rumor/"," An older rumor that Angelina Jolie was found dead from an apparent suicide has resurfaced. "," Rumors that Angelina Jolie committed suicide and left a disturbing video behind are false, and clicking on a link to watch the video could harm your computer. The death hoax goes that Jolie committed suicide because she was devastated that her husband Brad Pitt was (supposedly) divorcing her went viral on social media in August 2016. There’s no truth to reports of Jolie’s death, or reports that Jolie and Pitt divorcing. This hoax is almost identical to a Jaden Smith death hoax that went viral weeks earlier. In both cases, CNN or BBC, depending on the version, supposedly posted a “goodbye video” in which the actors explained their suicides. The link is clickbait that’s used to lure people into installing a rogue app onto their phone. Those who click the link are greeted with a popup that asks them to give the app permission to post from their account in order to view the video. And, of course, the video doesn’t actually exist. If you installed the app while trying to view the article or video, it’s fairly simple to delte. Click the dropdown area in the top of Facebook and select “Settings.” From there, click “apps” in the left menu and hover your cursor over the app you’d like to delete and click the “x” to delete it. Click here for step-by-step instructions from Facebook. ","Celebrities"
"CBS Cancelled “Mike & Molly” Over Melissa McCarthy’s Weight Loss –Fiction!","2016-08-17 13:49:36","https://www.truthorfiction.com/cbs-cancelled-mike-molly-melissa-mccarthys-weight-loss/"," Rumors that CBS cancelled the sitcom “Mike & Molly” because lead actress Melissa McCarthy lost weight and no longer fits the part have gone viral. "," Melissa McCarthy’s weight loss had nothing to do with the cancellation of her hit show, “Mike & Molly.” That rumor started with a report that appeared at TMZ News , a fake news website that is often confused with the credible celebrity tabloid TMZ . The fake report quoted a distraught McCarthy expressing disbelief over the show’s cancellation: “I.. just.. I can’t believe it! They’re cancelling an amazing show JUST because I decided to finally be healthy. It makes no sense! They said I no longer fit the part, which is outrageous. It all started when some of my colleagues recommended Garcinia Pills, something they had seen on a Dr. Oz episode. When your life revolves around being on camera and on stage, you always have to look good for the fans and for yourself. I saw a HUGE difference in less than a week!” In reality, CBS cancelled “Mike & Molly” in January 2016, and the final season of the show began airing in April 2016. Variety reported that CBS President Glenn Geller made the announcement at a Television Critics Association press tour in January: “‘Mike and Molly,’ listen, these decisions are really challenging and I have a tremendous amount of respect for Chuck [Lorre], Al Higgins, Melissa, Billy — the whole cast and crew,” he said. “But I can confirm that this will be the last season of ‘Mike and Molly.’” As for the final episode of the sitcom, Geller said, “I think the fans will be very satisfied with what Chuck and Al have planned.” Though the cancellation was a sure thing, no official axing came from the network until now. The final season, which began on Jan. 6, will wrap up this spring. The show is currently in production, with two more episodes to complete filming. The show’s cancellation was public knowledge as early as December 2015. Melissa McCarthy tweeted at the time that she was “shocked and heartbroken” over the show’s cancellation: Rumors about why the show was cancelled immediately began to stir. But Ken Levin, a writer on the show, said the show’s cancellation was a matter of dollars and cents: “A big consideration is economics, especially in Mike & Molly‘s case. Everyone initially signs a six-year deal. The six years will be up this season. This is when having a movie star as your lead becomes not such a good thing. License fees (how much the network will pay for each episode) are usually determined in advance and then putting together your cast and production crew is like an NBA franchise building a team under the salary cap. Sometimes the costs are just too prohibitive.” So, despite widespread rumors that “Mike & Molly” was canceled because of Melissa McCarthy’s weight loss, the true explanation appears to be far simpler: money. ","Celebrities"
"Jaden Smith Commits Suicide-Fiction!","2016-08-11 12:09:25","https://www.truthorfiction.com/jaden-smith-commits-suicide/"," Reports that Jaden Smith has committed suicide have gone viral. "," Two different rumors that Jaden Smith committed suicide that went viral in July and August are both false. On August 9th, a video was posted on social media with the caption, “CNN Viral Video: Jaden Smith Son of Will Smith Says Goodbye With His Cellphone Before Suicide by Hanging.” The fake video has been used as click bait for a rogue app to gain access to its victims’ Facebook account. In order to view Jaden Smith’s so-called “goodbye” video, viewers are forced to give the app permission to post from their account. In July, a separate (also false) rumor that Jaden Smith had died went viral. That version appeared to link to an article about Jaden Smith’s tragic death. Again, users who clicked on the link received a popup prompting them to give the app permission to post from their account in order to view the story. If you installed the app while trying to view the article or video, it’s fairly simple to delte. Click the dropdown area in the top of Facebook and select “Settings.” From there, click “apps” in the left menu and hover your cursor over the app you’d like to delete and click the “x” to delete it. Click here for step-by-step instructions from Facebook. And, for anyone who still doubts whether or not Jaden Smith is dead, this tweet of Jaden, Cara Delevingne and Will Smith was posted on August 9th to prove that he’s alive and well: ","Celebrities"
"Edward Snowden Found Dead in Russia-Fiction!","2016-08-10 14:35:08","https://www.truthorfiction.com/edward-snowden-found-dead-in-russia/"," Reports from Russia indicate that Edward Snowden’s girlfriend has found him dead. "," Edward Snowden has not been found dead by his girlfriend. Snowden death reports quickly went viral after a “coded” tweet sent by Snowden on August 5th led some to speculate that he’d been murdered. Snowden’s attorney quickly released a statement clarifying that Snowden was “alive and well.” Still, rumors that Snowden had been found dead in Russia persisted. Those rumors were largely fueled by Get off the BS, a fringe website that publishes a combination of news, satire and commentary from a right-wing point of view. The site published a story under the headline “Mistress of Edward Snowden Pronounces Snowden Dead in Russia” that begins: Late Monday afternoon, the mistress of the infamous Edward Snowden announced the death of Snowden, who was allegedly killed this past Saturday by a drunken knife wielding Buryat man in the Republic of Buryatia. MKRU News (Russia) reported this past Saturday that a drunken man who for some reason took exception to a man, presumably Snowden, saving his wife from drowning, attacked a woman by slicing her neck and stabbed her male companion in the thigh, who later died from severe blood loss in a local hospital. But the MKRU News story that Get off the BS links to makes no mention of Edward Snowden’s death. The story is about a Buryatia local who was arrested after attacking a group of young people at a lake with a knife. MKRU News didn’t report Snowden’s death anywhere else on the site, either. Disclose.tv , a website based in Germany that publishes articles written by its community of readers “as is” with no fact checking or editing, fueled rumors of Snowden’s death by picking up the story. That version was quickly shared thousands of times on social media. But in its disclaimer , the site states that, “All posts and media uploads on Disclose.tv are the expressed opinion of the contributing member and are in no way representative or endorsed by the owners or employees of Disclose.tv.” That means the site doesn’t trust articles written by its contributors — and neither should you. There’s not truth to reports that Edward Snowden was found dead in Russia — and Snowden’s attorney has directly dispelled those rumors as well. ","Celebrities"
"Tom Hanks Endorses Donald Trump-Fiction!","2016-08-03 13:38:44","https://www.truthorfiction.com/tom-hanks-endorses-donald-trump/"," Tom Hanks has endorsed Donald Trump for president. "," Tom Hanks said that America “could withstand” a Donald Trump presidency — but the actor did not endorse Trump. Rumors that Hanks had rallied his support behind Trump started with an article that appeared at Conservative 101 , a website that publishes fake news articles with a right-wing slant. The story, which appeared under the headline, “Tom Hanks Backs Donald Trump, Destroys Hollywood Libs Who Criticize Him with These 9 Heroic Words,” reports : How much do you love Tom Hanks? This abundantly talented, deeply charming actor has been thrilling audiences and moving them to tears for more than three decades now. He’s earned the trust of Americans as a decent, grounded person with a great deal of humanity and common sense. In the snake pit that is Hollywood and the liberal media, he is a beacon of decency. So it will likely not surprise you to learn which candidate Hanks plans to vote for in November: Republican nominee Donald Trump. After being published on July 29th, the story quickly spread across social media. The story was especially effective in deceiving people because it included a quote that Hanks actually made about Trump to CBS News back in April: “America’s going to be fine. We’re the greatest, most resilient nation in the history of, of civilized, in all of civilization. We’ve worked ourselves out of holes many, many times over and over again.” Taken out of context, Hanks appeared to endorse Trump with the quote. But Hanks’ was simply saying that he believed America could survive a Trump presidency, the Hollywood Reporter reports : “We’re the greatest, most resilient nation in all of civilization,” the Oscar-winning actor said Thursday on CBS This Morning. “We’ll be fine.” When the 59-year-old Hanks stopped by the studio to promote his latest film, A Hologram for the King, he was asked about the 2016 election thus far and his thoughts on Trump in the White House. “We’ve worked ourselves out of holes many, many times over and over again,” Hanks said. When asked if that meant he thought Trump would be harmful to the nation, Hanks responded, “I have no powers of clairvoyance like you geniuses in the news media.” “I’m not saying he’s going to be president of the United States,” Hanks added. “I’m going to say that we’re going to have the most hilarious September, October and first week of November in a very long, long time. And you [media] people are going to be exhausted.” Tom Hanks was even clearer about his feelings on Donald Tump and his presidential prospects at a movie premier in England, Vulture report s: “Here’s the problem: America’s already great, so I don’t know what he is talking about,” Hanks said at the London premiere of A Hologram for the King on Monday. “I think that man will be president of the United States right about the time spaceships come down filled with dinosaurs in red capes.”","Celebrities"
"WWE Superstar John Cena Reported Dead in Accident-Fiction!","2016-07-11 12:26:36","https://www.truthorfiction.com/wwe-superstar-john-cena-reported-dead-accident/"," A report that WWE wrestler and actor John Cena was killed in a car accident has gone viral. "," This report of John Cena’s death is just the latest celebrity death hoax. The story appeared at TMZ News Online , a fake news website that is not affiliated with the celebrity tabloid TMZ , under the headline, “John Cena reported Dead in Accident.” The story begins : John Cena died in a single vehicle crash on Route 80 between Morristown and Roswell. He was pronounced dead at the scene by paramedics responding to the vehicle accident and was identified by photo ID found on his body. Alcohol and drugs do not appear to have been a factor in this accident. Highway Safety Investigators have told reporters that John Cena lost control while driving a friend’s vehicle on Interstate 80 and rolled the vehicle several times killing him instantly. The story featured a photo of a smashed up Ferrari that Cena was supposedly driving at the time of his death. However, a quick search reveals that the photo is actually more than three years old and shows a Ferarri 458 Spider that crashed on an Italian highway (without John Cena at the wheel). And, although John Cena did not directly address reports of his death on social media, he answered any lingering questions by posting photos of himself very much alive and squat thrusting hundreds of pounds on Twitter after he had supposedly died. Finally, John Cena also appeared on ESPN’s “First Take” after he supposedly died in a car accident to talk about his upcoming gig hosting the Espy awards. Given all that, we’re calling reports of John Cena’s death “fiction.” ","Celebrities"
