"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Latest Facebook Hack Arises Between Comments on Your Contacts’ Posts-Fiction!","2016-07-29 14:16:07","https://www.truthorfiction.com/latest-facebook-hack-arises-comments-contacts-posts/"," Posts about “the latest Facebook hack” warn users that hackers are posting offensive messages or pornography “between the comments” on  contacts’ pages that appear to come from your account. "," While it’s very possible for rogue apps or malware to post offensive comments under your name, we couldn’t find any instances of this so-called “latest Facebook hack” actually happening. The post warns that hackers have been able to post offensive content between the comments on a contact’s post so that it appears to have come from your account. Even worse, the post warns, these offensive comments are impossible for you to see, which “can create hurt and misunderstandings” between you and your contacts. Again, we couldn’t find any examples of that actually happening. It’s impossible for offensive content to be posted “between the comments” unless a rogue app or malware infect your Facebook account. And, while that’s a very real threat, it’s not a “new hack” at all. Malware has been known to post content (including porn and offensive comments) with its victims’ accounts since the beginning of Facebook. Malware also tags its victims contacts in these posts to trick other people into clicking on links that will infect their devices with the same virus. If you notice unauthorized posts or comments coming from your account, immediately click the “V” dropdown icon in the upper right hand corner and remove any friends that have been tagged. Then, delete the post and check your apps to locate the source of malware. Follow these steps to remove any suspicious applications. And, if you find malware installed on your device, run a full scan with an antivirus program using these helpful tips . ","Computers"
"Pokémon Creator Admits Game is Anti-Christian, Created for Satanists-Fiction!","2016-07-13 08:51:35","https://www.truthorfiction.com/pokemon-creator-admits-game-anti-christian-created-satanists/"," An interview with Pokemon creator Satoshi Tajiri in which he admits he created the game as a backlash against his Christian parents went viral amid the success of the game, Pokémon Go. "," Pokémon isn’t anti-Christian, and the game wasn’t originally created for Satanists. Those rumors started after an old, satirical interview with Pokémon creator Satoshi Tajiri resurfaced after the release of Pokemon Go in July 2016. The fake interview, which appeared at the video game news site Play4Real under the headline “ Pokémon Creator Admits Games are Anti-Christian, Aimed Towards Satanists,” includes excerpts from a fictional Time magazine interview : Time: What inspired you to start making the Pokémon games? Tajiri: Well, my parents were Christians. I grew up being taught the ways of that religion. When I got older, I started to realize that the things they said were foolish and I guess I rebelled a little. Time: How did you rebel? Tajiri: I started to argue against their teachings. They tried to punish me in various ways to try to get me under control, but it didn’t work. This is when I was inspired by nature and started the basis for the Pokémon games. Time: Could you explain how your parent’s religion is connected with the games? Tajiri: Well, when I got old enough, I wanted to do something that would show the world that my parents were wrong. Something I saw in nature was the concept of evolution which my parents vehemently denied existed. This sparked the idea for a game that would go against everything my parents believed in. Time: This game being Pokémon, correct? Tajiri: Yes. Pokémon is essentially the correct answer towards life, not Christianity. Everything presented in the game is the opposite of what Christians may believe. Some have said that the game promotes voodoo or magic, and I agree in the sense that there are many things that occur in nature that are unexplainable. Furthermore, the violence in the games is unparalleled. It may not show up in the actual graphics, but the brutality is made especially explicit in the Pokédex entries. Nature, again, played a big role. Time: So those who say that the game is anti-Christian are correct? Tajiri: I suppose so. I mean, some could say that the game supports Satanism. I don’t officially celebrate it, but I can understand why people would be attracted to it. In reality, that interview never took place and Pokémon’s c reator never said the game was anti-Christian or was geared toward Satanists. He did, however, sit down for a real interview with Time Asia in 1999 and talked briefly about the game’s inspiration, which was Tajiri’s fascination with collecting bugs: TIME: Did you get the idea for Pokémon from these insects? Tajiri: Yes. Places to catch insects are rare because of urbanization. Kids play inside their homes now, and a lot had forgotten about catching insects. So had I. When I was making games, something clicked and I decided to make a game with that concept. Everything I did as a kid is kind of rolled into one–that’s what Pokémon is. Playing video games, watching TV, Ultraman with his capsule monsters–they all became ingredients for the game. Tajiri rarely gives media interviews, and we couldn’t find any evidence of him talking about Christianity or Satanism. ","Computers"
"Pandora Radio Warns that Accounts Risk Being Hacked-Truth!","2016-07-12 13:01:39","https://www.truthorfiction.com/pandora-radio-warns-accounts-risk-hacked/"," Many Pandora Radio users have been warned via email that their accounts are risk of being hacked. "," Pandora hasn’t been hacked, but warnings about Pandora accounts that are at risk of being hacked are very real. The threat actually circles back to a LinkedIn data breach that occurred in 2012. In May 2016, LinkedIn announced that personal data stolen from about 100 million users in the 2012 hack had been posted for sale on a “dark web” site: In 2012, LinkedIn was the victim of an unauthorized access and disclosure of some members’ passwords. At the time, our immediate response included a mandatory password reset for all accounts we believed were compromised as a result of the unauthorized disclosure. Additionally, we advised all members of LinkedIn to change their passwords as a matter of best practice. Yesterday, we became aware of an additional set of data that had just been released that claims to be email and hashed password combinations of more than 100 million LinkedIn members from that same theft in 2012. We are taking immediate steps to invalidate the passwords of the accounts impacted, and we will contact those members to reset their passwords. We have no indication that this is as a result of a new security breach. Alerts that Pandora users received about their accounts being flagged at high risk for hacking stem from the list of 100 million plus LinkedIn accounts that were hacked in 2012: Our security teams have analyzed the LinkedIn credential data and our analysis indicates that your username was among those leaked onto the Internet. This username is the same on LinkedIn and Pandora. While you have probably already changed your password on the LinkedIn website you should also change your password on any other website where you used the same password, including Pandora. Password reuse, using the same password across websites, is one way that malicious entities attempt to gain unauthorized access to services, which is why it’s important to use different passwords with different accounts. So, although the 2012 data breach didn’t directly involve Pandora, the radio streaming service crosschecked the leaked LinkedIn usernames to identify any Pandora accounts that used the same user name in order to warn listeners about an elevated threat. ","Computers"
"Apple Tells Windows Users to Uninstall QuickTime-Truth!","2016-04-18 18:08:41","https://www.truthorfiction.com/apple-tells-windows-users-uninstall-quicktime/"," Warnings that Apple has urged Windows users to uninstall QuickTime have gone viral. "," It’s true that Apple recommended that Windows users uninstall QuickTime from their computers because of security concerns. Apple released a warning in April 2016 stating that it would no longer provide security updates for QuickTime, which leaves the software vulnerable to hackers and security threats. As such, Apple has suggested that Windows users delete QuickTime from their computers, the Department of Homeland Security’s U.S. Computer Emergency Readiness Team reports : Computer systems running unsupported software are exposed to elevated cybersecurity dangers, such as increased risks of malicious attacks or electronic data loss. Exploitation of QuickTime for Windows vulnerabilities could allow remote attackers to take control of affected systems. Computers running QuickTime for Windows will continue to work after support ends. However, using unsupported software may increase the risks from viruses and other security threats. Potential negative consequences include loss of confidentiality, integrity, or availability of data, as well as damage to system resources or business assets. The only mitigation available is to uninstall QuickTime for Windows. If run Windows on an Apple computer, click here for step-by-step instructions on how to uninstall QuickTime. Warnings about QuickTime security issues on Apple computers were sparked by a Trend Micro blog post that appeared under the headline, “Urgent Call to Action: Uninstall QuickTime for Windows Today,” that reported : We’re not aware of any active attacks against these vulnerabilities currently. But the only way to protect your Windows systems from potential attacks against these or other vulnerabilities in Apple QuickTime now is to uninstall it. In this regard, QuickTime for Windows now joins Microsoft Windows XP and Oracle Java 6 as software that is no longer being updated to fix vulnerabilities and subject to ever increasing risk as more and more unpatched vulnerabilities are found affecting it. So, warnings urging Apple users running Windows to uninstall QuickTime due to security vulnerabilities are true. However, we aren’t aware of any specific threats or viruses that are affecting computers as a result of this — yet. ","Computers"
"Critical Update Required for Kindle by March 22-Truth!","2016-03-21 13:19:46","https://www.truthorfiction.com/critical-update-required-kindle-march-22/"," Without a critical update, Amazon Kindles will no longer be able to connect to the Internet. "," It’s true that a critical update is required for older Kindles by March 22 in order to connect to the Internet. Amazon has sent emails and postcards to the users of Kindles affected by the critical update in recent months. Click here for information about what software version is required for different devices. Kindles that don’t receive the update before March 22 won’t be able to connect to the Internet. In order to correct the problem, those Kindle users will have to manually download and install the critical update, according to a message from Amazon: Important: If you do not update your device by March 22, 2016, you will receive the following message on your device: Your Kindle is unable to connect at this time. Please make sure you are within wireless range and try again. If the problem persists, please restart your Kindle from the Menu in Settings and try again. If you see this message on your device on or after March 22, you will need to manually install the latest software update for your device. Go to Fire & Kindle Software Updates for more details. But even though warnings about a critical Kindle update are true, be on the lookout for scams that play off the critical update. Avoid any communications or links that don’t come directly from Amazon, and keep in mind that the update is free. ","Computers"
"Soflo Hack to Unlock iPhones Without Passkey-Fiction!","2016-03-08 07:31:31","https://www.truthorfiction.com/soflo-hack-unlock-iphones-without-passkey/"," A viral video claims that there’s a simple way to unlock iPhones without a password by entering the phrase “soflo” and following a number of steps to navigate to the home screen. "," You can’t use the phrase “soflo” to unlock iPhones without the password. That rumor started with a viral video posted on Facebook. Within days of being posted on by user who goes by “SoFlo” on March 5, the video had already been viewed more than 52 million times. The hack (supposedly) starts with asking Siri what time it is from a locked home screen. From there, you’re can add a clock, type in the phrase “soflo,” and follow series of steps to bypass an iPhone’s password. But it’s totally false. Tech Harp pointed out in this video that SoFlo simply used the iPhone’s touch ID to unlock his iPhone at the beginning of the video. Then, after his phone was unlocked, SoFlo went through a series of pointless steps to make it appear that he’d bypassed the passkey by the end. This isn’t the first time SoFlo has given bad iPhone advice, either. In another video, he claims that you can charge an iPhone by placing it in a microwave and turning it on — a bogus (and dangerous) claim.","Computers"
"Turbo Clean PC Free Download Offer-Virus!","2016-01-26 13:12:35","https://www.truthorfiction.com/turbo-clean-pc-free-download-offer/"," A so-called “PC Optimizer” called Turbo Clean PC offers a free download that can supposedly boost the speed of your computer by eliminating errors and helping it to operate cleanly. "," Whether or not Turbo Clean PC can actually help your computer run faster is open for debate, but downloading it can definitely damage your computer, and the “free download” offer is misleading at best. First, Turbo Clean PC downloads are often packaged with harmful malware installers that can harm your computer and encrypt your data. Second, the “free download” will only scan your operating system; you’ll have to pay for the full download to fix any problems. Third, there’s evidence that Turbo Clean PC won’t actually help your computer run faster at all. Let’s take a step back and look at Rainmaker Software Group, Turbo Clean PC’s Delaware-based developer. The company released an earlier PC optimizer called Pro PC Cleaner that has been widely described as adware and malware. Symantec Corporation describes Pro PC Cleaner as “a misleading application (rogue software) designed to display false information, such as claiming your system is infected with malicious threats or other system errors” to get users to buy unneeded software to remove threats that don’t exist. Entering “Pro PC Cleaner” into Google returns nothing but customer complaints and instructions to remove it from computers. That might be why Rainmaker Software Group shifted its focus to a similar application with a different name, Turbo Clean PC. Once you download the free version of Turbo Clean PC, it will scan your operating system and compile a lengthy list of system errors and threats. The blog site Spyware-Techie investigated and found that the list of threats and errors are “misleading and suspicious.” It includes temporary files, folders and register entries that “do not affect your operating system in any way.” But, in order to fix the so-called errors, you’ll be prompted to buy the full version of Turbo Clean PC. Spyware-Technie also notes that Turbo Clean PC is often spread through bundled installers, which pose serious malware threats: Such means of distribution are often used by malware developers to spread their intrusive software; thus, there is a chance that your PC could be already infected with some other malicious program if this questionable application is already operating on your computer. Make sure to check the %APPDATA% folder for any dubious files or folders as this directory is known to be used by malicious software most often. Also, you should analyze your registry system for any questionable keys or values. To avoid such potentially harmful instance, you should avoid all third-party download websites as they are well-known to provide setup files filled with suspicious software. Also, you should always have a professional antimalware tool active on your PC at all times as it can notify you about any suspicious installers or websites in advanced. VirusResearch.org stopped short of saying that Turbo Clean PC does not work at all, or that it will damage your computer if it’s downloaded directly from the developer. The site did, however, note that four reputable anti-virus engines have flagged Turbo Clean PC as a threat. Given all that, we’re going to classify this one as a virus. It’s best to avoid downloading the program all together, but if you already have, click here for instructions on how to uninstall it. ","Computers"
"Shred Your Airline Boarding Passes-Truth! & Misleading!","2016-01-22 11:31:43","https://www.truthorfiction.com/shred-your-airline-boarding-passes/"," Airline travelers have been told to shred their boarding passes because scammers can retrieve personal information by scanning a barcode. "," Bar codes on boarding passes do contain personal information, but not much more than is already printed on your boarding pass in plain text. Calls for airline travelers to shred their boarding passes emerged in October 2015. That’s when security blogger Brian Krebs published a blog post headlined, “What’s in a Board Pass Barcode? A lot,” at KrebsonSecurity.com : The next time you’re thinking of throwing away a used boarding pass with a barcode on it, consider tossing the boarding pass into a document shredder instead. Two-dimensional barcodes and QR codes can hold a great deal of information, and the codes printed on airline boarding passes may allow someone to discover more about you, your future travel plans, and your frequent flyer account. Earlier this year, I heard from a longtime KrebsOnSecurity reader named Cory who said he began to get curious about the data stored inside a boarding pass barcode after a friend put a picture of his boarding pass up on Facebook. Cory took a screen shot of the boarding pass, enlarged it, and quickly found a site online that could read the data. “I found a website that could decode the data and instantly had lots of info about his trip,” Cory said, showing this author step-by-step exactly how he was able to find this information. Krebs wrote that the reader was able to retrieve the passenger’s name, frequent flier number and a “record key” for the Lufthansa flight. Then, with the record key, the reader was supposedly able to gain access to the traveler’s entire account and could have changed passwords and pin numbers. That’s where the threat of boarding pas security gets murky, however. To gain access to a secured account, you need to enter a pre-set password and pin number, or answer security questions to reset them. That info isn’t in a boarding pass barcode. In Krebs example, the hacker knew his “victim” and knew the answer to the security question, “What’s your mother’s maiden name?” More often than not, that wouldn’t be the case. Also, Brian Salzman, the VP of marketing for Inlite Research, the company that makes the online scanner cited by Krebs, said barcodes don’t have much more information that is already printed on the boarding pass, Fusion reports : I also reached out to Inlite Research, the company that put the free barcode scanner online that Krebs pointed people to. The site got a surge of traffic last week said Michael Salzman, Inlite’s VP of Marketing. He was nonplussed by the privacy freak-out. “Isn’t most of that information on the boarding pass itself?” Salzman said. “Barcodes are not inherently secure or insecure. Barcodes are a dumb way to package information into an image. The nature of the information is up to the people who use it.” Fusion reporter Kashmir Hill scanned boarding passes from many different airlines and found in all cases that the frequent flier number was the only bit of personal information not already printed on the ticket. Boarding pass barcodes have been in wide use since 2005. That year, the International Air Transport Association undertook a five-year long project to establish Bar Coded Boarding Passes (BCBP) in all of its member airlines . Tech blogger Shaun Ewing delved into the science of BCBP and outlined exactly what information is “hidden” inside boarding pass barcodes on at his blog site, Shaun.net : EWING/SHAUN: My name. E1AAAAA: Electronic ticket indicator and my booking reference. SYDBNEQF: Flying from SYD (Sydney) to BNE (Brisbane) on QF (Qantas). 0524: Flight number 524. 106: The Julian date. In this case 106 is April 16. Y: Cabin – Economy in this case. Others including F (First) and J (Business). 23A: My seat. 0073: My sequence number. In this case I was the 73rd person to check-in. 3: My “passenger status”. 59: There is a various size field. This is the size >: Beginning of the version number 2: The version number. 18: Field size of another variable field. 0: My check-in source. B: Airline designator of boarding pass issuer. 2: Another variable size field. 9: Airline code. 0: International document verification. ’0′ as I presume is not applicable. QF: The airline my frequent flyer account is with. 1245678: My frequent flyer number. 128: Airline specific data. Ewing found that the barcode information was “harmless,” but he advised against leaving boarding passes behind in seat pockets or posting photos of them online. To summarize, it’s true that there’s information in boarding pass barcodes, but the threat level has been overblown. And, no, you don’t need to shred your boarding passes. ","Computers"
"Video Shows Hologram Whale Jumping in Gymnasium-Fiction!","2016-01-14 10:13:10","https://www.truthorfiction.com/video-shows-hologram-whale-jumping-in-gymnasium/","(adsbygoogle = window.adsbygoogle || []).push({}); Video Shows Hologram Whale Jumping in Gymnasium- Fiction! Summary of eRummor: Many are wondering if a video showing a humpback whale hologram jumping through a gymnasium floor as students look on is real. "," This is a promotional video for a tech startup that shows what type of technology they want to develop, not what they’re currently able to do. In other words, a hologram whale didn’t really jump through a gymnasium floor as amazed children looked on — the video was edited to showcase the technology the company, Magic Leap, hopes to develop. As of October 2015, Magic Leap was in “stealth mode.” The company had attracted high-profile investors like Google and Weta Workshop, the company that did special effects for “Lord of the Rings” and “Avatar.” Still, Magic Leap’s technology has been largely held under wraps, CNET reports : According to Magic Leap, the graphics you see while using it will look movie-like. It seems as though virtual objects won’t overlap with real-world ones, and they’ll create virtual interactions with real things (like the virtual reflections off a real table). HoloLens also recognizes things around you, such as walls or tables, or your hands: some games blast virtual holes in walls, too, but demos I’ve tried so far have been under extremely locked down conditions. Magic Leap claims these mixed-reality things will appear around you in everyday use, and will seem indistinguishable from reality. That’s something that no one has achieved, and I’d have to see to believe. Magic Leap released a video that it says was shot directly through its technology without any special effects or editing in October 2015. The video shows what appear to be holograms interacting with the physical world, but it’s nowhere near the size and scale of the humpback whale jumping through a gymnasium floor. So, this one could be true someday, but it’s fiction for now. ","Computers"
"The New Apple iOS 9 WiFi Assist Feature Boosts Data Usage-Truth! & Misleading!","2015-09-30 13:44:45","https://www.truthorfiction.com/the-new-apple-ios-9-wifi-assist-feature-boosts-data-usage/"," Apple’s new iOS 9 has a WiFi Assist feature that eats up data plans. "," It’s true that the Apple iOS 9 WiFi Assist feature leads to more data plan usage, but some accounts of how much more data the feature uses have been exaggerated. Released in September 2015, iOS 9 came with new features, including WiFi Assist. WiFi Assist detects weak wireless Internet connections and automatically switches over to the user’s data network to prevent buffering or slow browsing speeds. The notion that the iOS 9 WiFi Assist feature leads to more data plan useage started after the website Quartz published a story headlined, “You might want to turn off this new iOS 9 setting if you don’t have unlimited data”: The new setting, which is automatically turned on when a phone is updated to iOS 9, attempts to ensure that users don’t experience any buffering when on a weak WiFi signal. The iPhone will detect when a WiFi signal lacks strength, and switch over to a cellular connection. This is great for when you’re stuck in places like the connectivity nexus right outside your home, where old iPhones would cling to the WiFi signal for as long as possible, but wouldn’t actually be able to load anything. But there is a cost: The switch to cellular could mean you’re using more data from your monthly plan—potentially significantly more than you’re accustomed to using. Rumors about iOS 9 WiFi Assist gained even more traction after a Gizmodo reviewer reported that his mobile data usage had increased by a third since he had upgraded to iOS 9: I’ve been using Wi-Fi Assist on my iPhone for a few months; even despite knowing what to look for (a greyed-out Wi-Fi icon), I haven’t really noticed it in action. But it has been showing up in my cell data usage: since downloading the iOS 9 beta that introduced Wi-Fi assist, I’ve used around a third more data a month (4GB vs my regular-as-clockwork 3GB). It’s impossible to say if that extra usage is directly related to Wi-Fi Assist, but I have my suspicions. On the iPhone 6s that I’ve only been using for three days, my data usage is at 950MB; half of that is from Netflix, which I make certain to never use when I’m on the go. In fact, the only time I’ve used it in the past couple days was at home, using what I thought was Wi-Fi. After it was established that the WiFi Assist feature leads to more data usage, the story quickly jumped the rails. The website Distractify reported that WiFI Assist was costing users “hundreds of dollars” and showed an image of a $17,148 phone bill (the bill was dated 2010 and unrelated to the story). Claims that WiFi Assist costs users hundreds of dollars or “devours” data plans (as CBS News reported ) are false and misleading. How much more data usage WiFi Assist leads to depends on individual mobile browsing habits. But since the feature only kicks on when there’s a weak wireless connection, your data usage probably won’t change much — unless you regularly use a weak wireless connection to stream movies. WiFi Assist can easily be turned off, too. Just open “Settings,” select “Cellular” and un-select “WiFi Assist.” ","Computers"
