"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Baby Dies from Vicks VapoRub-Unproven!","2016-11-29 08:41:09","https://www.truthorfiction.com/baby-dies-vicks-vaporub/"," A mother has recounted how her two-year-old infant died after she applied Vicks VapoRub to him to treat a simple fever. "," We couldn’t find any credible accounts of a baby dying after Vicks Vapor Rub was applied — but the product label clearly states that it should not be applied to children younger than two. Rumors that a baby died from Vicks VapoRub began circulating on blog sites in mid-November. Blog posts like this one recount how an unnamed “Mexican mother” lost her two-year-old child after applying Vicks VapoRub to his nose: A Mexican mother tells her tragedy to warn other parents and avoid someone else going through what she’s living: the loss of her 2-years-old baby. When she came back from work, she came into her baby’s room. When she got near to kiss him, she felt he had a fever. She imagined it was just a common cold and thought about a home remedy to relieve him. She rubbed Vick VapoRub on his chest, back, and under his nose to help him breathe. She tucked him up and laid down next to him. She was tired, so she fell asleep next to her baby. Hours later, when she woke up, she noticed her son wasn’t breathing. We couldn’t find any reports of a baby dying after having Vick VapoRub applied. Given that these blog posts don’t provide names or specific details for us to track down, there’s no way to confirm or debunk the rumor, so we’re calling this one “unproven.” Back in 2009, ABC News filed a report under the headline, “Vicks VapoRub Misuse May Hurt Infants.” The report told the story of an 18-month-old child with an upper respiratory infection who had to be admitted to the emergency room after Vicks VapoRub led to “severe” breathing problems because it increased mucus production: According to a case report published in the journal Chest by Dr. Bruce Rubin and his colleagues, the child was recovering relatively well while battling her respiratory infection until about two hours before she was admitted to the emergency room. When doctors began questioning the patient’s grandparents about what might have caused the girl’s respiratory distress, the only answer her grandparents could come up with was that they had rubbed Vicks VapoRub under the child’s nose earlier that day. “Sure enough, we demonstrated that the Vicks produced increased mucous in the patient’s airway, which was already inflamed and narrowed because of her respiratory infection,” Rubin explained. To confirm that the menthol-containing rub was responsible for the patient’s respiratory stress, researchers tested the product on ferrets. Indeed, they found that exposure to VapoRub increased mucous production, thereby causing inflammation in the rodents’ airways. But Rubin said the case should be viewed as “an isolated incident” and that the product clearly states it shouldn’t be used on children younger than two. And Rubin said people should never apply VapoRub to the nose area. A spokesperson for Proctor and Gamble, the company that makes Vicks VapoRub, told CBC News as much back in 2009: Crystal Harrel, a spokesperson for Procter and Gamble in Cincinnati, said complaints are rare and the product is sound. “Vicks VapoRub has a long-standing history of being safe and effective when used according to package directions. Where marketed, it is in compliance with the applicable health and safety regulations.” In the end, the report of a baby dying from Vicks VapoRub is unproven, but parents should always follow product label instructions and never apply it to children younger than two. ","Health - Medical"
"Claims About Brain-Boosting Inteligen Pill Supplement-Unproven!","2016-10-11 09:47:12","https://www.truthorfiction.com/claims-brain-boosting-inteligen-pill-supplement/"," Benefits of the power of a supplement called “Inteligen” to increase intelligence have been trumpeted by the likes of CNN’s Anderson Cooper and Stephen Hawking. "," There’s no scientific proof that Inteligen actually increases intelligence, focus or memory recall — so you should be leery of any promises that it makes. The issue with products like Inteligen is that they’re considered “supplements” under the law, so the FDA does not subject them to oversight. That means the maker of Inteligen doesn’t have to back up its spectacular claims that the supplement can “enhance focus, boosts intelligence and increase your productivity.” Inteligen’s website describes the product as a blend of “nutrients, amino acids and vitamin B6” that boosts brain function. Those ingredients and claims are so vague that they’re impossible to fact-check. And rumors that Stephen Hawking backed Inteligen in an interview with Anderson Cooper have been used to lend credibility to the supplement — but they’re not true. The same tactic has been used to make it (falsely) appear that Cooper and Hawking have endorsed a number of brain-boost supplements, and Inteligen is just the most recent. One article, for example, reports that Hawking talked about the benefits of a different brain-boosting supplement, BrainPlus IQ, during an interview with Cooper. In later versions, “BrainPlus IQ” will simply be repalced with “Inteligen”: In an interview with Anderson Cooper, Stephen Hawking said that his ability to predict the future doesn’t exist, but his brain is sharper than ever, more clear and focused, and he credits a large part to using BrainPlus IQ. Hawking went on to add “The brain is like a muscle, you have to work it out and use supplements just like body builders use, but for your brain, and that’s exactly what I’ve been doing to enhance my mental capabilities”. The interview never took place, and we couldn’t find any record of Hawking actually endorsing any brain-boosting supplements. The medical director of the Byrd Alzheimer’s Institute at the University of South Florida said supplements like Inteligen and BrainPlus IQ “give people false hope,” The Tampa Bay Times reports : Many doctors say the supplements lack scientific evidence to prove they work, and as nutritional supplements, they are not regulated by the federal government as are medications. The ads tout clinical trials, but these are at best small, short-term tests published in journals that are not well-known or respected — hardly comparable with accepted medical standards. Some brain supplements do contain ingredients that have been studied extensively and are used widely for memory disorders. The moss extract huperzine A, found in Procera AVH (a different brain-boosting supplement), has similar properties to the Alzheimer’s drug Aricept, and is the most common treatment for Alzheimer’s in China, Smith said. But with vague labeling and little regulation, there’s no way to know how much of these ingredients are in any supplement, or how high their quality is. In the end, there’s no scientific proof that any of these supplements work. Talk to your doctor before trying them, or avoid them all together. ","Health - Medical"
"Flu Shots Cause Alzheimer’s Disease-Fiction!","2016-10-07 13:38:06","https://www.truthorfiction.com/flu-shots-cause-alzheimers-disease/"," Flu shots contain toxins and ingredients that can destroy your brain and cause Alzheimer’s disease. "," Flu shots do not lead to Alzheimer’s or memory loss — research actually suggests that flu vaccines may be able to help prevent Alzheimer’s. While most doctors and scientists have rejected the theory that mercury used in some types of flu shots leads to Alzheimer’s disease, a handful of fringe doctors continue to spread those rumors using arguments that are easy to discredit. In 2014, Newsmax published a report under the headline “Some Flue Shot Formulations Contain Brain-Destroying Toxin: Top Doctor.” The “top doctor” cited in the report is Dr. David Brownstein, a self-described holistic family physician who warns about the dangers of mercury in flu shots: Thimerosal, a preservative found in manyflu shots, is 50 percent mercury. It’s different, and much more harmful, than the type of mercury found in fish. While the FDA warns against eating more than two servings of fish weekly because of the danger of mercury, it allows this more toxic form to be added to flu shots (and other vaccines). The only reason thimerosal is added is as a preservative in multi-dose vials. Known as ethylmercury, this type of mercury in flu shots depresses the immune system and damages the brain. Much of ethylmercury is converted in the body to a form of mercury that accumulates in the brain with every annual flu shot and is very difficult to remove. Ethylmercury is much more harmful than methylmercury, the form of mercury found in fish, and is much more likely to stay in the brain. For years, thimerosal has been associated with an increase in autism, but one of the most troubling connections is with Alzheimer’s. “ There’s no doubt that the flu vaccine can lead to Alzheimer’s, because many flu shots are preserved with mercury and it’s a known brain toxin,” says Dr. Brownstein. “You give enough brain toxins and people are going to develop memory issues.” Brownstein’s claim is at least partially true. Multi-dose vial flu vaccines contain thimerosal, a mercury-based preservative that prevents germs, bacteria and fungi from contaminating the vaccine. But here’s where Brownstein’s claims go awry: ethylmercury is easily passed through the body, which makes it far less likely to cause harm. The CDC explains the difference like this : Mercury is a naturally occurring element found in the earth’s crust, air, soil, and water.  Two types of mercury to which people may be exposed — methylmercury and ethylmercury — are very different. Methylmercury is the type of mercury found in certain kinds of fish. At high exposure levels methylmercury can be toxic to people. In the United States, federal guidelines keep as much methylmercury as possible out of the environment and food, but over a lifetime, everyone is exposed to some methylmercury. Thimerosal contains ethylmercury, which is cleared from the human body more quickly than methylmercury, and is therefore less likely to cause any harm. The CDC concluded that “s tudies show no evidence of harm caused by the low doses of thimerosal in vaccines,” and its considered a very safe additive. Besides that, Canadian researchers actually found that older adults who receive flu shots and other vaccines actually appear to be at a lower risk of developing Alzheimer’s disease than those who do not receive the vaccination: For each type of vaccine, subjects who reported at least one vaccination were at lower risk for Alzheimer’s disease than those who had never been exposed, after adjustment for age, sex and education. Vaccines against diphtheria or tetanus and against poliomyelitis were associated with statistically significantly lower risk of Alzheimer’s disease (60% and 40% lower respectively). Exposure to influenza vaccine was also related to a lower risk of Alzheimer’s disease, but the association did not reach statistical significance. Additional adjustment for smoking, alcohol use, family history of dementia, ADL and IADL, chronic diseases and perceived health status yielded similar results. The Alzheimer’s Association has also debunked claims that flu shots have been linked to memory loss or Alzheimer’s itself: A theory linking flu shots to a greatly increased risk of Alzheimer’s disease has been proposed by a U.S. doctor whose license was suspended by the South Carolina Board of Medical Examiners. Several mainstream studies link flu shots and other vaccinations to a reduced risk of Alzheimer’s disease and overall better health. So, there’s absolutely no proof that flue shots lead to Alzheimer’s or memory loss. Brownstein’s theory fails to acknowledge that there are two different types of mercury, and the type of mercury used in multi-vial flu shots is not the same as the type of toxic mercury that is found in fish. ","Health - Medical"
"EpiPen Maker Donated to Clinton Foundation, Hiked Prices-Truth! & Fiction!","2016-08-25 14:40:09","https://www.truthorfiction.com/epipen-maker-donated-clinton-foundation-hiked-prices/"," After Hillary Clinton condemned Mylan, the maker of EpiPens, for increasing prices of the life-saving devices by 400 percent since 2008, allegations that the price hikes were tied to Mylan’s Clinton Foundation donations went viral. "," The Clinton Foundation once partnered Mylan, but the partnership didn’t have anything to do with EpiPens. First, we’ll provide a little context. Mylan CEO Heather Bresch came under fire in August 2016 over her company increasing the price of EpiPens by 400 percent since 2008. Hillary Clinton quickly condemned Mylan’s price hikes, calling them “outrageous” in an official campaign release “That’s outrageous – and it’s just the latest troubling example of a company taking advantage of its consumers. I believe that our pharmaceutical and biotech industries can be an incredible source of American innovation, giving us revolutionary treatments for debilitating diseases.  But it’s wrong when drug companies put profits ahead of patients, raising prices without justifying the value behind them. “That’s why I’ve put forward a plan to address exorbitant drug price hikes like these.  As part of my plan, I’ve made clear that pharmaceutical manufacturers should be required to explain significant price increases, and prove that any additional costs are linked to additional patient benefits and better value.  Since there is no apparent justification in this case, I am calling on Mylan to immediately reduce the price of EpiPens. FOX Business News accused Clinton of crying crocodile tears about the price hikes in a segment , noting that Mylan had partnered with the Clinton Foundation shortly before the price hikes began. Other outlets picked up the story and showed a picture of Bill Clinton accepting a check from former Mylan CEO Robert Coury in about 2009. Claims that the Clinton Foundation had directly benefits from the EpiPen price hikes, or had in some way shielded Mylan from scrutiny over it, immediately followed. But there’s no proof that either of those things are true. While it is true that the Clinton Foundation announced a partnership with Mylan in 2009 to make second-line antiretroviral (ARV) HIV/AIDS drugs more affordable, that partnership had nothing to do with EpiPens. And the notion that Mylan would have needed protection from the Clinton Foundation to raise the price of EpiPens by 400 percent is wrong. As the New York Times reports , these types of price hikes are legal and common among drug companies: Mylan, while not commenting on why it has repeatedly increased the price, says that most EpiPen users are insured and that the company offers a coupon that can reduce or cover the patient’s co-payments. Such co-payment assistance is part of the standard playbook for companies selling expensive drugs: The goal is to spare the consumer, who might create a political uproar, and yet still get paid by the insurance company or government health program. So, while it’s true that the Clinton Foundation once partnered with Mylan on HIV/AIDs drugs, there’s no proof that the partnership impacted EpiPen prices in any way. Bresch has been called to testify before a congressional panel. ","Health - Medical"
"Sea Lice Attacking Florida’s Beaches-Truth! & Misleading!","2016-06-08 13:11:21","https://www.truthorfiction.com/sea-lice-attacking-floridas-beaches-truth-misleading/"," Warnings that sea lice have invaded beaches in Florida have sparked panic on social media. "," Warnings about sea lice on Florida beaches are true — but they’re also misleading. Posts began circulating on social media in early June that warned Florida beachgoers of sea lice “invasions” that have left swimmers with painful red welts all over their bodies, like the one pictured here: The photo is real, and it was circulated by Florida public health officials in a warning about sea lice or “seabather’s eruption,” at beaches. Sea lice are actually the larvae of jellyfish, which are nearly invisible in ocean waters but leave simmers with painful red welts on their skin, according to public health officials : For the past 11 years, during the months of March through August, residents and tourists along 250 miles of Florida’s southern Atlantic coastline have complained of an annoying pruritic rash, primarily within areas covered by bathing suits. Although this problem has existed since the early 1900s at least, it has not been formally recognized and understood until recently. The first study (a retrospective case review of ED cases seen during 1992) and a sample population survey were conducted at Boca Raton Community Hospital. The outbreaks appear to have intensified in the last 4 years, as reflected in the number of cases reported as well as the severity of response in individual cases. Because most affected people treat themselves, it is difficult to determine the total annual number of cases. However, a conservative estimate of 10,000 cases in 1992 can be made. So, the phenomenon isn’t new, and most residents of Florida and other warm weather states are well aware of sea lice. In 2016, sea lice outbreaks appeared to be cropping up further west in the Gulf of Mexico than in year’s past, and headed toward Alabama beaches, an NBC affiliate reports . We’re calling warnings about sea lice true, but misleading. Sea lice isn’t necessarily new, and there doesn’t seem to be a greater risk of swimmers being affected by it in 2016 than in year’s past. ","Health - Medical"
"General Mills Gold Medal Flour Recall-Truth!","2016-06-01 12:59:26","https://www.truthorfiction.com/general-mills-gold-medal-flour-recall/"," General Mills has issued a massive recall for Gold Medal Flour because a suspected E. coli outbreak. "," It’s true that General Mills voluntarily recalled 10 million pounds of flour across 20 states on May 31, 2016. In a statement , General Mills said it had voluntarily recalled flour sold under its Gold Medal, Gold Medal Wondra and Signature Kitchen brands after 38 cases of illness from E. coli contamination: State and federal authorities have been researching 38 occurrences of illnesses across 20 states related to a specific type of E. coli (E. coli O121), between December 21, 2015, and May 3, 2016. While attempting to track the cause of the illness, CDC found that approximately half of the individuals reported making something homemade with flour at some point prior to becoming ill. Some reported using a General Mills brand of flour. Based on the information that has been shared with General Mills, some of the ill consumers may have also consumed raw dough or batter. Consumers are reminded to not consume any raw products made with flour. Flour is an ingredient that comes from milling wheat, something grown outdoors that carries with it risks of bacteria which are rendered harmless by baking, frying or boiling. Consumers are reminded to wash their hands, work surfaces, and utensils thoroughly after contact with raw dough products or flour, and to never eat raw dough or batter. General Mills recalled 13.5-ounce Gold Medal Wondra flour; 2-pound, 5-pound and 10-pound packages of Gold Medal All Purpose Flour; 5-pound packages of Gold Medal unbleached flour; 5-pound packages of Signature Kitchens All Purpose Flour Enriched Bleach; 5-pound packages of Signature Kitchens Unbleached Flour; and 2-pound packages of Gold Medal self-rising flour. Click here to contact General Mills directly about the flour recall. ","Health - Medical"
"Saudi Scientists Admit Women Are Mammals-Fiction!","2016-03-15 09:19:41","https://www.truthorfiction.com/saudi-scientists-admit-women-mammals-fiction/"," A panel of scientists from Saudi Arabia has admitted that women are mammals, but ruled that they are “not human,” according to a viral report. "," Chalk this one up as fake news. The rumor that a panel of Saudi scientists had admitted that women were mammals and were entitled to the same rights as “camels, dromedaries and even goats’ started with World News Daily Report , a fake news website. In a story published March 8, the website reported : Riyadh | In an unprecedented ruling, a panel of Saudi scientists has concluded that women are actually mammals, granting them the same rights as other mammal species such as camels, dromedaries and even goats. The verdict, which fell just hours before the International Women’s Day, is considered “historic” by some experts and advocacy groups for women’s rights. Within a week, the story had been shared nearly 50,000 times on Facebook. Taken out of context, many readers believed that the satirical story was true. One reader commented: Ridiculous and disgusting, not to mention outrageous and egotistical, did these so called scientists who are supposed to be unbiased, not have a Mother? Where do they think they came from if not a human. They might breed with goats, sheep, camels, and cows, but there has never been a human born from one of those. (In case they were looking for evidence.) But World News Daily Report is known for publishing fake news. The website’s disclaimer states that it can’t be held accountable for “incorrect or inaccurate information” and that: WNDR assumes however all responsibility for the satirical nature of its articles and for the fictional nature of their content. All characters appearing in the articles in this website – even those based on real people –  are entirely fictional and any resemblance between them and any persons, living, dead, or undead is purely a miracle. That’s why we’re calling this one fiction. ","Health - Medical"
"Two Droplets Blog Warns of Drain Cleaner Dangers-Investigation Pending!","2016-02-19 08:08:40","https://www.truthorfiction.com/two-droplets-blog-warns-of-drain-cleaner-dangers/"," A blog post titled “Two Droplets” tells the story of a Milwaukee man who suffered a chemical burn on the back of his hand from drain cleaner that has lead to a five-year medical nightmare. "," We don’t have any clear answers on this one. We can’t independently confirm whether or not the claims made in the Two Droplets blog post are true, but our investigation is ongoing. In the blog, the unnamed author tells the horrific story of her husband’s encounter with “two droplets” of drain cleaner in June 2010. After a bathroom sink became clogged, her husband poured drain cleaner directly into a pipe beneath the sink through a funnel. Then, the “funnel burped and two droplets of the chemical hit the back of his hand” and began to eat away at the skin on his hand: The chemical began to eat away at the skin. We lived 5 minutes from a local hospital, so I snapped a photo of the ingredients on the bottle and we headed off to the emergency room. The hospital called poison control and proceeded to follow protocol in treating the chemical burn. He ended up having a skin graft performed to cover the wound area, which was not much larger than a quarter. Done, right? End of story? Not even close. It was only the beginning. After a few uneventful months, the grafted area began to ache. It was an ache that he would become all too familiar with moving forward. The ache was followed by redness in the area, which quickly evolved into necrotic (dead) skin and flesh. The wound spread beyond the grafted area and became a bit larger. He was admitted to the hospital and another graft surgery was performed. It didn’t fix the problem. Neither did the next one, or the next one, or the next one. Over the next five years, the woman wrote, the back of her husband’s hand constantly ached and the skin repeatedly died. The affected area spread until it covered the entire surface of his hand, and doctors have not been able to find a diagnosis, the author continued. A number of doctors who have read the blog have offered possible diagnosis and treatment options in the comment section, including pyoderma gangrenosum and white clot syndrome , which could be a side effect of medication he’s receiving. It’s interesting to note that these conditions would not be caused by the two droplets of drain cleaner that hit the back of the man’s hand. They would be caused by the skin grafts, other health conditions or medications that resulted from his chemical burn. Here’s what we know for sure: drain cleaners can cause severe chemical burns when they come into contact with skin. And drain cleaners become especially dangerous when they’re mixed with other chemicals. These dangerous mixtures can explode from drains and onto skin, as described in the Two Droplets blog post. That’s exactly what happened to a grandmother who owns a bed and breakfast in England in July 2010. She poured “two droplets” — an really odd coincidence — of Extreme Green’s Dr. Drain into a sink. After a few seconds there was a gurgling sound and then chemicals suddenly exploded from the drain, causing severe burns on her face, the Daily Mail reports : Doctors at Southampton General Hospital told her that it was only because of her quick-thinking to keep her eyes closed that her sight was saved. Mrs Insch, a grandmother of ten, from Netley Abbey, Hampshire, said: ‘I read the instructions and put two drops in, we hadn’t used any other product that day, only the plunger. ‘It started to bubble so I turned round to see what was happening and it exploded, it hit the ceiling and went straight into my face. Shocked: Sheila Insch pictured grandaughter Ceri Roper ‘I just grabbed something to wipe my face and I kept my eyes closed as my eyes are very valuable to me. ‘I kept washing my face all the way to hospital. It was terribly painful, burning, it hurt. ‘The doctor said my quick actions saved my face but he said I can’t go out in the sun for a year.’ Mrs Insch, who runs Telemark House B&B, was rushed to hospital by her daughter Gwen, but was transferred to the specialist burns unit at Salisbury Odstock Hospital, where she stayed for three days. That story is eerily similar to the one told in the Two Droplets blog. The two events even happened within a month of each other. A chemist for Extreme Green’s Dr. Drain said the company was assisting in the investigation, but he said the product is safe when used properly: He added: ‘It clearly states that this product will react violently if it is in contact with other products and I would suspect there was something else down her drain for it to react in such a way. ‘Incidents like this are very rare.’ Out investigation into the Two Drops blog is ongoing. Check back for future updates. ","Health - Medical"
"Doctors Expose Zika Virus Hoax-Fiction!","2016-02-16 08:36:51","https://www.truthorfiction.com/doctors-expose-zika-virus-hoax/"," Doctors in South America have found that an insecticide used in crop dusting causes the birth defect microcephaly, not the Zika virus. "," The Zika virus isn’t a hoax. Claims that a birth defect thought to be caused by the mosquito-borne Zika virus has actually been linked to a chemical used to kill mosquitoes are nothing more than conspiracy theories at this point. But it’s true that global public health officials aren’t 100% certain that the Zika virus is to blame for an outbreak of microcephaly — a birth defect that causes undersized heads and incomplete brain development — in northern Brazil, either. That’s left the door open for a wide range of conspiracy theories, including this one. Even so, the World Health Organization (WHO) reports that researchers are finding “an increasing body of evidence about the link between Zika virus and microcephaly,” but more research is needed, and other cause are being investigated. The Zika virus, which is transmitted by mosquitos, has been found in humans since the 1950s. In adults, the virus causes flu-like symptoms. And a growing body of research is suggesting that a new variation of the Zika virus strain is causing microcephaly in newborn babies. There have been 460 confirmed cases of microcephaly in Brazil, and another 3,850 cases are being investigated. The common link between babies born with with microcephaly is that they all test positive for the Zika virus, the BBC reports : Scientists told the BBC that samples taken from the brain tissue of the two babies showed that the Zika virus was still actively present. The research was conducted by scientists from Rio’s Federal University (UFRJ), Fiocruz Institute and Paraiba’s Professor Amorim Neto Research Institute. The scientists have been following the pregnancies of 10 women in the north-eastern state of Paraiba – the second worst-hit by cases of microcephaly. One of the researchers who made the possible connection between Zika and brain defects, Dr Adriana Melo, told the BBC that cases she has seen in the north-east of Brazil “are never microcephaly alone” – but include other brain disorders such as dilated ventricles, calcifications and contractures to the joints. The BBC’s Julia Carneiro in Rio de Janeiro says that the findings add more evidence to results announced last week by scientists in the US and Slovenia who detected the virus in samples from other babies with microcephaly. On Monday, a team at the PUC-Parana University in the south of Brazil also announced to have found the virus in tissues taken from babies with microcephaly who died after birth. Still, uncertainty about what, exactly, has been causing microcephaly has left the door open for conspiracy theorists. A group of South American physicians called the Crop-Sprayed Villages issued a report arguing that microcephaly can be linked to the use of an insecticide called pyroproxyfen that has allegedly been used on drinking water reservoirs in areas hardest hit by microcephaly cases. According to the report : Malformations detected in thousands of children from pregnant women living in areas where the Brazilian state added pyriproxyfen to drinking water is not a coincidence, even though the Ministry of Health places a direct blame on Zika virus for this damage, while trying to ignore its responsibility and ruling out the hypothesis of direct and cumulative chemical damage caused by years of endocrine and immunological disruption of the affected population. Doctors from the Brazilian Association for Collective Health (ABRASCO) demand that urgent epidemiological studies taking into account this causal link be carried out, especially when among 3,893 cases of malformations confirmed until January 20, 2016, 49 children have died and only five of them were confirmed to have been infected with Zika(1). However, an immunologist named Tirumalai Kamala pushed back against those claims. She wrote that two different reports show evidence of Zika in the placenta and brains of fetuses from miscarriages and from children born with microcephaly to mothers that have been diagnosed with Zika, which should leave little doubt. Also, the Crop-Sprayed Villages theory doesn’t hold up to scientific review, Kamala wrote: A larvicide used to kill Aedes aegypti larvae, pyriproxifen is sprayed all the time. Why then did microcephaly arise in a relatively small proportion of children and why did it only start to show up from ~Dec 2015 when pyriproxifen’s been sprayed in Brazil at least through all of 2014 and 2015? Brazil’s health authorities mention the link with the 1st trimester of pregnancy. If larvicide causes microcephaly, gestation period shouldn’t matter. There seems to be no obvious connection between larvicide spray and 1st trimester of pregnancy. OTOH, for a virus, especially for one with apparently newly developed neurtropism, early stage of pregnancy would be a window of opportunity to make its way past a not-yet-fully formed placenta and infect the developing fetal brain. After all, the observed Guillain–Barré syndrome during the 2013 French Polynesian outbreak fits with a newly developed neurotropic propensity for Zika. Molecular studies show Zika has clearly changed considerably during its recent journey through Asia after it came out of Africa. Pyriproxyfen has been widely used and studied around the world ( including in the U.S. ). If the chemical was truly behind microcephaly, a jump in cases would be reported everywhere, not just concentrated in northern Brazil. Given all that, we’re ruling claims that the Zika virus is a hoax as “fiction.”","Health - Medical"
"Left-Handed People Qualify for Disability-Fiction!","2016-01-28 13:05:48","https://www.truthorfiction.com/left-handed-people-qualify-for-disability/"," A viral report claims that left-handed people are now eligible to receive Social Security benefits to compensate for their “disability.” "," There’s bad news for lefties: They don’t qualify for Social Security disability benefits. That rumor started with the fake news website Mouth Wire in February 2015. The story went viral in January 2016 as lefties apparently celebrated news that, “As of February 1st, people suffering from severe cases of left-handedness may be eligible to receive Social Security benefts.” The story goes on to report: President of the Left-Handed Nondiscrimination Association (LHNA) Mary Cavil told us, “We’ve been fighting a long time for this day. Left-handedness is associated with creativity and going against the grain, but what people don’t seem to realize is that many of us struggle with everyday tasks like adjusting the car stereo or using a can opener. And others are subject to harsh discrimination, being told by school teachers that writing left-handed is a sign of the devil.” Of course, the Left-handed Nondiscrimination Association (LHNA) does not exist. Nor does the “Justice for Dexterously Challenged Act” cited in the article. Mouth Wire identifies itself as a “purely satirical web publication intended for entertainment purposes only,” so don’t believe anything you read there. But, in case your wondering, doctors have actually looked into whether or not being left-handed is a handicap, and they found the answer to be “yes and no.” Dr. Adrian Flatt of the Baylor University Medical Center explored ideas about a “left-handed handicap” in a paper published in 2008 . The paper explored disadvantages to lefties who live in a “right-handed world.” Turns out, lefties are far more susceptible to hand injuries. Left-handed industrial workers are five times more susceptible to finger amputations. Lefties also face everyday hassles like right-handed gearshifts, scissors, can openers and even traffic patterns that favor right-handed turning. Still, even though lefties deserve some sympathy, left-handedness is far from a disability. ","Health - Medical"
