"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Bounce Fabric Softener Dryer Sheets Work as Bug Repellent –Truth! & Misleading!","2015-08-14 13:29:57","https://www.truthorfiction.com/bounce-fabric-softener-dryer-sheets-work-as-bug-repellent/"," Bounce fabric softener dryer sheets repel bugs like mosquitoes, gnats and flies. "," The rumor that Bounce fabric softener dryer sheets work as an insect repellant is true, but it’s also misleading. Bounce fabric softener is scented with oil that works as a natural insect repellant, but low concentrations of it. So dryer sheets contain a natural insect repellant, but probably not enough to effectively repel most insects. Scientists did, however, find that Bounce fabric softener dryer sheets work as an insect repellent for at least for at least specific kind of insect: fungus gnats. Fungus gnats were put inside a plastic container that had two smaller containers connected to each side of it. One of the side containers had a Bounce fabric softener dryer sheet inside of it, and the other had nothing, according to a study published by HortiScience . After several days, just 12-18% of the fungus gnats were found inside the container with Bounce fabric softener dryer sheets. Meanwhile, 33-48% of the fungus gnats were in the other container. The experiment was repeated five times and scientists concluded that “Bounce fabric softener dryer sheets do in fact repel” fungus gnats. The scented oil in Bounce fabric softener dryer sheets that repelled fungus gnats is called linalool. Linalool , which is made from the oil of linaloe wood, is commonly used as an air freshener in household sprays and detergents. In higher concentrations, it’s also used as a pesticide. In fact, the EPA approved linalool for use as pesticide in 2009: This notice announces the availability of EPA’s final registration review decisions for the pesticides Trichoderma species (case 6050) and Linalool (case 6058). Registration review is EPA’s periodic review of pesticide registrations to ensure that each pesticide continues to satisfy the statutory standard for registration, that is, that the pesticide can perform its intended function without unreasonable adverse effects on human health or the environment. Through this program, EPA is ensuring that each pesticide’s registration is based on current scientific and other knowledge, including its effects on human health and the environment. But there are trace amounts of linalool in Bounce fabric softener dryer sheets. Pesticides, meanwhile, have a 95% concentration of linalool. That means Bounce fabric softener dryer sheets do contain a natural insect repellant, but probably not enought to effectively repel insects in most situations ","Household"
"Ziploc Bags Full of Pennies and Water Keep Flies Away- Fiction!","2015-06-11 10:57:29","https://www.truthorfiction.com/ziploc-bags-full-of-pennies-and-water-keep-flies-away/"," Ziploc bags filled with water and pennies can be used to keep flies away. "," Ziploc bags full of water and pennies don’t act as a homemade fly repellent. This rumor has been circling the web for years, and people have been using it to scare away flies for even longer. The idea is that flies have poor eyesight, and water-filled bags create some type of optical illusion that scares them away. The most common version claims that light refracted in the water confuses the flies. Another version claims that flies are scared by their own oversized reflections in the bags. First, the claim that flies have poor eyesight is false . Their eyes are made up of thousands of individual lenses that can see polarized light and color spectrums that human eyes can’t: “House fly eyes can recognize even the slightest movements in a wide field. This allows the fly to see a far wider range, as well as detect and react to movement at a quicker pace than species with simple eyes. This is the reason that it is extremely difficult to swat a house fly.” That doesn’t mean all of those lenses don’t haywire when a fly looks into a bag of water, but experts say that it’s unlikely. A bug expert with the Audubon Institute told the New Orleans Times–Picayune he had experimented with the water bag trick, and it didn’t work: “(The bug expert) points out that flies are seasonal, they’re affected by wind, rain and other factors. There are lots of reasons people might come to believe the folksy water bags scare them off, but in his scholarly view, those reasons don’t, well, hold water.” The TV show “MythBusters” also experimented with the homemade flytrap and reported it to be a bust: “The Build Team made a rig consisting of three chambers separated by trap doors. The first chamber would hold the flies, the second would hold some rotten meat, and the third would hold both rotten meat and a bag of water. They then released over 5,000 flies from the first chamber and waited to see how many flies would go into each of the other two. After the chambers were sealed off, they let all the flies die and collected the corpses to weigh for comparison. The chambers with and without the water contained 35 and 20 grams of flies, respectively, busting the myth.” ","Household"
"Lowes Offers $200 Coupon-Fiction!","2015-03-31 23:18:43","https://www.truthorfiction.com/lowes-offers-200-dollar-coupon/"," Lowes Home Improvement has offered a $200 coupon for any purchase of $220 or more. "," This is a scam. Social media lit up with reports that Lowes had offered a $200 coupon — but the deal ended up being too good to be true. It is a phishing scam that was used by fraudsters to dupe people into giving up their personal information. Lowes responded directly to a number of posts about the $200 coupon on Facebook: “The post on Facebook is not affiliated with Lowe’s in any way. This is a phishing scam to try and gain personal and secure information. Please be careful when it comes to these sorts of pop-ups.” The offer for the so-called $200 Lowes coupon appeared in a pop-up window and encouraged people to fill out a form with their personal information in order to redeem it. Pop-up windows are regularly used in phishing scams. The National Consumer League warns : “Never enter your personal information in a pop-up screen. Sometimes a phisher will direct you to a real company’s, organization’s, or agency’s website, but then an unauthorized pop-up screen created by the scammer will appear, with blanks in which to provide your personal information. If you fill it in, your information will go to the phisher. Legitimate companies, agencies and organizations don’t ask for personal information via pop-up screens. Install pop-up blocking software to help prevent this type of phishing attack.” Trusting your instincts is one of the best ways to protect against scams like this. If a deal sounds too good to be true, it usually is. ","Household"
"Compact Fluorescent Light Bulbs (CFLs) Emit Radiation, Contain Mercury-Truth! & Misleading!","2015-03-31 23:15:22","https://www.truthorfiction.com/compact-fluorescent-light-bulbs-cfls-emit-radiation-contain-mercury/"," Compact fluorescent light bulbs (CFLs) are radioactive and add more toxicity to the environment than regular light bulbs because they contain mercury. "," This one is true, false and misleading all at once. There is truth in claims that CFLs give off ultraviolet (UV) radiation and contain mercury, but studies show that those concerns have been exaggerated. The debate over CFLs started in 2007 after President George W. Bush signed the Energy Independence and Security Act into law. The bill required screw-based light blubs to use fewer watts for similar brightness by 2014 to save energy. The bill also requires most light bulbs to be 60-70% more efficient than regular incandescent light bulbs by 2020. Many have interpreted the law to mean that consumers must use CFLs, but that isn’t the case. The law doesn’t restrict the types of light bulbs that can be sold, just the amount of energy they use. Right now, CFLs and LEDs meet the 2020 energy requirement, according to the bill . But that doesn’t mean more options won’t be available by 2020. Claims that CFLs are radioactive and toxic have been around since Congress introduced the bill. A page posted on the website Live Leak provides one example: “Consider this – instead of saving the environment, CFLs are actually destroying it. CFLs should be thought of as toxic technology, when mercury contamination, ultraviolet radiation, and radio frequency radiation are factored in. From cradle to grave, CFLs pose a danger to people’s health and well being, as well as adding even more toxicity to the environment. In fact, CFLs do not reduce a person’s carbon footprint and may even increase it in some situations. To make matters even worse, CFLs emit harmful levels of electromagnetic radiation. “ Let’s take a look at each of these claims. First, it’s true that CFLs emit ultra-violet (UV) radiation. Researchers at Stony Brook University found that UV leaked from cracks in the phosphor coatings on CFLs. Their study found that CFLs should not be used at close distances and should be placed behind glass covers. The UV radiation was on par with what is given off by standard fluorescent lights, so the risk for skin damage is not great. There is also a small amount of mercury in CFLs, as the eRumor claims. If a bulb breaks, there is some risk of mercury exposure, but, again, it’s not great, the National Institutes of Health reports : “’The amount of mercury gas coming off (broken CFLs) is over a milligram over a few days. If you put that milligram into a poorly ventilated room, the concentration can be over the recommended limit for children,” says Robert Hurt, the director of the Institute for Molecular and Nanoscale Innovation. ‘The overall risk is low, but it’s not zero risk, and there is definitely an opportunity to do better.’ “…Hurt’s research suggests that the peak for escaping mercury vapor lasts a few hours. The group also found that plastic bags leaked mercury vapor. ‘This new information may allow for modeling of airborne mercury concentrations following breakage, thus providing the capability to more fully assess the effectiveness of cleanup,’ says Roxanne Smith, a press officer for the EPA.” The EPA’s tips for cleaning up broken CFLs can be found here . Finally, the claim that CFLs add more toxicity to the environment than regular bulbs because of their mercury content is false. CFLs actually reduce the amount of mercury entering the environment because less energy is required to use them. That means less mercury-emitting coal needs to be burned, the National Institutes of Health reports . ","Household"
"Kerosene Cures Cancer-Fiction!","2015-03-19 17:20:03","https://www.truthorfiction.com/kerosene-cures-cancer/"," Kerosene can be used to cure cancer and other blood diseases. "," There’s no proof that kerosene kills cancer cells, but there’s plenty of proof that it can kill humans. This eRumor surfaced a number of years ago. A report by a person identified as Caro Huptn, the editor of the newspaper TAGO, claimed that a woman had cured more than 20,000 patients with kerosene. It has appeared on many alternative medicine websites, often with a disclaimer like this one: “The following report was given to us by a woman from Michigan. Nothing has been done to verify the information as it sounds quite unusual compared with the knowledge we already have that benefits the cancer patient. It is being printed only to pass on information that arrives at the FACT office, and possibly, for someone doing research to conduct a project to validate or negate the information. If the research is undertaken, we would appreciate receiving the report.” Outside of that one report about kerosene and cancer, there is no record of anyone named Caro Huptn, or the newspaper TAGO, on the Internet. But there has been plenty of research done on how kerosene affects humans, and it’s not good. In 2010, a group of researchers looked at the impact medicinal kerosene had on people in developing countries. The researches looked at cases where kerosene had been used to treat hemorrhoids, but its effect on people who used it to treat cancer would be the same. According to the study : “Kerosene and other petroleum oils were used as the drugs of choice for many medical problems in the past years. The most common use of kerosene was antiseptic aid for cuts and scrapes. Daily applications of kerosene were also used to treat head lice, athlete’s foot, animal problems including cracked or infected hooves, and worm infections… “Nowadays, it is obvious that kerosene chemical-based components are toxic materials for the human body. These materials were found to cause significant direct and indirect dangerous effects on health through inhalation, ingestion, injection, or local dermal contacts. These negative effects may lead to losing the functions of organs of body or lead to long-term disabilities. Although training and increasing of public awareness about these side effects may prevent self-therapy of kerosene, early diagnosis of these side effects can help in the results of care.” That means that even if kerosene could kill cancer cells, it would likely kill the patient along with those cells. ","Household"
"Beware of potential pollution from certain candles-Truth!","2015-03-17 22:02:02","https://www.truthorfiction.com/candles/"," An email is making the rounds that talks about a woman in Texas whose family has experienced a variety of health problems which she says are due to the lead content of some candles.  The email warns that burning candles in the home can lead to health problems. "," The Texas woman’s name is Cathy Flanders and she has been on a crusade to bring the problem of indoor pollution from candles to the forefront.  She has filed a lawsuit against the store that sold her candles which she says resulted in toxic levels of lead in her home and with serious medical consequences on her family.  Regardless of the merits of her case, it is true that indoor pollution from certain kinds of candles is becoming a focus of research and is one of the hot topics right now among professionals concerned with health issues in the home.  Not all the researchers are focused on lead and there are some who say they feel the danger from lead is reduced by the fact that U.S. candle makers have not used lead in candles for more than 25 years.  There is increased focus on what researchers say is a significant contribution of candles to soot residue in buildings, more than has previously been realized, and to what extent that soot can contribute to health problems.  While that is being studied, pollution experts recommend choosing candles from U.S. manufacturers that are made of hard wax, have low aromatic properties, burn with a low, even flame and with wicks that burn down evenly with the rest of the candle.  They also recommend keeping burning candles out of drafts and not allowing an extinguished candle to continue emitting smoke. For more information: CNN Article about Cathy Flanders Article about Black Soot in the Home from the Environmental Illness Society of Canada","Household"
"Dangerous gas in car air conditioners is causing lung cancer and Alzheimer’s disease-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/carac/"," This email says that air conditioners in 1985 to 1998 cars are dangerously toxic and are spewing a gas that is the leading cause of Alzheimer’s disease and lung cancer. "," This story is filled with fiction and inaccuracies from top to bottom.   The writer claims to be a researcher for “The American Motor Vehicle Safety Organization.”  TruthOrFiction.com cannot find any such group.  It claims that all air conditioners for all cars were ordered from a corporation called Akson Technologies Initiative.  TruthOrFiction.com cannot find any such organization.  Also, there is no single company that has made all air conditioners for all cars.   The email claims that a flaw in the design of the air conditioners allowed carbon monoxide to leak into the guts of the air conditioning system and mix with freon gas to produce a toxic substance called Dichlorodifluorocarbonmonoxide.”   An air conditioner expert tells TruthOrFiction.com that In auto air conditioners, the freon gas is inside a sealed system and cannot mix with carbon monoxide.  Similarly, if the system with the freon inside is properly sealed, there would not be any toxic gas leaking anyway.  Additionally, there is no such substance as “Dichlorodifluorocarbonmonoxide.”  It’s a fabricated word.  Anyone familiar with health risks of this alleged magnitude knows that the determination of whether there was any danger or correlation with lung cancer or Alzheimer’s disease would not be made by an auto company.  It would be researched by health professionals and any findings of the significance alleged in this email would be front page news, not revealed by a poorly contrived email. update 06/07/08 ","Household"
"Procter & Gamble supports a Gay Rights Proposal as Well as GayMarriage-Truth! & Fiction!","2015-03-17 21:45:52","https://www.truthorfiction.com/pandg-gaymarriage/"," The eRumor encourages a boycott of Procter & Gamble for the company’s support of a controversial ballot issue in Cincinnati that is regarded as a pro-homosexual measure. "," It is true that Procter       & Gamble contributed to a gay-supported campaign in Cincinnati. It is not true that Procter & Gamble has made a decision to explicitly       support homosexual marriage. In 1992 the Cincinnati, Ohio City Council approved an ordinance that prohibited discrimination       for, among other things, sexual orientation. A loud protest resulted from those who objected to homosexuality       being ranked along with race, gender, age, and religion as a reason       for protection. A year later, 62 percent of Cincinnati voters responded to that       action by passing an amendment to the city charter (Title XII) which forbids the city       from providing protected status to persons “because of       homosexual, lesbian, or bisexual orientation.” It’s been a hot debate ever since and in November, 2004 the citizens of       Cincinnati voted to overturn that ordinance and to once again       include sexual orientation in protection from discrimination. Procter & Gamble’s headquarters is in Cincinnati and the company       made a $10,000 contribution to the group that was pushing for the       repeal of Article XII. Procter & Gamble said that its support of the repeal was not a       vote for homosexuality, but against discrimination. The American Family Association and Dr. James Dobson’s Focus on the       Family had encouraged a boycott of two of Procter & Gambles       products, Tide soap and Crest toothpaste, as a protest of the       company’s policies regarding homosexuality. In a statement, Dobson said that even though Procter & Gamble has       not officially endorsed homosexual marriage, its statements       “communicate the notion that restricting marriage to one man       and one woman is discriminatory.” updated 11/05/04 Subject: P&G policy leads to support for homosexual marriage CREST, TIDE MAKER GIVES MONEY, CLOUT TO REPEAL LAW     FORBIDDING SPECIAL RIGHTS FOR HOMOSEXUALS P&G policy leads to support for homosexual     marriage Dear Walter, Procter & Gamble, makers of Crest toothpaste and     Tide detergent, has publicly thrown their support and money behind the     homosexual political agenda. P&G recently wrote to their Cincinnati employees     <http://www.pgboycott.com/pginformation.pdf> urging them to     support the repeal of a city law that forbids giving special rights to     homosexuals. In 1993, the citizens in Cincinnati adopted the law by a     vote of 62% to 38%. P&G is now working to get that law repealed and     has given $10,000 toward that goal <http://www.pgboycott.com/pgcontributions.pdf>     . To our knowledge, Procter & Gamble is the first     company to support the political agenda of the homosexual movement. While not explicitly saying so in their public     announcement supporting the repeal, P&G clearly showed their support     for homosexual marriage. P&G said they “will not tolerate     discrimination [against homosexuals] in any form, against anyone, for     any reason.” To keep homosexuals from being legally married is     discrimination, which P&G says they will not tolerate. Taking them     at their word, P&G supports homosexual marriage. Take Action American Family Association is asking pro-family     groups and individuals to: (1) Boycott two products of P&G-Crest toothpaste     and Tide detergent. (Make sure your replacement is not a P&G     product.) (2) Call Chrm. A.G. Lafley at 513-983-1100 and     politely let him know that you are participating in the boycott and will     ask others to do the same. (3) Please Click Here to register your support for the     boycott <http://www.pgboycott.com/signpetition.asp> . We will send     a regular update to P&G on the number participating. (4) Please forward this email to your friends and     family. (5) Click here to print out and distribute the boycott     Crest and Tide petition <http://www.pgboycott.com/PGBoycottPetition.pdf>     . Sincerely, Donald E. Wildmon, Founder and Chairman American Family Association <http://www.afa.net> P.S. Click here <http://www.pgboycott.com/productlist.asp> for a     complete list of P&G products. ","Household"
"Beware of lipstick with lead-Fiction!","2015-03-17 21:45:49","https://www.truthorfiction.com/lipstick/"," The email says that several lipstick brands contain lead and suggests a simple way to tell whether there is lead in your lipstick. "," We’ve spent a considerable amount of time looking into this one and there is nothing to substantiate the claims of this email. The most important thing that can be said is that in the United States, the Food and Drug Administration regulates the lead content in food and cosmetics. The lead levels, if there are any, are tiny and not regarded as harmful by the FDA. The history of cosmetics does include products with lead content.   According to the folks at Maybelline, certain ancient Greek women were said to have coated their face, necks, and breasts with a white powder before applying color make up.  They didn’t realize that the lead content of that white powder was toxic. In England, Elizabethan women used white lead face paint along with mercury sulfide for rouge. The attempts at beauty were marked with falling hair, sickness, and even death. Some companies that manufacture what they call “natural cosmetics” do sometimes claim that mainstream products contain lead. Last updated 10/18/2003 ","Household"
"UGG Boots are Made from Sheep Skins and Wool-Truth!","2015-03-17 21:41:03","https://www.truthorfiction.com/ugg-boots/"," This is a forwarded email that contains an article about the boot maker UGG.  The article alleges that UGG boots are made from skins and wool sheered from inhumanly treated sheep. "," The article was written on November 13, 2013 and appeared in the Yahoo finance website but failed to tell the whole story. The Goleta, California based UGG company has been making quality products from sheep leather and wool since 1979 and say that they are “among the leaders in ethical supply chain for consumer goods, and particularly the sourcing of sheepskin.” It’s parent company, Deckers Outdoor Corporation posted an Animal Welfare statement on the corporate responsibility section of their website saying that “UGG does not use sheepskin unless it is a byproduct of the meat industry.”   The statement went on to say that, unlike most animals used for fur coats, the product used by the UGG comes from sheep that “are NOT raised for their skins.” Posted 11/20/13 ","Household"
