"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Picture of Hurricane Isabel taken at Sea-Fiction!","2015-04-01 22:02:07","https://www.truthorfiction.com/isabel/"," The eRumor includes one or sometimes two pictures of strange looking cloud formations said to be of Atlantic Hurricane Isabel in September of 2003. "," Why someone felt the need to say these were pictures from Hurricane Isabel is known only to that person, but they are not. They were posted by an Australian pilot on a website of pictures from Western Australia. TruthOrFiction.com was able to track him down. He says the pictures were taken by a friend of his around the time of Cyclone Graham in February, 2003. The pictures were taken over a two day period in and near Port Hedland. One of them is from the deck of one of the iron ore ships that sail in and out of Port Hedland. The second picture was taken as the storm was adjacent a salt mine at Port Hedland. Port Hedland is frequently affected by cyclones, so much so that the city council has a pre-cyclone clean-up period for three weeks every year in October. updated 7/23/12","Hurricanes"
"Courage at the Tomb of the Unknowns during Hurricane Isabel-Truth!","2015-03-17 20:42:37","https://www.truthorfiction.com/tombofunknowns/"," During Hurricane Isabel in       September, 2003, the guards at the Tomb of the Unknowns were given       permission to leave, but they chose to remain even if it meant       threat to their lives. "," The story is true. One version of the eRumor says that the guard were ordered to seek shelter but disobeyed to stand guard.  That is not true.  There was no order for them to abandon their posts. Last updated 9/24/03 ","Hurricanes"
"A sign from God after hurricane Charlie-Truth!","2015-03-17 20:42:36","https://www.truthorfiction.com/signfromgod/"," The eRumor says that the high winds of Hurricane Charlie in Florida in 2004 ripped a previous sign from a billboard, leaving a previous billboard visible for all to see that said, “WE NEED TO TALK…GOD” "," Hurricane Charlie was one of four hurricanes to devastate portions of Florida during the 2004 hurricane season. In Orlando, the winds peeled away a current billboard leaving the remnants of a previous billboard campaign and displayed the timely message from God. The old billboard was part of a series that were created by Andy Smith and Charlie Robb of the Smith Agency in Fort Lauderdale. The billboards were paid for by a person who asked to remain anonymous and who asked the Smith Agency to run the campaign from September to November of 1998. The roadside announcements were actually the work of Andy Smith and Charlie Robb of The Smith Agency in Fort Lauderdale. The advertising firm was hired last summer by a person requesting anonymity. Their instructions: Create and execute a marketing campaign from September to November that would get people thinking about God. The successful campaign prompted a request from the Outdoor Advertising Association of America to ask for permission to use the billboards elsewhere in the United States. According to the Wall Street Journal, they appeared in more than 200 cities. Updated 11/5/04 ","Hurricanes"
"Physician’s criticism of hurricane survivors in Texas-Fiction!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-criticism/"," The eRumor is from a doctor named Richard Johnson who says he volunteered to help hurricane survivors who were brought to Houston after hurricane Katrina in 2005. He started his mission with compassion but ended it with anger toward some of the survivors who he said had a welfare mentality, were not grateful, and would not volunteer to help. "," This is another example of a person forwarding an email that he did not write but it has been circulated as though he wrote it. Dr. Richard Johnson says he is not the author of this email and that he has not been in Texas for more than 10 years. He does recall seeing the message and forwarding it but that’s it. Subsequent versions of the eRumor have been sent around the world with his name and contact information at the bottom of the email making it appear as though he originated it. We don’t know who wrote it. Last updated 9/20/05 ","Hurricanes"
"The Crocodile Combing the Waters of New Orleans Looking for People to Eat – Fiction!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-croc/"," The email comes with pictures of a huge crocodile saying that he was found in the streets of New Orleans after hurricane Katrina and is 21 feet long and weighs 4,500 pounds. The eRumor claims that the croc is more than 80 years old and is too aged to catch animals so was looking for people instead. The story claims that the reptile was shot by Army troops “last Sunday” and that its carcass is in a freezer at the Azur Hotel. "," This story is a hoax. The pictures are authentic but are of a crocodile that was captured in Congo, Africa, long before hurricane Katrina. Some versions say it’s an alligator that was found in the streets. The references to Army troops and the Azur Hotel are of Congo. Better estimates of the size of the croc are about 16 feet long and more than 1,000 pounds. Updated 9/20/05 ","Hurricanes"
"Petiton to President Bush for lower gas prices after Katrina-Grass rootseffort!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-gas-prices/"," This is a petition for you to add your name to and forward to others. After 2000 names, it is to be sent to President Bush asking him and Congress to lower gas and Diesel prices in the U.S. This was in response to the rising gas and diesel prices after the devastation of Hurricane Katrina along the U.S. Gulf Coast and it’s affect on the U.S. oil industry. "," This is a grass roots effort that was       started by someone somewhere who thought it would be a good idea. It reflects the frustration over spikes of gas and diesel prices       after Hurricane Katrina and at a time when gas and diesel prices       were already at historic highs. Efforts  like this feel powerful to many people because of the       knowledge that petitions have accomplished a lot of change from time       to time in our democratic culture. Emails like this one, however, are not effective and for several       reasons. Normally, a petition has significance because it represents people       who registered voters and who have authenticated their participation       by providing a signature and address that can be verified. An email petition that simply has names listed on it is virtually       meaningless because anybody who wanted to take the time could       fabricate a list of names and send it to a government office or       elected official. There is no way of validating that the names listed are real people       and that they signed on to the petition. Another problem with this kind of petition is that it relies someone       along the way to be responsible for sending it to the intended       ultimate destination, which doesn’t often happen. The best thing to do when you want elected officials to hear your       opinion is to find the email address, fax, or phone number for their       offices and communicate to those offices directly using your own       name and contact information. A third problem with this particular petition is that rises and       drops in oil and gas prices are the result of complex factors both       internationally and locally and it doesn’t always mean that your       local gas station or the oil company it works with is making a       killing financially. The rise in prices after the Hurricane were affected by the very       real factors such as a severe disruption in American oil production. ","Hurricanes"
"Hurricane Katrina halted plans for Southern Decadence Day?-Truth!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-gays-and-gamblers/",".gadsense_slot_1{ display: inline-block; width: 300px; height: 250px;} (adsbygoogle = window.adsbygoogle || []).push({}); Hurricane Katrina Hit New Orleans During the Week Scheduled for a Homosexual Event called “Southern Decadence Day” – Truth! Summary of the eRumor: The eRumor says that during the week that Hurricane Katrina hit the Gulf Coast of the United States, a homosexual event called “Southern Decadence Day” was due to take place in New Orleans. The eRumor also says that gambling casinos were in the eye of the storm. The email also says that the storm was brewing in the Atlantic at the same time that Israeli’s were being forced out of their homes in Gaza. The Bible is then quoted where “sea and waves roaring” is predicted as well as “men’s hearts failing them for fear.” "," First, the name of the event is “Southern Decadence.” It was scheduled to take place from August 31 to September 5 and had become a Labor Day tradition in the French Quarter of New Orleans. According to promotional materials about Southern Decadence, it was to involved more than 100,000 mostly gay and lesbian participants and generate more than $100 million in tourist dollars. One of the common questions after natural disasters is whether these “acts of God” mean anything about the locations where they took place. Only God can answer that but there is no end of people who will answer it for him. Last updated 9/2/05 ","Hurricanes"
"Pictures of Hurricane Katrina-Fiction!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-katrins-pix/"," An email that includes several storm pictures alleged to be of Hurricane Katrina in 2005. "," None of these pictures are from Hurricane Katrina. All of them were either created or last revised in October, 2004 and most appear to have been taken in June, 2004. They were taken from a photo gallery on www.pricenetwork.com then circulated as though from Katrina. Last updated 9/17/05 ","Hurricanes"
"Gas Rationing because of Hurricane Katrina?-Fiction!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-rationing/"," This is an email that started shortly after Hurricane Katrina in the United States saying that an oil refinery called together the employees and told them to keep their tanks full because gas rationing will be starting soon. "," TruthOrFiction.com has not found any       substantiation for this story. It is written in the unconvincing way of false eRumors. At the time that it started circulating, almost immediately after       Hurricane Katrina, there had not been enough assessment of the       impact of the Hurricane on American oil supplies to have predicted       whether rationing would be necessary or whether the President would       authorize dipping into U.S. oil reserves.  There was some short       term localized gas rationing after the hurricanes but nothing on a       national scale. It is the kind of email that seems to get started after a disaster       but for which there is no documented source, no specific details as       to which employees at which refinery were told this or who       originated the email. Last updated 9/1/05 ","Hurricanes"
"Forward an email for the Red Cross for victims of hurricaneKatrina-Fiction!","2015-03-17 20:42:31","https://www.truthorfiction.com/hurricane-redcross/"," There are a couple of versions of this eRumor. One is said to be from a person named Brenda or Loily and says that the Red Cross has offered to give fifty cents for every email that she and her co-workers send. She asks that when the number of forwards reaches 50 the email be sent back to her. The second asks you to forward an email from the Red Cross to others that will generate fifty cents for Hurricane Katrina victims for every fifty emails that are forwarded. "," TruthOrFiction.com regards both of       these email as hoaxes and for a couple of reasons. First, the American Red Cross needs all the       help it can get for hurricane relief in the Gulf states of the U.S.,       but it is not asking for it through forwarded emails. Second, here is no system being used on the Internet to trace forwarded       emails for the purpose of compensating yourself or anyone else. This is a very common type of eRumor in the aftermath of a disaster. This one is a bit unusual in that it asks to be sent back to the       originator after 50 names have accumulated. Don’t get suckered into a hoax, especially one that is going to put       your and your friends’ email addresses into the hands of a stranger. If you wanted to donate to the American Red Cross, go to their       official website at: www.redcross.org Updated 9/3/05 ","Hurricanes"
