"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Monsanto Says Genetically Modified Ants Could Replace Honey Bees-Fiction!","2015-06-24 09:16:03","https://www.truthorfiction.com/monsanto-says-genetically-modified-ants-could-replace-honey-bees/"," Monsanto plans to replace honeybees that are wiped out by pesticides with genetically modified ants. "," There aren’t any plans to replace honeybees with genetically modified ants. That claim surfaced on the fake news website World News Daily Report and quickly went viral on social media sites. Taken out of context, many believed that fake news report was real: A team of researchers at Monsanto believe they might be on the verge of finding a solution to the mysterious drop in honey-bee populations all over the planet, a threat that endangers the world’s food supply as a whole. The $3 million dollar grant from the Environmental Protection Agency (EPA) has led the team of researchers at Monsanto to develop alternative strategies to “survive” an eventual honey bee Colony collapse disorder (CCD), a phenomenon that has been increasing in the past decade and that occurs when the majority of worker bees in a colony disappear, a situation that could “dramatically impact the world’s food supply”, admit experts. “Latest studies have found a link between neonicotinoid pesticides that are vastly used in GE corn crops. As GE farming has become an essential part of agriculture in today’s modern world, we had to develop ways to promote both the continuity of GE farming and the survival of the honey bees, a fascinating challenge” admits John Leere, head biochemist of the project. The team of researchers has developed a genetically modified ant that could “possibly save the world’s food supply.” But World News Daily Report’s disclaimer states that it assumes “all responsibility for the satirical nature of its articles and for the fictional nature of their content.” Many readers didn’t read the disclaimer and sounded off on Monsanto’s fictional plans to produce genetically modified ants: Protect the ‘natural’ species we have. Stop the use of indiscriminate pesticides. We are killing them off, lets stop and infest the huge amount of money monsanto are chucking about. To make this a world we actually ‘share.’  Stop with the genetics we’ve destroyed enough wildlife already! But it’s true that bee populations have been dropping due to Colony Collapse Disorder (CCD). That happens when adult worker bees are killed off and a queen bee is left alone in a hive with immature bees, according to USDA’s Agriculture Research Service : Bee pollination is responsible for more than $15 billion in increased crop value each year. About one mouthful in three in our diet directly or indirectly benefits from honeybee pollination. Commercial production of many specialty crops like almonds and other tree nuts, berries, fruits and vegetables depend on pollination by honeybees. These are the foods that give our diet diversity, flavor, and nutrition. Experts have scrambled to understand what is causing Colony Collapse Disorder, and pesticides have been investigated as a cause. Researchers in England actually developed genetically modified olive flies in an effort to solve the problem — but they are intended to replace some pesticides, not honeybees: The idea is to release a large number of GM olive flies that will be used to kill off wild pests that damage the crop. The company responsible for their manufacture and release is Oxitec. They plan to release GM male olive flies that would naturally mate with the females, ultimately resulting in the death of female offspring at the larvae or maggot stage. The thought is that this would lead to a reduction in the olive fly population, which would allow the trees to produce fruit without the need for chemical sprays. So, in the end, reports that Monsanto is developing genetically modified ants to replace honeybees are false. ","Insects"
"Ziploc Bags Full of Pennies and Water Keep Flies Away- Fiction!","2015-06-11 10:57:29","https://www.truthorfiction.com/ziploc-bags-full-of-pennies-and-water-keep-flies-away/"," Ziploc bags filled with water and pennies can be used to keep flies away. "," Ziploc bags full of water and pennies don’t act as a homemade fly repellent. This rumor has been circling the web for years, and people have been using it to scare away flies for even longer. The idea is that flies have poor eyesight, and water-filled bags create some type of optical illusion that scares them away. The most common version claims that light refracted in the water confuses the flies. Another version claims that flies are scared by their own oversized reflections in the bags. First, the claim that flies have poor eyesight is false . Their eyes are made up of thousands of individual lenses that can see polarized light and color spectrums that human eyes can’t: “House fly eyes can recognize even the slightest movements in a wide field. This allows the fly to see a far wider range, as well as detect and react to movement at a quicker pace than species with simple eyes. This is the reason that it is extremely difficult to swat a house fly.” That doesn’t mean all of those lenses don’t haywire when a fly looks into a bag of water, but experts say that it’s unlikely. A bug expert with the Audubon Institute told the New Orleans Times–Picayune he had experimented with the water bag trick, and it didn’t work: “(The bug expert) points out that flies are seasonal, they’re affected by wind, rain and other factors. There are lots of reasons people might come to believe the folksy water bags scare them off, but in his scholarly view, those reasons don’t, well, hold water.” The TV show “MythBusters” also experimented with the homemade flytrap and reported it to be a bust: “The Build Team made a rig consisting of three chambers separated by trap doors. The first chamber would hold the flies, the second would hold some rotten meat, and the third would hold both rotten meat and a bag of water. They then released over 5,000 flies from the first chamber and waited to see how many flies would go into each of the other two. After the chambers were sealed off, they let all the flies die and collected the corpses to weigh for comparison. The chambers with and without the water contained 35 and 20 grams of flies, respectively, busting the myth.” ","Insects"
"Camel spiders in the gulf-Truth!","2015-03-18 18:06:19","https://www.truthorfiction.com/camelspider/"," Photo of a gigantic spider allegedly caught by military members serving in Iraq. "," We haven’t tracked down exactly who took this picture or when and where, but the chances are good that it’s authentic. Camel spiders are real, are large, and are in the Middle East including Iraq. They don’t get as big as a man’s leg, however, as appears in this picture. The photo, if authentic, was taken at close range as is indicated by the hand and cuff of the soldier that are visible in the upper right. Also, it appears to be a picture of two spiders. Some pictures of camel spiders first came from soldiers headed for Iraq but who encountered them in Kuwait. There are some urban legends about camel spiders that claim they scream when they run, that they can run as fast as 25 miles-per-hour, and that they climb onto the undersides of camels and eat their stomachs. According to the experts we’ve consulted, they do not make any noise, they do run very fast but not 25 miles-per-hour, they are primarily nocturnal, they do not eat camel stomachs, and their bite can sting or produce numbness, but is not lethal. Last updated 4/5/04 ","Insects"
"The man-eating snake-Unproven!","2015-03-17 22:02:14","https://www.truthorfiction.com/snake/"," This eRumor comes in several versions.  All of them include pictures of a large snake that has obviously swallowed a very large meal.  Then there are pictures of a human body apparently being cut from the belly of the snake.  The differences among the versions are the location and explanation of the stories behind the pictures. "," TruthOrFiction.com is interested in tracking down the actual information about the pictures, but the consensus of the reptile experts that we have either talked with or discovered on the Internet is that the pictures are not what they are represented to be. The pictures of the engorged snake, for example, are more likely the aftermath of the snake having killed and eaten an animal.  The angular shape seems to be of some kind of four-legged creature rather than the form of a human. There are a few stories of large snakes killing humans, but not many of them swallowing humans.  The main reason, according to snake experts, is that snakes begin swallowing their prey at the head and with humans, the snake is confronted with a major obstacle when it gets to the shoulders.  Snakes can ingest remarkably large creatures, but need a more gradual contour to do it. The snake in the pictures is variously described in the eRumors as a boa constrictor, anaconda, or a python.  The experts say it is a reticulated python. The pictures of the man or boy appear to be from a different incident and a different snake and, according to experts, were apparently staged.  They point out that the body is not in the kind of condition that would be true if it had been inside of a living snake.  There victim would be more covered in slime.  Also, the snake’s entrails seem to be missing and were probably already removed prior to the entry of the body.   Additionally, some pictures show that whoever was brave enough to stick his head inside the carcass may have had the help of a plastic bag over his head.  Finally, if this person had been swallowed by a snake, he would have been swallowed head-first and his arms would be at his side. As for the location and the stories, TruthOrFiction.com has received several versions: …That a crew member on a land oil rig in Amazonas was captured by the snake as he took a nap. …A man in India was captured by a python as he napped by a roadside. …The victim is one of three men in Brazil who were sleeping when attacked by an anaconda. …That the victim was a crew member on an oil rig in Nouakchott, the capitol of Mauritania, West Africa. …That the victim was in Indonesia. …That the victim was in Ecuador. …That the victim was in Peru. …That the victim was in Borneo. …That the victim was in Singapore. …That the victim was in Venezuela ","Insects"
"Ants can invade your brain, so don’t eat sweets at bedtime-Fiction!","2015-03-17 21:57:53","https://www.truthorfiction.com/antbrains/"," Two stories are told in this email. One is of a boy who died because of ants in his brain.  He fell asleep with sweets either in his mouth or nearby and the ants that were attracted got into his brain through the ears.  After complaining of discomfort, the boy was taken to the doctor who discovered through an x-ray that there were ants living in the boy’s brain.  The doctor could not do surgery because the ants were moving around, so the boy died. The other story is about a patient in a hospital in Taiwan who didn’t listen when nurses warned him not to eat sweets in bed.  He later died and an autopsy found live ants in his brain. "," These stories are both fiction, classic urban legends.  There are no documented cases of ants entering the brain and living there.. ","Insects"
"The cactus that was teeming with tarantulas-Fiction!","2015-03-17 21:56:54","https://www.truthorfiction.com/cactus/"," A lady buys an expensive decorative cactus to put into her home.  One day, the cactus starts swaying and humming.  Alarmed, the homeowner calls 911, happens to get an operator who knows what is going on and who tells the lady to evacuate her home immediately.  The police send a five-man team who take the cactus outside and just in time.  The cactus bursts and thousands of tarantulas are released.  The nursery refunds the lady’s money and pays for her entire block to be exterminated.  The story then says that cacti have been used by tarantulas as mass breeding farms for a long time. "," This story is designed to give the creeps to people who hate spiders, but is not true.  It is a long-standing urban legend.  There is no documented case of this having happened and according to insect and cactus experts, including David Eppele of Arizona Cactus & Succulent Research, tarantulas breed in the ground, not in plants or trees. ","Insects"
"Beware of New Poisonous Spiders In the United States-Fiction!","2015-03-17 21:45:41","https://www.truthorfiction.com/bushspiders/"," There are two major versions of this circulating.  Both quote an alleged article from the Journal of the United Medical Association about people mysteriously dying then investigators finding deadly spiders from foreign lands living under toilet seats.  One version says the spider is from South American and was found to be hiding under toilet seats in a restaurant at Chicago’s Blare airport.  Another version says the spiders are appearing in North Florida, traced to a restaurant, and have come aboard airplanes from India. "," This is a hoax. Several straightforward reasons: …There is no “Blare” airport in Chicago. …There is no “Journal of the United Medical Association.” …There is no such “arachnius gluteus.”  It’s a created term that is probably supposed to translate as “butt spider.” …The reference to the “Civil Aeronautics Board” will spark memories for old-timers.  It hasn’t existed since 1984. …There are no reports of such spiders under toilet seats in either Illinois or Florida. Rick Vetter of the department of Entomology at the University of California at Riverside says he’s had correspondence with a man who claims to be the originator of this hoax.  The man said he created an email loaded with misinformation just to prove the point that people would circulate it without checking out the facts. . There is a newer version of the hoax (listed below) that includes some of the same information as the first one, such as the non-existent “United Medical Association, but uses the name of an actual spider, the “Two Striped Telamonia,” which is not a very dangerous arachnid. The spider in the photo of the sample below was correctly identified as a two-striped jumper, or Telamonia dimidiata, but it is non-venomous. Posted  9/23/08  Updated 05/27/14 ","Insects"
"Cockroach eggs in taco meat-Fiction!","2015-03-17 21:41:02","https://www.truthorfiction.com/tacoroaches/"," There are several different versions of stories about people who accidentally got infested with roach eggs in their mouths or salivary glands, then experienced a disgusting mouthful of hatched roaches.  Some versions say  a person got infected with the eggs by eating contaminated meat from a fast food restaurant.  Other versions say the eggs have been contracted through licking envelopes.  The stories claim there have been reports on CNN and in the New York Times. "," There have been no documented cases of this happening and it has been a common urban legend for quite some time.  No news articles on the     infestations have been found on CNN, in the New York Times, or any     other legitimate news source. updated 07/16/12 ","Insects"
"Parasites infesting the breast from new bras-Fiction!","2015-03-17 21:40:54","https://www.truthorfiction.com/infestedbreast/"," This one is accompanied by both a photograph and a video of what is said to be parasites infesting a woman’s breast and creating a grotesque site.  The story warns that women should be sure and wash a new bra to make sure any parasites have been eliminated.  It also recommends ironing underwear for the same reason.  It tells the story of an anthropologist named Susan McKinley who returned from a trip to South America with a rash that evolved into a worm-infested breast. "," We’ve not found anything to substantiate the Susan McKinley story or the photograph of the alleged larvae in a female breast. There is no alarm being spread by doctors about getting worms from new and unwashed bras.  The picture accompanying the eRumor is a fabrication.  It combines a picture of a woman’s breast with a picture of what has been identified as flower seeds.  A flower expert suggested to TruthOrFiction.com that it was the pod of a water lotus. The video that comes with some versions of the eRumor, however, is real but has nothing to do with either the story told in the eRumor or the photograph. The eRumor circulated for more than two years before the video started appearing attached to it.  The video shows a close-up of a medical worker using tweezers to remove worms from a woman’s breast. It is from a case reported from Africa in which Nigerian woman has what is called “cutaneous myiasis” of the breast due to an infestation by the larva of the Tumbu fly.  The medical report says it is the only reported instance of the infestation so there is no need for spreading an alarm.  It is interesting, if not coincidental, to note that the woman who had the infestation was described as spreading her washed clothes outside for drying and not ironing them before wearing them.  The eRumor makes reference to that as well and it brings up the question of whether the warning was initiated by someone who knew of the lone case. Some more recent versions of the story also include pictures of a couple of white worms that it says are the type that are infesting the breast.  As is clear on the picture, however, it was taken by Michael Bohne of the U.S. Forestry service and is of the larva of the Asian longhorned beetle.  It has nothing to do with any of the other stories. Posted 6/13/06 ","Insects"
"Florida mother who saved her son from an alligator-Fiction!","2015-03-17 20:42:24","https://www.truthorfiction.com/alligator/"," A little boy went swimming one afternoon in a lake next to his home in Florida. His mom was watching from her window and saw an alligator swimming for the boy.  She got to the dock just in time to grab her son by the arms, but the alligator grabbed him by the legs.  She tugged on one end while the alligator tugged on the other until a farmer heard their screams and shot the alligator.  The little boy survived and later told a newspaper reporter that in addition to the scars on his legs from the alligator, he had scars on his arms because his mother would not let go.  The email uses the story as an illustration of the fact that God will not let go of us, even though there sometimes may be scars from what we’ve gone through. "," TruthOrFiction.com has found no source for this story or any evidence that it is real. ","Insects"
