"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"After a Schoolteacher Called Thomas Edison “Addled,” His Heroic Mother Stepped In-Mostly Fiction!","2015-10-05 11:13:22","https://www.truthorfiction.com/after-a-schoolteacher-called-thomas-edison-addled-his-heroic-mother-stepped-in/"," After Thomas Edison’s school teacher called him addled or mentally ill in a letter, Edison’s mother hid the letter from the young inventor and homeschooled him so that he could reach his full potential. "," Many details of an inspirational story about Thomas Edison’s young life are accurate, but they’ve been used to form a fictional narrative about young Edison’s struggles as a student. The inspirational story begins by recalling how Thomas Edison’s grade school teacher wrote to his mother that Edison was “addled” and wouldn’t be allowed in school anymore. When Edison asked his mother what the letter said, she supposedly replied: His mother’s eyes were tearful as she read the letter out loud to her child: Your son is a genius. This school is too small for him and doesn’t have enough good teachers for training him. Please teach him yourself. After many, many years, after Edison’s mother died and he was now one of the greatest inventors of the century, one day he was looking through old family things. Suddenly he saw a folded paper in the corner of a drawer in a desk. He took it and opened it up. On the paper was written: Your son is addled [mentally ill]. We won’t let him come to school any more. Edison cried for hours and then he wrote in his diary: “Thomas Alva Edison was an addled child that, by a hero mother, became the genius of the century.” While the idea that Thomas Edison’s mother hid the fact that a schoolteacher had called him “addled” so that he could reach his full potential is inspirational — it’s also false. First, Thomas Edison was dyslexic, which would have made it difficult for him to succeed in an 1800s classroom. Research on dyslexia didn’t begin until the early 1900s, decades after Edison had left public schools, so little was known about it at the time. Thomas Edison’s struggles in school have been well documented over the years, as have his teacher’s view that Edison was “addled.” But the idea that Thomas Edison didn’t know that he’d been called addled is false. The Foundation for Economic Education reports that Edison was well aware of his teacher’s diagnosis, and that he was enraged by it: In 1854, Reverend G. B. Engle belittled one of his students, seven-year-old Thomas Alva Edison, as “addled.” This outraged the youngster, and he stormed out of the Port Huron, Michigan school, the first formal school he had ever attended. His mother, Nancy Edison, brought him back the next day to discuss the situation with Reverend Engle, but she became angry at his rigid ways. Everything was forced on the kids. She withdrew her son from the school where he had been for only three months and resolved to educate him at home. Although he seems to have briefly attended two more schools, nearly all his childhood learning took place at home. In the biography, “ Thomas Alva Edison: Great American Inventor ,” Louise Betts goes into more detail about why young Edison had problems with Reverend Engle’s teaching style: For a boy who was used to learning things his own way and to playing outside by himself all day long, sitting still in a one-room schoolhouse was pure misery. Tom did not like school one bit. His teacher, the Reverend G. Engle, and his wife made the children learn by memorizing their lessons and repeating them out loud. When a child forgot an answer, or had not studied well enough, Reverend Engle whipped the unfortunate pupil with a leather strap! Mrs. Engle also heartily approved of using the whip as a way of teaching students better study habits. her whippings were often worse than her husband’s! Tom was confused by Reverend Engle’s way of teaching. He could not learn through fear. Nor could he just sit and memorize. He liked to see things for himself and ask questions. But Reverend Engle grew as exasperated by Tom’s questions as Mr. Edison did. For that reason, Tom Learned very little in his first few months, and his grades were bad. Years later, Tom would say of his school experience, “I remember I used to never be able to get along at school. I was always at the foot (bottom) of the class. I used to feel that the teachers did not sympathize with me, and that my father thought I was stupid.” Then, after Thomas Edison told his mother that his teacher had referred to him as addled, the two of them went to the school in search of an apology, according to his biography: “My son is not backward!” declared Mrs. Edison, adding, “and I believe I ought to know. I taught children once myself!” Despite her efforts, neither the Reverend nor Mr.s Engle would change their opinion of young Tom Edison. But Mrs. Edison was equally strong in her opinion. Finally, she realized what she had to do. “All right, Mr.s Edison said, “I am herby taking my son out of your school.” Tom could hardly believe his ears! “I’ll instruct him at home myself,” he heard her say. Tom looked up at his mother, this wonderful woman who believed in him. He promised himself that he would make his mother proud of him. Later in life, Edison said, “My mother was the making of me. She was so true, so sure of me: and I felt I had something to live for, someone I must not disappoint.” However, there’s no record of Edison’s quote from the inspirational story, “Thomas Alva Edison was an addled child that, by a hero mother, became the genius of the century.” So, it’s true that Thomas Edison’s teacher called him addled or difficult, that his mother defended and homeschooled him, and that she had a big impact on the man that he became. But the inspirational account of Edison’s mother hiding the teacher’s letter from him and lying about why he was being homeschooled to help him reach his full potential is false. ","Inspirational"
"Boy Sang Gospel Song Until Kidnapper Released Him-Truth!","2015-03-31 21:40:57","https://www.truthorfiction.com/willie-myrick/"," This is an inspirational story about Willie Myrick who was allegedly abducted by an unknown man in Atlanta, Ga.  The boy sang a Gospel song non-stop for three hours, which irritated his kidnapper so much that he eventually released him. "," The incident was real, although the age of Willie Myrick in numerous reports varied from 9 to 11 years of age. According to an April 18, 2014, article by the New York Daily News, an unknown man used cash to lure young Myrick close enough to grab and force the boy into his vehicle on the evening of March 31. During his close to 3 hour ordeal, Myrick repeatedly sang “Every Praise,” a Gospel song by Hezekiah Walker. The article said, “[the] tune sent the suspect into a cursing fit and he stopped the car near East Point.” The kidnapper opened the car door, released Myrick and warned him not to tell anyone. That was one order that Myrick refused to obey and he has been telling the world about the incident since his release. When artist Hezekiah Walker got news of this, the artist flew from New York to meet with Myrick and his church family at the Mt. Carmel Baptist Church in southwest Atlanta to celebrate the boy’s 10th birthday. The article said that everybody present joined in the singing of “the life-saving song together as tears rolled down Myrick’s cheeks.” Atlanta Police released an all points bulletin (BOLO) with a sketch of the suspect with the offer $10,000 reward for his capture. The sample of the eRumor below was found on a website called Mommy Brown . Posted 04/21/14 ","Inspirational"
"The Cross in the Flag-Truth!","2015-03-28 20:42:28","https://www.truthorfiction.com/cross-flag/"," A picture of a large American flag with what appears to be a cross shining through it from the sun in the background on the anniversary of the September 11 attacks. "," We’ve had some readers ask if this is a doctored photo. The locals in Yuma, Arizona say it’s authentic. The flag is said to have been hung between two cranes in the parking lot of Fry’s grocery store in Yuma on September 12, 2001, the day after the Attack on America. According to the folks at the Yuma Elks Lodge the flag is 60 feet tall and 120 feet wide. The picture was taken by Janna Noe who snapped the photo with her digital camera and noticed the cross when she later looked at the pictures. When light shines through translucent fabric, there is frequently a distribution of the light along the pattern of the weave of the fabric.  This particular picture appears to have been taken when the sun was toward the upper portion of the blue section of the flag so the upper portion of the vertical line is shorter than the lower portion, resulting in a traditional looking cross.  If the sun had been in the middle of the blue portion of the flag, the lines would have been more equal in each direction. ","Inspirational"
"Iraqi statue honoring American soldiers-Truth!","2015-03-18 20:42:31","https://www.truthorfiction.com/kalat/"," A picture of a statue of an American soldier kneeling in honor of a fallen comrade and being comforted by an Iraqi child.  The accompanying text says the statue is in Iraq and was made by the same Iraqi artist who did some of the statues of Saddam Hussein and were constructed from melted Saddam statutes. "," According to an article in ARNEWS, the Army News service, this eRumor is true. ARNEWS says the sculptor’s name is Kalat. He was forced to fashion statues of Saddam Hussein including some that were later destroyed by U.S. military explosives. The bronze pieces of the statues were sent to Kalat and he made the memorial using a picture of a U.S. soldier, 1st Sgt. Glen Simpson, kneeling as a model. According to ARNEWS, Kalat worked with another artist on the Saddam Hussein statutes, but designed and fashioned the U.S. model on his own. It’s on display in Iraq and is destined to eventually be on display at Fort Hood, where it will become part of a larger memorial project at the 4th Inf. Div. museum. updated 09/01/04 ","Inspirational"
"Butch and Eddie O’Hare-Truth!","2015-03-17 22:38:31","https://www.truthorfiction.com/butchandeddie/"," Butch O’Hare, the war hero after whom Chicago’s O’Hare airport is named, was the son of mob lawyer Eddie O’Hare.  The email tells the story of Butch O’Hare’s bravery as well as a decision of conscience on the part of his father that may have contributed to his character. "," Lt. Commander Edward Henry “Butch” O’Hare is the subject of many articles that document his outstanding service as a pilot during World War II.  He was presented with the Congressional Medal of Honor for his actions against the Japanese and defending the U.S.S. Lexington.  According to the official citation of his Medal of Honor , he won the recognition “For conspicuous gallantry and intrepidity in aerial combat…”  It says he was the section leader of Fighting Squadron 3 on February 20, 1942.  According to an article on aviation-history.com , six Wildcats were sent into the air to protect the Lexington from Japanese bombers.  O’Hare and his wingman spotted the enemy planes first.  The wingman’s guns jammed, however, and the other four planes were too far away, so O’Hare faced 9 twin-engine Japanese bombers alone.  He shot down five of them and damaged a sixth before other U.S. fighters arrived.  No enemy bombs made it to the Lexington.  The Medal of Honor citation calls it “…one of the most daring, if not the most daring, single action in the history of combat aviation…”  O’Hare was killed in November of 1943 during the battle for the Gilbert Islands in the South Pacific.  He was accidentally shot down by another American plane during a night mission.  It is true that Chicago’s O’Hare airport is named after him and there is a restored airplane on display there similar to the one that O’Hare flew. Butch’s father, Eddie O’Hare, was an attorney and business partner of the famous gangster Al Capone.  He helped run Capone’s horse and dog track operation in Chicago.  He was described as being devoted to his son.  There was a point when Eddie decided to secretly become an informant for the Internal Revenue Service and it was with his help that the government convicted and imprisoned Capone for income tax evasion.  Some have said that Eddie became an informant because of a change of heart and a desire to go straight.  Others have said it was merely his way of saving his neck in the face of potential prosecution.  It was an article in Collier’s magazine in 1947 about Eddie O’Hare’s work as an informant that helped win public favor for him and the eventual naming of Chicago’s airport after his war-hero sun.   The article was written by Frank J. Wilson, the Treasury Department investigator with whom O’Hare had worked on the case.  The article was titled “Undercover man: he trapped Capone.”  Wilson called O’Hare one of his best undercover men. Last updated 6/20/01 ","Inspirational"
"Canadian Gordon Sinclair’s commentary on America-Truth!","2015-03-17 22:02:06","https://www.truthorfiction.com/gordonsinclair/"," This is a heart-warming and encouraging email that quotes what it says is a Canadian television broadcast by Gordon Sinclair.  It is a tribute to America. "," The commentary by Gordon Sinclair is true, although people along the way have altered portions of it. Originally written for a Toronto newspaper, it was broadcast on June 5, 1973 on CFRB radio in Toronto, Canada. It had a big impact at the time. A recording of Sinclair reading his commentary became a best-selling record that hit Canada’s top 30.  Canadian broadcaster Byron MacGregor produced a version in his own voice.  It was called “Americans” and became a hit record as well, rising to Canada’s top 5, selling 3.5 million copies.  That meant 3 gold records for MacGregor.  He donated the proceeds to the American Red Cross. Both the eRumor and the text from the original broadcast are below. Original script of Gordon Sinclair’s commentary: “The Americans” The United States dollar took another pounding on German, French and British exchanges this morning, hitting the lowest point ever known in West Germany. It has declined there by 41% since 1971 and this Canadian thinks it is time to speak up for the Americans as the most generous and possibly the least-appreciated people in all the earth. As long as sixty years ago, when I first started to read newspapers, I read of floods on the Yellow River and the Yangtse. Who rushed in with men and money to help? The Americans did. They have helped control floods on the Nile, the Amazon, the Ganges and the Niger. Today, the rich bottom land of the Misssissippi is under water and no foreign land has sent a dollar to help. Germany, Japan and, to a lesser extent, Britain and Italy, were lifted out of the debris of war by the Americans who poured in billions of dollars and forgave other billions in debts. None of those countries is today paying even the interest on its remaining debts to the United States. When the franc was in danger of collapsing in 1956, it was the Americans who propped it up and their reward was to be insulted and swindled on the streets of Paris. I was there. I saw it. When distant cities are hit by earthquakes, it is the United States that hurries into help… Managua Nicaragua is one of the most recent examples. So far this spring, 59 American communities have been flattened by tornadoes. Nobody has helped. The Marshall Plan .. the Truman Policy .. all pumped billions upon billions of dollars into discouraged countries. Now, newspapers in those countries are writing about the decadent war-mongering Americans. I’d like to see one of those countries that is gloating over the erosion of the United States dollar build its own airplanes. Come on… let’s hear it! Does any other country in the world have a plane to equal the Boeing Jumbo Jet, the Lockheed Tristar or the Douglas 107? If so, why don’t they fly them? Why do all international lines except Russia fly American planes? Why does no other land on earth even consider putting a man or women on the moon? You talk about Japanese technocracy and you get radios. You talk about German technocracy and you get automobiles. You talk about American technocracy and you find men on the moon, not once, but several times … and safely home again. You talk about scandals and the Americans put theirs right in the store window for everyone to look at. Even the draft dodgers are not pursued and hounded. They are here on our streets, most of them … unless they are breaking Canadian laws..are getting American dollars from Ma and Pa at home to spend here. When the Americans get out of this bind … as they will… who could blame them if they said ‘the hell with the rest of the world’. Let someone else buy the Israel bonds, Let someone else build or repair foreign dams or design foreign buildings that won’t shake apart in earthquakes. When the railways of France, Germany and India were breaking down through age, it was the Americans who rebuilt them. When the Pennsylvania Railroad and the New York Central went broke, nobody loaned them an old caboose. Both are still broke. I can name to you 5,000 times when the Americans raced to the help of other people in trouble. Can you name me even one time when someone else raced to the Americans in trouble? I don’t think there was outside help even during the San Francisco earthquake. Our neighbours have faced it alone and I am one Canadian who is damned tired of hearing them kicked around. They will come out of this thing with their flag high. And when they do, they are entitled to thumb their nose at the lands that are gloating over their present troubles. I hope Canada is not one of these. But there are many smug, self-righteous Canadians. And finally, the American Red Cross was told at its 48th Annual meeting in New Orleans this morning that it was broke. This year’s disasters .. with the year less than half-over… has taken it all and nobody…but nobody… has helped. ORIGINAL SCRIPT AND AUDIO COURTESY STANDARD BROADCASTING CORPORATION LTD. (c) 1973 BY GORDON SINCLAIR ","Inspirational"
"Air Force General Richard Hawley’s comments on the Attack on America-Fiction!","2015-03-17 22:02:06","https://www.truthorfiction.com/hawley/"," A series of strongly worded observations about reactions to the Attack on America from a U.S. Air Force General, Richard Hawley. "," General Richard Hawley is now retired, but was most recently the commander of the Air Combat Command, headquartered at Langley Air Force Base in Virginia.  He is a decorated pilot who flew more than 400 combat missions in Vietnam. TruthOrFiction.com contacted General Hawley and he says he did not write this eRumor that bears his name. He did, however, send us his own comments about the issues that the eRumor addresses: From the real General Richard Hawley: 1) Goodness, Evil and Relativity: There are some really good people in this world. They volunteer to help those who need it, and ask nothing in return. There are also some really bad people in this world. They exploit those who need help, or who have less wit or “charisma”, and motivate them to join in committing unspeakable acts of cruelty against people they don’t even know. Then there are the rest of us. Average people who try each day to do no harm, to provide for their families, to do an occasional act of kindness. The evil that was perpetrated against our land on 9/11 was the product of Mullahs who see our prosperity and power as a threat to their control over the uneducated Muslim masses on whose shoulders they ride through life. And so they preach hate. They are evil. 2) Violence begets violence: It’s true. Violence does beget violence. But sometimes there is no alternative but to confront those who would perpetrate evil acts against us. This is one of those times. We are blessed to have courageous men and women willing to put their lives on the line to track down and annihilate those who have been so imbued with evil as to be beyond redemption. But violence is not a strategy. It is a necessary and fully justified reaction to an unimaginable threat. But it is not a strategy. If we are to win this war, we must defeat the Mullahs. And to defeat the Mullahs, we must find ways to separate them from their uneducated flocks. We cannot kill all those who have been taught to hate us, nor should we wish to. Far better to change their minds than to change their state of being. 3) The intelligence community let us down: Well, maybe just a little. Lots of senior and not so senior intelligence people became just as enamored of high tech gadgets as their political masters. The protests over our evisceration of the human intelligence component of the agency were not very loud or forceful. Keeping spies on the ground is a high risk and often dirty business, and it wasn’t just liberal politicians who didn’t have much stomach for it. 4) Poverty is the breeding ground for terrorists: No, it isn’t; but religious extremism is. The Mullahs fear our wealth and power because it shows that a secular society with democratic institutions and a free market economy can do a better job of taking care of its peoples’ needs, both spiritual and physical, than the oppressive Islamic regimes that they aspire to lead. The Mullahs are the problem, not poverty, but poverty does make it easier for the Mullahs to spread their evil – as do governments that tolerate and even reinforce their hateful message. 5) Profiling: We are at war here! We are not talking about traffic stops. If we were at war with Iceland, I would expect those charged with our defense to pay very close attention to any Icelander who ventured near our shores. In this war I expect them to pay very close attention to Muslims with ties to the places that spew hatred against us. Random checks when there are no such obvious targets available are a good way to keep the evil ones guessing, but let’s not make small children and grandmothers take their shoes off while we watch far more likely candidates walk aboard unchecked. 6) Resolutions: a. Never forget that what happened on September the 11th of 2001 was an act of war. b. Never sit silently by while someone tries to justify what happened on that day as an understandable reaction to U.S. policies in the Middle East or elsewhere. c. Fly our nation’s flag proudly – it represents this world’s greatest hope to move beyond the pain and suffering that inflict so many across the globe. Richard E. Hawley General, USAF, Retired Former Commander, Air Combat Command ","Inspirational"
"Diane…protected from rape by two angels-Source Not Found!","2015-03-17 22:02:04","https://www.truthorfiction.com/diane/"," The story of Diane, a college student home for the summer.  After an evening with friends, she walks home via an alleyway.  In the alley, there is a man, but she prays for protection, feels the strength of that, and continues on home with incident.  The next day, she learns that there was a rape in the alley after she had been there.  She tells the police about the man she saw, identifies him in a line-up, and the man confesses to being the rapist.  He tells the police that he didn’t rape Diane because of the two tall men walking with her. "," TruthOrFiction.com has not been able to find the source for this story or to validate its authenticity. Last updated 8/25/01 ","Inspirational"
"Winston Churchill’s life saved by a doctor whom Churchill’s father put through school-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/churchill/"," A Scottish farmer saves a drowning boy’s life, but refuses a reward from the boy’s nobleman father.  The nobleman then offers to provide an education for the farmer’s son.  The son grows up to become Sir Alexander Fleming, the discoverer of penicillin.  Years later, the nobleman’s son is stricken with pneumonia but saved by penicillin.  That nobleman’s son is Winston Churchill. "," According to the Winston Churchill center in Washington, D.C., this is a myth.  There is no evidence these events ever happened.  Churchill’s official biographer, Sir Martin Gilbert, says there’s no record of Churchill nearly drowning or of his father paying for Fleming’s education.  Churchill was once treated for pneumonia, but according to the center, not with penicillin. updated 07/06/07 ","Inspirational"
"Atheist in a university classroom is upstaged by a piece of chalk-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/chalk/"," A notorious atheist professor at the University of Southern California is known for challenging students about their faith.  He dramatically drops a piece of chalk to the floor saying that if God existed, he could prevent the chalk from breaking.  This happens year after year until a particular Christian student becomes a part of the class.  This time, when the professor drops the chalk, it bounces off his clothing and ends up harmlessly on the floor.  The stunned professor runs from the room in shame and the student preaches the Gospel to the remaining class members. "," This has been one of the most commonly circulated inspirational stories on the Internet and one of the most commonly asked-about at TruthOrFiction.com. We’ve never found any evidence that an incident of this nature has taken place involving a piece of chalk, but there is a first-hand source of a similar, older story, which the chalk tale may be based upon. First, the University of Southern California has officially denied that this ever happened there.  Dr. Dallas Willard, a philosophy professor at USC, has told TruthOrFiction.com that he’s never heard of it happening in his more than 30 years at the school. There is a related story, however, told by author Richard H. Harvey in his book 70 YEARS OF MIRACLES. It’s a first-hand account of his experience in a Chemistry class at Allegheny College in Meadville, Pennsylvania in the 1920’s.  Harvey says the professor, a Dr. Lee, was a deist who annually lectured against prayer.   In one of the class sessions, Dr. Lee said he was going to drop a glass flask on the floor and asked if anyone would like to pray first that the flask would not break, therefore demonstrating the reality of prayer.  Richard Harvey volunteered and prayed.  The professor dropped the flask and it rolled off his shoe to the floor without damage.  The class cheered and the professor stopped his annual lectures against prayer.  TruthOrFiction.com has confirmed with Allegheny college that Richard Harvey was a student there and that Dr. Lee was a professor.  Richard Harvey’s son, Rev. John Harvey, a minister in Toccoa, Georgia, says this all happened before he was born, but confirms that the story was told by his father. Updated 2/18/01 For more information: Statement on the USC website ","Inspirational"
