"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"“Dance of the Hillary Virus” Warnings Spread on Social Media-Fiction!","2016-10-11 09:10:53","https://www.truthorfiction.com/dance-hillary-virus-warnings-spread-social-media/"," Warnings that a “Dance of the Hillary” virus circulating social media will “format your mobile phone” have gone viral. "," We haven’t been able to find any credible reports of a “Dance of the Hillary” virus, and the rumor closely resembles a false warning about a “Dance of the Pope” virus that went viral in 2015. The warning, which was widely circulated on Facebook in early October, claims that the BCC has reported that watching the Dance of the Hillary video would “format” your mobile device: Please inform all contacts from your list not to open a video called the “Dance of the Hillary”. It is a virus that formats your mobile. Beware it is very dangerous. They announced it today on BBC radio. Fwd this msg to as many as you can! Again, we haven’t found any credible reports of a video called Dance of the Hillary, or a virus related to it circulating. The warning is very similar to one that we investigated in April 2015 about a “Dance of the Pope” video” that we found to be “fiction”: “URGENT: Tell all contacts from your list not to accept a video called the dance of the Pope. It is a virus that formats your mobile. Beware it is very dangerous. They announced it today on the radio. Pass on to as many as you can. It was announced on the radio in USA.” It’s not clear where these fake virus warnings originated. Phrases used in the warnings like “Dance of the Hillary” and “formats your mobile” suggest that the rumor originated overseas since that’s not the way Americans talk. And it’s not exactly clear what, exactly, “formats your mobile” is supposed to mean since we couldn’t find any examples of that being used in the IT security sector. Given all that, we’re calling the Dance of the Hillary virus warning “fiction.” ","Internet"
"Jordan Kaylum: Facebook Donates $2 Per Like for Baby with Cancer-Fiction!","2016-09-08 09:34:38","https://www.truthorfiction.com/jordan-kaylum-facebook-donates-2-per-like-baby-cancer/"," A social media user named Jordan Kaylum has posted that Facebook will donate $2 for every “like” a post about a baby with cancer receives. "," Facebook does not donate money to causes based on the number of “likes” they receive — and Jordan Kaylum’s post about a baby with cancer is no exception. The post first appeared on Facebook on August 20th. Within weeks, it had received nearly 200,000 likes and 61,000 comments from Facebook users who wanted to help a sick baby pictured in the post. That photo doesn’t show a baby with cancer, however. It was taken from a 2012 video about a premature baby named Ward Miles that you can view here . Thankfully, Ward grew up to be a healthy little boy without any lasting medical complications. And Jordan Kaylum’s Facebook page is filled with nothing but “sick children” posts that claim Facebook will donate money to their causes in exchange for likes and comments. In reality, Facebook never donates money to a cause based on the number of times a post is shared or liked, according to the website Facecrooks: People are exploiting these children by spreading their photos without the parents consent. Please do not share the photos – report them instead! Please share with your friends to raise awareness on this issue. So, disregard this sick child hoax and all other ones that you see on social media.","Internet"
"Hacker Group Anonymous to Hold Day of Rage 2016-Fiction!","2016-07-14 08:55:42","https://www.truthorfiction.com/hacker-group-anonymous-hold-day-rage-2016/",".gadsense_slot_1{ display: inline-block; width: 300px; height: 250px;} (adsbygoogle = window.adsbygoogle || []).push({}); Hacker Group Anonymous to Hold Day of Rage 2016- Fiction! Rumors that the activist hacker group plans to hold a “Day of Rage” on July 15 have gone viral. "," There’s no truth to rumors that Anonymous plans to hold nationwide “Day of Rage” protests on July 15, 2016. The rumor started with a video posted by someone using the handle “TheAnonMessage” who claims to be affiliated with the group. The video begins by showing the police shootings of Alton Sterling and Philandro Castile. Then, a narrator continues: We are calling on a collective day of rage. A day of action centered around civil disobedience and the right to protest. To police departments across the United States. We are not your enemy. However, it is in your hands if you want us to stay that way or not. We will not be silenced and we will not be intimidated. To the St. Anthony and the Baton Rouge Police Departments, we’ve already launched attacks on your virtual infrastructure. We are prepared to release every single piece of evidence that will expose your corruption and blatant disregard for human life. Once again we are calling upon the citizens of the United States, in conjunction with the Black Lives Matter movement as well as other civil rights activists, to participate in a day of action against the injustices of corrupt officers. On Friday, July 15th, we will all flood the streets at strategic locations in order to maximize our voice. The locations and times will be located in the description below. Tell your family, tell your friends. We will change the world together. Our freedom depends on it. The video sparked rumors and even warnings from blog sites to not be in certain cities at specific times because Day of Rage protests had been planned there (even though no dates or events were listed in the video or elsewhere), which fueled a sense of panic. In reality, however, an official Anonymous Twitter account tweeted that there’s no Day of Rage planned by the group, and that the account that posted the video, TheAnonMessage, has been behind hoaxes like this one before: TheAnonMessage was also behind a viral video that called for a Day of Rage on August 14, 2014, in response to police in Ferguson, Missouri, killing Michael Brown. That video generated a lot of attention, but nationwide protests supposedly organized by the hacker group never took place. Anonymous doesn’t have formal leadership or an official roster of members. The group is a loose affiliation of hackers that have common views and rally behind common social causes. Because the group has, “A very loose and decentralized command structure that operates on ideas rather than directives,” it’s easy for people to use the group’s name and recognition to spread false rumors like Day of Rage 2016. ","Internet"
"Pandora Radio Warns that Accounts Risk Being Hacked-Truth!","2016-07-12 13:01:39","https://www.truthorfiction.com/pandora-radio-warns-accounts-risk-hacked/"," Many Pandora Radio users have been warned via email that their accounts are risk of being hacked. "," Pandora hasn’t been hacked, but warnings about Pandora accounts that are at risk of being hacked are very real. The threat actually circles back to a LinkedIn data breach that occurred in 2012. In May 2016, LinkedIn announced that personal data stolen from about 100 million users in the 2012 hack had been posted for sale on a “dark web” site: In 2012, LinkedIn was the victim of an unauthorized access and disclosure of some members’ passwords. At the time, our immediate response included a mandatory password reset for all accounts we believed were compromised as a result of the unauthorized disclosure. Additionally, we advised all members of LinkedIn to change their passwords as a matter of best practice. Yesterday, we became aware of an additional set of data that had just been released that claims to be email and hashed password combinations of more than 100 million LinkedIn members from that same theft in 2012. We are taking immediate steps to invalidate the passwords of the accounts impacted, and we will contact those members to reset their passwords. We have no indication that this is as a result of a new security breach. Alerts that Pandora users received about their accounts being flagged at high risk for hacking stem from the list of 100 million plus LinkedIn accounts that were hacked in 2012: Our security teams have analyzed the LinkedIn credential data and our analysis indicates that your username was among those leaked onto the Internet. This username is the same on LinkedIn and Pandora. While you have probably already changed your password on the LinkedIn website you should also change your password on any other website where you used the same password, including Pandora. Password reuse, using the same password across websites, is one way that malicious entities attempt to gain unauthorized access to services, which is why it’s important to use different passwords with different accounts. So, although the 2012 data breach didn’t directly involve Pandora, the radio streaming service crosschecked the leaked LinkedIn usernames to identify any Pandora accounts that used the same user name in order to warn listeners about an elevated threat. ","Internet"
"Skeleton of Loch Ness Monster Found by Dog Walker-Fiction!","2016-07-01 08:23:00","https://www.truthorfiction.com/skeleton-loch-ness-monster-found-dog-walker/"," Photos of what appear to be the skeletal remains of the Loch Ness Monster have gone viral on social media. "," These photos don’t show the Loch Ness Monster’s skeletal remains. The story appeared to have started with a social media post of photos that appear to show the skeletal remains (and intestines) of an animal that appears to be the Loch Ness Monster with the caption: “A dog walker out of the shores of Loch Ness has just stumbled across this. Has Nessy been found? Or someone playing a fascinating prank?” Blog sites and, most notably, the U.K.’s Daily Mail quickly picked up the story . The story was quickly shared thousands of times and hundreds of people commented, many joking that Nessy’s demise could be related to the U.K. voting to leave the European Union. The first sign that the photos aren’t real is that it would seemingly be impossible for the Loch Ness Monster’s intestines to be perfectly preserved despite the rest of its carcass having rotted away. And the final deathblow to this rumor came when reports surfaced that the photos were actually taken on a set during the filming of an unnamed television show. ","Internet"
"NFL Banning National Anthem in 2017-Fiction!","2016-06-08 12:49:53","https://www.truthorfiction.com/nfl-banning-national-anthem-2017/"," The NFL has announced that the singing of the National Anthem will be banned before games beginning in 2017. "," Reports that the NFL is banning the National Anthem beginning in 2017 are false. The rumors began spreading on social media in June 2016, but it’s not clear exactly where they started. But we do know that the NFL hasn’t made any announcement that it will ban the National Anthem in 2017. Besides that, NFL teams around the country like the Packers and Bills are already holding auditions for National Anthem singers in the 2017 season — so this rumor is clearly false.","Internet"
"Disney’s Black Diamond VHS Tapes Are Worth Thousands-Fiction!","2016-06-06 13:59:04","https://www.truthorfiction.com/disneys-black-diamond-vhs-tapes-worth-thousands/"," Blog sites have reported that Disney’s “Black Diamond” VHS tapes of movies like “Beauty and the Beast” and “The Little Mermaid” are worth tens of thousands of dollars. "," Disney’s Black Diamond VHS tapes aren’t worth tens of thousands of dollars — in fact, most aren’t even worth $10. Claims about the value of Disney’s “Black Diamond Collection” VHS tapes went viral in early June when a number of blog sites picked up false reports that VHS copies of classic Disney movies like “Beauty and the Beast” were worth thousands of dollars on resale sites like Ebay. As it turns out, however, false claims about the value of Disney’s Black Diamond Collection VHS tapes have been around for years. In early 2015, BuzzFeed reported that copies of “Beauty and the Beast” are worth $500 based solely on this one auction listed on Ebay. News Bake , a blog site that “disclaims any responsibility for the accuracy of the content” on its site, picked up the charge by mid 2016 with a story appearing under the headline, “If You Have ANY of These VHS’s, It May Be Worth Over $10,000.” The report included screen grabs of VHS copies of Disney movies like “Beauty and the Beast” listed on auction sites for as much as $10,000: Given that almost everybody has a box of old Disney VHS tapes in their basement, these reports generate a lot of buzz. However, because everybody has a box of old Disney tapes in their basement, these “Black Diamond Collection” VHS tapes are worth very little. Scammers can list items on Ebay and other online auction sites for however much they want — that doesn’t mean they’re actually worth that much. In the above screen grab, there were zero bids on both auctions for “Beauty and the Beast” VHS tapes. After filtering through all of the artificially inflated Ebay auctions for Disney Black Diamond Collection VHS tapes, you’ll find a handful of auctions that are more fairly priced, like this one : Rumors about the value of Disney’s Black Diamond Collection VHS tapes can be traced back to a widely circulated blog posted at an Ebay community page in 2010. In the post, a Disney collector predicts that mint condition Black Diamond Collection Disney tapes will be worth money to collectors at some point in the future (like Red Line Hot Wheels Die Cast Cars and classic Barbie Dolls are today). The post does not, however, claim that Black Diamond Collection tapes are worth thousands of dollars, or even that they will be in the future: Black Diamond Tapes are easy to identify by the Black Diamond found on the Spine of the case with the Walt Disney’s Signature located inside the Diamond.  With a little hard work you can find tapes in good to mint condition.  While all of the tapes are getting hard to find in any condition the tapes are considered to be RARE in better conditions.  Because most tapes were opened and viewed till they simply wore out.  The cases also present a condition problem because of the plastic molding used to produce the cases.  The cases had a hallow space in between the plastic layers which wold crush are bend upon being dropped or having heavy pressure applied to it.  The cushioning supplied by this hallow space would help protect the tape but could make the case look beat up.  How many kids do you know that take great care of thier stuff to prevent damage.  I would say very few would have taken great care of thier movies.  So the vast majority of the Black Diamond Tapes and Cases were damaged or just simply wore out.  Plus the fact that in the early 80’s not every household had a VCR to play these tapes so far fewer of these early editions were produced..  All of this adds up to many of these tapes are now hard to find in any condition and RARE in in better conditions! Collectibles gain value when they’re extremely rare. Because Disney VHS tapes have been so widely circulated, most of them have very little monetary value now. Unopened or mint condition VHS tapes have more value, but only if you can find a serious collector. If all of this sounds familiar, it might be because it’s the exact same thing that happened with the Princess Diana Beanie Baby from the late 1990s. The value of the commemorative Beanie Baby has become wildly (and incorrectly) inflated on online auction sites. In reality, however, the Princess Diana Beanie Babies are worth anywhere from $27 to $47 ( click here for our previous report on this ). The same is true for Disney Black Diamond Collection VHS tapes. They aren’t worth hundreds or thousands of dollars. ","Internet"
"WhatsApp Gold or WhatsApp Plus Download Offer-Scam!","2016-06-03 11:31:53","https://www.truthorfiction.com/whatsapp-gold-or-whatsapp-plus-download-offer/"," WhatsApp users have been offered a download for “WhatsApp Gold,” a premium that includes additional features like video calling and updated emojis. "," The WhatsApp Gold download offer is a scam that could infect your phone with malware. The scam emerged in May and had gone viral by early June. Users reported receiving offers for WhatsApp Gold or “a golden version” of the popular messaging application that had previously been available only to celebrities. Clicking on the link to download the premium version of WhatsApp will infect your phone with malware that could allow criminals to steal your data or track your movements, the Independent reports . In its FAQ section , WhatsApp also warns of a similar scam called “WhatsApp Plus.” The application was not developed by WhatsApp: The developers of WhatsApp Plus have no relationship to WhatsApp, and we do not support WhatsApp Plus. Please be aware that WhatsApp Plus contains source code which WhatsApp cannot guarantee as safe and that your private information is potentially being passed to 3rd parties without your knowledge or authorization. Please uninstall your application and install an authorized version of WhatsApp from our website or Google Play. After the 24 hour count down ends you will be able to use WhatsApp. In order to protect yourself from similar scams never rely on second or third-hand information about new updates or features that float around social media. Always get your information directly from the developer’s website, and never click on a third-party link to download a “premium” version of anything. ","Internet"
"Pro-Life Group Says “Every Sperm Cell is a Life”-Fiction!","2016-05-12 13:16:54","https://www.truthorfiction.com/pro-life-group-says-every-sperm-cell-life/"," A pro-life group of protestors has taken “the abortion debate to the next level” by arguing that every sperm cell is a life, and “ejaculation is murder.” "," This was a satirical news story that has been widely mistaken for a factual news story. The story was published by the website Straight Stoned on May 6th under the headline, “Pro-Lifers Declare ‘Ejaculation Is Murder: Every Sperm Cell Is a Life.” According to the report : The pro-life movement in the United States has long advocated their stance that human life begins at conception and that the human fetus is a person and therefore has a right to live. However, a new argument has taken flight over the last month that is taking the abortion debate to the next level. The variety in opinion on the issue of abortion is reflected in the diverse views of religious groups, but now pro-lifers are declaring “ejaculation is murder” and they want strict laws against the practice. “Life begins BEFORE conception. This is why the Catholics do not believe in birth control,” said Rachel Stratt, pro-life activist. “God made men’s semen for a purpose, and you can just “waste” that purpose by gratifying yourself whenever you want to. Every time you do, you are literally killing thousands of babies! Ejaculation is murder and every sperm cell is a life!” Within a week of being published, the story had been shared more than 150,000 times on Facebook. Taken out of context, many readers missed that Straight Stoned slyly identifies itself as a satirical (or fake) news website in its About page : Straight Stoned was founded by our forefathers on a dark and stormy day during the Civil War. Gradually, Straight Stoned has grown to be one of the most iconic brands in the known Universe. We report on news that occurs lightyears away and bring it to you directly, faster than light speed. You are sitting there and asking yourself, “How is this possible? Is Straight Stoned that great of a news source?” The answer is yes. We are the greatest of all time and will continue revolutionizing universal news for the next 7 trillion years – until the dark and chaotic environment of the universe rips us a part in it’s final moments. Even then, we’ll still report it – if anyone is still on the internet.. Most importantly, if you believe any of this, you are dumb as rocks. Welcome to the lovely satirical world of Straight Stoned. And if that wasn’t enough, a photo that accompanied the Straight Stoned story shows a group of abortion protestors outside an abortion clinic in 2014 — and they weren’t arguing that “ejaculation is murder.” ","Internet"
"Car Headrests Were Designed to Break Car Windows-Truth! & Fiction!","2016-05-11 13:49:05","https://www.truthorfiction.com/car-headrests-designed-break-car-windows/"," Car headrests were designed to break a car window if an emergency escape is needed. "," Car headrests can be used to break a car window, but they weren’t intentionally designed for that reason. Car windows are made with tempered glass , which is very difficult to break. It’s created by rapidly heating and cooling glass in a process that makes the glass five to 10 times stronger than it originally was. Car windows can, however, be broken by hard objects with pointed tips like the metal punches found on hammers that made specifically to shatter glass windows in the case of emergencies: When it comes to using a headrest to break a car window, the same principle applies. But instead of swinging the headrest like a hammer, one of the metal posts is inserted between the window and the door, and when it’s pulled on, pressure placed on the end of the metal post shatters the glass. This YouTube video demonstrates how it’s done. There’s no truth, however, to claims like this one that car headrests were specifically designed to be removable so that they’re able to smash a car window: Car headrests are detachable because they can save your life. If you go off a bridge/bank into a deep river, you can’t open the car door until the pressure equalizes (your car fills up with water) – and while your car fills up with water, it’s sinking the whole time, by the time it’s full – you’re likely on the bottom on the river, and that means you have a long swim ahead of you, and are likely to die if it’s a deep river. So, while it’s true that car headrests can be used to break windows, there’s no indication that they were specifically designed with that purpose in mind. That’s why we’re calling this one truth and fiction.","Internet"
