"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"A General Mattis Christmas Story-Truth!","2016-12-05 09:06:53","https://www.truthorfiction.com/general-mattis-christmas-story/"," A commentary making the rounds titled “A General Mattis Christmas Story” tells about how President-elect Donald Trump’s pick to serve as Secretary of Defense, Gen. James “Mad Dog” Mattis personally filled in for an officer on duty so the officer could spend Christmas Day with his young family. "," “A General Mattis Christmas Story” has been correctly attributed to Dr. Albert C. Pierce, the director of the Center for the Study of Professional Military Ethics at the United States Military Academy. Pierce recounted the “General Mattis Christmas Story” story while introducing Gen. James “Mad Dog” Mattis before a lecture titled “Ethical Challenges in Contemporary Conflict: The Afghanistan and Iraq Classes” at the United States Naval Academy in the spring of 2006. An archived recording of Pierce’s introduction can be heard here . Peirce’s General Mattis Christmas Story was a retelling of a story told by Gen. Charles Kruliak. Kruliak and his wife made and delivered hundreds of Christmas cookies to Marine guard posts in the Washington-Annapolis-Baltimore area each Christmas. One year, while making a cookie delivery to Quantico, Kruliak asked was surprised to find Mattis filling in for the officer in comamnd: …General Krulak said that General Mattis came in, in a duty uniform with a sword, and General Krulak said, “Jim, what are you doing here on Christmas Day? Why do you have duty?” General Mattis told him that the young officer who was scheduled to have duty on Christmas Day had a family, and General Mattis decided it was better for the young officer to spend Christmas Day with his family, and so he chose to have duty on Christmas Day… The General Mattis Christmas story has been circulating in forum posts and forwarded emails as far back as 2010 — but it resurfaced in 2016 after President-elect Trump announced that he would nominate Mattis to serve as secretary of defense. ","Military"
"Gold Star Family Booed by Passengers on Flight-Truth!","2016-11-21 08:27:55","https://www.truthorfiction.com/gold-star-family-booed-passengers-flight/"," First class passengers booed the Gold Star Family of a fallen Marine sergeant because they were allowed to deplane first to catch a connecting flight to meet their son’s remains. "," Gold Star father Stewart Perry, an ex-Marine from Stockton, California, said “it was really disgusting” when his family was booed en route to his son’s burial in Arlington National Cemetery. A Taliban suicide bomber killed Sgt. John Perry inside a NATO airbase in Afghanistan on November 12th, 2016. On November 19th, Stewart Perry, his wife and daughter were aboard an American Airlines flight from Sacramento to Philadelphia that was delayed, making a connection in Phoenix hard to manage, the Army Times reports : When the plane arrived in Arizona, the captain announced that everyone was to remain seated to allow the Perry family to leave first. “When he made that announcement, there was some hissing and some booing behind us,” said Perry, who was sitting in first class. Perry, a Marine veteran, doesn’t remember the captain telling everyone the reason they had to wait, but he said he does recall the captain mentioning “military personnel.” “I believe that the passengers knew there was a Gold Star family on board,” he said. “The woman sitting directly behind us touched me on the shoulder and asked if I was the father of the soldier killed in Afghanistan.” That leads Perry to believe some kind of announcement was made before he and his family sat down. “It was very disappointing,” he said. “It’s just enough to put you over the edge.” Stewart Perry said being booed by passengers aboard their flight made his family “cry some more” — but that his goal in going public with the story was to bring attention to his son’s heroic acts, CBS Sacramento reports : “Most importantly, I want people to know about the heroic thing that my son did,” he said. His son stumbled on the suicide bomber before he could reach his target—a soldiers’ 5K Veterans Day run. “He would have killed 100, 200, who knows?” he said. Perry says his son’s death comes at a time military service is facing disrespect. He says his family was even booed on the flight to bring his son’s body home over a delay. “To hear the reaction of the flight being delayed because of a Gold Star family, and the first class cabin booing that was really upsetting, and it made us cry some more,” he said. Seventeen people were killed in the blast that claimed Perry’s life, and 16 more U.S. service members were wounded. ","Military"
"Navy to Name Ship After Harvey Milk-Truth!","2016-08-15 10:29:41","https://www.truthorfiction.com/navy-name-ship-harvey-milk-truth/"," The Navy plans to name a ship after gay rights activist Harvey Milk. "," It’s true that the Navy plans to name a ship after Harvey Milk. The U.S. Naval Institute (USNI) first reported on July 28, 2016, that it had learned through a congressional notification that Secretary of the Navy Ray Mabus plans to name a Military Sealift command fleet oiler the UNSN Harvey Milk (T-AO-206). Then, on August 11, Mabus issued a press release stating that the ship would officially be named in Milk’s honor in a ceremony held at Treasure Island in San Francisco on August 16: “T-AO-206 will, for decades to come, serve as a visible legacy of Harvey Milk’s committed service to his nation, both as a sailor and as an activist,” Mabus said in a statement given to USNI News. “By adorning one of our ships with his name, his example will live on in the steel of that ship and in all those who will serve aboard her.” Milk joined the Navy after graduating from the New York State College for Teachers in 1951. He served as a diving instructor at a base in San Diego during the Korean War, Biography.com reports . In an earlier announcement , Mabus said that the class of new oilers would be named after civil rights activists. The first ship in the new fleet was named after U.S. Rep. John Lewis, a Democratic lawmaker from Georgia and longtime civil rights activist. ","Military"
"A Secretary Without Honor by Philip Jennings-Authorship Confirmed!","2016-07-20 11:29:29","https://www.truthorfiction.com/secretary-without-honor-philip-jennings/"," Phillip Jennings, a former Marine Corps pilot, recounts how a Marine captain owned up to the mistake of leaving a nuclear codes booklet unsecured in the 1960s, damaging his career, and compared the tale to Hillary Clinton’s email scandal. "," Key details of Philip Jennings’ story about a Marine captain who took responsibility for unattended nuclear codes don’t check out, but we can’t prove with certainty that this one is truth or fiction. Philip Jennings’ column appeared under the headline “Secretary Without Honor” in June. After USA Today published the column in its online op-ed section, the story made the rounds in forwarded emails and discussion forums. Jennings recounts that he was the air liaison officer for a battalion of Marines aboard 11 ships in the Mediterranean in the mid 1960s. As officer and senior captain, Jennings writes, he had a rotating responsibility for a nuclear code book that was kept in the operations room of the lead amphibious squadron ship. Jennings wrote that he shared the responsibility with Captain Leonard F. Chapman III, who was the son of a “high-ranking” Marine. The captain’s father was Gen. Leonard F. Chapman Jr. , the former commandant of the Marine Corps. Jennings writes that Captain Chapman mistakenly left the nuclear code book unattended for “seconds,” and returned to find the operations sergeant looking at the code book. Jennings continues: Against all regulations, the code book had been out of the safe and unattended. It mattered not that it was unattended for only seconds, that the ship was 5 miles at sea, or that it was certain no one unauthorized had seen the code. The captain could have explained this to the operations sergeant. He could have told the sergeant that he “would take care of it.” He could have hinted that his high-ranking dad could smooth it over. But the Marine Corps’ values are honor, courage and commitment. Honor is the bedrock of our character. The young captain could not ask the sergeant to betray his duty to report the infraction, no matter how small. Instead, the captain simply said, “Let’s go see the colonel.” That captain had wanted to be a Marine officer all of his life. It was the only career he ever wanted. When he reported the incident to the colonel, he knew he was jeopardizing his life’s dream. But he did it. The results went by the book. The amphibious squadron stood down. Military couriers flew in from NATO. The codes were changed all over Europe. The battalion was a day late in leaving the Mediterranean. The captain, Leonard F. Chapman III, received a letter of reprimand, damaging his career . He stayed in the corps and died in a tragic accident aboard another ship. I saw some heroic acts in combat in Vietnam, things that made me proud to be an American and a Marine. But that young captain stood for what makes our corps and our country great. Jennings then concluded that Hillary Clinton’s lack of accountability and responsibility in her use of a private email server proved that she was “the antithesis” of that young captain and a secretary without honor. Leonard F. Chapman III died in a scuba diving accident in 1979. He was buried in Arlington National Cemetery . His headstone lists his rank as “Major.” ","Military"
"Bad Angel Pilot Lt. Louis E. Curdes Shot Down His Girlfriend in WWII-Truth! & Fiction!","2016-06-28 11:22:24","https://www.truthorfiction.com/bad-angel-pilot-lt-louis-e-curdes-shot-girlfriend-wwii/"," Air Force Lt. Col. Louis E. Curdes, the pilot of a P-51 Mustang dubbed “Bad Angel,” was awarded the Distinguished Flying Cross for shooting down an American C-47 that his girlfriend happened to be aboard. "," It’s true that Lt. Col. Louis E. Curdes shot down a C-47 that his girlfriend was aboard to prevent it from landing on a Japanese airstrip. But while it’s true that Curdes was awarded the Distinguished Flying Cross for the valor he demonstrated in flying a P-51 Mustang with the 95th Fighter Squadron, 82nd Fighter Group, it doesn’t appear that he received the recognition for shooting down an American C-47 in the Pacific (more on that later). A photo of Lt. Col. Curdes sitting in the cockpit of his “Bad Angel” P-51 Mustang in the Philippines’ has fueled the legend that he shot down an American C-47 with his girlfriend aboard. The flag decals below the cockpit are referred to as “kill marks,” and along with flags from all three Axis powers (Curdes was among few pilots to shoot down planes from all three countries) appears an American flag: The photo is genuine. It wasn’t altered, and the American flag wasn’t added using photo-editing software after the fact. This video of Lt. Col. Curdes working on his “Bad Angel” P-51 Mustang shows the same kill marking, and the American flag is among the kill marks on the plan in the video. Legend has it that Curdes shot down an American C-47 as it approached a Japanese landing strip on Batan Island. The plan appeared to be in distress, and Curdes reportedly though that the Japanese had patched up an American flag and didn’t bother to take the American decals off. Upon closer inspection, however, Curdes recognized the numbers on its tail: Curdes figured as he wheeled about to give the visitor a closer look. Then he read a familiar number on the tail. It was the number of one of the “Jungle Skippers.” At this point, the Jap ack-ack, opened up – at Curdes’ P-51 but not at the transport. A quick run of thinking convinced Curdes there was only one thing to do since the plane would be Jap property as soon as it landed, if it was not already. To prevent the plane from landing on the Japanese airstrip, Curdes quickly shot out both of its engines, and the plane glided to a soft landing in the sea. It wasn’t until the next morning that Curdes learned that one of the passengers aboard was a girl that he’d met the night before named Valorie: The next morning before daylight, he and his wingman took off. And they were circling over the survivors when a rescue Catalina arrived to pick them up. Back at base, Curdes learned that the C-47 had been American manned with 12 occupants including two Army nurses. The pilot had become lost during a flight from Art island in the southern Philippines and had been forced to head for the nearest visible strip because of a fuel shortage. Curdes gave a start and a shout when he glanced at the names of the survivors. One of the nurses was the “date” he had been with the night before at Lingayen. The legend goes on to state that three weeks later, Curdes was awarded the Distinguished Flying Cross for shooting down the C-47, and that he went on to marry the girlfriend that was aboard the plane that he shot down. The story of Curdes shooting down the C-47 with his girlfriend (and future wife) aboard was researched and retold in the ebook, “ US Army Air Force Pilot Shoots Down Wife ,” by retired Air Force Col. Ken Tollefson. The only detail that differs in Tollefson’s recounting is that military records reported 13 American survivors from the C-47 in the water, while there are 12 in common retellings. And we can use online ancestry records to confirm that Louis Curdes did in fact marry a woman named Valerie. One of the main discrepancies, however, appear to be related to claims that Curdes was awarded the Distinguished Flying Cross for shooting down the American C-47. Military records indicate that Curdes received the honor for his service with the 95th Fighter Squadron, 82nd Fighter Group, in the Mediterranean Theater of Action during World War II. However, at the time he shot down the C-47 he had been reassigned to the 4th Fighter Squadron, 3rd Air Commando Group. The incident occurred near Bataan Air Field in the Philippians, which was in the Pacific Theatre. That means he likely was awarded the Distinguished Flying Cross specifically for shooting down the C-47, which has been widely reported. So, most details about Lt. Col. Louis Curdes and his “Bad Angel” P-51 Mustang check out, but we’re calling this one “truth and fiction” because of claims about why he was awarded the Distinguished Flying Cross. ","Military"
"Joint Chief of Staff Resignation by Ray Starmann -Fiction!","2016-04-20 09:40:22","https://www.truthorfiction.com/joint-chief-staff-resignation-ray-starmann/"," A resignation speech that was supposedly given by Marine Corps General Joseph Dunford, who was recently appointed chairman of the Joint Chiefs of Staff by President Obama, has gone viral. "," There’s no truth to reports that General Joseph Dunford resigned as chairman of the Joint Chiefs of Staff in protest over President Obama’s foreign policy decisions. Joseph Dunford was sworn in as the chairman of the Joint Chiefs of Staff in September 2015, and he still held the position at the time rumors that “America’s top general resigns” went viral in April 2016. Those rumors started with an essay by Ray Starmann that appeared at Defense Watch on April 9. The essay , which appeared under the headline, “What the Chairman of the Joint Chiefs of Staff Must Tell the Nation,” was a hypothetical first-person account of what the author believed General Dunford’s resignation should sound like: Good afternoon ladies and gentlemen, in concern for the lives of current and future US military personnel and to honor those who have gone before, I must speak to the nation today. I’ve called this press conference to announce that I am resigning as the Chairman of the Joint Chiefs of Staff and I am retiring after 39 years on active duty, which included combat service in Iraq leading the finest Marines in the world. I am resigning as Chairman of the Joint Chiefs of Staff and retiring from the Marine Corps for the following reasons: For the last seven years during the Obama Administration: I have watched and remained silent as hundreds of senior officers were forced to resign or were forcibly retired because of their disagreements with the current policies wrecking the military. I have watched and remained silent as people who have never served a day in uniform laid siege to the glorious traditions of the US military. I have watched and remained silent as male ROTC cadets paraded in red high heels, male soldiers conducted physical training wearing pregnancy simulators, combat units dealt with breastfeeding and lactation issues in the field and sensitivity training became the standard operating procedure of the US military. Taken out of context, some were led to believe that these remarks were actually made by General Dunford in his resignation speech. That’s not the case. General Dunford hasn’t resigned, and he didn’t make that speech. In response to the confusion, the author posted a clarification on the story that states, “Since this article’s publication, some have asked if General Joe really made this speech and if he has indeed retired. General Joe did not say these words. I only wish he had.” ","Military"
"41 Senators Block Benefits for Veterans-Truth! & Outdated!","2015-11-23 13:49:47","https://www.truthorfiction.com/41-senators-block-benefits-for-veterans-truth/"," There have been reports that 41 senators blocked benefits for veterans by voting against a bill that would have improved medical services for vets. "," It’s true that 41 senators voted against a veteran benefits bill back in 2014. Congress did successfully pass a spending bill that increased funding for veterans programs in September 2015, however. The rumor that 41 senators blocked a veteran benefits bill applies to the failed 2014 bill, not the successful 2015 bill. The failed measure from 2014 was called the Comprehensive Veterans Health and Benefits and Military Retirement Pay Restoration Act. The bill would have directed an additional $21 billion to medical services and cost-of-living adjustments for veterans and caregivers over 10 years, the Washington Examiner reports : The bill would essentially offer VA health care services to all veterans, including those who do not have service-related problems and have incomes above current cutoff levels. It would also greatly expand a program that pays caregivers of disabled veterans a monthly stipend. Congress originally passed the measure for veterans of post-Sept. 11 wars; Sanders would expand it to all veterans. The caregivers provision is one of the single most expensive features of the bill, and it was put into the legislation over the objections of the Department of Veterans Affairs itself, which believes it would cost even more than Sanders estimated. Bernie Sanders, the Independent senator from Vermont and 2016 presidential candidate, introduced the bill. Sanders posted a video recounting how 41 senators blocked the veteran benefits bill that has been viewed more than 130,000 times on YouTube: The rumor that 41 senators voted against the veteran benefits bill is based on a Senate vote that was held on February 27, 2014. On that day, 41 Republican senators voted against a motion to waive applicable budgetary discipline . The motion was required to fund Sanders’ veteran benefits bill. The 41 senators voted against a motion to waive sequestration, or budget policies that require new discretionary spending to be offset by budget cuts elsewhere. A three-fifths majority was required for the motion to waive budgetary discipline to pass, so it failed. The video posted by Bernie Sanders shows clips of Republican senators (including 2016 presidential hopeful Marco Rubio) discussing how cost issues had led them oppose the motion, and the veteran benefits bill. “I don’t think veterans want their programs to be enhanced if every penny of the money that’s going to enhance those programs is added to the debt of the United States of America,” Sen. Jeff Sessions, R-Alabama, said on the Senate floor at the time. Marco Rubio said, “This bill has already been debated … It has many good elements in it,” Rubio said. “It also has a cost issue at a time when our nation owes close to $18 trillion. That was the reason why so many on my side of the aisle objected to it, and that’s why I would object to the motion made here today by the senator from Vermont.” So, it’s true that 41 Senators blocked a veteran benefits bill back in 2014. The veteran benefits bill that was passed in September 2015 provides $79.7 billion in discretionary funding for military construction and veterans programs, about $7.9 billion more than in the previous fiscal year, The Hill reports . ","Military"
"Obama Pulls $2.6 Billion from Vets for Refugees-Fiction!","2015-11-12 12:46:01","https://www.truthorfiction.com/obama-pulls-2-6-billion-from-vets-for-refugees/"," President Obama has pulled $2.6 billion from veteran programs and has redirected it toward Syrian refugees. "," President Obama hasn’t pulled $2.6 billion from veteran programs to help support Syrian refugees. That rumor combines two stories that appear to be unrelated. In July 2015 it was reported that the Department of Veteran Affairs faced a $2.6 billion funding gap for the year. But Obama didn’t “pull” the $2.6 billion from veterans programs to support Syrian refugees. The military publication Stars and Stripes explains the $2.6 billion shortfall as such: The VA told lawmakers it is $2.6 billion short on funding because patients and appointments have ballooned over the past year. It wants to cover the shortfall by tapping into an emergency $10 billion Veterans Choice fund created by Congress last summer to provide outside health care to veterans who cannot get timely appointments at the VA. In order to correct the funding gap for veterans’ health care, House Republicans said they would work to allow the VA more flexibility so that it could move funds from other areas of its budget to health care, where it faced the $2.6 billion shortfall. In a separate story, White House press secretary Josh Ernest announced in September 2015 that the U.S. would give an additional $419 million in humanitarian assistance to those impacted by the Syrian civil war before the end of the year, bringing the 2015 total up to $1.6 billion, United Press International reports : The majority of new funding supports non-governmental organizations and the United Nations’ efforts in Syria, mostly through the United Nations High Commissioner for Refugees and the UN Children’s Fund. The United States will have given more than $4.5 billion in humanitarian assistance since the start of the Syrian civil war by the fiscal year’s end. “Part of the new funding will respond to the 2015 appeals of $8.4 billion from the United Nations for Syria and the region,” the White House said in a statement. “It is important to note that even with this contribution, the UN appeals for humanitarian aid to address the crisis in Syria are only 38 percent funded, resulting in cutbacks to food and other essential services.” So, the rumor that Obama pulled $2.6 billion in funding for veterans and gave it to Syrian refugees is false. It combines to different (and unrelated) situations. To recap, the VA reported a $2.6 billion funding gap in 2015 because of higher health care costs than expected — not because Obama had “pulled” the funding for Syrian refugees. In response, lawmakers agreed to make the VA’s budget more flexible so that funds could be reallocated from other areas of the budget to cover health care costs. Then, four months later, the White House announced that it would allocate an additional $419 million in humanitarian aid to the Syrian refugee crisis in 2015, bringing the yearly total to $1.6 billion. That money was not drawn from veterans programs, which is contrary to what the rumor claims. ","Military"
"Major General Craig Olson Faces Court Martial for Thanking God-Previously Truth! Now Resolved!","2015-05-29 11:08:54","https://www.truthorfiction.com/major-general-craig-olson-faces-court-martial-for-thanking-god/"," A civil liberties group called for the court martial of Air Force Major General Craig Olson after he thanked god during a speech at a National Day of Prayer Task event. "," It’s true that a civil liberties group called for Air Force Maj. Gen. Craig Olson to face a court martial for thanking god during a public event, but the Air Force declined to punish him. Craig Olson spoke at a National Day of Prayer Task Force event on May 7, 2015. In a video of the address , Olson called himself a “redeemed believer in Christ” and continued: “…Flying complex aircraft; doing complex nuclear missions — I have no ability to do that. God enabled me to do that. He put me in charge of failing programs worth billions of dollars. I have no ability to do that, no training to do that. God did that. He sent me to Iraq to negotiate foreign military sales deals through an Arabic interpreter. I have no ability to do that. I was not trained to do that. God did all of that.” Craig Olson concluded by asking the audience to pray for Defense Department officials and said that they “need to humbly depend on Christ.” The address drew criticism from the Military Religious Freedom Foundation. The group claimed that Greg Olson’s address was a “propaganda bonanza for ISIS” and that Olson had defied Air Force code by “witnessing for Jesus in full uniform on worldwide TV and Internet.” Military Religious Freedom Foundation President Michael Weinstein called for Greg Olson to be “aggressive and very visibly” brought to justice via court martial in an open letter to the Air Force chief of staff. The letter cited a section of the Air Force Instruction that Olson had allegedly violated: “2.12. Balance of Free Exercise of Religion and Establishment Clause: Leaders at all levels must balance constitutional protections for their own free exercise of religion, including individual expressions of religious beliefs, and the constitutional prohibition against governmental establishment of religion. They must ensure their words and actions cannot reasonably be construed to be officially endorsing or disapproving of, or extending preferential treatment for any faith, belief, or absence of belief. (emphasis added) In light of your very own Air Force regulation, irrefutably on point with the matter herein, and the violation of which is proscribed as a potential FELONY under the Uniform Code of Military Justice, do you honestly NOT see any incredibly serious problems here with Olson’s statements, Mark? Please also note the controlling holding of the seminal 1974 Supreme Court case of Parker vs. Levy (417 U.S. 733), penned by Chief Justice William Rehnquist, significantly limiting the Constitutional rights of active duty military members (such as Major General Olson) vs. the same rights enjoyed by their American civilian counterparts. Additionally, Major General Olson has violated the No Establishment Clause of the First Amendment of the Bill of Rights as well as having constructively created a banned “religious test” in specific contravention of Clause 3, Article VI of the body of the United States Constitution. He is also providing an unlawful endorsement and selective benefit to a non-Federal entity (the NDPTF, which is a private organization), in violation of both the Joint Ethics Regulation (DoD 5500.7-R) prohibition on endorsement of non-Federal entities and DoD Instruction 5410.19, which prohibits the providing of a selective benefit or preferential treatment to any private organization, as well as violating a slew of other DoD directives, instructions, and regulations.” However, an Air Force spokesperson later said Maj. Gen. Olson did not break Air Force Instruction by speaking at the event because he had expressed his own personal views, not the views of the Air Force, the Air Force Times reports . ","Military"
"Troops Called Hillary Clinton’s Helicopter “Broomstick One”-Unproven!","2015-05-06 22:32:12","https://www.truthorfiction.com/troops-called-hillary-clintons-helicopter-broomstick-one-2/"," The call sign given to Hillary Clinton’s helicopter by soldiers during a tour of Iraq was “Broomstick One.” "," There’s no way to prove whether this one is true or not. This viral email first circulated back in 2003, and it reemerged shortly after Hillary Clinton announced that she would run for president in 2016: “Never accuse the American Military of not having a sense of humor! Have you heard what the troops are calling the Sikorsky Blackhawk helicopter Hillary Clinton used on her Iraq tour? ‘Broomstick One'” In 2003, then-Senator Hillary Clinton toured Afghanistan, Iraq and Pakistan over the Thanksgiving holiday. The New York Times reports that Clinton was received well by the troops: “Senator Clinton received a generally warm reception from members of the military, who are often perceived as conservative and Republican. “After the meal, more than a dozen soldiers formed a line to have their photographs taken with the former first lady. A half dozen asked for her autograph, often inscribed to their daughters. One soldier had Mrs. Clinton autograph an American flag.” However, Hillary Clinton’s 2003 tour of the Middle East quickly became a hotbed for eRumors about her interactions with troops — and that continues today. First, Hillary Clinton posed for a photo with an unnamed troop who crossed his fingers as the photo was taken, which is a military signal for coercion. Claims circulated the web that Clinton’s handlers had forced the unwilling soldier to pose with her for a photo-op, and TruthorFiction.com found that to be true . Then, another eRumor claimed that Hillary Clinton had delayed Thanksgiving dinner for a number of troops because she was running late for her appearance. To make matters even worse, she then (allegedly) cut the line so she could get her food first. TruthorFiction.com classified that eRumor as unproven . The claim that Hillary Clinton’s helicopter was called Broomstick One fits into the same category: unproven. There’s no way to track down the eRumor’s original source, so there’s no way to prove whether it’s truth or fiction. ","Military"
