"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Video Shows Muslim Woman Buying Soda with Food Stamps-Truth! & Unproven!","2016-10-03 10:46:28","https://www.truthorfiction.com/video-shows-muslim-woman-buying-soda-food-stamps/"," A viral video shows a woman wearing hijab head covering loading a cart load of soda into a car as a man accuses her of using fraudulent food stamps to buy the soda so that it could be re-sold in a convenience store. "," The video clearly shows a woman loading soda into the back of a car, and she admits to purchasing it with food stamps — but claims that she illegally obtained the food stamps and planned to re-sell the soda can’t be proven. The video went viral in early October 2016 after it shared by a Facebook account operated by Vidmax , a said that says it posts “breaking news and hard hitting videos on important subjects such as war, American politics and social issues.” Within days of being re-posted on Vidmax’s Facebook page, the video of the woman loading soda into her car had been viewed more than 19 million times. The video sparked outrage about SNAP benefits (Supplemental Nutrition Assistance Program), racial profiling, religious expression, integration, and other social issues. The video shows a woman and man loading a cartload of soda into a Lexus with New York registration outside a supermarket. The man recording the video opens by accusing the pair of food stamp fraud, saying, “You take our tax money, then you buy a bunch of pop, then you sell it at a gas station.” The woman seems to respond, “You don’t now my story, we really don’t own a store…” but it’s hard to make out exactly what she says. The exchange continues: Cameraman: They just bought all this pop with food stamps. Woman: These are our food stamps, you can’t tell me what to do with my card. Camera Man: It’s fraud. Woman: How is it fraud? Because I went in there and bought all this pop for myself? That’s stereotyping, you’re saying because I’m Arabian … Camera Man: I don’t know what you are, I don’t care. Woman: Ok then, shut the f*ck up. Camera Man: What’s your name? Woman: My name is f*ck America. Camera Man: Then go back to where you came from then. Woman: Detroit? I was born in Detroit…. The cameraman later says that he’s a lawyer and works for the state. However, because he doesn’t provide his name or a job title, it’s impossible to verify his identity. It’s also impossible to verify his claim that woman purchased the soda using fraudulent EBT cards and plans to re-sell it based solely on the video. There have been a number of credible reports of similar EBT scams being committed in recent years, however. In 2016, a Worcester woman named Vida Ofori Causey was sentenced to a year in prison for committing $3.6 million in food stamp fraud, according to a Department of Justice release : Causey was the owner and operator of J&W Aseda Plaza, a convenience store on Main Street in Worcester.  From April 2010 to October 2014, Causey conspired with others to commit SNAP fraud by purchasing SNAP benefits from recipients rather than exchanging them for food.  Causey purchased the benefits at a discounted value of approximately fifty cents for every SNAP dollar.  By so doing, Causey caused the USDA to electronically deposit into a bank account she controlled the full face value of the SNAP benefits fraudulently obtained.  To provide customers with cash for the SNAP benefits, Causey used the cash she received from customers wishing to utilize MoneyGram services.  In order to cover those transactions, she transferred money from the account where her SNAP funds were electronically deposited into the account she used for her MoneyGram business. Then, in August 2016, the owner of a Bufallo, New York, deli was held on $2 million bail on accusations that he carried out a similar scam, an ABC affiliate reports : Ahmed Alshami, 37, is charged with criminal possession of public benefit cards, misuse of food stamps and criminal use of a public benefit card for defrauding the welfare system. Alshami is the owner and operator of IGA Express Mart, a corner deli at 271 Ludington in the City of Buffalo. According to the Erie County District Attorney’s Office, between October 9, 2014 and March 21, 2016 Alshami is accused of buying EBT (food stamp) cards from people willing to trade them for cash. He usually paid people half of what the cards are worth. So, these types of food stamp frauds do exist — we just can’t prove that the woman capture in the video was committing it based only on the video evidence. We’ll update this report with any new developments. ","Miscellaneous"
"Chiefs Owner Clark Hunt Speech on National Anthem Protests-Incorrect Attribution!","2016-10-03 10:01:01","https://www.truthorfiction.com/chiefs-owner-clark-hunt-national-anthem-protests/"," Clark Hunt, the owner and CEO of the Kansas City Chiefs, told coaches, players and staff that they are “paid performers on a stage” and ordered them to stand during the national anthem. "," Clark Hunt is the latest NFL team owner that this fiery locker room speech about standing for the playing of the national anthem has been falsely attributed to. These posts began circulating in response to San Francisco 49ers Colin Kapernick’s decision to sit or kneel during the national anthem in protest of social issues, and of the treatment of black men by the criminal justice system in particular. Numerous players around the league joined Kaepernick’s protest in the opening weeks of the 2016 NFL season. You can find a complete list of them here. Rumors that Clark Hunt had called a team meeting in which he sternly told his coaches and players that they were “paid performers on a stage” and “that field is my stage” began circulating toward the end of September 2016: Clark Hunt, CEO and Owner of the Kansas City #Chiefs called a meeting with all of his Coaches, Players and field staff and firmly told them, “You are all simply paid performers on a stage and that field is my stage! You will stand, with your hand over your heart and with respect, when our Country’s National Anthem is being played or you will no longer be a Kansas City Chief, a Coach for the Kansas City Chiefs or have any association with the Chiefs Organization! I will immediately fire you, no matter who you are! You can make your political statements off the field, but why you’re employed by me and I’m signing your check, I demand that you make our fans proud and not embarrass them.” The post was widely circulated on social media, but it didn’t come from Hunt. We investigated a previous version in which the speech was attributed to Dallas Cowboys owner Jerry Jones . We found that a Texas man named Richie Newberry, who is not affiliated with the Cowboys, wrote the locker room speech as a work of fiction. In reality, Clark Hunt has drawn scrutiny from critics of the national anthem protests because Hunt did not release Chiefs defense back Marcus Peters for protesting before an NFL game on September 18th . We couldn’t find any record of Hunt discussing his views on the player protests, but we can confirm that the locker room speech being circulated did not come from him.","Miscellaneous"
"Charmin Releasing Pumpkin Spice Toilet Paper-Fiction!","2016-09-15 09:20:06","https://www.truthorfiction.com/charmin-releasing-pumpkin-spice-toilet-paper/"," Rumors have gone viral that Charmin is releasing pumpkin spice scented toilet paper this fall. "," Charmin won’t be releasing pumpkin spice toilet paper this fall, contrary to a viral Facebook post. Questions about whether the pumpkin spice craze had “gone too far” seem to come up every fall as companies look to cash in on consumer love of pumpkin spice flavored and scented products. And the pumpkin spice craze has also become a popular target for parodies with people editing and photoshopping pumpkin spice versions of products that never should be (and aren’t) sold. In fact, Buzzfeed published a list of pumpkin spice products “that don’t exist and should never exist” in September 2014. Among the list was pumpkin spice toothpaste, pumpkin spice mouthwash, and, of course, pumpkin spice toilet paper supposedly made by Charmin. The idea of pumpkin spice toilet paper got more traction as fall approached in 2016 with a creatively photoshopped image of what a package of pumpkin spice toilet paper might look like: The photo was shared by a Facebook account operated by My Fridge Food , a website that allows visitors to generate recipes based on what food is already in their fridge. The post was likely shared as a spoof on the pumpkin spice craze, but taken out of context commenters on social believe it was true. They reacted with a mix of excitement, outrage and disbelief about pumpkin spice toilet paper. Rest assured, you won’t be see pumpkin spice toilet paper on store shelves this fall. ","Miscellaneous"
"NFL Fines Players for Wearing Commemorative 9/11 Cleats-Truth!","2016-09-12 10:04:19","https://www.truthorfiction.com/nfl-fines-players-wearing-911-commemorative-cleats/"," The NFL said that it would fine players for wearing cleats or other uniform accessories commemorating the 15th anniversary of the 9/11 terrorist attacks. "," It’s true that the NFL warned players that they would be fined for wearing 9/11 tribute cleats on the 15th anniversary of the terrorist attacks that rocked the country. However, it remains to be seen if the league will follow through on the threat. Public outcry over the NFL’s refusal to allow players to wear commemorative 9/11 cleats during the league’s opening weekend started after Tennessee Titans linebacker Avery Williamson revealed that a league official warned that he’d be fined for wearing the cleats in the lead up to the team’s game, the Tennessean reports . Williamson later released a press release that indicated he would auction off the 9/11 cleats rather than face an NFL fine for wearing them during a game: NASHVILLE, Tenn. – Sept. 8, 2016 – PRLog — Titans’ Avery Williamson, has changed his plan to wear custom patriotic cleats to honor 9/11 victims and service men/woman during the home opener against the Vikings on September 11, 2016. Instead, he has chosen to raise more awareness through an auction partnered with Operation Warrior Wishes and Charity Buzz International, which is live now As for the cleats, they will be auctioned off for charity along with a meet & greet, two VIP tickets to a Tennessee Titans home game, and an autographed #54 jersey.  The proceeds of the auction posted will go to Operation Warrior Wishes. “9/11 is a time we can honor those who were lost, but also our service men/woman who were and are heroes,” Williamson said.  “I have a cousin in the Navy and many people in my life that serve this country. These cleats and this auction are a way to show honor,” Williamson expressed. “Avery is a stand up man for doing this for those who serve. The gesture speaks volumes about his respect for this country and the heroes of 9/11 and beyond, “said Craig Steichen, Founder of Operation Warrior Wishes, said. However, Williamson apparently changed his mind before the game. The Tennessean reported that Williamson wore the 9/11 cleats during the team’s week one game despite the NFL’s threat to fine him for doing so. New York Giants star wide receivers Odell Beckham Jr. and Victor Cruz also wore the 9/11 cleats during the team’s week one game, “daring” the NFL to fine them for doing so, New York Daily News reports : Beckham’s special cleats were red, white and blue and emblazoned with the bust of a bald eagle. Cruz’s cleats had red and white stripes splashed with blue-star accents. Beckham’s shoes portrayed the Twin Towers, while Cruz’s had a fire-truck theme that featured his late father’s engine number. His dad was a smokeater in Paterson, NJ, before his death in 2007. The NFL never directly addressed reports that it had refused to allow players to wear 9/11 cleats, and it remains to be seen if the league would fine players for doing so because it hands down fines on the Tuesday or Wednesday following a game. In 2011, the NFL famously announced that it would not fine players for wearing 9/11 tribute gear on the 10th anniversary of the terrorist attack, with NFL spokesperson Greg Aiello saying, “We have extensive plans for Sunday to respectfully recognize the significance of the day,” the New York Daily News reports . However, the NFL has since become notoriously strict about its uniform policies under NFL commissioner Roger Goodell. A player whose mother died from breast cancer was fined multiple times in 2015 for wearing eye black that said, “Find a Cure” in her honor, for example. The NFL has sent a clear message that no matter how worthy a cause, it does not allow any unapproved uniform alterations to go unpunished. It should be noted, however, that the NFL donates money generated from fines to charities. The league said in a statement that players sometimes request which charities the money goes to, but the league tries to “stay universal” when handing out the money. That means fines handed down for 9/11 cleats could be donated to 9/11-related charities — or not. ","Miscellaneous"
"Seattle Seahawks Protest National Anthem-Fiction!","2016-09-12 08:40:48","https://www.truthorfiction.com/seattle-seahawks-protest-national-anthem/"," Players on the Seattle Seahawks refused to stand for the national anthem in protest over social injustice. "," Players on various teams protested during the national anthem during the NFL’s opening weekend, but Seattle Seahawks players were not among them. San Francisco 49ers quarterback Colin Kaepernick started the movement when he sat during the National Anthem before his team’s third pre-season game. As week one of the NFL approached, there was speculation over which players or teams would protest in the same manner. Rumors that the Seattle Seahawks would sit during the national anthem ran rampant. David Marcus wrote in an article published by The Federalist that “the Seattle Seahawks are planning to protest the singing of the national anthem” before their season opener: Whatever the Seahawks have planned for Sunday, the silence from the NFL over this matter has been deafening. As of this writing, the NFL has made no statement on the Seahawks plans. In response to Kaepernick’s protest, NFL Commissioner Roger Goodell said, “I support our players when they want to see change in society, and we don’t live in a perfect society. …On the other hand, we believe very strongly in patriotism in the NFL. I personally believe very strongly in that.” As it turns out, however, the Seahawks players, led by wide receiver Doug Baldwin, had planned to stand and lock arms during the singing of the national anthem in a display of unity, the Seattle Post Intelligencer reports : As promised, the Seahawks offered no act of defiance during the national anthem before Sunday’s season opener against the Dolphins. Instead, players, coaches and other team personnel linked arm-in-arm in front of a jumbo American flag that stretched across CenturyLink Field. It came after President Barack Obama offered a video tribute on the 15th anniversary of the 9/11 terrorist attacks on the World Trade Center. Wide receiver Doug Baldwin said the team’s gesture was meant to honor victims of 9/11 and to support San Francisco quarterback Colin Kaepernick, who this past month began protesting racial inequality and police violence against African-Americans by not standing during the Star-Spangled Banner. So, claims that the Seahawks had organized a protest for the team’s first game didn’t pan out. The team stood and locked arms in a show of unity. Players around the league did, however, choose to protest during the national anthem in various ways. Denver Broncos linebacker Brandon Marshall kneeled on the sideline during the national anthem before the NFL’s Thursday night season opener — and he lost an endorsement deal with the Air Academy Federal Credit Union as a result. SB Nation has compiled a list of players that have sat or kneeled during the playing of the national anthem that can be viewed here. ","Miscellaneous"
"Allen B. West Penned an Open Letter to Colin Kaepernick-Authorship Confirmed!","2016-09-02 11:54:43","https://www.truthorfiction.com/allen-b-west-penned-open-letter-colin-kaepernick/"," Conservative commentator Allen B. West has written an open letter to Colin Kaepernick after the NFL quarterback sat during the playing of the national anthem in protest of racial and social issues. "," Allen B. West’s commentary appeared on his website August 28th under the headline, “Message from a Non-oppressed Black Man to Colin Kaepernick.” In the letter, West noted that the NFL had had released a statement encouraging but not requiring players to stand during the national anthem but had refused to require Dallas Cowboys to wear a helmet decal on their helmets in honor of slain Dallas police officers, continuing: This is the same NFL that said nothing when players from the then- St. Louis Rams displayed the false narrative symbol of “hands up, dont shoot” — which we know didn’t happen. I find it rather interesting that the NFL has no issue disrespecting law enforcement officers but only “encourages” players to respect the symbol of our nation, the American flag, and our anthem, the Star Spangled Banner. However, I would recommend a simple scripture from the wise King Solomon for Mr. Kaepernick, Proverbs 17:28 (NIV): “Even fools are thought wise if they keep silent, and discerning if they hold their tongues.” West then goes on to note that Kaepernick is a biracial young man who was adopted and raised by white parents and now claims that America is oppressing blacks despite having two consecutive black attorneys general: First of all, let me clarify to you sir, you are a multi-millionaire “one-percenter” just because you can throw a ball and kiss your biceps. Men like Jesse Owens, Jackie Robinson, Hank Aaron, Oscar Robertson, Ernie Davis, and Bernard King and Condredge Halloway of my alma mater were athletes who knew of oppression. You sir may certainly have the right to sit upon your “fourth point of contact” when the National Anthem is played but never forget, you live in a nation that has provided you the privilege to have that right. West then encouraged Kaepernick to ask Reps. Nancy Pelosi and Barbara Lee about racist public policies in the San Francisco Bay area: Or perhaps you can ask the two California senators, Boxer and Feinstein, about who doesn’t support better education opportunities for black children in the inner cities — school choice, vouchers, charter schools, home schooling. Perhaps you didn’t know Barack Obama was the one who cancelled the DC school voucher program for deserving young black children — talk about oppression. Is that something you’re willing to do, or is it just too difficult? To read the entire commentary, click here .","Miscellaneous"
"Maya Dillard Smith Resigns from ACLU over Transgender Bathrooms-Truth!","2016-06-06 10:22:58","https://www.truthorfiction.com/maya-dillard-smith-resigns-aclu-transgender-bathrooms/"," Maya Dillard Smith, an interim director at the Georgia chapter of the American Civil Liberties Union (ACLU), resigned after her daughters were “visibly frightened” by men using a women’s bathroom. "," Reports that Maya Dillard Smith resigned as the executive director of ACLU’s Georgia chapter over the organization’s support of transgender rights appear to be true. LifeSiteNews Daily News, a website run by a Canadian pro-life non-profit group called Campaign Life Coalition, reported Maya Dillard Smith’s resignation from the ACLU’s Georgia chapter over its support of transgender bathroom use on May 31st. The story, which appeared under the headline “State Leader Quits ACLU After Daughters Were ‘Visibly Frightened’ by Men Using Women’s Restroom,” begins: The African-American woman who leads a state chapter of the ACLU has resigned, citing her own daughters’ “frightened” reaction to biological males using the women’s restroom. The organization’s increasing focus on legislating the transgender lobby’s concerns pushed Maya Dillard Smith, interim director of the Georgia chapter of the American Civil Liberties Union, to tender her resignation. “I have shared my personal experience of having taken my elementary school age daughters into a women’s restroom when shortly after three transgender young adults, over six feet [tall] with deep voices, entered,” she wrote. The report of Maya Dillard Smith’s resignation was picked up by other conservative news outlets and quickly went viral amid national debate about public bathroom use by transgender individuals. Maya Dillard Smith then appeared on Fox Business on June 3rd to confirm her resignation from the ACLU because she believes the organization’s support for transgender rights comes at the expense of young children. A video of that interview can be viewed here . The ACLU has declined to comment on the matter and has publicly called Maya Dillard Smith’s resignation a “personnel matter.” ","Miscellaneous"
"Canadian Teen Finds Lost Mayan City With Google Maps-Disputed!","2016-05-12 12:59:58","https://www.truthorfiction.com/canadian-teen-finds-lost-mayan-city-google-maps/"," A Canadian teenager found a lost Mayan city using Google Maps and a new method that matches stars to the location of temples in Central America. "," There’s currently no agreement among archaeologists and remote sensing experts as to whether a Canadian teenager actually found a long lost Mayan city using Google Maps, so we’re calling this one “disputed” for the time being. The story first appeared in Le Journal de Montreal , a French language newspaper based in Quebec, on May 7th under the headline, “A Teenager Discovers a Mayan City.” The story reports : Passionate Mayan for several years, he analyzed 22 Mayan constellations and realized that if he connected on a map the stars of the constellations, the shape of each corresponded to position 117 Mayan cities. No scientist had ever found such a correlation between the stars and the location of the Mayan cities. The genius of William, however, was to analyze a 23rd constellation. It contained three stars and only two cities matched on the card. According to his theory, so it should be a 118th Mayan city in a remote and inaccessible location in the Yucatan Peninsula, Mexico. Analyses from satellites in different space agencies have revealed that there was indeed a pyramid and thirty buildings at the precise location identified by the young man. The Journal had access to satellite images which we see different structures of what may be an ancient city. “Geometric shapes, such as squares or rectangles, appeared on these images, forms that can hardly be attributed to natural phenomena,” says remote sensing specialist at the University of New Brunswick, Dr. Armand LaRocque. The sensational story about an untrained teenager supposedly discovering a Mayan city that had eluded professional archaeologists quickly traveled around the world. By May 10th, the story appeared in the U.K.’s Telegraph under the headline, “Star Pupil Finds Lost Mayan City By Studying Ancient Charts of the Night Sky From His Bedroom.” That story reports : William took to Google Maps and projected that there must be another city hidden deep in the thick jungles of the Yucatan Peninsula in Mexico. The Canadian Space Agency agreed to train its satellite telescopes on the spot and returned with striking pictures: what appears to be an ancient Mayan pyramid and dozens of smaller structures around it. If the satellite photographs are verified, the city would be among the largest Mayan population centers ever discovered. It fell to William Gadoury to christen the new city and he chose the name K’aak Chi, meaning Fire Mouth, and the teenager said he hoped to one day see the ruins with his own eyes. The tech site Gizmodo picked up the story from there , quoting a remote sensing specialist who said he believed that the satellite images showed man-made geometric shapes hidden beneath the jungle’s canopy: Taking this idea further, Gadoury contacted the Canadian Space Agency, who provided him with space-based images from NASA and JAXA. These satellite images revealed a batch of undeniably geometric structures hidden under the jungle canopy. Gadoury, along with Dr. Armand LaRocque, a remote sensing specialist from the University of New Brunswick in Fredericton, believe it’s an ancient Maya pyramid surrounded by 30 smaller structures. The teen has named the city—which has yet to be explored and verified—K’aak Chi, which means “Mouth of Fire.” If confirmed, it would be among the largest Maya cities ever discovered. LaRocque said the use of satellite images, as well as the contribution of digital image processing, helped to confirm the possible existence of this forgotten city. “Geometric shapes, such as squares or rectangles, appeared in these images, forms that can hardly be attributed to natural phenomenon,” LaRocque said. However, experts have since come forward calling the reports “false.” David Stuart, an anthropologist from the Mesoamerica Center-University of Texas at Austin, said on Facebook that he felt the need to debunk the story after the BBC picked it up. He called it “a terrible example of junk science hitting the internet in free-fall” in the post: Additionally, Thomas Garrison, an anthropologist and remote sensing specialist at the University of Southern California, said the objects in the satellite images were corn fields — not ancient relics of a Mayan city, Gizmodo reports: I applaud the young kid’s effort and it’s exciting to see such interest in the ancient Maya and remote sensing technology in such a young person. However, ground-truthing is the key to remote sensing research. You have to be able to confirm what you are identifying in a satellite image or other type of scene. In this case, the rectilinear nature of the feature and the secondary vegetation growing back within it are clear signs of a relic milpa. I’d guess its been fallow for 10-15 years. This is obvious to anyone that has spent any time at all in the Maya lowlands. I hope that this young scholar will consider his pursuits at the university level so that his next discovery (and there are plenty to be made) will be a meaningful one. So, considering that experts have weighed in on both sides of this story, we’re calling it “disputed” for the time being. We’ll post future updates about the Canadian teen’s findings here. ","Miscellaneous"
"Photo Shows Gulf of Mexico, Mississippi River Don’t Mix-Mostly Truth!","2016-04-29 13:38:15","https://www.truthorfiction.com/photo-shows-gulf-mexico-mississippi-river-dont-mix/"," A photo that shows a clear line separating bright blue water from murky green water is rumored to show that water from the Gulf of Mexico and Mississippi River don’t mix. "," Images and videos of a clear line separating blue and green water in the Gulf of Mexico are real — and they actually show an area where water from the Gulf of Mexico and Mississippi River don’t mix. The area, which is called a “dead zone,” was located off the shore of Louisiana and Texas in the summer of 2015. It was caused by high levels of nutrient runoff into the Mississippi River that left the water emptying into the Gulf of Mexico with high levels of nitrogen. High levels of nitrogen lead to overgrowth of algae and other vegetation that sucks much of the oxygen from the water and kills fish. In 2015, when this video was posted, dead zones in the Gulf of Mexico were “above average,” the National Oceanic Atmospheric Administration (NOAA) reports : The largest previous Gulf of Mexico dead zone was in 2002, encompassing 8,497 square miles. The smallest recorded dead zone measured 15 square miles in 1988. The average size of the dead zone over the past five years has been about 5,500 square miles, nearly three times the 1,900 square mile goal set by the Hypoxia Task Force in 2001 and reaffirmed in 2008. The hypoxic zone off the coast of Louisiana and Texas forms each summer threatening the ecosystem that supports valuable commercial and recreational Gulf fisheries. NOAA-funded research in the past decade shows hypoxia results in habitat loss, displacement of fish (including shrimp and croaker) from their preferred areas, and a decline in reproductive ability in some species. Dead zones change each year based on nutrient levels in the water, weather conditions and wind speed — so there’s not a permanent divide in the Gulf of Mexico between blue and green water. These rumor started with a YouTube video posted in November 2015 under the headline, “Mississippi River Rip in the Flesh,” that claims to display “A true showing of colors when the Gulf of Mexico meets the Mississippi River.” By April 2016, still shots from the video had made their way to Facebook and other social media platforms in a posts that claims, “The Mississippi River meets the Gulf of Mexico. The two bodies of water never mix with each other; allowing the Gulf of Mexico to retain its clear, blue color. Simply Amazing!”: So, there are areas of the Gulf of Mexico where a clear divide between blue and green water can be seen. However, that line in the water isn’t permanent and constantly changes based on a number of factors. That’s why we’re calling this one mostly true. ","Miscellaneous"
"Edgar Allen Poe Wrote About the Death of Dick Parker-Truth!","2016-02-19 09:41:18","https://www.truthorfiction.com/edgar-allen-poe-wrote-about-the-death-of-dick-parker/"," Edgar Allen Poe’s only complete novel, “Narrative of Arthur Gordon Pym of Nantucket,” tells the story of a sailor named Dick Parker who was eaten by his crew after they ran out of provisions. Decades later, a sailor named Richard “Dick” Parker was actually killed and eaten by his crewmates after a storm nearly destroyed their ship. "," This one is true. Edgar Allen Poe wrote about Dick Parker’s (fictional) death in a novel published 46 years before a real sailor named Dick Parker died in the same way. “ Narrative of Arthur Gordon Pym of Nantucket ” tells the story of two boys who hide aboard a whaling ship that sets out to sea. While the boys are hiding, the crew mutinies and many end up slaughtered. The boys team up with the only two remaining crewmembers, one being named Dick Parker. After they run out of food, they decided to draw straws to see which one of them will be killed and eaten to keep the others alive. And, you guessed it, Dick Parker draws the short straw and is eaten by his crewmates. An almost identical situation played out in 1883 — 46 years after the novel was published — when an unlucky sailor named Dick Parker was killed and eaten by his crewmembers. Their boat had been cast away in a storm 1,600 miles from the Cape of Good Hope. After they ran out of water, Dick Parker refused to drink his own urine for hydration and opted for seawater instead. That made him sick. Shortly after he fell into a coma, his crewmates, Thomas Dudley and Edwin Stephens, decided to murder and eat him, according to a summary of a criminal case brought against the men: That next day, the 25th of July, no vessel appearing, Dudley told Brooks that he had better go and have a sleep, and made signs to Stephens and Brooks that the boy had better be killed.  The prisoner Stephens agreed to the act, but Brooks dissented from it.  That the boy was then lying at the bottom of the boat quite helpless and extremely weakened by famine and by drinking sea water, and unable to make any resistance, nor did he ever assent to his being killed.  The prisoner Dudley offered a prayer asking forgiveness for them all if either of them should be tempted to commit a rash act, and that their souls might be saved.  That Dudley, with the assent of Stephens, went to the boy, and telling him that his time was come, put a knife into his throat and killed him then and there; that the three men fed upon the body and blood of the boy for four days; that on the fourth day after the act had been committed the boat was picked up by a passing vessel, and the prisoners were rescued, still alive, but in the lowest state of prostration. The big difference between the fictional and actual stories is that the crews didn’t draw straws to decide who would die in the actual story. Rather, Dick Smith’s crewmates decided he should die because they both had families waiting for them back home. After Dudley and Stephens survived the ordeal, they were found guilty of murder in Parker’s death and sentenced to death. ","Miscellaneous"
