"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Air Malaysia Pilot Resurfaces 2 Years After Flight MH370 Disappeared","2016-02-17 08:57:50","https://www.truthorfiction.com/air-malaysia-pilot-resurfaces-2-years-after-flight-mh370-disappeared/"," The pilot of the Air Malaysia flight MH370 that mysteriously disappeared in March 2014 has reappeared in a hospital in Taiwan, according to viral reports "," The pilot of Air Malaysia flight MH370 did not resurface in a hospital in Taiwan nearly two years after the flight mysteriously disappeared. That rumor was started by the fake news website World News Daily Report in a story that appeared under the headline, “Taiwan: MH370 Pilot Mysteriously Resurfaces Almost 2 Years After His Flight Vanished Over China Sea.” The article (falsely) reports : Taipei| The pilot of the infamous flight MH370 of Malaysia Airlines that disappeared in March 2013, Captain Zaharie Ahmad Shah, has mysteriously reappeared in a Taiwan hospital on Monday, suffering from severe dehydration and some type of amnesia. The 53-year-old pilot was transported at the Taipei Adventist Hospital by a couple of villagers from a nearby town. They claimed to have found the man while he was lying unconscious on the banks of the Tangshui River. He finally woke up almost 16 hours after arriving at the hospital, but couldn’t remember his name or how he arrived in Taipei. He was rapidly identified, however, thanks to his fingerprints, instantly attracting a lot of attention from the media and from various Asian governments. The disappearance of Air Malaysia flight MH370 in March 2014 has become one of the 21st century’s greatest mysteries, so it’s not surprising that the reports of the pilot’s reappearance generated a lot of interest. Within a week of being posted, the story was shared more than 16,000 times on social media. Taken out of context on social media, many readers assumed that the World News Daily Report story was true — but that’s not the case. The website’s disclaimer states that it’s “not responsible for incorrect or inaccurate information” and acknowledges the “satirical nature” of its articles. In other words, it’s a fake news website. ","Missing Persons"
"An “Amber Alert” about 9-year-old Nicholas Farber, Kidnapped From California-Truth! but Resolved!","2015-03-17 22:38:40","https://www.truthorfiction.com/nicholas/"," You are told of a new “Amber Alert” to help find a 9-year-old boy named Nicholas Farber who is missing. "," This is a true story, but Nicholas was found alive and unharmed and returned to his father. The story caused alarm because Nicholas was violently kidnapped by two masked men at 2 o’clock in the morning from his father’s home in Palm Desert, California on August 28, 2002. An “ Amber Alert ” was issued. He was found on August 30 in a campground in Jamul, California, not far from San Diego.  A spokesperson for the San Diego County Sheriff’s department said Nicholas was found in a motor home in the campground with his mother and a an unidentified man.  Both were arrested.  Nicholas had been the focus of a custody dispute between his mother and father. ","Missing Persons"
"Four-year-old abducted in store, hair shaved, clothes changed-Fiction!","2015-03-17 22:02:03","https://www.truthorfiction.com/codeadam/",".gadsense_slot_1{ display: inline-block; width: 300px; height: 250px;} (adsbygoogle = window.adsbygoogle || []).push({}); Four Year Old Girl Abducted in Retail Store, Hair Shaved, and Clothes Removed In A Matter of Minutes- Fiction! Summary of Rumor The writer of this email says she was standing near a mother and 4 year old girl at a Sam’s Club store when the girl suddenly disappeared.  Other versions say this happened at Mervyns’s Carrefour’s. The writer asked one of the employees to announce the missing girl over the public address system.  She says he announced a “code something,” locked all the doors, and within five minutes found the girl in a bathroom with her head shaved, most of her clothes removed, a bag of different clothes nearby along with a razor and a wig.  Somebody was trying to disguise and kidnap the girl.  The writer says that the “code” announcement was a “Code Adam” alert, named after Adam Walsh, a boy kidnapped in a department store and killed and whose father went on to create the “America’s Most Wanted” television show. "," This particular story of the four year old found in the bathroom is fiction, but the fact that children are abducted is not fiction.  According to National Center for Missing And Exploited Children, it happens more than 100,000 times each year.  Also, the “CODE ADAM” procedure for retail stores to respond to a missing child is not fiction.  It is being used by companies nationwide in North America including more than 2,500 Wal-marts and Sam’s Clubs.   Wal-mart says it pioneered the CODE ADAM idea and named it after Adam Walsh, a six-year old who was taken from a Florida mall in 1981 and was killed.  His father, John Walsh, went on to become the host of the “America’s Most Wanted” show. Store employees do not lock the doors during a CODE ADAM, but they do have procedures for spreading the word among employees about any possible missing child including a description of the child.   They also have employees at the doors watching for anything suspicious and making sure that any children who are leaving the store are accompanied by the rightful adult.  If they can’t find the child within 10 minutes, the police are called.   If they do find the child with anyone other than a parent or legal guardian, they call the police to sift out the facts. ","Missing Persons"
"Help Find Branson Perry of Skidmore, Missouri-Truth!","2015-03-17 22:02:01","https://www.truthorfiction.com/branson/"," This is an appeal from a mother whose 20-year-old son is missing.  Branson Kaye Perry has not been seen since April 11, 2001.  His mother, Becky Perry, says he mysteriously disappeared after telling a friend that he would be right back. "," TruthOrFiction.com has confirmed with both the family and local authorities that this is true. ","Missing Persons"
"Asha Degree, a ten-year-old is missing from North Carolina-Truth!","2015-03-17 21:57:54","https://www.truthorfiction.com/asha/"," The email being circulated says Asha Degree disappeared on Valentine’s Day, 2000, and asks that people circulate a picture of her as a part of trying to solve the case and have her returned safely.  The email says it’s written by a cousin of Asha’s and refers people to the web page of a television station in Charlotte, North Carolina. "," Asha Degree is a real person who, according to police, never returned to her home in Shelby, North Carolina, after reportedly walking away early in the morning on February 14, 2,000. TruthOrFiction.com has received several requests from readers about this story, partly because the email that is being circulated is written so poorly. The email asks for help yet doesn’t say where the girl disappeared from or where to call if you have information about her, so it’s easy to suspect that the story is not authentic. The Charlotte television station whose website is referenced in the email, WBTV, has confirmed to TruthOrFiction.com that the story was carried on their station but that they were not prepared to serve as a source for the story or a place where emails should be sent. They do have a hotline about Asha at 704 476-3030.  Asha’s family had received invitations to appear on several national television programs to publicize the girl’s disappearance and to plead for help.  Also, the MISSING CHILDREN HELP CENTER of the NATIONAL MISSING CHILDREN DIVISION of the NATIONAL SAFETY COUNCIL included Asha in their online database.  See link below. This eRumor started circulating in 2000 when Asha disappeared.  As of 6/16/08, the last time we checked with the police, she was still missing. Updated 6/16/08 For more information: Missing Children Help Center Click “Posters of Missing Children” then do a search on the page for “Asha” or “Degree.” ","Missing Persons"
"Find little Christopher John Mineo Jr-Fiction!","2015-03-17 21:56:55","https://www.truthorfiction.com/christopher/"," This email says it is from Christopher John Mineo of New York and that his 6 year-old son, Christopher John Mineo, Jr. has been missing since the end of 1998. Some versions say he’s been missing since May of 2001. A newer version says he’s the object of an Amber Alert, a system that puts out the word on missing children. "," This a mysterious one. The email asking for help in finding Christopher John Mineo has been      circulating for quite a while. Original versions of it said      the boy disappeared in 1998.  Some newer versions say he      disappeared in May, 2001. So far, however, TruthOrFiction.com has not found any first-hand      evidence that the boy exists. There is no law enforcement agency, newspaper, or missing persons      organization with any knowledge of him.  So far, no Mineo family      has been found that matches the description of the father or son in      the eRumor. The email address in the email, CMINEO0295@aol.com ,      is a real one, but has been blocked by the owner. Some AOL      members are referred to a different email address, which we have sent      messages to, but with no response. We have heard from a couple of people who claim to have spoken with      relatives of little Christopher and who say he was never really      missing, but that there was some kind of domestic dispute or custody      battle involved between his mother and father. None of those      contacts, however, has been willing to put us in touch with the family      or to provide evidence beyond their claims. That, along with the      fact that the Christopher story includes almost identical wording as      the classic Kelsey Brooke Jones story, puts it into the Fiction!      category. (Updated 10/1/04) ","Missing Persons"
"Aaron Russell Steinmetz, missing in Florida-Once Truth! Now Resolved!","2015-03-17 21:45:58","https://www.truthorfiction.com/aaronsteinmetz/"," An email from Amanda Steinmetz of Summerfield, Florida, says her 3 1/2 year old son is missing and was last seen with his father. "," According to the Marion County Sheriff’s department and published reports, the boy was returned to his mother in 1999. Last updated 9/10/00 ","Missing Persons"
"Help Find Little Madeleine McCann-Truth!","2015-03-17 21:40:56","https://www.truthorfiction.com/madeleine/"," This is a missing child alert and asks for help in finding 4-year old Madeleine McCann.  Hers was a widely reported disappearance but this email shows a distinctive in her right eye that the family hopes will help find her.  The email asks that you forward it to all your friends. "," Update 10/15/13: The BBC announced on October 13 that the “Metropolitan Police said a BBC Crimewatch appeal to be aired on Monday would feature ‘the most detailed reconstruction’ of the case yet.” The BBC said that Scotland Yard began a review of the case in May 2011 after Portuguese authorities ceased their investigation in 2008.   Computer generated images of men who were seen in the vicinity close to where the kidnapping took place around Thursday 3 May 2007 were released to the public in hopes of solving the case. Click here for Metropolitan Police site. Background Story Madeleine McCann is from Rothley, Leicestershire, England.  She disappeared on May 3, 2007 while with her parents on a vacation in the Algarve region of southern Portugal. The information about Madeleine’s right eye in this eRumor is accurate. News reports say she was discovered missing from her bedroom in the resort where her family was staying while her parents, Kate and Gerry McCann, were dining nearby.  A window and shutter were open and it is believed she was abducted. That was followed by criticism from the family of what they believe was slow response to the report of the crime and mishandling of the crime scene.  There was also speculation about whether the kidnapper was from Portugal or might have been from England, whether Madeleine may have been taken by a ring of pedophiles. Millions of dollars in reward money has been offered including contributions from Virgin founder Richard Branson and Harry Potter author J.K. Rowling. The latest news as well as a blog from her father can be found at www.findmadeleine.com . Posted  5-25-07  Updated 10/15/13 ","Missing Persons"
"Help find Erin from Cedar Rapids-Truth!","2015-03-17 21:40:52","https://www.truthorfiction.com/erin/"," Fifteen-year-old Erin Pospisil is missing from Cedar Rapids, Iowa, and the family fears that she may have been induced to go away with a group of gang members from Chicago. An email circulated by a family member asks Internet users to keep watch for Erin and notify authorities if she’s spotted. "," This is true.  TruthOrFiction.com has confirmed this with both a family member and the local authorities in Cedar Rapids. Erin was last seen Sunday, June 3, 2001 near the 100 block of 12th Street SE in Cedar Rapids. She is 5′ 2″ high, weighs 125 pounds, has dark brown hair with red highlights, dark brown eyes, and was last seen wearing beige short overalls and a light-colored tank top.  She was seen getting into a 2-door, early 90’s model black Cavalier with dark tinted rear windows Anyone with information about Erin is asked to call the Cedar Rapids police department at 1-800 272-7463. Also, you can email carolyn@helpfindachild.com instead of the email address listed in the eRumor, which is now outdated. You can also visit the website about Erin at www.helpfindachild.com. ","Missing Persons"
"Katelyn Marie Craven Missing-Truth! but Found!","2015-03-17 21:40:51","https://www.truthorfiction.com/katelyn-marie-craven/"," Notices of a missing person, Katelyn Marine Craven, have gone viral on social media. "," Katelyn Marie Craven went missing in 2011 and there has been some confusion over her disappearance because of a 2 1/2 year gap in activity from the family who have been posting notices in social media.    She has been found and and reunited with her family according to a January 26, 2014 Facebook post by Scott Edward Craven, the father of Katelyn. Screen shot of Facebook Post by Scott Edward Craven There was much confusion over the reality of this incident according to a January 25, 2014 article by  Examiner.Com . The article said, “As the search for Craven becomes more publicized, the confusion seems to increase. Craven’s father, Scott Craven is becoming more verbal on the Facebook page where Katelyn’s disappearance was first announced. The page was previously opened by Doug Eldridge, Katelyn’s stepfather in 2008 as a personal Facebook page. Craven’s mother, Kimberly has since been added to the page and after 2 1/2 yrs of silence, recently posted a request for the public’s assistance in locating Katelyn. ” Posted 01/27/14 ","Missing Persons"
