"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Disney’s Black Diamond VHS Tapes Are Worth Thousands-Fiction!","2016-06-06 13:59:04","https://www.truthorfiction.com/disneys-black-diamond-vhs-tapes-worth-thousands/"," Blog sites have reported that Disney’s “Black Diamond” VHS tapes of movies like “Beauty and the Beast” and “The Little Mermaid” are worth tens of thousands of dollars. "," Disney’s Black Diamond VHS tapes aren’t worth tens of thousands of dollars — in fact, most aren’t even worth $10. Claims about the value of Disney’s “Black Diamond Collection” VHS tapes went viral in early June when a number of blog sites picked up false reports that VHS copies of classic Disney movies like “Beauty and the Beast” were worth thousands of dollars on resale sites like Ebay. As it turns out, however, false claims about the value of Disney’s Black Diamond Collection VHS tapes have been around for years. In early 2015, BuzzFeed reported that copies of “Beauty and the Beast” are worth $500 based solely on this one auction listed on Ebay. News Bake , a blog site that “disclaims any responsibility for the accuracy of the content” on its site, picked up the charge by mid 2016 with a story appearing under the headline, “If You Have ANY of These VHS’s, It May Be Worth Over $10,000.” The report included screen grabs of VHS copies of Disney movies like “Beauty and the Beast” listed on auction sites for as much as $10,000: Given that almost everybody has a box of old Disney VHS tapes in their basement, these reports generate a lot of buzz. However, because everybody has a box of old Disney tapes in their basement, these “Black Diamond Collection” VHS tapes are worth very little. Scammers can list items on Ebay and other online auction sites for however much they want — that doesn’t mean they’re actually worth that much. In the above screen grab, there were zero bids on both auctions for “Beauty and the Beast” VHS tapes. After filtering through all of the artificially inflated Ebay auctions for Disney Black Diamond Collection VHS tapes, you’ll find a handful of auctions that are more fairly priced, like this one : Rumors about the value of Disney’s Black Diamond Collection VHS tapes can be traced back to a widely circulated blog posted at an Ebay community page in 2010. In the post, a Disney collector predicts that mint condition Black Diamond Collection Disney tapes will be worth money to collectors at some point in the future (like Red Line Hot Wheels Die Cast Cars and classic Barbie Dolls are today). The post does not, however, claim that Black Diamond Collection tapes are worth thousands of dollars, or even that they will be in the future: Black Diamond Tapes are easy to identify by the Black Diamond found on the Spine of the case with the Walt Disney’s Signature located inside the Diamond.  With a little hard work you can find tapes in good to mint condition.  While all of the tapes are getting hard to find in any condition the tapes are considered to be RARE in better conditions.  Because most tapes were opened and viewed till they simply wore out.  The cases also present a condition problem because of the plastic molding used to produce the cases.  The cases had a hallow space in between the plastic layers which wold crush are bend upon being dropped or having heavy pressure applied to it.  The cushioning supplied by this hallow space would help protect the tape but could make the case look beat up.  How many kids do you know that take great care of thier stuff to prevent damage.  I would say very few would have taken great care of thier movies.  So the vast majority of the Black Diamond Tapes and Cases were damaged or just simply wore out.  Plus the fact that in the early 80’s not every household had a VCR to play these tapes so far fewer of these early editions were produced..  All of this adds up to many of these tapes are now hard to find in any condition and RARE in in better conditions! Collectibles gain value when they’re extremely rare. Because Disney VHS tapes have been so widely circulated, most of them have very little monetary value now. Unopened or mint condition VHS tapes have more value, but only if you can find a serious collector. If all of this sounds familiar, it might be because it’s the exact same thing that happened with the Princess Diana Beanie Baby from the late 1990s. The value of the commemorative Beanie Baby has become wildly (and incorrectly) inflated on online auction sites. In reality, however, the Princess Diana Beanie Babies are worth anywhere from $27 to $47 ( click here for our previous report on this ). The same is true for Disney Black Diamond Collection VHS tapes. They aren’t worth hundreds or thousands of dollars. ","Money - Financial"
"Estate Tax Rates Jump from 0 to 55% in 2016-Fiction!","2016-01-20 12:34:52","https://www.truthorfiction.com/estate-tax-rates-jump-from-0-to-55-in-2016/"," It’s been rumored that estate taxes jumped from 0% to 55% on January 1, 2016. "," Federal estate tax rates didn’t jump from 0% to 55% on January 1, 2016. In fact, the vast majority of estates will pay no federal estate tax at all in 2016. The basic exclusion amount for estate taxes has risen to $5.450 million, up from $5.430 million in 2015. That means estates worth less than $5.450 million don’t pay any estate tax at all. And the claim that estate tax rates have risen couldn’t be further from the truth. In 2001, estates worth more than $675,000 were taxed at the top rate of 55%. By 2013, however, the top estate tax rate had dropped to 40%, and only estates worth more than $5.25 million were taxed. Today, 40% remains the top estate tax rate, and that only applies to estates worth more than $5.450 million, according to the Tax Foundation . Overall, the estate tax accounts for less than 1% of total federal revenue each year. In 2014, the Office of Budget Management reported that the estate tax raised $19.3 billion, about 0.6% of total federal revenue. So, reports that the estate tax rate has jumped at all — let alone from 0% to 55% — couldn’t be any more wrong. ","Money - Financial"
"2016 Tax Increases Due To Obamacare-Fiction!","2016-01-20 11:35:09","https://www.truthorfiction.com/2016-tax-increases-due-to-obamacare/"," Emails warning about new tax increases taking effect on January 1, 2016, because of Obamacare have flooded inboxes and stirred panic among taxpayers. "," Claims about 2016 tax increases due to the Affordable Care Act (commonly known as Obamacare) are mostly fiction. An outdated and incorrect chain email that makes the rounds every January has widely circulated yet again in 2016. The email makes a number of claims about Medicare and capital gains taxes going into effect on January 1, 2016, to help fund Obamacare. We investigated those claims in 2015, and found them to be false and misleading. You can read our full coverage here . Otherwise, here’s a brief overview of each claim, and tax rates you can expect to pay in 2016: Top Medicare tax went from 1.45% to 2.35% : Most taxpayers will pay 1.45% in Medicare tax in 2016. Top earners ($125,000 individual/$250,000 couple) will pay a 0.9% surcharge, bringing the top Medicare tax to 2.35% , which has remained unchanged from 2013. Top income tax bracket went from 35% to 39.6%: The top income tax bracket in 2016 ($415,000 individual/$466,950 couple) will be 39.6%, the same as in 2013, 2014 and 2015. The rate was increased under the bipartisan American Tax Payer Relief Act of 2012, not Obamacare. Top income payroll tax went from 37.4% to 52.2%: The Affordable Care Act set the top income payroll tax at 42.5% effective January 2013; however, that rate does not reflect additional state payroll taxes. Capital Gains taxes went from 15% to 28%: The maximum net capital gain tax rate is 20% in 2016, but most taxpayers pay less than that. However, a 25-28% tax rate does apply to certain types of capital gains, the IRS reports . Estate taxes went from 0 to 55%: Overall, estate tax rates have decreased over the last 15 years (the rate was 55% in 2001, and it was set at 40% in 2013). Estates of those who die in 2016 will have a basic exclusion amount of $5.450 million , up from the $5.430 million exclusion in 2015. The basic exclusion is the amount an individual can leave to heirs without paying federal estate taxes. One 2016 tax increase under Obamacare that is not included on this list is the individual mandate excise tax rate. Those who do not purchase a “qualifying” health insurance policy must pay it. The rate increased to 2.5% of adjusted gross income in 2016, up from 2% in 2015 and 1% in 2014, according to Americans for Tax Reform . The only tax levied under the Affordable Care Act that has not yet taken effect is the excise tax on comprehensive health insurance plans, otherwise known as the tax on “Cadillac” health insurance plans. That’s set to take effect in January 2018. Be leery of any warnings about “new” taxes because of the Affordable Care Act before that. ","Money - Financial"
"Powerball Winners John and Lisa Robinson Giving Away Winnings-Scam!","2016-01-19 10:00:37","https://www.truthorfiction.com/powerball-winners-john-and-lisa-robinson-giving-away-winnings/"," Social media posts claim that John and Lisa Robinson, co-winners of the $1.58 billion Powerball jackpot, are giving away cash to random people who like and share a website. "," Powerball winners John and Lisa Robinson don’t have any plans to share the wealth with random people who like and comment on a Facebook page. That rumor spread across social media sites shortly after the Robinsons claimed more than $500 million, their stake of the record-setting $1.58 billion Powerball jackpot in January 2016. The first clue that this was a hoax was a “people remaining” countdown tool displayed on a website linked to the offer. Despite thousands of people “redeeming” the offer, the countdown tracker continued to show that fewer than 100 people could still redeem it. Accounts from people who tried to redeem John and Lisa Robinson’s Powerball giveaway offer further prove that this is a hoax . One Facebook user shared the post and was notified that he had “won.” He was asked to click on a second link and to provide personal information to redeem his “prize.” Another commenter said he discovered that the site was recording the email addresses of those who shared the link. Another consideration is that the Robinsons have laid out plans for their winnings in media reports, and they never once mentioned sharing the wealth with perfect strangers on social media posts. Rather, the Robinsons planned to donate to their church, and to St. Jude’s Children’s Research Hospital, and said they would “help certain friends,” the Associated Press reports . If you shared the fake John and Lisa Robinson Powerball giveaway offer, you should log on from a different computer and change the email and password associated with your accounts. Then, you should open “App Settings” in your Facebook account and remove any apps that may have been added to your security settings without your knowledge, according to Phishlist.com . ","Money - Financial"
"New Way of American Life Email-Fiction!","2015-04-13 12:14:47","https://www.truthorfiction.com/email-explains-how-to-get-75k-in-benefits-for-you-and-your-girlfriend/"," A forwarded email called the “New American Way of Life” explains how to get $75,000 in benefits for you and your girlfriend by legally gaming the Section 8 housing assistance program. "," The New American Way of Life email’s claim that there is a “perfectly legal” way to “get $75,000 in benefits for you and your girlfriend” is false. It’s illegal to receive federal benefits based on false information, and that’s exactly what this email describes. The email first talks about the Department of Housing and Urban Development’s (HUD) housing choice voucher program . The program gives low-income families the ability to choose where they live and provides them vouchers to help pay rent. The email says that a landlord can legally collect housing choice voucher payments for a property that he lives in with a girlfriend so long as he has a different mailing address. That’s not true. Housing choice vouchers are issued by local housing authorities. The local authority signs a housing assistance payment contract with the landlord, and only people who are named on the lease are allowed to live there, according to the National Housing Law Project . It is illegal for anyone who isn’t named on a lease to live at one of these properties, including the landlord. The law requires local housing authorities to have policies in place to identify “unauthorized occupancy.” Those policies vary, but one common example is that a guest can’t stay for more than 14 days in a row, or for more than 20 days in a calendar year. People who receive housing choice vouchers and have unauthorized residents living in their units could face federal charges . They could also be terminated from the program . ","Money - Financial"
"List of Senior Discounts-Truth! & Fiction!","2015-04-09 18:27:44","https://www.truthorfiction.com/list-of-senior-discounts/"," A chain email includes a long list of businesses like restaurants, retailers and airlines that offer senior discounts most people don’t know about. "," Many businesses offer senior discounts, but they vary by location and often change on short notice. Some senior discounts are available only on certain days of the week, some are only available at certain times of the year, and some don’t apply to certain products. The best way for a senior to make sure they are getting every senior discount is to ask when they’re checking out, or to look on a website that allows them to search for senior discounts available in their zip code. We won’t look at every single discount listed in this chain email. But it’s very first claim, that Wendy’s offers 10% off every menu item for people older than 55, is not true. Some Wendy’s locations offer 10% off for people older than 55, others just offer a discounted price for drinks, and others don’t offer any discounts at all, according to the website SeniorDiscounts.com . Most restaurants and retailers have similar policies, so this chain email’s long list of senior discounts isn’t completely wrong — but it’s not completely right, either. And, just like the chain email claims, many airlines offer senior discounts. Southwest Airlines , American Airlines and United Airlines are among those that do. But the discounts may only apply to certain flights, or may only be valid at certain times. It’s best to check with an airline when booking your tickets. Seniors that belong to AARP may be able to get even more senior discounts on things like food, clothing, airfare and hotels. Click here for information on those discounts. ","Money - Financial"
"The meanings of the symbols on the dollar bill-Truth!","2015-03-28 17:08:10","https://www.truthorfiction.com/dollarbill/"," This email asks you to look at the one dollar bill and explains the various symbols and their meanings.  TruthOrFiction.com has received numerous requests to verify whether the representations in the email are accurate. "," The significance of the number 13 in all the symbolism represents the beginning of the country, the 13 colonies. updated 08/03/10 ","Money - Financial"
"Make big money by purchasing and distributing “reports” at home-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/chain/"," This very long email promises that if you follow the instructions, you’ll be making big money.  You are to send $5 to each of the 5 names on a list and receive five “reports” that you will, in turn, be duplicating and sending to all the people who send you $5. You also send to them the same instructions, except that you replace one of the names on the list with yours.  The email includes references to several people who claim to have received large sums of money.  There are also assurances that the procedure is legal.  It claims to have been featured on a national television program and suggests checking with the Federal Trade Commission for verification. "," No matter how much it claims otherwise, this is a classic chain letter and if, as is suggested, you send and expect to receive anything of value through the U.S. Mail, such as $25, it’s illegal.  You could be in violation of Federal Law. Chain letters have been around for a long time, and have been illegal for a long time.  Originally, they merely asked for money and suggested you send money to others on the list.  Some people mistakenly (or fraudulently) say that if you are “selling” something, like the “reports” in this particular eRumor, it is not an illegal chain letter.  According to the Federal Trade Commission, chain letters that involve money or valuable items and promise big returns are illegal. If you start one or send one on, you could be breaking the law. Additionally, this not an example of legitimate multi-level marketing.  It’s merely a masquerade.  Multi-level-marketing can be a productive way for a person to participate in a business opportunity without a big investment.  The best multi-level options are from respected companies that have developed a good reputation, are not asking for a large financial investment to get into the company, and are legitimately marketing products.  Be wary of any that ask you for a large amount of money up-front, who seem to be encouraging you to make money by recruiting other people to give a large amount of money up-front, and who will not give you back whatever money you have paid if you want to pull-out. See TruthOrFiction.com’s special focus on Chain Letters For more information: The Federal Trade Commission ","Money - Financial"
"IRS refund checks are not what we think-Truth!","2015-03-17 21:58:08","https://www.truthorfiction.com/taxadvance/"," An article from the Rocky       Mountain News in Colorado has gotten wide circulation on the       Internet.  The writer, David Milstead, warns that the tax       “refund” everybody thought they were receiving as a part       of a tax reform measure from Congress and President Bush is not a       refund.  It’s actually money from taxes that will be paid for       tax year 2001. "," According to the Internal Revenue Service, this is true. Here is a step-by-step explanation. 1.  Congress passed, and President Bush signed, “The Economic Growth and Tax Relief Reconciliation Act of 2001.” 2.  Among other things, it lowered taxes on your income after December 31,2000.  That means it applies to money you earned beginning in 2001 and does not apply to money you earned in 2000. 3.  Ordinarily, you would wait until 2001 is over to compute your taxes and pay them by April 15, 2002.  That would mean that if Congress gave you a tax break for your 2001 income, you would expect to benefit from it at that time. 4.  The law passed by Congress, however, gives us an “advance payment” on our 2001 taxes even before the year is over and long before the time that we would normally be computing and paying those taxes. 5.  The problem, however, is that since you are receiving the advance payment for a tax year that is not yet completed, how  does the IRS know how much your payment should be?  The answer is that the IRS is using your year 2000 tax figures to give them a clue.  They are asking, “If the lower tax rate had been in effect at that time, how much less tax would you have had to pay?”  That’s one of the reasons why not every person is receiving a check.  If you didn’t pay any taxes for 2000, you don’t get an advance check.  You may ask, “But that doesn’t seem fair because even though I didn’t pay any taxes for 2000, I know I will be for 2001, so I should get a break too.”  You are right and when you compute your taxes for 2001, that can be adjusted. 7.  When tax time does come around in April, 2002, you may look at the tax tables and notice that the tax rates don’t seem to be lower.  That’s because the advance payment check represented your tax relief for 2001.  You already got it.  If Congress gave the advance payment and lowered the tax tables too, that would be a double tax cut. updated 7/17/12 ","Money - Financial"
"Obama’s tax proposals-Mostly Fiction!","2015-03-17 21:41:02","https://www.truthorfiction.com/taxes-election/"," A forward email that lists what it says are Barack Obama’s tax proposals if he were elected president. "," This eRumor is a recycled version of one that circulated in March, 2008, about both Barack Obama and Hillary Clinton.  It resurfaced as an Obama eRumor in July, 2008. CAPITAL GAINS, DIVIDENDS Regarding capital gains taxes, Senator Obama has talked in terms of raising capital gains taxes, perhaps as high as 28%, but that would not apply to homes.  U.S. News and World Report’s money and politics blogger James Pethokoukis said that Obama is in favor of a significant increase as part of his “Tax Fairness for the Middle Class” plan.  In an interview with CNBC in March, 2008, Obama said that he favored raising capital gains taxes from %15% to 20% but no higher than 28% Both Obama and McCain favor exempting the first $250,000 of gains from the sale of a primary residence ($500,000 for a married couple on a joint return). So to say that Obama is proposing a 28% capital gains tax on residences is incorrect. The eRumor claims that taxes on dividends would go up to 39.6%.  That is a fabricated number.  Neither candidate has ever advocated a 39.6% tax on anything.  As stated above, Obama talking in terms of raising capital gains, including dividends, to 20% and no higher than 28%. INCOME TAX The forwarded email than lists what income taxes would look like under McCain and Obama.  There is no question that the Obama Democratic proposals will result in higher taxes than McCain’s Republican proposals, but the eRumor reports erroneous numbers. The eRumor starts off giving the wrong figures for current taxes.  Here are the numbers from the eRumor compared with the actual tax rates for 2008 from the Internal Revenue Service site: Single making 30K – tax $4,500——– Actually $4,100 Single making 50K – tax $12,500—— Actually $8,845 Single making 75K – tax $18,750—— Actually $15,094 Married making 60K- tax $9,000——- Actually $8,198 Married making 75K – tax $18,750—- Actually $11,438 Married making 125K – tax $31,250– Actually $23,938 Regarding a comparison of Obama and McCain tax proposals, the Chicago Sun-Times put together its figures in June, 2008. By their estimates, for example, a person with taxable income of $19,000 or less would pay $597 less under Obama and $19 less under McCain. A person with taxable income of $19,000 to $38,000 per year would pay $892 less under Obama’s plan and $113 less under McCain’s. A person with taxable income between $112,000 and $227,000 would pay $2,300 less under Obama and $3,200 less under McCain. A person with taxable income of  $227,000 would pay $23,000 more under Obama and $15,000 less under McCain. INHERITANCE TAX The eRumor says that the inheritance tax was repealed under George W. Bush, which is not true, although there have been numerous attempts to repeal it. According to the Chicago Sun-Times article, McCain would seek to lower the inheritance tax while Obama would raise it on estates more than $3.5 million. Updated 7/18/08 ","Money - Financial"
