"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Facebook Donates $3 to Rose Prater Every Time a Photo is Shared-Fiction!","2015-08-07 10:45:02","https://www.truthorfiction.com/facebook-donates-3-to-rose-prater-every-time-a-photo-is-shared/"," Facebook will donate $3 to Rose Prater, a baby girl who suffered severe burns, every time a photo of her is shared. "," This scam has been around for a long time. A post claims Facebook will donate $3 to Rose Prater every time that a photo of the badly burned baby girl is shared, but that’s not true. First, the baby girl shown in the photo isn’t named Rose Prater. Her name is Ola Kuchma, and she was burned in a 2005 fire at her home in Poland. Ola survived thanks to donations made to her family, but scammers immediately latched onto the tragedy, according to a Polish news report . Scammers first used email campaigns to steal donations from Ola’s family. Then the scam spilled onto social media. Early versions of the Facebook scam said the baby’s name was Alexandra. Later, her name was changed to Rose Prater. This type of scam has become known as a “sick children hoax.” Users are shown a heart-wrenching photo of a sick or injured child and are told that donations will be made every time it’s liked or shared. In reality, Facebook never donates money to a cause based on the number of times a post is shared or liked, according to the website : People are exploiting these children by spreading their photos without the parents consent. Please do not share the photos – report them instead! Please share with your friends to raise awareness on this issue. What do the scammers get out of sick children hoaxes? They are sometimes a clickjacking scam : Clickjacking, also known as a “UI redress attack”, is when an attacker uses multiple transparent or opaque layers to trick a user into clicking on a button or link on another page when they were intending to click on the top level page. Thus, the attacker is “hijacking” clicks meant for their page and routing them to another page, most likely owned by another application, domain, or both. These type of scams can also be used to hack into Facebook accounts so that scammers can post spam and advertisements from your profile. ","Pleas"
"An “Amber Alert” about 9-year-old Nicholas Farber, Kidnapped From California-Truth! but Resolved!","2015-03-17 22:38:40","https://www.truthorfiction.com/nicholas/"," You are told of a new “Amber Alert” to help find a 9-year-old boy named Nicholas Farber who is missing. "," This is a true story, but Nicholas was found alive and unharmed and returned to his father. The story caused alarm because Nicholas was violently kidnapped by two masked men at 2 o’clock in the morning from his father’s home in Palm Desert, California on August 28, 2002. An “ Amber Alert ” was issued. He was found on August 30 in a campground in Jamul, California, not far from San Diego.  A spokesperson for the San Diego County Sheriff’s department said Nicholas was found in a motor home in the campground with his mother and a an unidentified man.  Both were arrested.  Nicholas had been the focus of a custody dispute between his mother and father. ","Pleas"
"Zimbabwe petition-Truth!","2015-03-17 22:02:16","https://www.truthorfiction.com/zimbabwepetition/"," An email petition that asks the recipient to add his or her name to the bottom and pass it along to others.  Every 100th person is to forward it to the email address of the President of the United States.  The petition calls for various political reforms and calls on the international community to intervene in Zimbabwe to prevent violence and starvation. "," The petition is circulating on the Internet so to that extent, it exists and is true.  TruthOrFiction.com is classifying it as Unproven! , however, because who started it and what impact it can have are not certain.  Email petitions lack the punch of petitions that are personally signed by citizens primarily because anyone can fabricate email names and add them to an email petition. ","Pleas"
"Help Identify a Young Girl Left Alone by the Tsunami-Truth!, butResolved!","2015-03-17 22:02:15","https://www.truthorfiction.com/tsunamisurvivor/"," Picture of a young girl said to be a lonely survivor of the 2004 Tsunami in Thailand. "," According to UNICEF’s       child trafficking arm The Innocenti Research Centre, this girl was a       victim of the South Asian tsunami, but has been identified. She is Sophie Marleen Micl. She became separated from her parents in Phuket, Thailand on the day       of the tsunami waves and when she was found, she was taken to a       hospital in Phuket.. She was not identified until several days later. Her parents have never been found. She was returned to Germany for further medical treatment and is in       the care of relatives. The UNICEF site links to a press release from police in Hessen,       Germany. It says that she was cared for in the Vachira hospital in Phuket. Someone along the way decided to declare that the search for her was       an Amber Alert, which is not true. Last updated 3/24/05 ","Pleas"
"Pray for Cindy Hogman, an adult with cancer-Truth!","2015-03-17 22:02:03","https://www.truthorfiction.com/cindyhogman/"," Thirty-two-year-old Cindy Hogman has been diagnosed with cervical cancer and with slim chances for survival.  Her husband, Gary “Nick” Hogman asks your prayers. "," A new version of this email started circulating in 2004 that claimed that Nick “Hogan”  is a soldier serving in Iraq while his wife is back home suffering from cancer. His name is Hogman, not Hogan, he’s not a soldier in Iraq, and although the prayer request was true at one time, Nick told TruthOrFiction.com in January of 2002 that his wife was doing well. He says he hopes that he and Cindy can grow old together…and thanks you for your prayers.  He adds, “There are so many people in this world suffering from cancer, pray for them all.” updated 07/06/07 ","Pleas"
"Darren Bucklew has cancer.  Forward an email for him for financial help-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/childrenshospital/"," A high school boy named David “Darren” Bucklew says he’s got a serious liver condition called “ostriopliosis.”  If you forward emails to others, the Children’s hospital in Pittsburgh will donate to the National Disease Society for his treatment. "," It’s another of the “donations for emails” eRumors and is not true.  We haven’t found a Darren Bucklew with a liver condition, no such offer has been made by the Children’s Hospital in Pittsburgh and there appears to be no such disease as ostriopliosis.  There is no way for your forwarded emails to be tracked for this purpose. ","Pleas"
"Help Find Branson Perry of Skidmore, Missouri-Truth!","2015-03-17 22:02:01","https://www.truthorfiction.com/branson/"," This is an appeal from a mother whose 20-year-old son is missing.  Branson Kaye Perry has not been seen since April 11, 2001.  His mother, Becky Perry, says he mysteriously disappeared after telling a friend that he would be right back. "," TruthOrFiction.com has confirmed with both the family and local authorities that this is true. ","Pleas"
"Petition in Support of The Breast Cancer Protection Act-Truth!","2015-03-17 22:02:01","https://www.truthorfiction.com/breastcancerprotection/"," A widely circulated message encourages recipients to sign an online petition in support of “The Breast Cancer Protection Act” in the U.S. Congress.  It would require insurance companies to cover a minimum of a 48 hour hospital stay for women who have undergone mastectomies.  You are linked to Lifeline television for the petition. "," According to Lifetime TV, this is true.  A petition was circulated by Lifetime in 1996, but the Breast Cancer Protection Act never came to vote.  The measure has been reintroduced b y U.S. representative Rosa DeLauro.  Their goal is to prevent women from having to leaving the hospital after a mastectomy before they are ready. Updated 8/2/01 For more information: Click here for the Lifetime TV page ","Pleas"
"Visit www.thebreastcancersite.com and provide mammograms for needy women-Truth!","2015-03-17 22:02:01","https://www.truthorfiction.com/breastcancersite/"," An email request says The Breast Cancer site is having trouble meeting their “quota” of donating a free mammogram each day to underprivileged women.  You are encouraged to visit the site and click a link that will help accomplish the goal. "," This story is true.  The Breast Cancer site at www.thebreastcancersite.com was founded to fund mammograms for women who would otherwise not be able to afford them.  When you go to the site, you’ll find a prominent pink button that says, “FUND FREE MAMMOGRAMS…Click Here.”   When you do, you will see links to various corporate sites that are making donations in exchange for the visibility.  There is not a “quota” but there are goals that the site has from month to month of how many mammograms it would like to see donated. ","Pleas"
"Pray for burn victim Baby Delaney in Texas-Truth!","2015-03-17 22:02:00","https://www.truthorfiction.com/babydelaney/"," Eight-month-old Baby Delaney from Florence, Texas, has been severely burned from tipping a deep fryer on herself.  She has burns over 40 percent of her body and is facing amputation of three of her fingers.  There is fear that she may not live. "," Baby Delaney’s last name is Parrish and she is real.  In May, 2001, she suffered  severe burns.  She is still receiving treatment, but is progressing.  She did lose one finger and the tip of another and had skin grafts in several places on her body.  On June 2, 2001, she was released from Parkland hospital and is now home.  Her parents, Deana and Deven, appreciate everybody’s love and prayers. You can check updates on Delaney at http://babydelaney.tripod.com/updates.htm Last updated 6/21/01 ","Pleas"
