"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"22 Christian Missionaries to be Executed by Afghani Islamists-Fiction!","2016-11-18 11:08:51","https://www.truthorfiction.com/22-christian-missionaries-executed-afghani-islamists/"," A prayer request is circulating for 22 Christian missionary families who will be executed by Islamist Afghanis. "," This prayer request for 22 Christian missionary families in Afghanistan has been circulating since 2009, but there’s never been any indication that it’s credible. The prayer request began circulating via SMS text message and email in November 2009. The messages simply read, “Please pray for 22 Christian missionary families that will be executed today in Afghanistan. Please spread to others fast.” We couldn’t find any mention of the 22 missionary families, or their execution, in any news reports or releases from Christian or human rights non-profit groups to verify that the families were actually in danger. Today, the prayer request occasionally resurfaces on discussion forums and social media, but it’s outdated and there’s no indication that it was credible to begin with. ","Prayers"
"Prayer Request: Kayla Scott’s 22-Month-old Son Shot Self with Brad Nailer-Outdated!","2016-08-12 11:05:54","https://www.truthorfiction.com/prayer-request-kayla-scotts-22-month-old-son-shot-self-with-brad-nailer/"," A prayer request is making the rounds on Facebook for the 22-month-old son of a woman named Kayla Scott who shot himself in the heart with a nail gun and is in critical condition. "," This prayer request has been circulating social media since 2010, so we’re classifying it as “outdated.” One of the earliest versions of the story appeared in a DIY chat room in August 2010. In that version, the poster said “a local 22-month-old boy” had picked up his dad’s electric brad gun and shot himself in the chest, just below the sternum. The post wasn’t a prayer request, but rather a reminder to unplug power tools when not in use: If you own an electric powered brad nailer, as I do, PLEASE remember to unplug it when you are not using it–even for a minute. A local 22 month old boy picked up his Dad’s, which was plugged in and turned ON and shot himself in the chest. The brad nail went just to the left of the Sternum, below the skin line and is into his heart. He is in critical condition at this time and the local Dr.’s here, which do heart surgery, are considering flying him to another hospital for surgery. Just one second in this child’s life is all that it took. Thanks for reading, David That story is impossible to fact-check since it doesn’t name the boy or the city that the accident supposedly happened in. Two months later, in October 2010, the story made its way to Facebook in the form of a payer request. In that version, the boy’s mother had a name, Kayla Scott: When the prayer request for Kayla Scott made its way to a prayer forum hosted by SingSnap that same month, questions began to surface about whether or not the story was true. Skeptics noted that the story had been in circulation for months, and nobody had actually heard from Scott or her injured son’s family. It should also be noted that different names have been associated with the story of the years, too. The boy’s mother has had numerous names — including Dedee Parsons, Teresa Lynch and Cheryl Dewitts — none of which have been confirmed. We also couldn’t find any news reports about a 22-month-old boy being shot in the chest with a brad nailer. There were reports of teens in Hawaii and Michigan being shot in the heart with nail guns (both survived), but those stories don’t match the particulars of the Kayla Scott Prayer request. In the end, we can’t definitively prove that the story of the 22-month-old boy who shot himself in the chest with a brad nailer is false. But the prayer request is definitely outdated. ","Prayers"
"Alabama Coach Paul “Bear” Bryant Carried a Prayer in His Wallet-Truth!","2015-10-26 13:30:54","https://www.truthorfiction.com/alabama-coach-paul-bear-bryant-carried-a-prayer-in-his-wallet/"," Legendary Alabama football coach Paul “Bear” Bryant carried an inspirational prayer around with him in his wallet. "," It’s true that an inspiration prayer was found in the wallet of legendary college football coach Paul “Bear” Bryant upon his death. The Paul W. Bryant Museum at the University of Alabama campus in Tuscaloosa has confirmed that Bryant carried a poem around in his wallet titled “A New Day” that reads: “This is the beginning of a new day. God has given me this day to use as I will. I can waste it or use it for good. What I do today is very important because I am exchanging a day of my life for it. When tomorrow comes, this day will be gone forever, leaving something in its place I have traded for it. I want it to be gain, not loss — good, not evil. Success, not failure in order that I shall not forget the price I paid for it.” Bear Bryant used to carry the poem around in his wallet and was known to read it to his players. The museum, which hands out free copies of the poem to visitors, also has a video of Bryant’s former players reading the poem posted on its website. The poem was written by Heartsill Wilson, a motivational speakers and accountant from Texas. John “Hog” Hannah, a former player for Coach Bryant, explained the meaning of the poem and its author to Bryant in his book, “Offensive Conduct: My Life on the Line”: The author, Heartsill Wilson, was an accountant in Texas who also worked on the sales staff of Chrysler. Considered one of the finest sales consultants of that automotive industry, he was one of the most respected motivational speakers of his time. One of the greatest gifts Wilson had, which I now believe probably appealed most to Coach Bryant, was his ability to see the best in people and get them to see their own value and talents. His philosophy of leadership was often referred to as “peopleology,” a term loosely defined at he art of seeing things from someone elses’s perspective, and in the world of sales, his mantra was “to sell Jim Brown what Jim Brown buys and see Jim Brown’s needs through Jim Brown’s eyes.” I also personally think now that Coach Bryant carried that poem as a gut check or a reminder to balance his leadership style every now and then away from being a total dictator and a chronic, often punishing, masochistic football coach with exercising encouragement and positive praise of a player’s strengths rather than constantly harping on his weaknesses… So, rumors that Coach Bryant carried around a prayer in his wallet are true. ","Prayers"
"Office Depot Refused to Print Pro-Life Prayer-Resolved!","2015-09-14 14:39:25","https://www.truthorfiction.com/office-depot-refused-to-print-pro-life-prayer/"," An Office Depot employee refused to print an anti-abortion prayer. "," An Office Depot employee did refuse to print an anti-abortion prayer, but the company later backed down and offered an apology. An Office Depot employee turned a woman from Rolling Meadows, Illinois, who wanted to print 500 copies of “A Prayer for Planned Parenthood.” The flier includes a prayer by the Rev. Frank Pavone, the national director of an anti-abortion group called Priests for Life, that reads: Lord for whom all things are possible, We are confronted once again today with the evil of the abortion industry and the corruption found in the world’s largest abortion business, Planned Parenthood. Lord, we pray for all who plan to be parents, and we ask your mercy on those who teach others to reject parenthood. In light of your Word, Lord, we affirm today that children are a blessing from you, and that the origin of all parenthood is likewise in You, the God of life and love. Therefore, Oh God, we stand against the evil that has been exposed in Planned Parenthood and in the entire abortion industry. We stand today for the triumph of truth over falsehood, of light over darkness, and of life over death. Bring an end to the killing of children in the womb, and bring an end to the sale of their body parts. Bring conversion to all who do this, and enlightenment to all who advocate it. Close the doors of the death camps in our midst, and open the doors of your mercy and healing! Close the grisly trade in baby body parts. And open the abundant gifts of your salvation and life! Hasten the day when our land will no longer be stained with innocent blood, and when the bodies of all your children will be raised from the dead and set free forever. We pray in the name of Jesus the Lord. Amen! The Office Depot employee declined to print it “on the fact that it contained certain words and phrases that could be construed as graphic or advocates the persecution of groups of people,” a company spokesperson said , but the company reversed that decision after further review. Office Depot CEO Roland Smith issued an apology a day later, and invited the woman back to the store, if she still needed copies made. ","Prayers"
"Pray for Griffin Middleton of Rural Hall, North Carolina-Truth! but Resolved!","2015-03-17 22:02:06","https://www.truthorfiction.com/griffin/"," Prayer is requested for Griffin Middleton, an infant from Rural Hall, North Carolina. The cap from a medication syringe got stuck in the boy’s throat and he couldn’t breathe.  The email request says he’s in intensive care and in bad shape. "," Little Griffin did not make it.  This happened during the first part of August, 2001.  Griffin was on life support, but tests showed that the lack of oxygen to his brain had left him in a vegetative state.  He died shortly afterwards.  TruthOrFiction.com talked with the father, Ken Middleton, who said Griffin was 5 months old and his and Kim’s only child.  They appreciate everybody’s care, concern, and prayers and Ken said that was especially true of the people in their community. ","Prayers"
"Pray for Cindy Hogman, an adult with cancer-Truth!","2015-03-17 22:02:03","https://www.truthorfiction.com/cindyhogman/"," Thirty-two-year-old Cindy Hogman has been diagnosed with cervical cancer and with slim chances for survival.  Her husband, Gary “Nick” Hogman asks your prayers. "," A new version of this email started circulating in 2004 that claimed that Nick “Hogan”  is a soldier serving in Iraq while his wife is back home suffering from cancer. His name is Hogman, not Hogan, he’s not a soldier in Iraq, and although the prayer request was true at one time, Nick told TruthOrFiction.com in January of 2002 that his wife was doing well. He says he hopes that he and Cindy can grow old together…and thanks you for your prayers.  He adds, “There are so many people in this world suffering from cancer, pray for them all.” updated 07/06/07 ","Prayers"
"Pray for burn victim Baby Delaney in Texas-Truth!","2015-03-17 22:02:00","https://www.truthorfiction.com/babydelaney/"," Eight-month-old Baby Delaney from Florence, Texas, has been severely burned from tipping a deep fryer on herself.  She has burns over 40 percent of her body and is facing amputation of three of her fingers.  There is fear that she may not live. "," Baby Delaney’s last name is Parrish and she is real.  In May, 2001, she suffered  severe burns.  She is still receiving treatment, but is progressing.  She did lose one finger and the tip of another and had skin grafts in several places on her body.  On June 2, 2001, she was released from Parkland hospital and is now home.  Her parents, Deana and Deven, appreciate everybody’s love and prayers. You can check updates on Delaney at http://babydelaney.tripod.com/updates.htm Last updated 6/21/01 ","Prayers"
"Asha Degree, a ten-year-old is missing from North Carolina-Truth!","2015-03-17 21:57:54","https://www.truthorfiction.com/asha/"," The email being circulated says Asha Degree disappeared on Valentine’s Day, 2000, and asks that people circulate a picture of her as a part of trying to solve the case and have her returned safely.  The email says it’s written by a cousin of Asha’s and refers people to the web page of a television station in Charlotte, North Carolina. "," Asha Degree is a real person who, according to police, never returned to her home in Shelby, North Carolina, after reportedly walking away early in the morning on February 14, 2,000. TruthOrFiction.com has received several requests from readers about this story, partly because the email that is being circulated is written so poorly. The email asks for help yet doesn’t say where the girl disappeared from or where to call if you have information about her, so it’s easy to suspect that the story is not authentic. The Charlotte television station whose website is referenced in the email, WBTV, has confirmed to TruthOrFiction.com that the story was carried on their station but that they were not prepared to serve as a source for the story or a place where emails should be sent. They do have a hotline about Asha at 704 476-3030.  Asha’s family had received invitations to appear on several national television programs to publicize the girl’s disappearance and to plead for help.  Also, the MISSING CHILDREN HELP CENTER of the NATIONAL MISSING CHILDREN DIVISION of the NATIONAL SAFETY COUNCIL included Asha in their online database.  See link below. This eRumor started circulating in 2000 when Asha disappeared.  As of 6/16/08, the last time we checked with the police, she was still missing. Updated 6/16/08 For more information: Missing Children Help Center Click “Posters of Missing Children” then do a search on the page for “Asha” or “Degree.” ","Prayers"
"Six-year-old Amanda Bundy needs prayer for a massive tumor-Previously Truth! Now Resolved!","2015-03-17 21:57:53","https://www.truthorfiction.com/amandabundy/"," Amanda Bundy is described as having a massive malignant tumor that has spread so widely that there is no organ untouched by it.  The prayer request says she’s hospitalized and waiting for test results. "," There really is an Amanda Bundy and there were fears about a growth that was discovered in her body. That was in 1998. After the prayer request was distributed, however, tests showed her growth was not cancer and it was successfully removed. The prayers were answered…but the emailed prayer request is still making the rounds of the Internet.  Her family has issued thanks for everyone’s concern. ","Prayers"
"Aaron Russell Steinmetz, missing in Florida-Once Truth! Now Resolved!","2015-03-17 21:45:58","https://www.truthorfiction.com/aaronsteinmetz/"," An email from Amanda Steinmetz of Summerfield, Florida, says her 3 1/2 year old son is missing and was last seen with his father. "," According to the Marion County Sheriff’s department and published reports, the boy was returned to his mother in 1999. Last updated 9/10/00 ","Prayers"
