"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Coke will give you free cans of soda for forwarding an email-Fiction!","2015-03-17 22:02:03","https://www.truthorfiction.com/coke/"," An email claims that if you’ll send a copy of it to as many people as you can, everybody on the list will receive four free cases of Coca-Cola. "," It’s not true.  It’s not possible.  Coke has denied it.  This is another of the rumors that plays into people’s fear that everything you do on a computer can be known by someone else.   There is no way Coca-Cola would be able to keep track of your having emailed other people about their product.  Every version of the rumor also says that you are to send it to as many people as you can and when you’re finished, a screen from Coke will pop up asking where you want the Coke sent.  The obvious problem with that is how would the Coke computer know when you were finished?  On their website, Coke talks about the rumor and says, “The Coca-Cola Company is not offering free cases of its products to people in the E-mail and is not attempting to build a database by asking consumers to forward the message to their friends.” For more information: The Coca-Cola website Go to “News” then the FAQ page. ","Promises"
"Free Cracker Barrel certificates for forwarded emails-Fiction!","2015-03-17 22:02:03","https://www.truthorfiction.com/crackerbarrel/"," Junior Johnson, the founder of Cracker Barrel, says he’s trying to reach the rural areas where his stores are not located.  If you forward his email to nine of your friends, you’ll receive authorization by email for a $50 gift certificate. "," This is a hoax.  The Cracker Barrel company says they don’t know who Junior Johnson is and that they are not giving gift certificates in response to forwarded emails. This is one of a large number of emails that are promising rewards for forwarding emails to others…none of which is true.  There is no practical way to track forwarded emails in this way. ","Promises"
"Make big money by purchasing and distributing “reports” at home-Fiction!","2015-03-17 22:02:02","https://www.truthorfiction.com/chain/"," This very long email promises that if you follow the instructions, you’ll be making big money.  You are to send $5 to each of the 5 names on a list and receive five “reports” that you will, in turn, be duplicating and sending to all the people who send you $5. You also send to them the same instructions, except that you replace one of the names on the list with yours.  The email includes references to several people who claim to have received large sums of money.  There are also assurances that the procedure is legal.  It claims to have been featured on a national television program and suggests checking with the Federal Trade Commission for verification. "," No matter how much it claims otherwise, this is a classic chain letter and if, as is suggested, you send and expect to receive anything of value through the U.S. Mail, such as $25, it’s illegal.  You could be in violation of Federal Law. Chain letters have been around for a long time, and have been illegal for a long time.  Originally, they merely asked for money and suggested you send money to others on the list.  Some people mistakenly (or fraudulently) say that if you are “selling” something, like the “reports” in this particular eRumor, it is not an illegal chain letter.  According to the Federal Trade Commission, chain letters that involve money or valuable items and promise big returns are illegal. If you start one or send one on, you could be breaking the law. Additionally, this not an example of legitimate multi-level marketing.  It’s merely a masquerade.  Multi-level-marketing can be a productive way for a person to participate in a business opportunity without a big investment.  The best multi-level options are from respected companies that have developed a good reputation, are not asking for a large financial investment to get into the company, and are legitimately marketing products.  Be wary of any that ask you for a large amount of money up-front, who seem to be encouraging you to make money by recruiting other people to give a large amount of money up-front, and who will not give you back whatever money you have paid if you want to pull-out. See TruthOrFiction.com’s special focus on Chain Letters For more information: The Federal Trade Commission ","Promises"
"Visit www.thebreastcancersite.com and provide mammograms for needy women-Truth!","2015-03-17 22:02:01","https://www.truthorfiction.com/breastcancersite/"," An email request says The Breast Cancer site is having trouble meeting their “quota” of donating a free mammogram each day to underprivileged women.  You are encouraged to visit the site and click a link that will help accomplish the goal. "," This story is true.  The Breast Cancer site at www.thebreastcancersite.com was founded to fund mammograms for women who would otherwise not be able to afford them.  When you go to the site, you’ll find a prominent pink button that says, “FUND FREE MAMMOGRAMS…Click Here.”   When you do, you will see links to various corporate sites that are making donations in exchange for the visibility.  There is not a “quota” but there are goals that the site has from month to month of how many mammograms it would like to see donated. ","Promises"
"Disney and Microsoft will pay you for forwarding an email about them-Fiction!","2015-03-17 21:57:58","https://www.truthorfiction.com/disneygates/"," This eRumor claims that Disney and Microsoft are beta-testing an email tracking system and if you forward it to others, you may win either $5,000 or a trip to Disneyworld. Some versions say the trip will be to Disneyland "," It’s a hoax.  There is no method being used on the Internet to track forwarded emails for the purpose of compensating anyone for it.  Neither Disney nor Microsoft is sponsoring it.  There is no such person as Walt Disney, Jr. ","Promises"
"You can make millions by transferring some money for a foreigner-Scam!","2015-03-17 21:40:57","https://www.truthorfiction.com/nigeriascams/"," There are numerous versions of this eRumor and they are multiplying.  They all involve a request or an offer from a foreigner that millions of dollars be allowed to pass through your bank or account and as a thanks for your help, you will receive a commission, usually 10 to 25 percent.  These emails are initially were directed at businesses and business owners but now try to appeal to anyone and there are some that are offers of donations to churches and other non-profit organizations. Also, a variation of the Nigerian Advance Fee Scam is targeting people who have merchandise for sale on the Internet (see below). "," This is one of the most common scams on the Internet right now and one of the top issues that we we receive inquiries about at TruthOrFiction.com. We’ll describe the scam in detail, but very simply, it consists of someone convincing you that a lot of money or an expensive prize is within your reach. At the last minute, however, you will be asked to advance some money to clear one last hurdle.  After that, neither the scammers nor your money are seen again. There are literally hundreds of different versions of this scam using many different names for the originator so if you may not see here the particular message that you may have received.  The bottom line is the nature of the offer made These scammers also approach victims through the mail, fax, and by telephone. According to the Secret Service, it is a scheme that predates the Internet.  It has become known as “The Nigeria Advance Fee Scam.”  It is also known as “Four-One-Nine”, referring to the Nigerian law for fraud.  The majority of the messages initially claimed to be coming from people in Africa, especially Nigeria, but now the emails seem to be coming from every part of the globe. There are several different scenarios presented in the messages. The most common one tells you that there are millions of dollars sitting idle from a business deal, a government action, or an inheritance, and all you need to do is agree to let the money be run through your bank account or to help invest it in the U.S., and you’ll get a commission, usually in the hundreds of thousands or millions of dollars. Another version of the scam targets non-profit organizations such as churches and says that a wealthy African has died and left millions of dollars to your group.  At least one U.S. church lost $90,000 to an advance-fee-crook. Other emails claim to have unclaimed cash from the terrorist attack on the World Trade Center in 2001 or inheritance money from a victim of the Pentagon attack on the same day. TruthOrFiction.com has also received reports from readers who responded to job ads and then were offered large amounts of money from foreigners along with the promise that than can keep a cut of it. There are also a number of reports of strange emails from foreigners who offer to buy an item for sale on the Internet.  In response to your listing to sell an expensive item such as exercise equipment, a boat, car, or airplane, you receive an email (frequently in poor English) from someone who says confidently he wants to buy it.  He asks for more information and says that he’s got either a Fedex account that can be used to send the merchandise or that he has an agent, a shipper, or someone else in the United States who will arrange for the product to be picked up and shipped.  He may even offer to pay more than your asking price and may also offer to pay with a cashier’s check or money order.  What happens, however, is that when you receive his payment, it is for several hundred or several thousand dollars more than agreed.  He explains that it was a clerical error and apologizes and asks you to simply send the difference back to him in whatever form you prefer.  Or he says that is the extra mount of money needed by his agent to arrange for the shipping and he asks that you give it to the agent when he contacts you.  His check to you, however, was bogus, but looks so real that you don’t find that out for several days.  You’ve been scammed and you can kiss the money you sent to him or his agent goodbye. It didn’t take long after the end of the war in Iraq in 2003 for a version to appear that claims to be from the former accountant of a son of Saddam Hussein. The scammers have also personally approached various professionals saying they want to build something like a medical center, sports stadium, factory, or commercial building.  The professional is eventually asked to pitch in some funds to get the project over a hurdle, and it all disappears. Watch out for people who say you’ve won contests or lotteries that you never entered, have funds for you from a transaction that you never arranged, that you have won a prize but you need to pay for the shipping, or who say they need your credit card or other financial information in order to complete the transaction. There are hundreds of other variations on those themes and, according to the U.S. Secret Service, thousands of people who have lost hundreds of millions of dollars.  The Secret Service receives an average of 100 phone calls and 300 to 500 pieces of correspondence per day about the advance fee scams and says that in 2001, there were reports from 2,600 Americans who said they’d been scammed.  Sixteen of them lost more than $300,000.  Many people who’ve lost money don’t report it. In August, 2006, Fox news reported that a Nigerian Advance Fee scam may have been a part of the money troubles between Tennessee minister Matthew Winkler and his wife Mary, who is accused of killing Matthew, allegedly after a heated argument about finances. The Secret Service says the approaches of the scammers may include proposals of: Disbursement of money from wills Contract fraud (C.O.D. of goods or services) Purchase of real estate Conversion of hard currency Transfer of funds from over invoiced contracts Sale of crude oil at below market prices Returning lost luggage to you that had several hundred thousand dollars cash in it. Here’s an example of what happens: 1.  You receive a request from a foreigner with the prospect of millions of dollars coming your way. 2.  You reply and through a series of exchanges via email, fax, and phone, you are presented with documentation and convincing proofs of the identities and the credentials of the people you are dealing with. 3.  You are asked to provide information about yourself or your company including letterhead, Social Security and other identification. 4.  You may be asked to come see them in person in their country, or they may ask to come see you. 5.  Very often, some strings will be pulled on your behalf such illegally getting you into the country that is your destination. 6.  Once you are feeling good about the transaction and can taste the millions of dollars in your bank account, there is a sudden complication.  You are told that the money is secure and ready to be transferred, but that in order to get it released, a government official needs to be bribed or a fee needs to be paid.  You are given a last-minute request to advance thousands or hundreds of thousands of dollars to get rid of the unexpected glitch.  Or, in the worst cases, you may actually be trapped in a foreign country and will have to pay your way out.  The amount of money the scammers ask for is based on how much they’ve learned about your assets.  If they think they can get hundreds of thousands or millions of dollars, that’s how much they’ll ask for.  If they know you can pay only a few thousand dollars, that’s how much they’ll ask for. 7.  You never see your money or the crooks again. One interesting note about the advance fee scams is that many of them admit that the money is stolen or the result of criminal activity such as overcharging companies who did business with the country.  That means that anyone who wants to get involved in the scheme has already agreed to participate in something that is “under the table”. That cuts down on the number of them who complain to authorities after it’s all over.  There are many wealthy individuals who would rather endure the loss of the money than to admit that they got scammed while participating in something slippery. The U.S. Secret Service says don’t respond to these communications but they’d like to hear from you if you’ve lost money to the scammers. CLICK HERE for the link. Updated 8/18/06 ","Promises"
"How to beat a traffic ticket-Fiction!","2015-03-17 20:42:37","https://www.truthorfiction.com/tickets/"," This    emails says that if you get a traffic ticket, write a check for a little    more than the amount of the fine.  When you receive a refund check    for the difference, don’t cash it.  That’s because the traffic    computers don’t regard your case as complete until all the paperwork is    done and the accounts are balanced, so even though you got a ticket and    paid it, that will not be put on your record, you’ll avoid the    “points” that can go against you for insurance. "," A ccording to the National Motorist’s Association, ( www.motorists.org ) this is a hoax.  NMA Spokesperson Eric Skrum tells TruthOrFiction.com, “We have had our members, activists, and lawyers look into this.  None have been able to find a place where this will work.” ","Promises"
"Forward an email, see a video of Britney Spears and Terrell Davis Dancing-Fiction!","2015-03-17 20:42:36","https://www.truthorfiction.com/spears-davis/"," The headline above says it      all.  This email says that if you forward it to 10 people, a      video will pop-up of Britney spears and Terrell Davis dancing      together. "," It’s a hoax. ","Promises"
"Special GI insurance dividend for veterans-Fiction!","2015-03-17 20:42:30","https://www.truthorfiction.com/gi-insuracedividend/"," The claim is that U.S. military veterans are eligible for a special insurance dividend passed by Congress.  You will not receive it unless you ask for it.  You are given a form to fill out and to send to an address in Philadelphia.  The eRumor outlines how much will be paid for  various terms of service in the military. "," According to the Veteran’s Administration, this is a false rumor that has been circulating in various forms since the 1960’s. The eRumor claims that Congress has passed legislation giving both current and former military personnel a dividend on GI insurance.  It outlines how much can be received for various years of military service…but specifies that if you don’t apply for it, you won’t get it. The VA says there is no such legislation and that the only dividends being paid are in response to active government life insurance policies. It does not appear to be a scam originated by crooks.  The VA calls it something that “well meaning” people have circulated in trying to help military veterans.  The eRumor does not ask for money but urges veterans to send a form to a post office box in Philadelphia that is an authentic Veterans Administration address. The VA says the original rumor that started in the 60’s made the same claim except that it applied to World War II veterans and their families. CLICK HERE for more info from the Veterans Administration. ","Promises"
"Free salads from McDonald’s-Fiction!","2015-03-17 20:42:29","https://www.truthorfiction.com/freesalad/"," This is an email with a colorful attachment that is a coupon or certificate for a free “Premium Salad” at McDonald’s. "," McDonald’s says this slick, professional-looking certificate is not valid. An official notice on their website says McDonald’s had nothing to with the coupon and that their company is investigating where it came from. It began circulating in April, 2003. Last updated 7/31/03 ","Promises"
