"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"University of Wisconsin Demands Students Wear Hijabs-Mostly Fiction!","2016-12-08 13:44:12","https://www.truthorfiction.com/university-wisconsin-demands-students-wear-hijabs/"," The University of Wisconsin-Madison forced female students to wear traditional Muslim hijabs during Islam Appreciation Week in Wisconsin, signaling the beginning of Sharia Law. "," Students at the University of Wisconsin-Madison volunteered to wear hijabs to help understand what it’s like to be a Muslim woman in American society — but nobody was forced to partake. Rumors that the University of Wisconsin demanded that students wear hijabs spread across fringe websites after the student newspaper, the Badger-Herald, ran a story about the “Hijabi for a Day” event in early December 2016. That rumor is wrong on two fronts. First, the “Hijabi for a Day” event was organized by a Wisconsin chapter of the Muslim Students Association for Islam Appreciation Week. Second, students weren’t forced to participate in it — the elected to do so voluntarily. The student group’s website describes the Hijabi for a Day event as such: An exciting opportunity for those who are interested in trying on a Hijab for the day. Come pick your Hijab up at 8:15 am at the Red Gym. Feel free to keep the Hijab on as long as you feel comfortable. Around 7 PM a reflection on the experience will take place in the MSC Lounge, so please come join us for this discussion! The student newspaper, the Badger-Herald , interviewed organizers and participants of the Hijabi for a Day event : Farhat Bhuiyan, one of the organizers of the event, said one of the main goals is to normalize Muslim female practices. She said hijabs don’t always mean that a person is Muslim, they often do. Throughout the day, Bhuiyan said she received both positive and negative feedback. She said that the negative feedback suggested it was cultural appropriation or offensive. Bhuiyan said those who feel negatively might not understand the point of the event. She responded to every message she received during the day, trying to explain the organization’s goals. At the end of the day, the women had an opportunity to reflect on the experiences and describe their feelings when wearing hijabs. In the end, claims that the University of Wisconsin, or anyone else, demanded that students wear hijabs for Islam Appreciation week are false. Some students did, however, volunteer to do so for the student-organized event. ","Religious"
"School Handing Out Donuts with Muslim Writing-Fiction!","2016-12-06 08:43:11","https://www.truthorfiction.com/school-muslim-donuts/"," A viral photo shows a donut with “Muslamic writing” that was apparently handed out by a school to children. "," Muslim writing does not appear on this donut — the script is actually Orkish, the language created by “Lord of the Rings” author J.R.R. Tolkien. It’s not clear exactly where the image originated, but it was shared thousands of times after being posted at the Lord of the Rings-themed Facebook page Modor First: Hundreds of people who commented on Modor First’s post recognized that the image was posted as a joke, and that there’s no such thing as “Muslamic writing,” the punch line was quickly lost on others as the image made its way around social media. But the text that appears around the edged of the donut isn’t Arabic or “Muslamic” writing — it’s the same text that appears on the outside of the all-important “One Ring” from J.R.R. Tolkien’s “The Lord of the Rings” trilogy: Translated from Tolkien’s invented Orkish language , the text on the outside of the ring (and donut) reads, “One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.” The original Lord of the Rings Donut appears to be a work of fan art made by artist Mirach Ravai: There are many examples of the “One Ring” donut posted from around the world, too. This photo of a so-called donut with Muslim writing is actually a donut emblazoned with the Orkish language from Lord of the Rings. ","Religious"
"Muslims Attack Christmas Tree in Mall-Fiction!","2016-12-05 14:04:22","https://www.truthorfiction.com/muslims-attack-christmas-tree/"," A viral video shows offended Muslims attacking a Christmas tree at a mall in Sweden. "," This video doesn’t show Muslims attacking a Christmas tree in Sweden — it shows Christians in Egypt engaging in an annual “tree plundering” celebration. The rumor started in mid-November 2016 when a video of a tree plundering celebration was misidentified as offended Muslims attacking a mall Christmas tree in a “western nation” on fringe and fake news websites: Ahh, the religion of peace and tolerance. Whenever Muslims move to Western nations they try to change everything about the culture to conform to sharia law. When they’re not doing that, they’re tearing down Christmas trees, because, Jesus, birth of the Son of God and all that. To them, Jesus is only a prophet, to Christians, He is God’s only son born of a woman. The video was quickly aggregated by other fringe websites that have been linked to fake news reports, and the mislabeled video of the mall Christmas tree was viewed hundreds of thousands of times by people who believed it actually showed “offended Muslims” attacking a mall Christmas tree in Sweden or a “western nation.” In reality, the video was originally posted by in January 2016 and it shows the inside of the Mall of Arabia Cairo in Egypt engaging in a local Christian tradition called “ tree plundering ” that dates back to the 1800s. Also known as looting the Christmas tree, the ceremony is traditionally held on January 13th each year, and it marks the end of the Christmas season. Ornaments are stripped from the tree, and edible decorates like candy and fruits are eaten — which appears to be what the video in question shows. The video clearly shows women and children taking ornaments from the tree while people wearing Santa hats and whistling look on. The video clearly doesn’t show angry Muslim men attacking the Christmas tree out of anger, as has been claimed. ","Religious"
"Pope Benedict XVI: Catholics Cannot Vote for Hillary Clinton-Truth! & Fiction!","2016-10-21 12:49:17","https://www.truthorfiction.com/pope-benedict-xvi-catholics-cannot-vote-hillary-clinton/"," Pope Benedict XVI supposedly wrote in a “blistering” letter in 2004 that Catholics cannot in good conscience vote for pro-abortion candidates like Hillary Clinton. "," It’s true that Pope Benedict XVI wrote about Catholics supporting pro-choice causes in  2004, but the church’s position isn’t that Catholics can’t morally support pro-choice candidates like Hillary Clinton. rumor appears to have started with Tell Me Now , a website that publishes a combination of factual, fictional and opinion-based articles with an anti-liberal slant, with a story appearing under the headline , “Pope Benedict XVI Forbids Catholics from Voting for Hillary!” The story cites a 2004 letter written by Cardinal Joseph Ratzinger , who became Pope Benedict XVI in 2005, titled “Worthiness to Receive Holy Communion.” The letter addresses whether those who support issues like abortion and euthanasia can receive Holy Communion. The letter doesn’t name Hillary Clinton or any other candidate by name, and Tell Me Now selectively edited the letter to make it appear that Pope Benedict XVI was specifically talking about Cahtolics supporting political candidates: The Church teaches that abortion or euthanasia is a grave sin. The Encyclical Letter Evangelium vitae, with reference to judicial decisions or civil laws that authorize or promote abortion or euthanasia, states that there is a “grave and clear obligation to oppose them by conscientious objection. […] In the case of an intrinsically unjust law, such as a law permitting abortion or euthanasia, it is therefore never licit to obey it, or to ‘take part in a propaganda campaign in favour of such a law or vote for it’” (no. 73). Christians have a “grave obligation of conscience not to cooperate formally in practices which, even if permitted by civil legislation, are contrary to God’s law. Indeed, from the moral standpoint, it is never licit to cooperate formally in evil. […] This cooperation can never be justified either by invoking respect for the freedom of others or by appealing to the fact that civil law permits it or requires it” (no. 74). Pope Benedict XVI advised priests in the letter to meet with parishioners who support or vote in favor of laws permitting abortion or euthanasia and to instruct them about the church’s stance on these issue. The letter says priests should warn parishioners that they may be denied the Eucharist for continuing their support: Regarding the grave sin of abortion or euthanasia, when a person’s formal cooperation becomes manifest (understood, in the case of a Catholic politician, as his consistently campaigning and voting for permissive abortion and euthanasia laws), his Pastor should meet with him, instructing him about the Church’s teaching, informing him that he is not to present himself for Holy Communion until he brings to an end the objective situation of sin, and warning him that he will otherwise be denied the Eucharist. Cardinal Mario Popedda, the retired head of the Apostolic Signature (known as the Vatican’s supreme court), said in 2005 that it would be “formal cooperation in evil” to vote for a candidate solely because of  their support of abortion or euthanasia — but that’s rarely, if ever, the case because decisions are far more nuanced than that, Fr. Charles Irvin wrote : “I would be cautious in applying the word ‘sin,’ which implies intentionality. It would be more accurate to speak of risk or imprudence,” he said. “Of course, whoever votes for a ‘pro-abortion’ candidate assumes a responsibility, but it does not necessarily involve sin as an immediate consequence,” he said. The cardinal said a Catholic voter might choose such a pro-abortion candidate as a “lesser evil, when there are no candidates who respond more fully to his scale of values. He might choose him, let’s say, for other aspects of his (political) program that the voter supports.” Catholics who do vote for such a politician might carry out their own pro-life responsibilities in other ways, for example, by working against abortion through political or cultural initiatives, he said. “I think that rarely or never is there a candidate who presents himself solely on the basis of his support for abortion. And I think it’s very unlikely that a voter would vote for him solely for this reason,” he said. For his part, Pope Francis declined to endorse either Clinton or Trump in the election. Rather, he advised Catholic voters to “study the issues, pray and then vote your conscience,” the Associated Press reports : Francis was asked Sunday en route home from Azerbaijan how he would counsel the American faithful who are being asked to choose between Democrat Hillary Clinton and Republican Donald Trump. Francis said he would never interfere in an election campaign, saying “the people are sovereign.” “I’ll just say this: Study the proposals well, pray, and choose in conscience.” So, while the Catholic church’s views on support for pro-choice candidates appears to be open for discussion, claims that church leaders have said Catholics cannot morally support pro-life candidates solely for that reason are false. ","Religious"
"Bill Perkins on Religious Leaders Meeting with Trump-Authorship Confirmed!","2016-09-06 09:39:49","https://www.truthorfiction.com/bill-perkins-religious-leaders-meeting-trump/"," Bill Perkins of Compass International wrote a commentary on Donald Trump’s meeting with more than 1,000 Christian leaders from across the United States. "," Bill Perkins of Compass International wrote this commentary about Donald Trump meeting with 1,000 Christian leaders in June. The story appeared at a website maintained by Compass International , a non-denominational evangelical non-profit group that focuses on outreach and mission work, under the headline, “Trump Meets with Evangelical Christian Leaders” and begins: This was a fascinating day in New York City as over 1000 Christian leaders from all over the U.S. gathered to ask Donald Trump tough specific questions about his policy and intentions should he be elected POTUS. The event organizers originally requested Dallas, Texas as a middle-of-the-nation location to hold a private, get some private time with Trump event, hoping to attract some 200-300 national Christian leaders. But the only opening on Trump’s schedule was in NYC for 20 minutes, 30 days out. So they took it. A screening committee, scouring the Internet, sent out invitations to about 1000 Christian leaders. Because the high expense of flying into and staying in NYC, and the date less than 30 days away, they reserved a room for only 100 people at the Marriott Marquis in Times Square. Each person who accepted the invitation then had to be vetted, and ultimately ok’ed by the Secret Service. Once cleared, you were notified by phone. I got two sets of phone questions about my work with Compass and when finally approved, had 10 days to make plans. (I’m sure I was at the end of the list!!) But despite receiving the late notices, the response to attend was off-the-charts. Almost everyone who they invited accepted the invitation. And some who were left off the original list apparently lobbied for inclusion. Ultimately there were over 1000 who hastily changed their schedules to attend. Perkins goes on to write that Christian heavyweights like James Dobson, Ralph Reed, David Jeremiah, Tony Perkins and Robert Jeffress attended and questioned Trump about a range of national issues: Through it all, Trump answered each of our questions with solid answers, both acknowledging the problem cited and how he would take care of the problem. He seemed to be genuinely concerned about changing the direction of the nation. Trump addressed many subjects including the Supreme Court, national defense, border problems, Christian persecution, his pro-life stance, support of Israel, dumping Obamacare, education control back to the states and energy. All with conservative positions and answers. The event that Perkins appears to be describing was called “A Conversation with Donald Trump.” Former Arkansas Governor Mike Huckabee moderated the event, and Ben Carson participated as well. Perkins’ commentary can be viewed here . Dr. Billye Brim of Eagle Mountain International Church wrote a summary of the event that be viewed here . ","Religious"
"NFL QB Colin Kaepernick Converts to Islam, Refuses to Stand for National Anthem-Unproven!","2016-08-30 09:26:53","https://www.truthorfiction.com/nfl-qb-colin-kaepernick-converts-to-islam-refuses-to-stand-for-national-anthem/"," It’s been rumored that NFL quarterback Colin Kaepernick converted to Islam months before he refused to stand for the singing of the National Anthem in protest of racial inequality. "," Rumors that Colin Kaepernick has converted to Islam can’t be confirmed at this time. The San Francisco 49ers quarterback made waves in August 2016 when he refused to stand for the singing of the National Anthem in an effort to spark debate about racial inequality and needed criminal justice reforms, Kaepernick explained in a statement : “I am not going to stand up to show pride in a flag for a country that oppresses black people and people of color. To me, this is bigger than football and it would be selfish on my part to look the other way. There are bodies in the street and people getting paid leave and getting away with murder.” Kaepernick’s statement sparked plenty of debate about patriotism, the national anthem and athletes’ role in social issues. The debate also drudged up unproven rumors from July 2016 that Kaepernick had converted to Islam, and that his protest was in some way connected to his new faith. Those rumors started after Kapernick posted a message from his official Istagram account wishing Muslims who had been fasting during Ramadan a “Happy Eid”: Kaepernick didn’t indicate that he himself had been fasting for Ramadan in the post, or that he had converted to Islam, but the post immediately sparked rumors that he had. Infotainment websites like Media Takeout (MTO) News and the Terez Owens sports gossip blog reported that Kaepernick had converted to Islam, due in large part to his girlfriend, MTV host Nessa Diab. These stories both credited unnamed “people close to the player” for their scoop, and it’s impossible to confirm of debunk unnamed sources. It should be noted, however, that MTO News has an ambiguous disclaimer that states its stories are presented “as is” with no claim of truth or accuracy. And the Terez Owens story included photos in which Kaepernick’s head had been photoshopped onto the bodies of Osama bin Laden and an ISIS terrorist. Nevertheless, these blog sites were cited as evidence that Kaepernick had converted to Islam by fringe websites like the Conservative Daily Post and the Conservative Tree House and Info Wars . We couldn’t find any credible information about what religion, if any, that Kaepernick practices. That’s why we’re calling this one “unproven.” ","Religious"
"Dr. Jim Garlow on the 2016 Election-Commentary!","2016-08-26 12:46:58","https://www.truthorfiction.com/dr-jim-garlow-2016-election/"," A commentary on the 2016 election written by Dr. Jim Garlow of Skyline Church in San Diego has gone viral. "," We can confirm that Pastor Jim Garlow of Skyline Church wrote this commentary on the 2016 election. The commentary appeared at Charisma magazine’s website on August 11th under the headline, “If You’re on the Fence About Your Vote, This Pastor Clarifies How the Very Future of America Is at Stake.” In the commentary, which has been shared nearly 1 million times, Garlow lists 18 points that argue in favor of voting for Donald Trump and other Republicans in the 2016 election. Click here to read the entire commentary . These points are all based on Gallow’s personal beliefs and observations, so we’re not going to fact check them. Galow has been the senior pastor at Skyline Church, a member of the Wesleyan denomination, since 1995, according to its website. ","Religious"
"Elevation Church Debuts Water Slide Baptism-Fiction!","2016-08-03 13:06:21","https://www.truthorfiction.com/elevation-church-debuts-water-slide-baptism/"," Elevation Church in Charlotte, North Carolina, has debuted a water slide baptismal. "," Reports of baptismal water slide at Elevation Church are works of satire. The story first appeared at The Babylon Bee on August 2nd under the headline, “Elevation Church Debuts Water Slide Baptismal,” that reports : Pastor Steven Furtick took the stage under a single spotlight, and after some coy banter, he reportedly announced that it was “Baptism Sunday,” but that this was “not your Mama’s Baptism Sunday.” At this cue, a giant water slide, stretching from the balcony down to a small pool of water, was unveiled from behind a large curtain as the worship band began performing TLC’s 1994 hit “Waterfalls.” Those, like Marie Dotwiler, who had been ushered to the new entrance were directed one-by-one into the orange contraption and, with a push, sent hurtling toward the waters of baptism in screaming identification with the death and resurrection of Jesus Christ. The church had hired auctioneers to stand along the sides of the slide and speedily utter the phrase, “I baptize you in the name of the Father, Son, and Holy Spirit” as the unsuspecting congregants whooshed by into the pool below. The story quickly spread to social media, where readers didn’t have access to the disclaimer in the website’s footer that states, “The Babylon Bee is your trusted source for Christian news satire.","Religious"
"Vatican No Longer Believes Jesus is Coming Back-Fiction!","2016-07-27 13:55:16","https://www.truthorfiction.com/vatican-no-longer-believes-jesus-coming-back/"," Reports that the Vatican has announced that the second coming of Jesus may not happen after all have gone viral "," A fake news website is behind rumors that the Vatican has urged Christian followers to maintain their faith even though the second coming of Jesus may no longer happen. The story first appeared online at Waterford Whispers News , a satirical website, in April 2014. The story, which appeared under the headline, “Jesus Not Coming Back By the Looks of it, Admits Vatican,” has been shared on social media more than 225,000 times. The story begins: A SPOKESPERSON for the Vatican has officially announced today that the second coming of Jesus, the only son of the God, may not happen now after all, but urged followers to still continue with their faith, regardless of the news. Cardinal Giorgio Salvadore told WWN that this years 1,981st anniversary is to be the Vatican’s last in regards to waiting for the Lord to return to Earth. “We just feel Jesus is not coming back by the looks of it.” he said. “It’s been ages like. He’s probably flat out doing other really good things for people somewhere else.” Waterford Whispers News clearly identifies itself as “a satirical newspaper and comedy website” — not a credible source of news. However, a similar story resurfaced in July 2016 when the website Real Time News re-reported the story under the headline, “’Jesus Is Not Coming Back, He Was Drunk When He Said So’ – Roman Catholic Leaders Say.” Real Time News doesn’t clearly identify itself as a fake news or entertainment website, but the story is still a fake one. Reverend Joseph Osei-Bonsu, the president of the Ghana Catholic Bishops Conference, has even directly addressed claims that Christian believers should no longer expect Jesus to return to Earth: The Most Rev Osei-Bonsu, who is also the Bishop of the Konongo-Mampong Diocese, said no one knew the time of Christ’s return, as was written in Mark 13:32, “But of that day or that hour no one knows, not even the angels in heaven, nor the Son, but only the Father.” He explained that ‘that day’ clearly referred to the Parousia, the return of Christ at the end of time, and stated that if neither the Son (Jesus) nor the angels knew the time of the second coming, how would any Cardinal, or any person for that matter, know? On claims in the publication that Jesus was drunk at the time He made the prediction, the Most Rev Osei-Bonsu said there was no evidence in the Bible, or anywhere else, that Christ was “drunk” when he made that statement. “The publication is just malicious and blasphemous and I would urge all Catholics and, indeed, all Christians, to ignore it and treat it with the contempt that it deserves,” he said. Given that this story came from fake news websites and a Catholic Bishop directly refuted its claims, we’re calling this one fiction. ","Religious"
"Pope Francis Shocks World By Endorsing Donald Trump-Fiction!","2016-07-21 09:04:44","https://www.truthorfiction.com/pope-francis-shocks-world-endorsing-donald-trump/"," Pope Francis has endorsed Donald Trump after the FBI declined to bring charges against Hillary Clinton because, the Pope said, a strong rule of law is the backbone of America’s government. "," Pope Francis hasn’t endorsed Donald Trump. That rumor started with a story that appeared at the fake news website WTOE 5 News under the headline, “Pope Francis Shocks World, Endorses Donald Trump for President, Releases Statement.” The statement that the Pope supposedly released reads: “I have been hesitant to offer any kind of support for either candidate in the US presidential election but I now feel that to not voice my concern would be a dereliction of my duty as the Holy See. A strong and free America is vitally important in maintaining a strong and free world and in that sense what happens in American elections affects us all. The Rule of Law is the backbone of the American government as it is in any nation that strives for freedom and I now fear that the Rule of Law in America has been dealt a dangerous blow. The FBI, in refusing to recommend prosecution after admitting that the law had been broken on multiple occasions by Secretary Clinton, has exposed itself as corrupted by political forces that have become far too powerful. Though I don’t agree with Mr. Trump on some issues, I feel that voting against the powerful political forces that have corrupted the entire American federal government is the only option for a nation that desires a government that is truly for the people and by the people.  For this primary reason I ask, not as the Holy Father, but as a concerned citizen of the world that Americans vote for Donald Trump for President of the United States.” The story was quickly shared nearly 70,000 times on Facebook. Taken out of context, many of its readers believed that it was true. However, WTOE 5 News is one of many fake news websites that is designed to look like a television news station. The site’s disclaimer clearly states, “WTOE is a fantasy news site.” In reality, Pope Francis and Donald Trump engaged in a public feud earlier this year after the Pope said that anyone who wants to build a border wall was “not a Christian” ","Religious"
