"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"Latest Facebook Hack Arises Between Comments on Your Contacts’ Posts-Fiction!","2016-07-29 14:16:07","https://www.truthorfiction.com/latest-facebook-hack-arises-comments-contacts-posts/"," Posts about “the latest Facebook hack” warn users that hackers are posting offensive messages or pornography “between the comments” on  contacts’ pages that appear to come from your account. "," While it’s very possible for rogue apps or malware to post offensive comments under your name, we couldn’t find any instances of this so-called “latest Facebook hack” actually happening. The post warns that hackers have been able to post offensive content between the comments on a contact’s post so that it appears to have come from your account. Even worse, the post warns, these offensive comments are impossible for you to see, which “can create hurt and misunderstandings” between you and your contacts. Again, we couldn’t find any examples of that actually happening. It’s impossible for offensive content to be posted “between the comments” unless a rogue app or malware infect your Facebook account. And, while that’s a very real threat, it’s not a “new hack” at all. Malware has been known to post content (including porn and offensive comments) with its victims’ accounts since the beginning of Facebook. Malware also tags its victims contacts in these posts to trick other people into clicking on links that will infect their devices with the same virus. If you notice unauthorized posts or comments coming from your account, immediately click the “V” dropdown icon in the upper right hand corner and remove any friends that have been tagged. Then, delete the post and check your apps to locate the source of malware. Follow these steps to remove any suspicious applications. And, if you find malware installed on your device, run a full scan with an antivirus program using these helpful tips . ","Viruses"
"Safeway Offers $55 Coupon for 100th Anniversary-Fiction!","2016-07-05 12:50:27","https://www.truthorfiction.com/safeway-offers-55-coupon-100th-anniversary/"," Safeway is offering a $55 coupon on purchases of $60 or more to celebrate the retailer’s 100th anniversary. "," This $55 Safeway coupon is a scam. The coupon went viral on Facebook in early July 2016. In order to redeem the coupon, customers were directed to an outside, third-party website that asked them to like and share the post on Facebook in order to redeem the $55 coupon. Like most offers that sound too good to be true, however, this one is a scam. Safeway issued a statement on its Facebook page when asked about $55 coupon: Unfortunately, this coupon is fraudulent. Our team is aware that this has been posted, and is working very diligently on getting it removed. We apologize for any inconvenience this may have caused. These types of scams are typically used to get their victims to provide their personal information, which can then be sold to third-parties are used to enroll them in expensive prescriptions without their consent. Or, these types of scams can also be used for “like farming,” a scam in which a fake offer for products or services is used to entice people to “like” a page so that it can be sold to third-parties for a profit because of its increased visibility. We’ve investigated many fake coupons for companies like Home Depot , Lowes and Aldi , just to name a few. To prevent falling victim to scams like these, make sure that any offers you redeem come directly from a company’s official website or social media account. Also, keep in mind that reputable companies will never ask for personal information via social media.","Viruses"
"WhatsApp Gold or WhatsApp Plus Download Offer-Scam!","2016-06-03 11:31:53","https://www.truthorfiction.com/whatsapp-gold-or-whatsapp-plus-download-offer/"," WhatsApp users have been offered a download for “WhatsApp Gold,” a premium that includes additional features like video calling and updated emojis. "," The WhatsApp Gold download offer is a scam that could infect your phone with malware. The scam emerged in May and had gone viral by early June. Users reported receiving offers for WhatsApp Gold or “a golden version” of the popular messaging application that had previously been available only to celebrities. Clicking on the link to download the premium version of WhatsApp will infect your phone with malware that could allow criminals to steal your data or track your movements, the Independent reports . In its FAQ section , WhatsApp also warns of a similar scam called “WhatsApp Plus.” The application was not developed by WhatsApp: The developers of WhatsApp Plus have no relationship to WhatsApp, and we do not support WhatsApp Plus. Please be aware that WhatsApp Plus contains source code which WhatsApp cannot guarantee as safe and that your private information is potentially being passed to 3rd parties without your knowledge or authorization. Please uninstall your application and install an authorized version of WhatsApp from our website or Google Play. After the 24 hour count down ends you will be able to use WhatsApp. In order to protect yourself from similar scams never rely on second or third-hand information about new updates or features that float around social media. Always get your information directly from the developer’s website, and never click on a third-party link to download a “premium” version of anything. ","Viruses"
"Kohls Coupon $75 off $80 Purchase-Scam!","2016-05-24 09:26:48","https://www.truthorfiction.com/kohls-coupon-75-off-80-purchase-scam/"," A Kohls coupon on Facebook claims that shoppers will get $75 off a purchase of $80 or more if they follow a series of steps to redeem the coupon. "," This Kohls coupon for $75 a purchase of $80 is a scam. In order to redeem the coupon, shoppers are told to “share” it and then click an external link that looks very similar to Kohls’ website, but is slightly different: Scammers often create website URLs that look very similar to those of businesses, and the extra “-AR” on the end of this one is a telltale sign of that. Always make sure that online coupons are coming from official Facebook accounts or company websites — not third-party ones like this one. ","Viruses"
"Warnings About “Sonia Disowns Rahul” Video Virus-Reported as Fiction!","2016-03-17 13:46:15","https://www.truthorfiction.com/warnings-sonia-disowns-rahul-video-virus/"," Warnings that users should not accept a video called “Sonia Disowns Rahul” because it contains a virus that will format your phone has gone viral on social media. "," We weren’t able to find any credible reports of the “Sonia Disowns Rahul” virus, so we’re reporting this one as fiction. Warnings about the Sonia Disowns Rahul video began circulating in early March on Facebook, Twitter and other social media platforms. The “warning,” which has been repeated in different forms, reads: ***WARNING*** Tell all contacts from your list not to accept a video called the “Sonia disowns Rahul”. It is a virus that formats your mobile. Beware it is very dangerous. They announced it today on the radio. Fwd this msg to as many as you can. There aren’t any credible reports from radio stations or other media outlets about the so-called virus. The language is suspiciously similar to the “dance of the Pople” false virus warning that was widely circulated in 2015 as well. Click here to read our previous coverage on that one. These false warnings could very well come from another country since they appear to have been written by someone who speaks English as a second language. Also, it’s not clear what it would mean for a virus to “format your mobile,” or exactly what it means to “accept a video.” Given all that, we’re calling this one fiction. ","Viruses"
"Turbo Clean PC Free Download Offer-Virus!","2016-01-26 13:12:35","https://www.truthorfiction.com/turbo-clean-pc-free-download-offer/"," A so-called “PC Optimizer” called Turbo Clean PC offers a free download that can supposedly boost the speed of your computer by eliminating errors and helping it to operate cleanly. "," Whether or not Turbo Clean PC can actually help your computer run faster is open for debate, but downloading it can definitely damage your computer, and the “free download” offer is misleading at best. First, Turbo Clean PC downloads are often packaged with harmful malware installers that can harm your computer and encrypt your data. Second, the “free download” will only scan your operating system; you’ll have to pay for the full download to fix any problems. Third, there’s evidence that Turbo Clean PC won’t actually help your computer run faster at all. Let’s take a step back and look at Rainmaker Software Group, Turbo Clean PC’s Delaware-based developer. The company released an earlier PC optimizer called Pro PC Cleaner that has been widely described as adware and malware. Symantec Corporation describes Pro PC Cleaner as “a misleading application (rogue software) designed to display false information, such as claiming your system is infected with malicious threats or other system errors” to get users to buy unneeded software to remove threats that don’t exist. Entering “Pro PC Cleaner” into Google returns nothing but customer complaints and instructions to remove it from computers. That might be why Rainmaker Software Group shifted its focus to a similar application with a different name, Turbo Clean PC. Once you download the free version of Turbo Clean PC, it will scan your operating system and compile a lengthy list of system errors and threats. The blog site Spyware-Techie investigated and found that the list of threats and errors are “misleading and suspicious.” It includes temporary files, folders and register entries that “do not affect your operating system in any way.” But, in order to fix the so-called errors, you’ll be prompted to buy the full version of Turbo Clean PC. Spyware-Technie also notes that Turbo Clean PC is often spread through bundled installers, which pose serious malware threats: Such means of distribution are often used by malware developers to spread their intrusive software; thus, there is a chance that your PC could be already infected with some other malicious program if this questionable application is already operating on your computer. Make sure to check the %APPDATA% folder for any dubious files or folders as this directory is known to be used by malicious software most often. Also, you should analyze your registry system for any questionable keys or values. To avoid such potentially harmful instance, you should avoid all third-party download websites as they are well-known to provide setup files filled with suspicious software. Also, you should always have a professional antimalware tool active on your PC at all times as it can notify you about any suspicious installers or websites in advanced. VirusResearch.org stopped short of saying that Turbo Clean PC does not work at all, or that it will damage your computer if it’s downloaded directly from the developer. The site did, however, note that four reputable anti-virus engines have flagged Turbo Clean PC as a threat. Given all that, we’re going to classify this one as a virus. It’s best to avoid downloading the program all together, but if you already have, click here for instructions on how to uninstall it. ","Viruses"
"“Dance of the Pope” Virus Affects Mobile Phones-Fiction!","2015-04-07 17:17:38","https://www.truthorfiction.com/dance-of-the-pope-virus-affects-mobile-phones/"," Social media posts warn that a video or gif called “dance of the pope” contains a virus that erases data from mobile phones. "," There isn’t a “dance of the pope” virus infecting mobile phones. The rumor started in early 2015 on the WhatsApp messaging app. By mid-April, it was spread to social media sites and was shared millions of times in a post that warned: “URGENT: Tell all contacts from your list not to accept a video called the dance of the Pope. It is a virus that formats your mobile. Beware it is very dangerous. They announced it today on the radio. Pass on to as many as you can. It was announced on the radio in USA.” There’s no record of a radio station warning listeners about the virus. There also haven’t been any first-hand accounts from people whose phones were infected with the virus. The eRumor likely started overseas because “dance of the pope” isn’t how Americans speak. The post also says that the warning was “on the radio in USA,” which means whoever wrote it was in a different country. Another version of the eRumor claims that BlackBerry Messenger (BBM) had issued the warning about the “dance of the pope” video. That’s also not true, according to the company’s website . ","Viruses"
"“Facebook Invitation”, “Black in the White House,” “Invitation” or “Olympic Torch” Virus Warning-Fiction!","2015-03-17 21:40:54","https://www.truthorfiction.com/invitation/"," The forwarded email warns of a new virus that comes in an email with an attachment called “Black in the White House,” Windows Live Update,” “Invitation” or “Olympic Torch.”  It allegedly contains a virus that “opens an Olympic Torch” and destroys your hard drive. "," Update 04/06/14: The latest version of this hoax now warns to be aware of software updates claiming to come from Microsoft for Windows Live.   Microsoft does not send out email notifications when update software are available and will never initiate such a contact with users of their products. The software company uses an update protocol through the Internet that is built into the Windows  operating system. Nevertheless, it is always a good practice to never click on links in emails that come from strangers. When in doubt, go straight to the software website and look for the support section. Update 07/19/13: A new version of this warning under the subject “Black Muslim in the White House” began circulating in July. Same warning as all the past versions. Update 09/22/11: A new version of this warning has begun circulating about the popular network site Facebook saying that the Invitation will burn the whole hard disc on computer C: drives. Update 04/05/10: A new version of this fictitious virus warning is back in circulation saying not to open any attachment called “Black in the White House.”   This virus warning, which originally began circulating at the opening of the 2006 Winter Olympics in February, is a hoax. There is no such virus. One of the clues that the eRumor is a hoax is that it borrows language from another classic virus hoax. The reference to CNN, the description that Microsoft has classified it as “the most destructive virus ever,” the contention that it was discovered “yesterday” by McAfee, and the reference to the “Zero Sector” of the hard disc are all wording borrowed from a classic Internet virus hoax about “ A Card for You .” Posted 09/22/11    Updated 04/06/14 ","Viruses"
"Warning that a message offering pictures of Osama Bin Laden’s death areviruses-Truth! and Fiction!","2015-03-17 20:42:34","https://www.truthorfiction.com/osama/"," There are at least a couple of versions of this eRumor.  One warns that an email that claims to include pictures of Osama Bin Laden’s suicide is actually designed to trick you into opening a file that contains a virus.  Another says that it’s the worst virus every known and will crash your hard drive. "," Update 5/1/11: Osama Bin Laden was shot and killed by Navy Seals in a military operation to apprehend him on May, 1, 2011.  The terrorist’s identification was confirmed by DNA and the body was buried at sea within 24 hours of death, in accordance to Muslim tradition. At this time there are no known photographs that have been released.   Faked photos haven been circulating the Internet about 2 hours after the news of his death.   Some could be virus infected. Click for more details . There is no Osama Bin Laden suicide or any suicide photos, but one of the emails claiming to have the pictures is actually carrying a virus. The goal of the email is to trick recipients into clicking the attached file. That unleashes a Trojan Hose type virus that makes it possible for the virus writers to take over your computer and use it as a messenger for reaching other computers.  It is similar to the Anna Kournikova virus that circulated before this one and tried to lure recipients into clicking the file by offering nude photos. The folks at Sophos Anti-Virus classed it as VBS/Nedal-A and say it’s been around since 2002.  For more details, go to: http://us.mcafee.com/virusInfo/default.asp?id=description&virus_k=99686 In June, 2002, a corrupted version of this Osama Bin Laden warning started circulating along with a virus warning that is an old hoax.   It claimed that if you opened the attachment to the Osama Bin Laden email you would get a virus that will destroy your hard drive.  That is not true.  Then the eRumor also talks about an “Invitation” or “Olympic Torch” virus, which does not exist and is a hoax. Updated 5/1/11 ","Viruses"
"Life is Beautiful Virus-Fiction!","2015-03-17 20:42:32","https://www.truthorfiction.com/lifeisbeautfiul/"," A forwarded email that warns about a horrible virus known as “Life is Beautiful.” "," This is a hoax that seems never to       die. It first appeared in our files in 2002. There is no such virus, but this is one of the most widely       circulated virus warnings. ","Viruses"
