"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The   .Truth.","category"
"President Obama Apologized for Dropping Atomic Bombs on Japan-Fiction!","2016-05-31 09:46:21","https://www.truthorfiction.com/president-obama-apologized-dropping-atomic-bombs-japan/"," As America honored fallen soldiers on Memorial Day weekend, reports that President Obama visited Hiroshima to apologize for dropping an atomic there to end World War II fueled outrage on social media. "," President Obama became the first sitting U.S. president to visit Hiroshima since an atomic bomb was dropped there in August 1945 — but reports that he apologized are false. Obama visited the Hiroshima Peace Memorial Museum on May 27th and laid a wreath in Hiroshima Peace Memorial Park in remembrance of those killed by the atomic bombs that ended World War II. That sparked accusations that the president was on an “apology tour” — which has been a running theme among his critics throughout Obama’s presidency. However, according to transcripts of public remarks that Obama delivered in Hiroshima , he never offered an apology. Rather, he used the visit to warn against the danger of nuclear proliferation. Obama opened his speech with this explanation of his visit: Seventy-one years ago, on a bright cloudless morning, death fell from the sky and the world was changed. A flash of light and a wall of fire destroyed a city and demonstrated that mankind possessed the means to destroy itself. Why do we come to this place, to Hiroshima? We come to ponder a terrible force unleashed in a not-so-distant past. We come to mourn the dead, including over 100,000 Japanese men, women and children, thousands of Koreans, a dozen Americans held prisoner. Their souls speak to us. They ask us to look inward, to take stock of who we are and what we might become. Later in his speech, Obama indicated that his visit to Hiroshima was part of a larger call for the world’s powers to draw down nuclear stockpiles and to end nuclear proliferation: That is why we come to this place. We stand here in the middle of this city and force ourselves to imagine the moment the bomb fell. We force ourselves to feel the dread of children confused by what they see. We listen to a silent cry. We remember all the innocents killed across the arc of that terrible war and the wars that came before and the wars that would follow. Mere words cannot give voice to such suffering. But we have a shared responsibility to look directly into the eye of history and ask what we must do differently to curb such suffering again. Some day, the voices of the hibakusha will no longer be with us to bear witness. But the memory of the morning of Aug. 6, 1945, must never fade. That memory allows us to fight complacency. It fuels our moral imagination. It allows us to change. So, claims that President Obama apologized for dropping an atomic bomb on Hiroshima are false. ","War"
"Trump Gave $25,000 to Veteran Freed from Mexican Jail-Truth!","2016-05-24 10:11:54","https://www.truthorfiction.com/trump-gave-25000-marine-freed-mexican-jail/"," Donald Trump wrote a check for $25,000 to a former Marine named Andrew Tahmooressi who spent seven months in a Mexican jail after illegally crossing the border with weapons and ammunition. "," It’s true that Donald Trump gave $25,000 to retired Marine Sgt. Andrew Tahmooressi to help him “get back on his feet” after his release from a Mexican jail. Tahmooressi was arrested by Mexican officials in 2014 after they found three loaded weapons and ammunition in his pickup truck on the Mexican side of the border. Tahmooressi’s mother said her son had post-traumatic stress disorder from two tours in Afghanistan and President Obama drew criticism for not proactively seeking Tahmooressi’s release. In November 2014, a Mexican judge granted Tahmooressi’s release because of his mental state, CBS News reports . Donald Trump announced via Twitter that he had written a check for $25,000 to Tahmooressi: Trump told FOX News at the time that he wrote the check because he felt bad after watching an interview with him. ","War"
"Owen John Baggett Killed Japanese Pilot in Mid Air-Reported as Truth!","2016-03-15 14:32:05","https://www.truthorfiction.com/owen-john-baggett-killed-japanese-pilot-mid-air/"," Owen John Baggett, a pilot who flew B-24s in World War II, shot and killed a Japanese pilot with a revolver while he parachuting to the ground from his destroyed airplane. "," By all accounts, it’s true that Owen John Baggett killed a Japanese pilot while parachuting to the ground during World War II. There are accounts of Owen John Baggett’s legendary feat circulating in blog posts, emails and discussion forums. Many of these can be traced back to a profile on Baggett that appeared in Air Force Magazine . The legend goes that 2nd Lt. Owen J. Baggett was dispatched along with the 7th Bomb Group’s 9th Squadron to destroy a bridge near a Japanese base halfway between Rangoon and Mandalay in Burma on March 31, 1943. Baggett was the copilot of a B-24 bomber, and 1st Col. Lloyd Jansen was the pilot. When the plane was severely damaged by enemy fighters, Jansen gave the order for the crew to bail out, which Baggett conveyed through hand signals because the intercom had been destroyed. Baggett parachuted from the plane, and, Air Force Magazine reports: The Japanese pilots immediately began strafing the surviving crewmen, apparently killing some of them and grazing Lieutenant Baggett’s arm. The pilot who had hit Baggett circled to finish him off or perhaps only to get a better look at his victim. Baggett pretended to be dead, hoping the Zero pilot would not fire again. In any event, the pilot opened his canopy and approached within feet of Baggett’s chute, nose up and on the verge of a stall. Baggett, enraged by the strafing of his helpless crewmates, raised the .45 automatic concealed against his leg and fired four shots at the open cockpit. The Zero stalled and spun in. After Baggett hit the ground, enemy pilots continued to strafe him, but he escaped by hiding behind a tree. Lieutenant Jensen and one of the gunners landed near him. All three were captured by the Burmese and turned over to the Japanese. Sergeant Crostic also survived the bailout. Baggett and Jensen were flown out of Burma in an enemy bomber and imprisoned near Singapore. The Japanese held Owen Baggett prisoner for more than two years. Air Force Magazine cites three pieces of evidence to support claims that Baggett shot the Japanese zero pilot while he parachuted to the ground: A few months later, Col. Harry Melton, commander of the 311th Fighter Group who had been shot down, passed through the POW camp and told Baggett that a Japanese colonel said the pilot Owen Baggett had fired at had been thrown clear of his plane when it crashed and burned. He was found dead of a single bullet in his head. Colonel Melton intended to make an official report of the incident but lost his life when the ship on which he was being taken to Japan was sunk. Two other pieces of evidence support Baggett’s account: First, no friendly fighters were in the area that could have downed the Zero pilot. Second, the incident took place at an altitude of 4,000 to 5,000 feet. The pilot could have recovered from an unintentional stall and spin. There was no official report of Baggett shooting a zero pilot from mid air, but Air Force Magazine concluded that “there appears to be no reasonable doubt” that legends of Baggett’s valor are true. Owen Baggett died in 2006. His obituary told of his time in the Air Force, and of the time he shot down a Japanese Zero with a handgun. Still, the obituary says that Baggett’s biggest accomplishment was he “survived the horrors of the war and his interment without bitterness or hatred.” The obit reads: COL. OWEN JOHN BAGGETT, USAF, RET Col. Owen Baggett died at peace and with dignity July 27, 2006 in New Braunfels, TX. Born August 29, 1920 in Graham, Texas to John M. and Mary Pearl Baggett, he was always quick with a smile and a kind word. He never met a stranger, and was loved by many. He relished his activities as Drum Major for the Hardin Simmons University Cowboy band, and made many lifelong friends during his years there. He received some fame for shooting down a Japanese Zero with a revolver while hanging from a parachute after his B-24 bomber was shot down, and he subsequently spent 2-1/2 years as a Prisoner of War at Changi prison camp in Rangoon, Burma during World War II. The essence of the man, however, is that he survived the horrors of war and his internment without bitterness or hatred. Enduring starvation and torture showed the strength of his body, but it is by his forgiveness of his tormentors that truly reveals the strength of his soul. He will be deeply missed by all those he touched. He is survived by his daughter, Diana Farrar of San Antonio, TX, his former wife, Pat Baggett of Kerrville, TX, cousin Pauline Morton of Archer City, TX her son Gary, his wife Carin and daughter Ana of Austin, TX, cousin Ken Garrett of Redwing, MN, his son Jim and daughter Ellie, cousin Julia Garrett of Roanoke, VA., numerous second cousins and countless friends. A memorial service celebrating his life will be held at 10:00 a.m. on Tuesday, August 1 at the Doeppenschmidt Funeral Home in Canyon Lake, Texas, with internment at 9:15, Wednesday August 2 at Fort Sam Houston in San Antonio, TX. ","War"
"The True Military Record of John McCain-Truth! & Fiction!","2015-07-23 07:48:43","https://www.truthorfiction.com/the-true-military-record-of-john-mccain/"," A viral email that claims to tell about “the true military record of John McCain” argues that the Arizona senator isn’t a true war hero. "," Claims about John McCain’s fall can be classified as “all of the above.” They’re true, false and unproven. Many of these claims surfaced during the 2008 presidential election. Then, the rumors resurfaced in July 2015 after Donald Trump, a 2016 presidential contender, said McCain was only considered a war hero because he had been captured during the Vietnam War. That idea first appeared in a blog post titled, “The True Military Record of John McCain, Written By an Active Marine” in 2008. But the so-called “active Marine” that penned the blog is unnamed, so we can’t verify its authorship. Everyone’s definition of a “war hero” varies, but the blog post makes a number of direct accusations about McCain’s war record that can be fact checked and verified: McCain Became Squadron Commander Because of Family Connections- Fiction! It’s not true that John McCain was “promoted to squadron commander of the airfield named after his own grandfather immediately after crashing his third airplane.” McCain was promoted to squadron commander at Cecil Field in Jacksonville, Florida, in 1976 — after he spent five years in captivity at the “Hanoi Hilton” in North Vietnam. Also, the crash in North Vietnam was his fifth crash as an airman, not his third. The claim that Cecil Airfield was named after his grandfather is also false. McCain’s paternal grandfather’s name was John McCain Sr ., and his maternal grandfather was named Archie Wright . However, McCain’s father and grandfather were both decorated airmen. McCain Was Awarded 28 Medals After Spending 20 Hours in Combat- Unproven! & Fiction! There’s no record of exactly how many hours McCain spent flying combat missions in the Vietnam War. He was, however, shot down and captured while flying his 23rd combat mission on October 26, 1967. Also, the Navy unsealed John McCain’s military record in 2008, and it revealed that he had received 17 awards and decorations during his career — not 28, as the eRumor claims: McCain attended the U.S. Naval Academy from 1954 to 1958, and was commissioned as an ensign in June of that year. He retired in April 1981 with the rank of captain. In that time he received 17 awards and decorations. Besides the Silver Star Medal, McCain also received the Legion of Merit with a combat “V” and one gold star, a Distinguished Flying Cross and a Bronze Star Medal with a combat “V” and two gold stars. Several citations mention his achievements either as a prisoner or as a lieutenant commander flying bombing runs off the deck of the USS Oriskany. Some are signed by then-Secretary of the Navy John Warner, who would become a colleague of McCain’s in the Senate. The citation for his Distinguished Flying Cross sums up McCain’s misfortune the following day: “Although his aircraft was severely damaged, he continued his bomb delivery pass and released his bombs on the target. When the aircraft would not recover from the dive, Commander McCain was forced to eject over the target.” Years later, as his Navy career approached its end, McCain received the Legion of Merit Medal. By then, his missions were in the halls of Congress as a liaison to the Senate from the Navy’s Office of Legislative Affairs. He was praised for providing Navy leaders “with sage advice and sound judgment for enacting critical legislation during a period of severe fiscal constraint.” McCain Finished Near the Bottom of His Class at the U.S. Naval Academy- Truth! It’s true that John McCain graduated near the bottom of his class at the U.S. Naval Academy in 1958. Some reports say that he graduated 790th out of 795 students. McCain alluded to his academic record there during a commencement speech in 1997: This is quite an unexpected honor for a Naval Academy midshipman who graduated fifth from the bottom in the Class of ’58. All those years ago, when I was a midshipman, I indulged in the normal daydreams of a young man about what kind of honors awaited me later in life. These rumors about John McCain’s military records aren’t likely to go away anytime soon, but some have persisted for years even though they can easily be proven false. ","War"
"Jade Helm 15 Military Training Exercise Prep for Martial Law, World War III-Fiction!","2015-03-20 18:52:37","https://www.truthorfiction.com/jade-helm-15-military-training-exercise-prep-for-martial-law-and-world-war-iii/"," A real military training exercise called Jade Helm 15 is designed to prepare the military to impose martial law, or to prepare them for World War III. "," There’s no proof that Jade Helm 15 is anything more than a standard military training exercise. The U.S. Army Special Operations Command (USSOCOM) has headed up the Jade Helm 15. It’s set to be held in seven southwestern states from July to September of 2015, according to unclassified documents : “(Jade Helm) is a challenging eight-week joint military and interagency (IA) Unconventional Warfare (UW) exercise conducted throughout Texas, New Mexico, Arizona, California, Nevada, Utah and Colorado. “(Jade Helm) is a USSOCOM sponsored exercise to improve the Special Operations Forces’ UW capability as part of the National Security Strategy.” Elite military units like the Green Berets and Navy SEALS will take part in the exercise, along with local officials that are invited to participate. The documents explain that much of the exercise will be held in Texas: “The USSOCOM has conducted numerous exercises in Texas because Texans are historically supportive of efforts to prepare our soldiers, airmen, marines and sailors to fight the enemies of the United States. “To hone advanced skills, the military and interagency require large areas of undeveloped land with low population densities with access to towns. The proposed areas offer the conditions conducive to quality training because of real obstacles to challenge joint and interagency personnel during planning and execution of their tasks.” Thomas Mead, the operations planner for Jade Helm 15, offered more information about the training exercise when asked commissioners in Goliad County, Texas, for permission to move forward, mySouTex.com reports : “This allows our soldiers to get a better training environment,” Mead said. “You can only do so much in a military environment. You don’t really get a true interaction with the public. “We have Army Green Berets, Navy Seals, Marine Special Operations Command, the 82nd Airborne Division and we also have some of our interagency partners such as the DEA, FBI and the joint personnel recovery agency that will be working with us. “We’re getting these guys back into the woods,” Mead said. “We’re getting them back into the field to make it hard for them.” Mead said that neighbors in the area could expect to see an increase in air traffic at night, and that the exercise may result in noise complaints. Mead added that some of the participants would have weapons with blank ammunition and would be wearing civilian clothes. A video posted on YouTube titled, “Red Dawn and the New World Order” fueled speculation about the Jade Helm 15 exercise. In the video , a narrator reads through planning documents and encourages viewers to speculate about what each page could mean. Speculation aside, there’s no proof that Jade Helm 15 is anything more than a normal military training exercise. TruthorFiction.com has reached out to military officials for more information about the Jade 15 exercise. Future updates will be posted here. ","War"
"Baker Company photo tribute to 9-11-Truth!","2015-03-18 21:45:40","https://www.truthorfiction.com/bakertributeto9-11/"," This one is a picture that shows Marines in a formation that spells the message “9-11, WE REMEMBER” when taken from the air. "," According to an article in The Herald of Rock Hill, South Carolina, this picture was taken September 11, 2003, the second anniversary of the Attack on America. It is a group of Baker Company Marines who were still in Iraq on that date. One of them, 1st. Lt. Andrew Shoemaker, wrote to his father, “”It is in remembrance of those that gave the ultimate sacrifice on September 11, and the reason that no matter how long we are here, we will continue to push and never forget why we serve,””It is in remembrance of those that gave the ultimate sacrifice on September 11, and the reason that no matter how long we are here, we will continue to push and never forget why we serve.” ","War"
"Iraqi statue honoring American soldiers-Truth!","2015-03-18 20:42:31","https://www.truthorfiction.com/kalat/"," A picture of a statue of an American soldier kneeling in honor of a fallen comrade and being comforted by an Iraqi child.  The accompanying text says the statue is in Iraq and was made by the same Iraqi artist who did some of the statues of Saddam Hussein and were constructed from melted Saddam statutes. "," According to an article in ARNEWS, the Army News service, this eRumor is true. ARNEWS says the sculptor’s name is Kalat. He was forced to fashion statues of Saddam Hussein including some that were later destroyed by U.S. military explosives. The bronze pieces of the statues were sent to Kalat and he made the memorial using a picture of a U.S. soldier, 1st Sgt. Glen Simpson, kneeling as a model. According to ARNEWS, Kalat worked with another artist on the Saddam Hussein statutes, but designed and fashioned the U.S. model on his own. It’s on display in Iraq and is destined to eventually be on display at Fort Hood, where it will become part of a larger memorial project at the 4th Inf. Div. museum. updated 09/01/04 ","War"
"Mass Re-enlistment on July 4th-Truth!","2015-03-18 18:06:26","https://www.truthorfiction.com/massreenlistment/"," A re-enlistment swearing in ceremony was held July 4, 2008 at Al Faw Palace, Baghdad, Iraq officiated by General Petraeus.   The email begins with a complaint that news of this failed to get stateside owing to a news media that does support the US intervention in Iraq. "," 1215 men and women participated in the swearing in ceremony recommitting themselves to the war against terror and all together, the service members pledged more than 5,500 years of additional service to their country.  We checked various news sources including the Los Angeles Time and MSNBC where we found this story posted.   In our investigation we discovered two official press releases posted by the Army. One of the press releases mentioned that a married couple, Sergeants Ryan and Erika Lowe, considered the importance of starting a family with stability and the benefits that the Army provides as good reasons for their re-enlistment in Iraq. Sergeants Ryan and Erika Lowe “What other job could you see all the places in the world we have seen,” said Lowe (Ryan), who is reenlisting with his wife to be stationed together in Brussels, Belgium for their next assignment with NATO. Beside stability, benefits and the ability to travel all over the world the Lowe’s said they love being Noncommissioned Officers (NCO) and that is another reason they elected to stay in the Army. “I like working with Soldiers and seeing them grow in their skills as military police,” said Erika. “Building up Soldiers is a great experience and just being an NCO is one of the reasons why I elected to stay in,” said Ryan. CLICK for DOD press release CLICK for Army press release CLICK for Youtube Video of the swearing in ceremony Updated 08/14/08 ","War"
"Camel spiders in the gulf-Truth!","2015-03-18 18:06:19","https://www.truthorfiction.com/camelspider/"," Photo of a gigantic spider allegedly caught by military members serving in Iraq. "," We haven’t tracked down exactly who took this picture or when and where, but the chances are good that it’s authentic. Camel spiders are real, are large, and are in the Middle East including Iraq. They don’t get as big as a man’s leg, however, as appears in this picture. The photo, if authentic, was taken at close range as is indicated by the hand and cuff of the soldier that are visible in the upper right. Also, it appears to be a picture of two spiders. Some pictures of camel spiders first came from soldiers headed for Iraq but who encountered them in Kuwait. There are some urban legends about camel spiders that claim they scream when they run, that they can run as fast as 25 miles-per-hour, and that they climb onto the undersides of camels and eat their stomachs. According to the experts we’ve consulted, they do not make any noise, they do run very fast but not 25 miles-per-hour, they are primarily nocturnal, they do not eat camel stomachs, and their bite can sting or produce numbness, but is not lethal. Last updated 4/5/04 ","War"
"Advances in Iraq Since the Iraq War of 2003-Truth!","2015-03-17 22:02:07","https://www.truthorfiction.com/iraqadvance/"," An accounting of several advances in Iraq since the U.S.-led war in Iraq in 2003. "," There are a couple of versions of this eRumor. Most of this is taken from a news conference on October 9, 2003, by Paul Bremer, the Coalition Provisional Authority Administrator. The press conference marked six months since the operation began. Another version has a much longer list of accomplishments in Iraq but with no particular source for them. CLICK HERE for the complete text of the news conference from the Provisional Authority website. Last updated 12/1/04 ","War"
