Plastic Rice Being Sold in China, Nigeria, Jamaica-Unproven!			https://www.truthorfiction.com/plastic-rice-sold-china-nigeria-jamaica/			2016-12-14T13:47:01+00:00
Warnings About Shark Finning-Truth!			https://www.truthorfiction.com/warnings-shark-finning-truth/			2016-08-17T14:53:23+00:00
General Mills Gold Medal Flour Recall-Truth!			https://www.truthorfiction.com/general-mills-gold-medal-flour-recall/			2016-06-01T12:59:26+00:00
Budweiser Being Renamed “America”-Mostly Fiction!			https://www.truthorfiction.com/budweiser-being-renamed-america/			2016-05-10T14:53:50+00:00
Coca-Cola Has Recalled Dasani Water Due to Parasite Worms-Fiction!			https://www.truthorfiction.com/coca-cola-recalled-dasani-water-due-parasite-worms/			2016-04-19T15:14:30+00:00
Dr Pepper Saying Goodbye in Summer 2016-Fiction!			https://www.truthorfiction.com/dr-pepper-saying-goodbye-summer-2016-fiction/			2016-04-18T17:54:45+00:00
Chic-fil-A Offers Free Meal for New Mothers-Truth! & Fiction!			https://www.truthorfiction.com/chic-fil-offers-free-meal-new-mothers/			2016-04-11T07:33:37+00:00
Cadbury Drops the Word Easter From Packaging-Mostly Fiction!			https://www.truthorfiction.com/cadbury-drops-word-easter-packaging/			2016-03-25T12:10:13+00:00
Bumble Bee Tuna Recall Involves Human Remains Mixed into Tuna-Fiction!			https://www.truthorfiction.com/bumble-bee-tuna-recall-involves-human-remains-mixed-into-tuna/			2016-03-21T13:58:53+00:00
Banana and Kiwi Grow Together-Fiction!			https://www.truthorfiction.com/banana-kiwi-grow-together/			2016-03-18T13:20:21+00:00
Wendy’s Employee Arrested for Pooping in Chili-Fiction!			https://www.truthorfiction.com/wendys-employee-arrested-pooping-chili/			2016-03-14T11:16:02+00:00
Halos Cuties Are Grown Using Toxic Waste Water-Disputed!			https://www.truthorfiction.com/halos-cuties-grown-using-toxic-waste-water/			2016-03-10T13:49:55+00:00
Lipton Tea Bags Are Filled With Worms-Fiction!			https://www.truthorfiction.com/lipton-tea-bags-are-filled-with-worms/			2016-02-24T08:07:50+00:00
Parmesan Cheese Contains Wood Pulp-Fiction!			https://www.truthorfiction.com/parmesan-cheese-contains-wood-pulp/			2016-02-18T13:48:39+00:00
Heinz Ketchup Banned in Israel; It Doesn’t Contain Enough Tomatoes			https://www.truthorfiction.com/heinz-ketchup-banned-in-israel-it-doesnt-contain-enough-tomatoes/			2016-02-17T08:33:03+00:00
Rat Meat Sold as Chicken Wings-Fiction!			https://www.truthorfiction.com/rat-meat-sold-as-chicken-wings/			2016-02-11T12:23:26+00:00
McDonald’s Hamburgers Won’t Rot for Years-Truth! & Misleading!			https://www.truthorfiction.com/mcdonalds-hamburgers-dont-rot-for-years/			2016-02-09T13:18:13+00:00
Supermarkets Treat Meat with Carbon Monoxide-Truth! & Fiction!			https://www.truthorfiction.com/supermarkets-treat-meat-with-carbon-monoxide/			2016-01-13T12:11:33+00:00
Warnings About Expired Cake Mix-Truth! & Misleading!			https://www.truthorfiction.com/warnings-about-expired-cake-mix/			2016-01-13T11:37:05+00:00
Eating Carrots Improves Your Vision-Truth! & Fiction!			https://www.truthorfiction.com/eating-carrots-improves-your-vision/			2016-01-06T11:03:59+00:00
Cold Stone Creamery Offers Discounts to Pregnant Women-Truth! & Fiction!			https://www.truthorfiction.com/cold-stone-creamery-offers-discounts-to-pregnant-women/			2015-12-30T07:56:24+00:00
Legal Drinking Age Being Raised to 23 in February-Fiction!			https://www.truthorfiction.com/legal-drinking-age-being-raised-to-23-in-february/			2015-12-10T10:02:36+00:00
Burger King Uses Horse Meat-Fiction!			https://www.truthorfiction.com/burger-king-uses-horse-meat/			2015-12-03T13:02:45+00:00
Dick Smith Warns of Halal Certification Extortion-Fiction!			https://www.truthorfiction.com/dick-smith-warns-of-halal-certification-extortion/			2015-12-02T14:06:17+00:00
Video Shows Women Drinking Helium Infused Wine-Fiction!			https://www.truthorfiction.com/video-shows-women-drinking-helium-infused-wine/			2015-11-30T10:36:06+00:00
Chipotle Uses Dog and Cat Meat, Will Close All Restaurants-Fiction!			https://www.truthorfiction.com/chipotle-uses-dog-and-cat-meat-closing-all-restaurants/			2015-11-18T08:15:43+00:00
Patti LaBelle Sweet Potato Pie Kills Hundreds-Fiction!			https://www.truthorfiction.com/patti-labelle-sweet-potato-pie-kills-hundreds-fiction/			2015-11-16T09:42:48+00:00
Helium Infused Beer For Sale in the U.K.-Fiction!			https://www.truthorfiction.com/helium-infused-beer-for-sale-in-the-u-k/			2015-11-16T09:23:41+00:00
Beware of Bananas Injected with HIV Blood-Fiction!			https://www.truthorfiction.com/beware-of-bananas-injected-with-hiv-blood/			2015-11-10T14:11:55+00:00
Jesus Has Been Removed from Starbucks Christmas Cups, Sparking a War on Christmas-Mostly Fiction!			https://www.truthorfiction.com/jesus-removed-from-starbucks-christmas-cups-sparking-a-war-on-christmas/			2015-11-09T07:51:34+00:00
Starbucks is Giving Away Free Lifetime Passes to Celebrate its Anniversary-Fiction!			https://www.truthorfiction.com/starbucks-is-giving-away-free-lifetime-passes-to-celebrate-its-anniversary/			2015-11-02T13:42:54+00:00
Barefoot Cellars Giving Away Wine on Facebook-Fiction!			https://www.truthorfiction.com/barefoot-cellars-giving-away-wine-on-facebook/			2015-10-27T12:21:42+00:00
Human DNA Found in Hotdogs-Truth! & Misleading!			https://www.truthorfiction.com/human-dna-found-in-hotdogs/			2015-10-27T11:47:42+00:00
Leftover Onions are Poisonous Because They’re Magnets for Bacteria-Mostly Fiction!			https://www.truthorfiction.com/leftover-onions-are-poisonous-because-theyre-magnets-for-bacteria/			2015-10-20T08:51:03+00:00
DEW Bottled Water Has Caused 180 Deaths in Nigeria-Fiction!			https://www.truthorfiction.com/dew-bottled-water-has-caused-180-deaths-in-nigeria/			2015-10-20T08:49:39+00:00
Burger King Halloween Whopper Turning Skin Black-Fiction!			https://www.truthorfiction.com/burger-king-halloween-whopper-turning-skin-black/			2015-10-08T14:02:17+00:00
Nabisco Is Moving to Mexico-Truth! & Fiction!			https://www.truthorfiction.com/nabisco-is-moving-to-mexico/			2015-09-29T17:01:27+00:00
Claims about Cadbury, Other Certified Halal Products Sold in Australia-Truth! & Fiction!			https://www.truthorfiction.com/claims-about-cadbury-other-certified-halal-products-sold-in-australia/			2015-09-25T10:56:03+00:00
Walmart Has Recalled 7 Tons of Bananas Infested with Parasitic Worms-Fiction!			https://www.truthorfiction.com/walmart-has-recalled-7-tons-of-bananas-infested-with-parasitic-worms/			2015-08-18T10:51:32+00:00
American Restaurant Allowed to Sell Dog Meat-Fiction!			https://www.truthorfiction.com/american-restaurant-allowed-to-sell-dog-meat/			2015-08-12T13:53:53+00:00
Samuel Adams Set to Release New Helium Beer-Fiction!			https://www.truthorfiction.com/samuel-adams-set-to-release-new-helium-beer/			2015-08-12T13:27:35+00:00
Tyson Foods Plans to Cut U.S. Jobs, Import Chicken from China-Fiction!			https://www.truthorfiction.com/tyson-foods-plans-to-cut-u-s-jobs-import-chicken-from-china/			2015-08-11T10:19:52+00:00
Woman Finds Tongue-Eating Parasite in a Can of Tuna-Fiction!			https://www.truthorfiction.com/woman-finds-tongue-eating-parasite-in-a-can-of-tuna/			2015-08-06T09:53:38+00:00
McDonald’s Coffee Contains French Fry Grease-Fiction!			https://www.truthorfiction.com/mcdonalds-coffee-contains-french-fry-grease/			2015-07-31T13:28:26+00:00
Woman Finds Tongue-Eating Parasite in a Can of Tuna-Fiction!			https://www.truthorfiction.com/woman-finds-tongue-eating-parasite-in-a-can-of-tuna-2/			2015-07-28T08:12:39+00:00
Burger King Introduces “Proud Whopper” to Celebrate Gay Rights-Truth! & Outdated!			https://www.truthorfiction.com/burger-king-introduces-proud-whopper-to-celebrate-gay-rights/			2015-07-10T18:16:33+00:00
Aspartame Is Made from GM Bacteria Excrement-Truth! & Misleading!			https://www.truthorfiction.com/aspartame-is-made-from-gm-bacteria-excrement/			2015-07-02T18:13:31+00:00
A Dog Meat Festival is Held Each Year in Yulin, China-Truth!			https://www.truthorfiction.com/a-dog-meat-festival-is-held-each-year-in-yulin-china/			2015-06-22T18:49:56+00:00
Deadly Brazilian Wandering Spider Found in Bananas-Reported as Fiction!			https://www.truthorfiction.com/deadly-brazilian-wandering-spider-found-in-bananas/			2015-06-22T18:47:05+00:00
KFC Served a Fried Rat to Customer-Unproven!			https://www.truthorfiction.com/kfc-served-a-fried-rat-to-customer/			2015-06-19T14:44:00+00:00
China Injects Crabs with Toxic Preservative Formalin-Fiction!			https://www.truthorfiction.com/china-injects-crabs-with-toxic-preservative-formalin/			2015-05-26T13:18:27+00:00
FDA Finds Skittles Laced with Cocaine – Fiction!			https://www.truthorfiction.com/fda-finds-skittles-laced-with-cocaine/			2015-05-23T10:33:08+00:00
Urine in Arizona Tea-Fiction!			https://www.truthorfiction.com/urine-in-arizona-tea/			2015-04-28T19:48:07+00:00
Fetal Cells Are Ingredients in Food and Drinks-Fiction!			https://www.truthorfiction.com/fetal-cells-are-ingredients-in-food-and-drinks/			2015-04-17T15:24:48+00:00
Canine Carry Outs Dog Treats Poison Dogs with Antifreeze-Fiction!			https://www.truthorfiction.com/canine-carry-outs-dog-treats-poison-dogs-with-antifreeze/			2015-04-01T09:17:29+00:00
Pepsi Cuts “Under God” from Pledge of Allegiance on Cans-Fiction!			https://www.truthorfiction.com/pepsi-cuts-under-god-from-pledge-of-allegiance-on-cans/			2015-03-30T18:08:51+00:00
Halal Meat at Costco-Unproven!			https://www.truthorfiction.com/costco-halal-meat/			2015-03-30T18:06:20+00:00
McDonald’s Uses Worm Meat Fillers-Fiction!			https://www.truthorfiction.com/mcdonalds-worm-burgers/			2015-03-29T18:06:26+00:00
