"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"The Buffet Rule and the Congressional Reform Act of 2017-Mostly Fiction!","2016-11-22 08:06:38","https://www.truthorfiction.com/buffet-rule/"," A chain email that has been in circulation since at least 2011 discusses Warren Buffet’s five-minute plan, known as the “The Buffet Rule,” to fix Congress for good. Tho "," During a 2011 interview, Warren Buffet said he could end the federal deficit and fix Congress in less than five minutes using what has become known as “The Buffet Rule” — but Buffet’s reps later said he wasn’t making a serious policy proposal. Buffet made the comment that gave rise to “The Buffet Rule” email during an interview with CNBC’s Becky Quick. And the comment has since been attached to chain emails and blog posts about the Congressional Reform Act. Recently, the Buffet Rule has begun trending again with claims about the Congressional Reform Act of 2017 (more on that later). The exchange came during a discussion about the federal deficit and congressional turmoil as Democrats and Republicans faced a budget standoff that later resulted in the federal government temporarily shutting down: BUFFETT: And that’s a real question and the question is whether you’re better off making decisions on those things at the point of a gun or whether there’s enough maturity in a Congress that they face this, just like they faced 120 percent debt of GDP back after World War II. You know, we’ve got… BECKY: But these problems — these problems aren’t new. These problems aren’t problems that have built up over decades and there hasn’t been a Congress that’s been mature enough or a president that’s been mature enough to take this head on. BUFFETT: I can — I can— I can end the deficit in five minutes. BECKY: How? BUFFETT: You just pass a law that says that any time there’s a deficit of more than 3 percent of GDP, all sitting members of Congress are ineligible for re-election. Yeah. Yeah. Now you’ve got the incentives in the right place, right? So it’s capable of being done. And they’re trying to use the incentive now we’re going to blow your brains out, America, you know, in terms of your— of your— in terms of your debt worthiness over time, and that’s being used as a threat. A more effective threat would be just to say if you guys can’t get it done, we’ll get some other guys to get it down. And incidentally, we had— we had Simpson-Bowles, you know, almost eight or 10 months ago. Buffet’s “proposal” to pass a law that says sitting members of Congress can’t seek reelection if the federal deficit is more than 3 percent of GDP immediately went viral. It appears that Buffets quote, or at least a version of Buffet’s quote, was attached to the beginning of a chain email about the 2011 Congressional Reform Act that was already in widespread circulation. However, a representative from Buffet’s Berkshire-Hathaway company later told the Wall Street Journal in an email that Buffet had proposed the “Buffet Rule” to prove a point about the effectiveness good incentives — not to make a serious policy proposal: In an email, a Berkshire spokeswoman said that the company has heard from quite a few people who have received the chain letter, but that (and this is a shocker) Buffett had never suggested someone start one. In fact, the spokeswoman wrote that he never even meant it as a serious proposal and just wanted to emphasize the importance of proper incentives. And CNBC later updated a story on Quick’s interview with Buffet to clarify that his proposal would be extremely difficult to carry out because the very people who would lose their jobs because of it (congressmen) would be the ones who’d have to approve it: An attorney in St. Louis, Jarrad Holst, points out by email that there is a way to enact Buffett’s idea without the cooperation of Congress. Under Article V of the U.S. Constitution, a “Convention for proposing Amendments” is convened when called for by the legislatures of two-thirds of the states. A proposed amendment would then need to be ratified by the legislatures of three-quarters of the states. If that happens, and it is a very, very big if, Buffett’s deficit plan would become the law of the land. That process would, however, take more than five minutes. And we thoroughly investigated the email’s specific claims about the Congressional Reform Act back in 2011 and found every one of them to be “fiction.” You can read our entire report here. By the end of 2016, however, the rumor was circulating yet again. This time, the exact same points were being attached to the so-called Congressional Reform Act of 2017. So, although emails about the Buffet Rule and the Congressional Reform Act go viral at the beginning of each year, they’re all based on the same claims that are “mostly fiction.” ","Business"
"Ford Moves Manufacturing from Mexico to Ohio after Trump Win-Mostly Fiction!","2016-11-17 08:08:35","https://www.truthorfiction.com/ford-moves-manufacturing-mexico-ohio-trump-win/"," After Donald Trump won the 2016 presidential election, Ford Motor Company announced that it would move its manufacturing operations from Mexico to Ohio. "," Ford has shifted production of some of its trucks from Mexico to Ohio — but the change happened in August 2015, more than a year before Donald Trump was elected president. Various websites re-reported the story to make it appear that Trump’s election had led to Ford shifting production of its full-size F-650 and F-750 trucks from Mexico to a plant in Avon Lake, Ohio. The site Viral Liberty , for example, re-reported the 2015 story under the headline, “Trump Wins the Presidency & Ford Shifts Truck Production from Mexico to Ohio.” However, large portions of that story were lifted from an August 2015 report filed by CNN Money Ford’s heavy duty pickup trucks which used to be built in Mexico started rolling off an assembly line in Ohio this week. That’s good news for the 1,000 Ford workers in Ohio, who might have otherwise been out of work. It’s also good publicity for Ford (F), which has been under fire for investing so much in Mexico. In April, the automaker said it would invest $2.5 billion in transmission plants in the Mexican states of Chihuahua and Guanajuato, creating about 3,800 jobs there. …”Our investment…reinforces our commitment to building vehicles in America,” said Joe Hinrichs, Ford president, The Americas. “Working with our partners in the UAW, we found a way to make the costs competitive enough to bring production of a whole new generation of work trucks to Ohio.” But although Ford’s decision to move some of its truck production from Mexico to Ohio didn’t have anything to do with Trump being elected president — Trump was a vocal critic of Ford’s $2.5 billion investment in Mexico back in 2015, and he was credited at the time for shedding light on the issue, the Detroit News reports : Trump, who announced his plans to run at an appearance in New York on Tuesday, vowed to impose 35 percent taxes on imported Ford vehicles and parts coming from the new Mexican plant. Trump said he would call Ford CEO Mark Fields — whom he identified only as “the head of Ford” — to explain the “bad news.” “Let me give you the bad news: every car, every truck and every part manufactured in this plant that comes across the border, we’re going to charge you a 35 percent tax — OK? — and that tax is going to be paid simultaneously with the transaction,” Trump said. “They are going to take away thousands of jobs.” The good news ends there, however. After Trump’s election, Fields said the company would continue its plans to move some of its manufacturing operations to Mexico despite threats by President-elect Trump to impose tariffs, BBC reports : But the Ford boss said a levy on car imports would hurt the US economy. “A tariff like that would be imposed on the entire auto sector that could have a major impact on the US economy,” Mr Fields told reporters at the Los Angeles auto show. “I continue to think that the right policies will prevail because we continue to share the same objective which is a healthy and vibrant US economy,” he said. Ford has previously said it would shift production of its US-produced Focus and C-Max models to a new facility in Mexico by 2018. Mr Fields said on Tuesday it was moving the Focus to make room for two new products in Michigan. He also expressed support for free trade deals like Nafta, echoing comments from BMW chief executive Harald Krueger last week. Given that a 2015 story was re-reported as breaking news after Trump was elected in 2016, and that Ford has said it will continue on with plans to move some manufacturing to Mexico despite Trump’s election, we’re calling this one “fiction.” ","Business"
"PepsiCo CEO Indra Nooya Bashes Donald Trump-Misleading!","2016-11-15 14:26:26","https://www.truthorfiction.com/pepsico-ceo-indra-nooya-bashes-donald-trump/"," PepsiCo CEO Indra Nooya’s comments about Donald Trump, racism and sexism after the 2016 election have led to calls for a boycott of Pepsi products. "," PepsiCo CEO Indra Nooya’s comments about Donald Trump and the 2016 presidential election have  been taken out of context. A day after the 2016 presidential election, Nooya appeared at the New York Times Dealbook Conference in Manhattan, and her appearance can be viewed in its entirety here . Bits and pieces of Nooya’s comments have been taken out of context and reframed to make it appear that she was speaking out against Donald Trump’s election, but that’s not necessarily the case. At the start of her appearance, Nooya, a vocal supporter of Hillary Clinton throughout the 2016 campaign, was asked how she felt about the results of the election. She replied: Do you have a box of tissues? First of all, I want to congratulate President-elect Donald Trump. Because the election is over, I think we should mourn, for those of us who supported the other side. But we have to come together. Life has to go on. What did I do yesterday? First of all, I had to answer a lot of questions from my daughters, from my employees. They were all in mourning. The question that they’re asking, especially those who are not white, is “are we safe?” Women are asking are we safe? LGBT are asking are we safe? I never thought I would have to answer those questions. So, the first thing we have to do, is to assure everybody in the United States is that they’re safe. Nothing has changed because of this election. What we heard is election talk. We will all come together and unify the country. The process of democracy happened, but we have to go on. Later, the moderator said Trump has used some “coarse language” about women, and he noted that Pepsi is a sponsor of the NFL, which has struggled to address domestic violence issues among its players. Nayoo was asked how those developments might have changed the Pepsi brand or her perspective on public views. She replied: Forget about the Pepsi brand. How dare you talk about women that way? … Why do we talk that way about a whole group of citizens that way? I don’t think there’s a place for that kind of language in part of society. Not in locker rooms, not in football player’s homes. Not in any place. If we don’t nip it in the bud, this is going to be a lethal force that’s going to t5ake over society. I think that’s wrong. I hope that in every forum we talk about locker room conversations about women being intolerable …. It’s got to stop. Right-wing and conservative news sites largely took Nooya’s comments out of context and made it appear that she was saying that Trump or his views had to be “nipped in the bud,” when that wasn’t the case. She indirectly condemned comments he made about forcefully grabbing women in a 2010 video, but she never directly condemned Trump. Given all that, we’re calling claims about Pepsi’s CEO speaking out against Trump “misleading.” ","Business"
"Tim Horton Will Begin Selling Marijuana Across Canada in 2017-Fiction!","2016-07-05 13:23:43","https://www.truthorfiction.com/tim-horton-will-begin-selling-marijuana-across-canada-2017/"," It’s been reported that Tim Hortons, the most popular fast-food franchise in Canada, will begin selling marijuana from its 3,000 locations in 2017. "," A fake news website is behind false reports that Tim Hortons plans to begin selling marijuana in 2017. The story appeared at The Global Sun under the headline, “Tim Hortons to Sell Marijuana Across Canada.” The story begins : CANADA – Canada’s most popular fast food restaurant franchise “Tim Hortons” will now be selling Marijuana upon it’s legalization in Canada. Ron Joyce, current founder of Tim Hortons claims that this is a necessity as there are over 3,000 stores across Canada. The story was quickly shared more than 10,000 times on social media, and many readers were duped into believing that it was a credible report — but that’s not the case. The footer that appears at the bottom of the website clearly states: “The Global Sun is a satire website, articles/posts on the website are all made-up stories and should not be taken seriously.”","Business"
"Chick-fil-A Response to Orlando Shootings-Truth!","2016-06-15 08:25:10","https://www.truthorfiction.com/chick-fil-a-response-to-orlando-shootings/"," Chick-fil-A restaurants in the Orlando area went into work on a Sunday, despite the company’s longstanding policy to close on Sundays, to make food for people waiting in line to donate blood. "," Rumors about Chick-fil-A’s response to the Orlando terrorist attack that left 50 people dead are true. Employees from a number of restaurants in the Orlando area voluntarily reported to work to serve chicken sandwiches and ice tea to people who had to wait hours in line to donate blood. The restaurant confirmed on Facebook that it had made an exception from its long-standing policy to close on Sundays after the deadly attacks: Chic-fil-A’s policy to close on Sundays has been the subject of rumors for years. The franchise has been closed on Sundays ever since the first restaurant in the 1940s — unless there are special circumstances. ","Business"
"Home Depot’s Founder and CEO Bernie Marcus Endorses Donald Trump-Truth! & Outdated!","2016-06-08 13:29:10","https://www.truthorfiction.com/home-depots-founder-ceo-bernie-marcus-endorses-donald-trump/"," Home Depot founder, CEO and chairman Bernie Marcus endorsed Donald Trump in an essay published online. "," Home Depot co-founder Bernie Marcus had endorsed Donald Trump— but he is no longer CEO and chairman of the home improvement chain. Bernie Marcus threw his support behind Donald Trump in an editorial published by Real Clear Politics on June 1 under the headline, “Why I Stand with Donald Trump.” In his endorsement of Turmp, Marcus wrote: As a backer of former Republican presidential candidates, I now stand in support of Donald J. Trump because the fate of this nation depends upon sending him, and not Hillary Clinton, to the White House. I know Donald Trump, but we’re not close friends. However, I believe he will begin on Day One undoing the damage done by President Barack Obama. I stand ready to help him at every turn. Like many, I am deeply concerned about the US Supreme Court. When Trump recently released his list of potential appointees, I grew confident in his resolve to keep our court balanced. Even more important: Clinton will push the court leftward for generations. She must be stopped. Marcus, who co-founded Home Depot in 1978, added that if he were to try to found the home improvement chain today, he would likely fail because of government regulations. As word of Bernie Marcus’s endorsement of Trump spread across social media, a grassroots effort to boycott Home Depot sprang up among Trump’s critics. Viral posts that listed Marcus as the founder, CEO and chairman of the board for Home Depot were only partially correct, however. Bernie Marcus co-founded Home Depot in 1978, but he retired in 2001 to focus on philanthropy, Forbes reports . So, it’s true that Bernie Marcus has endorsed Donald Trump — but it’s not true that Marcus is the current CEO and chairman of Home Depot. ","Business"
"WhatsApp Gold or WhatsApp Plus Download Offer-Scam!","2016-06-03 11:31:53","https://www.truthorfiction.com/whatsapp-gold-or-whatsapp-plus-download-offer/"," WhatsApp users have been offered a download for “WhatsApp Gold,” a premium that includes additional features like video calling and updated emojis. "," The WhatsApp Gold download offer is a scam that could infect your phone with malware. The scam emerged in May and had gone viral by early June. Users reported receiving offers for WhatsApp Gold or “a golden version” of the popular messaging application that had previously been available only to celebrities. Clicking on the link to download the premium version of WhatsApp will infect your phone with malware that could allow criminals to steal your data or track your movements, the Independent reports . In its FAQ section , WhatsApp also warns of a similar scam called “WhatsApp Plus.” The application was not developed by WhatsApp: The developers of WhatsApp Plus have no relationship to WhatsApp, and we do not support WhatsApp Plus. Please be aware that WhatsApp Plus contains source code which WhatsApp cannot guarantee as safe and that your private information is potentially being passed to 3rd parties without your knowledge or authorization. Please uninstall your application and install an authorized version of WhatsApp from our website or Google Play. After the 24 hour count down ends you will be able to use WhatsApp. In order to protect yourself from similar scams never rely on second or third-hand information about new updates or features that float around social media. Always get your information directly from the developer’s website, and never click on a third-party link to download a “premium” version of anything. ","Business"
"General Mills Gold Medal Flour Recall-Truth!","2016-06-01 12:59:26","https://www.truthorfiction.com/general-mills-gold-medal-flour-recall/"," General Mills has issued a massive recall for Gold Medal Flour because a suspected E. coli outbreak. "," It’s true that General Mills voluntarily recalled 10 million pounds of flour across 20 states on May 31, 2016. In a statement , General Mills said it had voluntarily recalled flour sold under its Gold Medal, Gold Medal Wondra and Signature Kitchen brands after 38 cases of illness from E. coli contamination: State and federal authorities have been researching 38 occurrences of illnesses across 20 states related to a specific type of E. coli (E. coli O121), between December 21, 2015, and May 3, 2016. While attempting to track the cause of the illness, CDC found that approximately half of the individuals reported making something homemade with flour at some point prior to becoming ill. Some reported using a General Mills brand of flour. Based on the information that has been shared with General Mills, some of the ill consumers may have also consumed raw dough or batter. Consumers are reminded to not consume any raw products made with flour. Flour is an ingredient that comes from milling wheat, something grown outdoors that carries with it risks of bacteria which are rendered harmless by baking, frying or boiling. Consumers are reminded to wash their hands, work surfaces, and utensils thoroughly after contact with raw dough products or flour, and to never eat raw dough or batter. General Mills recalled 13.5-ounce Gold Medal Wondra flour; 2-pound, 5-pound and 10-pound packages of Gold Medal All Purpose Flour; 5-pound packages of Gold Medal unbleached flour; 5-pound packages of Signature Kitchens All Purpose Flour Enriched Bleach; 5-pound packages of Signature Kitchens Unbleached Flour; and 2-pound packages of Gold Medal self-rising flour. Click here to contact General Mills directly about the flour recall. ","Business"
"Hacker Group Publishes Donald Trump’s Tax Returns-Fiction!","2016-05-31 10:08:55","https://www.truthorfiction.com/hacker-group-publishes-donald-trumps-tax-returns-fiction/"," The hacker group Anonymous reportedly hacked into IRS records and released tax documents that Donald Trump has refused to release that shows he paid $0 in income tax. "," A fake news website is behind rumors that Anonymous has released Donald Trump’s tax returns. Free Wood Post published the story under the headline “Anonymous Hacks IRS Database — Publishes Trump’s Tax Records.” The site reported that Anonymous recovered 12 years of Trump’s tax returns and released them to “hundreds of top websites” that published and then removed them within minutes: Trump campaign spokeswoman Katrina Pierson stated last week that “there has been no year in which Trump paid zero taxes”. In 2012, this was true. He earned $37,746,530, far less that the $400+ million he claims. His final tax burden? Trump didn’t pay $0 in taxes, he actually received a tax refund of $7,832,224. That’s right, he cashed in a 7.8-million dollar tax refund. Recently, Trump stated that “I fight like hell to pay as little as possible.” So, how did Trump “earn” a tax refund? According to his return, he had approximately $37,743,000 in itemized deductions. In addition to massive business write-offs for legal fees relating to his fraudulent Trump “University” and fraudulent real estate transactions, Trump had other more unusual deductions. Trump’s deductions ranged from $118,923 for “Tribble Hair Services” to a $3.8 million dollar write-off for “Anal Bleaching” both listed as an “image expense.” He also made numerous charitable contributions to places like The National Association for the Advancement of White Men and the Trump Fund which provides financial and emotional assistance to wealthy men going through divorce. The Trump family also paid salaries to their numerous employees including, eight chauffeurs, two yacht captains, four pilots for their private jets, two professional dog walkers, one full-time “Tribble stylist” and perhaps most unusual of all a “live-in Hillary Clinton Impressionist” supposedly used for “debate prep”. Of course given the sordid details revealed about Trump’s “Favorite Fantasy Scenario” in the Ashley Madison hack, he likely has other uses for the unfortunate impressionist. Within days, the story had been shared more than 37,000 times on Facebook. Taken out of contect, many believed that the report was true — but that’s not the case. Free Wood Post clearly identifies itself as “satire,” which means that it’s stories aren’t factual. According to its disclaimer : Free Wood Post is a news and political satire web publication, which may or may not use real names, often in semi-real or mostly fictitious ways. All news articles contained within FreeWoodPost.com are fiction, and presumably fake news. Any resemblance to the truth is purely coincidental, except for all references to politicians and/or celebrities, in which case they are based on real people, but still based almost entirely in fiction. In reality, Trump has not released his tax returns to the public. Just before the Free Wood Post story appeared, however, i t was reported that the last time Trump made an income tax return public, in 1981, he had paid $0 to the federal government in income taxes. ","Business"
"Target Stock Plummets After Millions Boycott-Fiction!","2016-05-03 14:07:46","https://www.truthorfiction.com/target-stock-plummets-millions-boycott/"," It’s been rumored that millions of customers boycotting Target in protest of its policy on transgender bathroom use has led to the store’s stock plummeting. "," There’s no indication that fluctuations in Target’s stock have been triggered by a boycott resulting from the store’s public support of the transgender community. Target announced that it would not change the store’s transgender-friendly policies on bathroom and changing room usage on April 19, and the American Family Association announced a boycott of the store on April 20. By early May, conservative news sites like Breitbart and the Daily Caller were reporting on the impact of AFA’s boycott on Target’s stock prices. Breitbart reported that the boycott had led to a $1.5 billion drop in Target’s market valuation, and the narrative that Target’s stock had plummeted took flight. However, there’s no indication that Target’s stock prices have been impacted by the AFA boycott at all. In fact, a year-over comparison of Target’s stock prices shows that the company had very similar market performance in April 2015 and April 2016, so the company’s market fluctuations during the boycott aren’t unusual. Target opened April 2015 with stock prices at $81.83, and it closed the month at $78.78 — a difference of $3.05, according to Yahoo! Finance historical data : Target opened April 2016 with stock prices at $81.76, and it closed the month at $80.60 — a difference of $1.76: So, Target’s stock actually performed better in April 2016 during the AFA boycott than it performed in April 2015 without it. Given historical data, we’re calling reports that AFA’s boycott has let to Target’s stock plummeting “fiction.”","Business"
