"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Standing Rock Police Turn in Badges-Unproven!","2016-11-29 13:36:19","https://www.truthorfiction.com/standing-rock-police-turn-badges/"," At least two police officers turned in their badges at the Standing Rock protests of the Dakota Access Pipeline because they don’t agree with actions being taken there, and it’s not what they signed up for. "," Rumors that police officers turned in their badges at the Standing Rock protest can’t be confirmed. The rumor appears to have started in early November with a Facebook post by Ryan Redhawk, a leader of the Standing Rock Rising Movement: The post was quickly picked up by blog sites and was widely shared hundreds of thousands of times on social media. But these posts misconstrued the original post. Redhawk didn’t actually confirm that any police officers had turned in their badges — he said he heard reports of that, which is not the same thing. The website True Activist , for example, cited Redhawk’s post in reporting that “At least two police officers turned in their badges today after acknowledging that attacking peaceful protestors is not what they signed up for.” In reality, Redhawk’s post said there were “at least two reports of police officers turning in their badges” — not that “at least two police officers turned in their badges,” as True Activist reported in a story that was shared half a million times. There’s been no indication that police at the Standing Rock Protests have objected to actions taken against protestors there, or turned in their badges because of it.","Crime - Police"
"Ford Foundation Donates $100 Million to Black Lives Matter-Truth! & Fiction!","2016-09-26 14:21:02","https://www.truthorfiction.com/ford-foundation-donates-100-million-to-black-lives-matter/"," The Ford Foundation has pledged $100 million in support to Black Lives Matter, leading to calls for a boycott of Ford. "," It’s true that the Ford Foundation has pledged $100 million to the Black-Led Movement Fund (BLMF), a coalition of social justice organizations endorsed by Black Lives Matter. But the Ford Foundation hasn’t been connected to the Ford Motor Company for more than 40 years. First, we’ll start out by providing some background about Black Lives Matter, BLMF and the Movement for Black Lives since the connections between these organizing and fundraising networks can be confusing. In July 2016, the Ford Foundation announced that it would partner with Borealis Philanthropy, Movement Strategy Center and Benedict Consulting to found BLMF. In turn, BLMF will serve as a donor network supporting the Movement for Black Lives , a social justice movement endorsed by Black Lives Matter, according to a foundation blog post: The Movement for Black Lives has created an opportunity for philanthropy to see and learn from new and dynamic forms of social justice leadership and infrastructure. To support and fund this thriving movement, philanthropy itself has had to adapt. Meanwhile, leaders have kept donors’ good intentions in check with candid reminders of how philanthropy can hurt a movement, as well as how it can help. Listening and learning is central to Ford’s approach, as we strive to be a thoughtful, effective social justice funder at this critical time.By partnering with Borealis Philanthropy, Movement Strategy Center, and Benedict Consulting to found the Black-Led Movement Fund, Ford has made six-year investments in the organizations and networks that compose the Movement for Black Lives. Borealis Philanthropy, meanwhile, provides a little more insight about the goal of BLMF at its website: The Black-Led Movement Fund (BLMF), led by Borealis Philanthropy, is a collaborative and pooled donor fund established by the Ford Foundation and Anonymous Donors. In partnership with donors and activists, the BLMF aims to support philanthropic and field-building activities that strengthen the next generation of social justice leaders.  Specifically, the collaborative effort supports the infrastructure, innovation and dynamism of intersectional Black-led organizing that have become integral components of what many call the Movement for Black Lives (M4BL). Rumors about the Ford Foundation pledging more than $100 million to Black Lives Matter went viral after the announcement. The Washington Times reported that Black Lives matter had cashed in with the Ford Foundation’s donation — and, aside from (falsely) implying that Black Lives Matter would receive the entire $100 million donation, the report was factually correct. But, as similar reports spread across social media and conservative news sites, details started getting fuzzy. Freedom Daily, a right-wing website, demonstrates how that happened in a post calling for a Ford boycott that was shared nearly 30,000 times on social media within a week that begins: Ford just donated $100 million dollars to Black Lives Matter. The Washington Post reported: street uprising, Black Lives Matter is increasingly awash in cash, raking in pledges of more than $100 million from liberal foundations and others eager to contribute to what has become the grant-making cause du jour. This story (and calls for Ford boycotts that followed it) made three critical errors: it confused the Washington Post with the Washington Times , it confused the Ford Motor Company with the Ford Foundation, and it confused the Black-Led Movement Fund with Black Lives Matter. In reality, the Ford Motor Company and the Ford Foundation are completely separate organizations since the 1970s. Henry Ford’s son, Edsel, started the Ford Foundation in 1936 with an initial gift of $25,000. The foundation took in huge bequests from Henry and Edsel’s estates upon their deaths in the 1940s and grew to become the biggest philanthropy in the world at the time. Edsel’s son, Henry Ford II, was involved in the Ford Foundation up until 1976, but the foundation began selling off Ford stocks in the 1950s and moved its headquarters from Dearborn, Michigan, to New York City in the 1960s. Ford II resigned over the foundation’s “ march to the left ” in 1976, and no Ford family member has served on the board of trustees since. Today, the Ford Motor Company has a separate nonprofit arm, the Ford Fund , and is in no way connected to the Ford Foundation. In the end, the Ford Foundation and the Ford Motor Company are completely separate organizations. And the Ford Foundation pledged $100 million to the Black-Led Movement Fund, which is not the same thing as Black Lives Matter. That’s why we’re calling this one truth and fiction. ","Crime - Police"
"Released from Prison by Obama, Wendell Callahan Killed 3 People-Mostly Fiction!","2016-09-07 10:46:22","https://www.truthorfiction.com/released-prison-obama-wendell-callahan-killed-3-people/"," Wendell Callahan, a man who was serving time on crack-cocaine charges, murdered his ex-girlfriend and her two children after President Obama gave him early release. "," The tragic details of this case are true — but Wendell Callahan was released due to reforms in federal prison sentencing guidelines, not because Obama pardoned him. Callahan was charged with three counts of aggravated murder in January 2016 for allegedly stabbing to death a woman and two young children, according to complaints filed in Franklin County Circuit Court in Ohio. Callahan faces the death penalty in the case, which is still pending. The Columbus Post Dispatch reported shortly after Callahan’s arrest that he had been given early release from federal prison on a 12-½ year sentence for selling crack that was handed down in 2007: The man charged with killing an ex-girlfriend and two of her children in a North Side stabbing rampage early on Tuesday likely would have been deep into a 12 1/2-year federal prison sentence if sentencing guidelines for convicted crack dealers had remained unchanged. Wendell L. Callahan, 35, twice benefited from changes in federal sentencing guidelines, which reduced his sentence by a total of more than four years, from the 150 months he was first given in 2007, to 110 months in 2008 including time served, and 100 months in 2011. Columbus police charged Callahan on Tuesday with three counts of murder in the deaths of ex-girlfriend Erveena Hammonds, 32, and her daughters, Breya Hammonds, 7, and Anaesia Green, 10. A number of media outlets have since reported that Callahan had been “pardoned” by Obama — but that’s not true. Callahan’s federal sentence was shortened by an amendment to federal sentencing guidelines that went into effect on November 1, 2007 — more than a year before Obama took office, according to a report by the U.S. Sentencing Commission: On May 1, 2007, pursuant to 28 U.S.C. § 994(a) and (p), the Commission submitted to Congress amendments to the federal sentencing guidelines that became effective on November 1, 2007. One of those amendments, Amendment 706, modified the drug quantity thresholds in the Drug Quantity Table of §2D1.1 so as to assign, for crack cocaine offenses, base offense levels corresponding to guideline ranges that include the statutory mandatory minimum penalties. Crack cocaine offenses for quantities above and below the mandatory minimum threshold quantities similarly were adjusted downward by two levels. The amendment also included a mechanism to determine a combined base offense level in an offense involving crack cocaine and other controlled substances. On December 11, 2007, the Commission voted to promulgate Amendment 713, which added Amendment 706 as amended by 711, to the amendments listed in subsection (c) in §1B1.10 that apply retroactively. The Commission voted to make Amendment 713 effective on March 3, 2008. As a result, some incarcerated offenders are eligible to receive a reduction in their sentence under 18 U.S.C. § 3582(c)(2) pursuant to Amendment 706. And the second time Callahan’s sentence was reduced — from 110 months to 100 months — was approved by Congress and signed into law by Obama in August 2010. The law reduced the disparity between sentences for crack-cocaine and power cocaine, the Sentencing Commission reports : This report provides data concerning the retroactive application of the guideline amendment implementation of the Fair Sentencing Act (FSA), Pub. L. No. 111–220, signed into law on August 3, 2010. The FSA increased the quantities of crack cocaine that trigger the five and ten-year statutory mandatory minimum penalties — from five grams to 28 grams for fiveyear mandatory minimums and from 50 to 280 grams for ten-year mandatory minimums — and eliminated the five-year mandatory minimum for simple possession of crack cocaine. Significantly, the FSA gave the Commission emergency amendment authority to temporarily change the guidelines to implement the statutory changes and to add certain enhancements and reductions to the guidelines. So, it’s true that Obama signed Fair Sentencing Act of 2010 into law — but Congress drafted and approved the bill with bipartisan support. It’s misleading to place the blame for any consequences solely on Obama. That’s why we’re call this one “mostly fiction.” ","Crime - Police"
"Anti-Clinton DNC Lawsuit Process Server Shawn Lucas Dies-Truth! & Unproven!","2016-08-08 14:32:22","https://www.truthorfiction.com/anti-clinton-dnc-lawsuit-process-server-shawn-lucas-dies/"," Shawn Lucas died suddenly after serving the Democratic National Committee (DNC) and former DNC Chair Debbie Wasserman Schultz with an anti-fraud class action lawsuit. "," Reports of Shawn Lucas’s death are true, but no details about the cause or manner of his death have been released yet. The Washington, D.C. Metropolitan Police Department confirmed the death of Lucas, 38, to multiple media outlets. Additionally, Lucas’s family and friends have confirmed on social media that he died suddenly on August 2nd. Shawn Lucas served the DNC and Debbie Wasserman Shultz with a class action lawsuit that alleges “fraud and other claims” against both parties for colluding with Hillary Clinton’s presidential campaign to “perpetrate a fraud on the public” by favoring Clinton. Video of Lucas’s serving papers at the DNC headquarters on July 3rd can be viewed here . The DNC named Shawn Lucas as one of the process servers in a motion to dismiss the lawsuit for insufficient service . The motion contends that the papers were served to the wrong person at the DNC: On July 6, 2016, Plaintiffs filed affidavits of service of process, in which Shawn Lucas and Brandon Yoshimura of One Source Process, Inc. claim to have served Rebecca Christopher (described by the affidavits as a “Creative Strategist”) with process for both the DNC and its Chair at 1:30 p.m. on July 1st. See Aff. of Service of Process on DNC (ECF No. 6); Aff. of Service of Process on DNC Chair (ECF No. 7). In fact, the person with whom Mr. Lucas and Mr. Yoshimura interacted was not Ms. Christopher, but a different DNC employee named Rebecca Herries. See Decl. of Rebecca Herries In Support of Mot. to Dismiss (“Herries Decl.”) 1, 2. Ms. Herries is not authorized to accept service of process for the DNC, its Chair in any capacity, or the CEO, for whom she works as a special assistant. Id. 2. Ms. Herries came to the lobby to meet Mr. Lucas and Mr. Yoshimura after she was repeatedly advised by security that Mr. Lucas and Mr. Yoshimura were refusing to leave unless they could hand some legal papers to a DNC staffer. Id. 3, 4. It was Friday afternoon right before the Fourth of July weekend and, after unsuccessfully attempting to contact the DNC’s Chief Operating Officer or anyone in the operations department, Ms. Herries went downstairs to speak with Mr. Lucas and Mr. Yoshimura. ¶ 3. She told them that her name was “Becca” and that she worked for the DNC. Id. 4. They did not ask her for and she did not give them her last name or her title. Id. They similarly did not ask whether she was authorized to accept process for either Defendant, and she did not make any representations to that effect. Id. They handed her the documents and left. Reports of Lucas’s unexpected death, coupled with his role as a public challenger of both Clinton and the DNC, sparked conspiracy theories among right-wing media outlets. Zero Hedge (incorrectly) reported that Lucas was the “lead attorney” in the anti-fraud lawsuit. He was actually a process server who worked at Once Source Process in Washington, D.C. The Zero Hedge story , which appeared under the headline, “Lead Attorney in Anti-Clinton DNC Fraud Case Mysteriously Found Dead,” was shared more than 25,000 times within days of being published. At this point it’s clear that Lucas died unexpectedly and tragically on August 2nd. Beyond that, no details about the cause or manner of his death have been made available, so any theories about his death are unproven. Lucas’s family and friends have set up a Go Fund Me page that can be viewed here.","Crime - Police"
"Clinton Researcher Victor Thorn Found Dead-Truth!","2016-08-08 13:22:29","https://www.truthorfiction.com/clinton-researcher-victor-thorn-found-dead/"," Prolific Clinton researcher Victor Thorn (also known as Scott Robert Makufka) has been found dead. "," Clinton researcher Victor Thorn, whose birth name was Scott Robert Makufka, died of what appeared to be a self-inflicted gunshot wound on August 1st, according to his family. Victor Thorn regularly published books and articles that were critical of Bill and Hillary Clinton, including “ Hillary (And Bill ),” a three-part trilogy that includes “The Sex Volume,” “The Drugs Volume,” and “The Murder Volume,” which tells of political operatives, allies and enemies of the Clintons who have died under (supposedly) suspicious circumstances over the years. That led right-wing websites to imply that Victor Thorn had himself been the victim of a Clinton death plan days after Hillary Clinton clinched the Democratic presidential nomination. However, there’s currently no evidence to support that claim. American Free Press , a website that regularly published Victor Thorn bylines, first reported the Clinton researcher and author’s death on August 1st. Thorn died “at the top of a mountain near his home, the apparent victim of a gunshot wound” on his 54th birthday, the website reported. Thorn’s family said there was no evidence of foul play, and he most likely took his own life. In an appearance on the American Free Press podcast , Victor Thorn’s brother, William J. Makufka, choked up while talking about the life and death of his brother. When asked how he explained the timing of Thorn’s death, his brother responded: He absolutely did not like dealing with death and sickness … Scott did not want to get old. He was, and we still are and right now, watching my parents who are in their early 80s go through a lot of health issues. I’m sure that played a part. It is also my true belief that Scott very much believed that death isn’t the end and we continue on … He truly believed his journey was done and he wanted to see what came next. So, reports that Clinton researcher and author Victor Thorn was found dead on the morning of August 1st are true. But his family has disputes the idea that a sinister plot or foul play involved. ","Crime - Police"
"UN Backs Secret Obama Takeover of Police-Fiction!","2016-08-05 14:09:27","https://www.truthorfiction.com/un-backs-secret-obama-takeover-police/"," The United Nations has backed President Obama’s secret plan to nationalize local police departments. "," The UN hasn’t backed Obama’s secret plan to takeover local police departments — and we couldn’t find evidence to prove that a “secret plan” like that exists. These rumors stem from a statement released by Maina Kiai , a human rights attorney from Kenya who was appointed by the UN Human Rights Commission to research and report on “the rights of freed of peaceful assembly and of association” in the United States in July 2016. One paragraph of Kiai’s lengthy statement drew speculation about the UN backing Obama’s police takeover: “The Civil Rights Division of the Department of Justice has provided oversight and recommendations for improvement of police services in a number of cities with consent decrees. This is one of the most effective ways to reduce discrimination in law enforcement and it needs to be beefed up and increased to cover as many of the 18,000-plus local law enforcement jurisdictions.” A website called Lifezette started rumors that Kiai’s statement meant the UN had backed a nationalized police force in the United States. In an article published August 4th under the headline, “UN Backs Secret Obama Takeover of Police,” the website reports: (That quote was from) United Nations Rapporteur Maina Kai on July 27, a representative of the U.N. Human Rights Council, who on the tail-end of touring the U.S., endorsed a little-known and yet highly controversial practice by the Justice Department to effect a federal takeover of local police and corrections departments. The story’s first mistake is that it mischaracterizes exactly what a “special rapporteur” is and falsely implied in the headline that Kiai’s statement amounted to a UN endorsement. In reality, a special rapporteur is an independent expert that the UN Human Rights Council has appointed to examine and report back on events unfolding in a country, or on a particular human rights theme. Then, the UN Human Rights Commission reviews and critiques that report and decides whether or not to act on it, according to special procedures of the Human Rights Council: The Commission on Human Rights exercises oversight over the work of the experts while keeping in mind that the experts are irremovable, independent and are immune from legal process . It examines their reports and passes resolutions either welcoming or criticizing the work of the expert, or simply takes note of their action …. Simply put, a special rapporteur does not speak for the UN; Kiai’s statement doesn’t amount to the UN “backing” anything. rapporteurLifezette explains Obama’s “secret plans” to take control of local police departments by issuing a flurry of the “consent decrees” (which Kiai endorsed in his statement): The consent decrees are already being implemented in Newark, New Jersey; Miami, Florida; Los Angeles, California; Ferguson, Missouri; Chicago, Illinois; and other municipalities… In short, the much-feared nationalization of local police departments is already being initiated by the Obama administration’s Justice Department. And somehow nobody noticed. But those claims about where consent decrees have been issued are misleading, and in some instances they’re false. The Los Angeles consent decree was issued under Bill Clinton in the 1990s — not Obama. The Miami consent decree was issued due to violations of the Clean Water Act — it had nothing do with police. Chicago, meanwhile, asked for a DOJ investigation of police tactics in December 2015 , and the review is ongoing (no consent decree has been issued). The story did, however, correctly report the Ferguson and Newark consent decrees reached under Obama. But a Washington Post review of the number of DOJ investigations launched and the number of consent decrees reached over the last two decades don’t support the idea that Obama is secretly trying to use them to create a nationalized police force: In the past two decades, the Justice Department has launched 67 civil rights investigations of police departments. Nine remain unresolved. Of the completed investigations, 24 were closed without reform agreements, meaning investigators did not have sufficient evidence to prove civil rights abuses or the agencies informally resolved the problems, officials said. In eight investigations, Justice documented patterns of civil rights abuses­ and won promises from the departments to reform. Those cases were settled out of court with no independent or federal oversight. Twenty-six investigations — a little more than half of them since President Obama took office — have led to the most rigorous outcome: binding agreements tracked by monitors. More than half were consent decrees, meaning they were approved and managed in federal court. In the end, there doesn’t seem to be sufficient evidence to prove that Obama is using consent decrees to secretly takeover the country’s police forces. And the UN hasn’t endorsed that — even though a special rapporteur for the UN Human Rights Commission did. ","Crime - Police"
"Pokémon Go Causes Major Crash-Reported as Fiction!","2016-07-22 08:38:45","https://www.truthorfiction.com/pokemon-go-causes-major-crash/"," A 21-year-old playing Pokémon Go while driving caused a major traffic accident that took the life of a truck driver named Carroll Trent in Tennessee. "," It’s true that a truck driver named Carroll Trent was killed in a head-on collision near downtown Knoxville in July 2016. But authorities said there was “no early indication” that the driver 21-year-old driver of an SUV that struck Trent’s truck head on was playing Pokémon Go before the crash. A police spokesperson told NBC affiliate WBIR that, “Once the investigation has been completed the investigative file will be presented including all the causation factors leading up to this horrific tragedy.” Rumors that the 21-year-old was playing Pokémon Go before the fatal crash appear to have started with a grieving family member of Trent. Rachel Trent, who identified herself as Carroll’s daughter, posted : I probably shouldn’t post this, but this should a a wakeup call to people. I do not want to take my anger out on others unintentionally, so I will ask my friends & family out of respect & consideration for me & my family, please DO NOT mention Pokémon Go around me ever!! My father lost his life to this stupid friggin’ game!! The 21 year old who hit my Dad head on this morning was so obsessed with finding these Pokémon that he drove down this wrong side of the interstate colliding with my Dad’s semi & in turn caused his truck to explode, incinerating it to the ground!! There’s NOTHING LEFT but the frame!! My Dad died today thanks to this friggin’ App! So people, I urge you to PLEASE stop using this App!! But if you really have no life & must play it, please be responsible & DO NOT get in a car!!! I’d hate to see anyone I know cause this type of pain & devastation that has been inflicted upon my family today. . . . There won’t be clear answers about what caused the fatal crash until an accident report is released, but Knoxville police indicated that the 21-year-old driver did not appear to be playing Pokémon Go before the crash. ","Crime - Police"
"Alton Sterling Arrest Record Media Won’t Tell You About-Truth! & Fiction!","2016-07-18 15:50:13","https://www.truthorfiction.com/alton-sterling-arrest-record-media-wont-tell/"," Reports that the media has ignored the fact that Alton Sterling had a lengthy criminal record before he was fatally shot by a police officer in Baton Rouge on July 5th. "," It’s true that Alton Sterling had a lengthy criminal record, but many national media outlets have covered or noted his previous arrests. Alton Sterling was convicted of criminal charges 20 times from 1996 to 2009. Those charges included robbery, aggravated burglary, resisting an officer, as well as multiple gun and drug charges. Heavy has put together criminal complaints for all of those cases that can be viewed here . And, in addition to the charges that Alton Sterling was convicted of, nearly 20 additional charges filed against Sterling from 1996 to 2016 had been dismissed. Two cases in particular have stood out in the wake of Sterling’s death. In a 2009 case, Sterling resisted arrest and the officer reported, “wresting with the defendant on the ground,” until a “black semi auto gun fell from his waistband” and Sterling was detained without further incident. In another case, an officer reported in a probable cause affidavit that he pulled Sterling over for driving 65 mph in a 45 mph zone and found that he did not have proof of insurance. The office let Sterling collect his belongings from the car, and as he walked away, Sterling reportedly said he would “have the officers’ badge and jobs” and that they should “go ahead and beat him down regardless of the outcome” before he lied down in the street. Also, it’s been noted that Sterling was a registered sex offender, and the offense description was listed as “carnal knowledge of a juvenile” in an online database of sex offenders in Louisiana. Alton Sterling’s lengthy criminal history has lead to reports from conservative commentators like Allen B. West have argued that liberals, media outlets and those protesting Sterling’s death don’t want you know about his past and have largely ignored it. However, a quick check of media reports does no support the idea that the media shied away from, or failed to report, Sterling’s run-ins with the law. The Washington Post , for example, published an extensive profile on Sterling’s troubled past. The piece begins: BATON ROUGE — Alton Sterling, the black man whose point-blank shooting by white police set off a fresh round of national protest against police aggression against black people, was born and raised in this impoverished and racially divided Louisiana state capital and barely knew a life without police in it. His mother died when he was 14, and his father by the time he was 19, Quinyetta McMillon, the mother of Sterling’s oldest son, said in an interview Tuesday. “Alton pretty much raised himself,” she said. And trouble was never far away. Sterling, who lived a life of poverty and instability, in and out of jail, was in many ways the embodiment of an American — and particularly, a Louisianan — justice system that legal experts say is skewed heavily against black Americans and that protesters have rallied against over the past week. The New York Times also noted Sterling’s criminal history in its early reports : Mr. Sterling had a long criminal history, including convictions for battery and illegal possession of a gun, but it is not clear whether the officers knew any of that as they tried to arrest him. The same can be said of USA Today , CBS News and countless other media outlets. The idea that the media or protestors have shied away from Sterling’s criminal record is false. Rather, as Bustle reports , his supporters argue that Sterling’s criminal past doesn’t justify police shooting him: Sterling’s record, obviously, is not clear. But these matters are unrelated to his death. As an individual, selling CDs outside of a convenience store is not a crime for which anyone should be gunned down. And now as a symbol within a larger movement, Sterling, a black man, could have just as likely been killed unjustly, regardless of his previous record. We’ve seen it with other cases — like Trayvon Martin, who had no criminal record but saw his short 17 years on Earth dug up to be tarnished just the same. Yet this increasingly common, explicit display of force by the officers, whose body cameras allegedly fell off during the struggle, points not so much to the individual but to a larger problem within the system: the overwhelming and systemic violence inflicted upon people of color by law enforcement in the United States. So, it’s true that Alton Sterling had a lengthy criminal record, but it’s false that media have tried to hide or ignore that fact. ","Crime - Police"
"Assassination of Top Democratic Official Leads to Capture of Clinton Hit Team-Fiction!","2016-07-15 10:40:43","https://www.truthorfiction.com/assassination-top-democratic-official-leads-capture-clinton-hit-team/"," A report that the assassination of a top Democratic Party official named Seth Rich while he was on his way to testify about Hillary Clinton has led to the FBI capturing a so-called Clinton “Hit Team.” "," It’s true that Seth Rich was an employee of the Democratic National Party that was murdered in Washington, D.C., in July 2016. But reports that Rich was on his way to testify about Hillary Clinton, or that his “assassination” has led to the FBI capturing a Clinton “hit team” are false. WUSA 9 in Washington reported that Rich was shot and killed in the Bloomingdale neighborhood of Northwest D.C. in what appeared to be a robbery gone wrong: The shooting happened in the 2100 block of Flagler Place NW on Sunday at 4:19 a.m., Metropolitan Police said. Police arrived at the scene and found Conrad conscious and breathing. He was suffering from gunshot wounds. Conrad was taken to the hospital where he later died from his injuries. “A lot of my girlfriends around here are talking about this and looking out for one another. We don’t want anyone walking by themselves,” neighbor Katie Ferguson said. “It’s scary. I want something done and so far there is a lot of talk, but what’s really being done?” Officials said they are looking into the possibility that Rich’s murder is connected to other recent robberies in the area. The sad story of Seth Rich’s death took a turn in state-sponsored Russian media. The Russian Foreign Intelligence Service, or SVR, issued a propaganda piece that reported Hillary Clinton or her campaign had been connected to Conrad’s death, and that the FBI had “captured” them. What Does It Mean quickly spread the Russian propaganda in the U.S. with a story appearing under the headline, “Assassination of Top U.S. Democratic Party Official Leads to FBI Capture of Clinton Team,” that reports : A somber Foreign Intelligence Service (SVR) report circulating in the Kremlin today says that a top American Democratic Party staffer preparing to testify against Hillary Clinton was assassinated this past Sunday during a secret meeting in Washington D.C. he believed he was having with Federal Bureau of Investigation (FBI) agents, but who turned out, instead, to be a “hit team”—and who, in turn, were captured yesterday after a running gun battle with US federal police forces just blocks from the White House. [Note: Some words and/or phrases appearing in quotes are English language approximations of Russian words/phrases having no exact counterpart.] According to this report, SVR “electronic specialists” performing counter intelligence “missions/operations” noted on 7 July an “enormous/gigantic” increase of computer and telephonic traffic between the Democratic National Committee (DNC) headquarters in Washington D.C. and the Clinton Foundation (CF) offices in New York City. Upon a “deeper/broader” investigation into this “odd/strange” increase in communications between these believed to be separate organizations, this report continues, SVR analysts determined that the original initiating person responsible was a 27-year-old DNC official named Seth Rich who was that political organizations Deputy Director Data for Voter Protection/Expansion who had helped develop a computer program for the Democratic National Committee allowing people to type in their address and get a map to their polling place. There’s been no indication that Seth Rich’s killing was related at all to politics or Hillary Clinton in particular. And the idea that he was a “top” Democratic Party official is false. Rich was a 27-year-old who worked as the voter expansion data director at the DNC. In that role, he fought for voters’ rights. While robbery has been cited as a motive in Rich’s death, it’s still not clear why he was murdered. His parents told the Inquisitor that if it was an attempted robbery, his attacker had failed since Rich still had cash on him when he was found So, while it’s not clear why Rich was murdered, reports that he was assassinated by a Clinton hit team that came from Russian propaganda should be considered fiction. ","Crime - Police"
"Officer Jay Stalien Facebook Post on Black Lives Matter-Authorship Confirmed!","2016-07-14 09:17:11","https://www.truthorfiction.com/officer-jay-stalien-facebook-post-black-lives-matter/"," A black police officer Jay Stalien wrote about the Black Lives Matter movement in a Facebook post that has gone viral. "," Jay Stalien is a police officer in Palm Beach County, Florida, and posted about why he opposed the Black Lives Matter movement on July 9th. In the post , which had been viewed more than 130,000 times within a week of being posted, Jay Stalien argues that black lives only matter when white police officers or white people take them: All of my realizations came to this conclusion. Black Lives do not matter to most black people. Only the lives that make the national news matter to them. Only the lives that are taken at the hands of cops or white people, matter. The other thousands of lives lost, the other black souls that I along with every cop, have seen taken at the hands of other blacks, do not matter. Their deaths are unnoticed, accepted as the “norm”, and swept underneath the rug by the very people who claim and post “black lives matter”. I realized that this country is full of ignorance, where an educated individual will watch the ratings-driven news media, and watch a couple YouTube video clips, and then come to the conclusion that they have all the knowledge they need to have in order to know what it feels like to have a bullet proof vest as part of your office equipment, “Stay Alive” as part of your daily to do list, and having insurance for your health insurance because of the high rate of death in your profession…. Stalien continued that he watched black people kill black people in the neighborhood where he grew up over nothing, and he voiced frustration that black communities often refuse to help police bring killers of black men to justice: “I watched and lived through the crime that took place in the hood. My own black people killing others over nothing. Crack heads and heroin addicts lined the lobby of my building as I shuffled around them to make my way to our 1 bedroom apartment with 6 of us living inside. I wanted to help my community and stop watching the blood of African Americans spilled on the street at the hands of a fellow black man.” They called me ‘Uncle Tom’, and ‘wanna be white boy’, and I couldn’t understand why … Women attacking me, wishing for my death, wishing for the death of my family. I was so confused, so torn, I couldn’t understand why my own black people would turn against me, when every time they called …I was there. Every time someone died….I was there. Every time they were going through one of the worst moments in their lives…I was there. So why was I the enemy? The post has generated a lot of debate, and it generated support from many people who commented that they also supported the Black Lives Matter movement. And, while most of the post is Stalien’s personal opinion, he does include two specific claims that can be fact checked: Cities with Higher Populations of Black People Will Always Have Higher Arrest Rates for Black People- Disputed! It’s true that cities like Baltimore (which Stalien specifically cited) where more black people live than white (63 percent to 31 percent), it would make sense for there to be higher arrest rates for black people. But how much higher the arrest rate for black people should be in a city like Baltimore is debatable. In 2010, black people accounted for 90 percent of the city’s jail population despite accounting for just 63 percent of the overall population, the Justice Policy Institute reports . And police targeting or racial profile aren’t the only reasons, either. High school graduation rates, poverty levels and high unemployment all contribute to black people being incarcerated at higher numbers in large cities like Baltimore, the NAACP reports . Finally, disparities between the number of black and white people arrested persists around the country, not just in cities with majority black populations. A USA Today review found that at least 70 police departments from Connecticut to California arrested black people at rates 10 times higher than white people. So, black people seeing higher arrest rates than white people  is a complicated issue without clearcut answers. That’s why we’re calling this one “disputed.” Blacks Aren’t Killed More by Police than Whites- Truth! & Misleading! From 2004 to 2013, 289 white people were killed by police compared to 243 black people. That means whites accounted for 53 percent of police shootings compared to 44 percent for blacks, according to FBI stats . That can be misleading, however, considering that blacks account for a disproportionate amount of police shooting deaths based on population size. After all, black account for 13.3 percent of the overall population, but 44 percent of police fatalities. Overall, the Chicago Tribune reports , black people are 2.5 times more likely to die at the hands of police than white people. Given that white people killed more frequently by cops, but black people are killed in higher proportion to their population size, we’re calling that claim true and misleading. ","Crime - Police"
