"X.Title.","X.Date.","X.Url.","X.Rumor.Summary.","X.The.Truth.","category"
"Creepy Clown Sightings Have Nation on Edge-Truth! & Misleading!","2016-10-06 09:54:32","https://www.truthorfiction.com/creepy-clown-sightings-nation-edge/"," Reports of “creepy clowns,” some of which have allegedly tried to lure or abduct children, have cause panic around the country. "," There has been a rash of suspicious clown sightings across the country, but most of them seem to be marketing stunts. The earliest report of a creepy clown sighting came in August 2016 in Green Bay, Wisconsin. People there reported seeing a creepy clown emerging from the shadows at night holding three black balloons. However, the sightings were quickly chalked up to an online marketing campaign for a short film that was shot in the area that stars “Gags,” a creepy clown, the Green Bay Press Gazette reports : It turns out, that was the point. The handful of dimly lit photos of a sinister-looking clown with a clutch of black balloons, dubbed “Gags,” was the first salvo in an online marketing campaign for a locally produced short film. Adam Krause, of Green Bay, announced on Facebook this week that “Gags” is the title of an upcoming short film for which he is the writer, producer and director. Gags the Clown’s official Facebook page was created Aug. 2. Krause wrote on Facebook that he hoped he and others involved with the film could use social media to create a small viral campaign that would reach a couple hundred people. The first photos of Gags were shared tens of thousands of times, exceeding Krause’s initial expectations. The attention ignited a social media firestorm that attracted all kinds of people who, whether they thought it funny or terrifying, could not help but click the “share” button. In a week and a half the page has more than 50,000 likes on Facebook, and news stories have appeared as far away as Ireland, Brazil and Germany. The viral marketing campaign was clearly a success, with Gags’ Facebook page generating nearly 60,000 “likes” in a matter of weeks. Naturally, others wanted to steal a page from Gags’ playbook and use the creepy clown idea to attract attention to haunted houses, haunted mazes and other spooky attractions with Halloween approaching. One example came in Columbus, Ohio, where unexplained creepy clown sightings set the area on edge until the clowns were identified as a marketing stunt led by a local haunted house attraction, an NBC affiliate reports : Mark Del Negro made the video with his partners to promote the first Scare Fest taking place at the Eastern States Exposition Storrowton Village from October 13th to Halloween. Mark said it took them three tries to get the video right and no one walking along was included. It’s enough to keep you up at night even if you aren’t scared of clowns. The men behind the mask say this is top of the line prosthetics straight from Hollywood because they’ve worked on film productions in the past. Del Negro said the reactions have been mostly positive, but said he had to tell one neighbor it was fake, “He actually thought it was real and was actually ready to create a mob to go and look for the clown. I had to tell him that. I was like dude that was a fake video don’t get all upset about it. On his Facebook post he said, ‘they picked the wrong town’ and he’s a big dude and I was like dude we didn’t pick any town it was like five minutes away from my house.” Del Negro said he apologizes to anyone that may have been offended, “We were never intending to put anyone in danger or scare anyone. We were just trying to make a really bad viral video with our cell phone and I guess it was better than the actual commercials we paid for.” Similar accounts of creepy clown marketing stunts have been reported around the country. Mixed in, however, are a few yet-to-be explained clown sightings. There were numerous reports of creepy clowns trying to lure or abduct children in North Carolina that haven’t yet been explained, a local ABC affiliate reports : The ‘clown’ was described as wearing white overalls, white gloves, red shoes with red bushy hair, a white face and a red nose. The suspect allegedly tried to lure the kids with treats, and was reportedly seen by two children and heard – but not seen – by one adult. The suspect fled the area when officers arrived. A second clown sighting happened just after midnight in the 1600 block of Hope Lane, two miles from the first sighting. Officers attempted to locate the subject but were unsuccessful. Both spots where clowns were reported are in very residential areas near parks/woods. Similar incidents have occurred in South Carolina. Those clown sightings hadn’t been linked to any marketing stunts. It’s not clear whether they were actual child abductions or someone playing a prank — but ABC reported that sales of clown costumes were up 300 percent in the area due to a growing national obsession with creepy clowns. And there have been false reports from Reading, Pennsylvania, about a man wearing a clown mask stabbed a 16-year-old boy to death. The tragic incident happened, but it was actually the 16-year-old victim who was wearing the clown mask — not the man who stabbed him, the Associated Press reports : READING (AP) — Police say a dispute over a mask like one featured in the “Purge” horror movies contributed to the fatal stabbing of a 16-year-old Pennsylvania boy. Reading police say high school sophomore Christian Torres had the mask pushed up onto his head, not over his face, when he was stabbed Sunday night. Twenty-nine-year-old Avery Valentin-Bair has been jailed on first-degree murder and other charges. Police had said earlier this week that they were sifting through various accounts that included the victim wearing a clown-like mask, and someone else wearing it. Police now say Torres had the mask and that it had created some sort of neighborhood controversy that led to the stabbing. So, most of the accounts of creepy clown sightings can be chalked up to viral marketing stunts, or copycats dressing as clowns for amusement. However, there are some unexplained reports of clowns trying to lure children in North Carolina and South Carolina. We haven’t found any evidence that a person in a clown costume has actually abducted or harmed a child, but law enforcement is taking the threats seriously. Even the White House has weighed in on the matter. ","Warnings"
"Latest Facebook Hack Arises Between Comments on Your Contacts’ Posts-Fiction!","2016-07-29 14:16:07","https://www.truthorfiction.com/latest-facebook-hack-arises-comments-contacts-posts/"," Posts about “the latest Facebook hack” warn users that hackers are posting offensive messages or pornography “between the comments” on  contacts’ pages that appear to come from your account. "," While it’s very possible for rogue apps or malware to post offensive comments under your name, we couldn’t find any instances of this so-called “latest Facebook hack” actually happening. The post warns that hackers have been able to post offensive content between the comments on a contact’s post so that it appears to have come from your account. Even worse, the post warns, these offensive comments are impossible for you to see, which “can create hurt and misunderstandings” between you and your contacts. Again, we couldn’t find any examples of that actually happening. It’s impossible for offensive content to be posted “between the comments” unless a rogue app or malware infect your Facebook account. And, while that’s a very real threat, it’s not a “new hack” at all. Malware has been known to post content (including porn and offensive comments) with its victims’ accounts since the beginning of Facebook. Malware also tags its victims contacts in these posts to trick other people into clicking on links that will infect their devices with the same virus. If you notice unauthorized posts or comments coming from your account, immediately click the “V” dropdown icon in the upper right hand corner and remove any friends that have been tagged. Then, delete the post and check your apps to locate the source of malware. Follow these steps to remove any suspicious applications. And, if you find malware installed on your device, run a full scan with an antivirus program using these helpful tips . ","Warnings"
"Warnings About Facebook Cloning Scams-Truth!","2016-06-23 13:47:06","https://www.truthorfiction.com/warnings-facebook-cloning-scams/"," Warnings about Facebook cloning, in which scammers use your name and photo to create an identical Facebook account in order to scam your friends and family, have gone viral. "," Threats about Facebook cloning are accurate, but the scam has been around for years and there didn’t appear to be a heightened risk for it happening when this warning went viral. The website Facecrooks , which publishes information about scams targeting Facebook users, first reported about Facebook cloning scams in 2012. The article described the scam like this: The most common scenario is someone copies the name, profile picture and other available photos of their intended victim. The next thing they do is block the person they are impersonating and send friend requests to everyone on the victim’s friends list. This is done to infiltrate their social network. Once this part of the mission is complete, the scammer has a variety of options at their disposal. In 2014, a sheriff’s department in Kentucky issued an official alert about a Facebook cloning scam that had victimized five people in the county: According to Sheriff Johnny Bivens, one such occurrence recently included the page of April Justice. A cloned page appeared on Facebook and began sending messages to friends of the real Justice. “She has been sick for a while and in the hospital,” Bivens said. “Someone was sending messages from a page exactly like hers saying times were tough for the family and asking to borrow money.” Bivens said from the research he has done on the cloned pages, it does not look like someone locally is doing it. “It doesn’t look like it’s someone here,” he said. “But, it is happening to people in our county.” CBS Boston had a similar report about Facebook cloning scams targeting the area back in 2014 as well. So, scammers can use Facebook cloning to access information from your friends and family that can be used to scam them out of money, as was the case in Tennessee.. Scammers can also use Facebook cloning to spread spam across trusted friend networks, or to simply bully their victims. There are a number of steps you can take to protect yourself from Facebook cloning scams. First, make your friends list private so that only you can see it following these steps from Facebook . Second, don’t accept friend requests from people you don’t, and don’t accept friend requests from people who you’re already friends with. Also, alert friends or family members who suddenly try to re-friend you, and report any cloning scams to Facebook by following steps listed here . ","Warnings"
"Sea Lice Attacking Florida’s Beaches-Truth! & Misleading!","2016-06-08 13:11:21","https://www.truthorfiction.com/sea-lice-attacking-floridas-beaches-truth-misleading/"," Warnings that sea lice have invaded beaches in Florida have sparked panic on social media. "," Warnings about sea lice on Florida beaches are true — but they’re also misleading. Posts began circulating on social media in early June that warned Florida beachgoers of sea lice “invasions” that have left swimmers with painful red welts all over their bodies, like the one pictured here: The photo is real, and it was circulated by Florida public health officials in a warning about sea lice or “seabather’s eruption,” at beaches. Sea lice are actually the larvae of jellyfish, which are nearly invisible in ocean waters but leave simmers with painful red welts on their skin, according to public health officials : For the past 11 years, during the months of March through August, residents and tourists along 250 miles of Florida’s southern Atlantic coastline have complained of an annoying pruritic rash, primarily within areas covered by bathing suits. Although this problem has existed since the early 1900s at least, it has not been formally recognized and understood until recently. The first study (a retrospective case review of ED cases seen during 1992) and a sample population survey were conducted at Boca Raton Community Hospital. The outbreaks appear to have intensified in the last 4 years, as reflected in the number of cases reported as well as the severity of response in individual cases. Because most affected people treat themselves, it is difficult to determine the total annual number of cases. However, a conservative estimate of 10,000 cases in 1992 can be made. So, the phenomenon isn’t new, and most residents of Florida and other warm weather states are well aware of sea lice. In 2016, sea lice outbreaks appeared to be cropping up further west in the Gulf of Mexico than in year’s past, and headed toward Alabama beaches, an NBC affiliate reports . We’re calling warnings about sea lice true, but misleading. Sea lice isn’t necessarily new, and there doesn’t seem to be a greater risk of swimmers being affected by it in 2016 than in year’s past. ","Warnings"
"Kohls Coupon $75 off $80 Purchase-Scam!","2016-05-24 09:26:48","https://www.truthorfiction.com/kohls-coupon-75-off-80-purchase-scam/"," A Kohls coupon on Facebook claims that shoppers will get $75 off a purchase of $80 or more if they follow a series of steps to redeem the coupon. "," This Kohls coupon for $75 a purchase of $80 is a scam. In order to redeem the coupon, shoppers are told to “share” it and then click an external link that looks very similar to Kohls’ website, but is slightly different: Scammers often create website URLs that look very similar to those of businesses, and the extra “-AR” on the end of this one is a telltale sign of that. Always make sure that online coupons are coming from official Facebook accounts or company websites — not third-party ones like this one. ","Warnings"
"Shred Your Airline Boarding Passes-Truth! & Misleading!","2016-01-22 11:31:43","https://www.truthorfiction.com/shred-your-airline-boarding-passes/"," Airline travelers have been told to shred their boarding passes because scammers can retrieve personal information by scanning a barcode. "," Bar codes on boarding passes do contain personal information, but not much more than is already printed on your boarding pass in plain text. Calls for airline travelers to shred their boarding passes emerged in October 2015. That’s when security blogger Brian Krebs published a blog post headlined, “What’s in a Board Pass Barcode? A lot,” at KrebsonSecurity.com : The next time you’re thinking of throwing away a used boarding pass with a barcode on it, consider tossing the boarding pass into a document shredder instead. Two-dimensional barcodes and QR codes can hold a great deal of information, and the codes printed on airline boarding passes may allow someone to discover more about you, your future travel plans, and your frequent flyer account. Earlier this year, I heard from a longtime KrebsOnSecurity reader named Cory who said he began to get curious about the data stored inside a boarding pass barcode after a friend put a picture of his boarding pass up on Facebook. Cory took a screen shot of the boarding pass, enlarged it, and quickly found a site online that could read the data. “I found a website that could decode the data and instantly had lots of info about his trip,” Cory said, showing this author step-by-step exactly how he was able to find this information. Krebs wrote that the reader was able to retrieve the passenger’s name, frequent flier number and a “record key” for the Lufthansa flight. Then, with the record key, the reader was supposedly able to gain access to the traveler’s entire account and could have changed passwords and pin numbers. That’s where the threat of boarding pas security gets murky, however. To gain access to a secured account, you need to enter a pre-set password and pin number, or answer security questions to reset them. That info isn’t in a boarding pass barcode. In Krebs example, the hacker knew his “victim” and knew the answer to the security question, “What’s your mother’s maiden name?” More often than not, that wouldn’t be the case. Also, Brian Salzman, the VP of marketing for Inlite Research, the company that makes the online scanner cited by Krebs, said barcodes don’t have much more information that is already printed on the boarding pass, Fusion reports : I also reached out to Inlite Research, the company that put the free barcode scanner online that Krebs pointed people to. The site got a surge of traffic last week said Michael Salzman, Inlite’s VP of Marketing. He was nonplussed by the privacy freak-out. “Isn’t most of that information on the boarding pass itself?” Salzman said. “Barcodes are not inherently secure or insecure. Barcodes are a dumb way to package information into an image. The nature of the information is up to the people who use it.” Fusion reporter Kashmir Hill scanned boarding passes from many different airlines and found in all cases that the frequent flier number was the only bit of personal information not already printed on the ticket. Boarding pass barcodes have been in wide use since 2005. That year, the International Air Transport Association undertook a five-year long project to establish Bar Coded Boarding Passes (BCBP) in all of its member airlines . Tech blogger Shaun Ewing delved into the science of BCBP and outlined exactly what information is “hidden” inside boarding pass barcodes on at his blog site, Shaun.net : EWING/SHAUN: My name. E1AAAAA: Electronic ticket indicator and my booking reference. SYDBNEQF: Flying from SYD (Sydney) to BNE (Brisbane) on QF (Qantas). 0524: Flight number 524. 106: The Julian date. In this case 106 is April 16. Y: Cabin – Economy in this case. Others including F (First) and J (Business). 23A: My seat. 0073: My sequence number. In this case I was the 73rd person to check-in. 3: My “passenger status”. 59: There is a various size field. This is the size >: Beginning of the version number 2: The version number. 18: Field size of another variable field. 0: My check-in source. B: Airline designator of boarding pass issuer. 2: Another variable size field. 9: Airline code. 0: International document verification. ’0′ as I presume is not applicable. QF: The airline my frequent flyer account is with. 1245678: My frequent flyer number. 128: Airline specific data. Ewing found that the barcode information was “harmless,” but he advised against leaving boarding passes behind in seat pockets or posting photos of them online. To summarize, it’s true that there’s information in boarding pass barcodes, but the threat level has been overblown. And, no, you don’t need to shred your boarding passes. ","Warnings"
"Sex-Trafficking Ring Targets Teens at Michigan Movie Theater-Fiction!","2016-01-08 09:48:21","https://www.truthorfiction.com/sex-trafficking-ring-targets-teens-at-michigan-movie-theater/"," Social media posts warn that a woman with candy and jewelry targeted three teen girls for human trafficking at a movie theater in Pontiac, Michigan. "," This warning about a human trafficking ring taking place in Michigan is from 2012, and local police investigated the report for days before ruling that it was false. Warnings about the so-called human trafficking ring targeting teens in Michigan popped up on social media sites again in November 2015. It’s not clear why, but the Auburn Hills Police Department has confirmed that there are no new developments in the case, and no reason to believe there’s a threat. As told on social media, the story goes that three teen girls went to a movie at the Great Lakes Crossing movie theater, where a woman kept “popping up in front of the girls” with Starburst candies and jewelry. After the girls refused the woman’s offerings, they approached security and learned there is a sex trafficking ring operating in Pontiac: Traffickers use a powder-like drug that absorbs into the skin to gain victims for prostitution (what was most likely in the candy or on the jewelry). Please do not go to Great Lakes Alone! This is a very real operation going on and has been confirmed by multiple authorities. Contrary to that warning, authorities have not confirmed the so-called sex-trafficking ring. There is some truth to the story, however. A group of teen girls at the Great Lakes Theater were offered candy and jewelry by another group of teens at the theater. After refusing the offer, the teen girls reported the teens to security because they believed the items they were offered might have been stolen. Then, days later, one of the girls reported the encounter to school officials, not police, according to an Auburn Hills Police report : When the Auburn Hills Police Department found out about this alleged incident they contacted the girls and their parents. One parent refused to allow us to speak with her daughter. The girls told us the facts of the encounter which are detailed above. The girls stated they never felt like they were being lured into something or going to be kidnapped. They stated it was kids about their age offering candy and jewelry that they thought were probably stolen. They told security and left because it was close to one of the girls curfew. They felt the parent that reported it to their high school overreacted and was making a bigger deal out of it then was needed. After spending days tracking down and interviewing witnesses, police ruled that it was nothing more than a strange encounter between two groups of teens. There was no kidnapping or sex trafficking involved. This social media warning is false. ","Warnings"
"Thieves Using Penny Jammed in Car Door Handle-Fiction!","2016-01-05 10:59:20","https://www.truthorfiction.com/thieves-using-penny-in-car-door-handle/"," Jamming a penny in a car door handle prevents automatic locks from working and allows thieves to easily steal your possessions, according to online warnings. "," We haven’t been able to find any credible reports of thieves using a penny in a door handle to break into cars, and warnings about that happening can easily be picked apart. Penny in a door handle warnings surfaced on blog sites in early January 2016. These warnings claim that a thief can place a penny in a passenger-side door handle to prevent the central locking system from working. Then, when you return home in the evening, a thief can easily break into your unlocked car because the penny in the door handle prevented the locking system from working. The first fatal flaw with the penny in the door theory is that door handles aren’t designed to open when they’re only opened slightly. The width of a penny (.0598 inches) wouldn’t open a car door handle enough to trigger the unlatching mechanism connected to the door handle. Also, most cars with central locking systems have car door sensors that signal when all four or five doors are opened or closed. So, if a penny or coin were thick enough to unlatch the door handle, you’d receive a “door ajar” dashboard alert. Modern cars have separate door latch sensors for each door, so you’d immediately know if the sensor’s circuit weren’t completed. Ehow.com reports : The way the sensors work can vary. One type of sensor can be an electrical proximity one for the “your door is ajar” signal. On the vehicle itself would be a wafer-thin magnetic strip; the door would have an opposing strip that has a wire running inside the door and into the junction box. The junction box would then have another wire running into the car’s computer that has yet another wire attached to a small speaker in your dash board. As long as the door was closed, the magnetic strip on the door could read the opposite one on the car, keeping the electrical circuit closed. But if the car door was open and the door magnet was too far away from the car magnet, the circuit would be open. The computer would then read that the door circuit is now open. It would send a signal to the speaker to make the announcement that your car door is ajar. We also tried the penny in the door trick on multiple cars, and it didn’t work on any of them. Because there haven’t been any credible reports of thieves using the penny in the car door trick, and various parts of the warning can easily be shot down based on how car doors and sensor system work, we’re calling this one fiction.","Warnings"
"CDC Warns of Condoms Being Used as Hair Bands-Fiction!","2015-12-04 10:50:30","https://www.truthorfiction.com/cdc-warns-of-condoms-being-used-as-hair-bands/"," The Centers for Disease Control and Prevention (CDC) have issued a warning that manufacturers in China are making condoms into hair ties. "," A fake news website is behind false reports that the CDC issued a warning about condoms being made into hairbands. This rumor isn’t a new one, either. We first investigated reports that Chinese manufacturers were making condoms into hair ties back in 2007. We cautiously reported that the story was true because we found a credible report from Chinese media about it. Click here to read our previous findings. The hair tie condom story has popped up numerous times over the years. Chinese media once again reported that people had commented online that they’d purchased cheap, brightly colored hairbands from street vendors in southwest China’s Chongqing district only to find condoms inside. Those reports didn’t identify the manufacturers of the alleged hairband condoms, or vet the consumer reports. Then, in Novemer 2015, an American fake news website called Now News 8 picked up the rumor with a false report headlined, “CDC Warns: Hair Bands From China Made of Used Condoms, Could Spread STDs.” According to the report: The Center For Disease Control (CDC) is warning Americans that used condoms have been reportedly reprocessed into rubber bands and hair ties and have been sold in the United States, raising concerns about public health safety. Aside from being sold at local swap meets and flea markets, the recycled condoms have been found at local beauty salons all across the country. The CDC says this threatens the health of consumers who are using these products and are concerned that using these hair ties and rubber bands could lead to the spread of AIDS, genital warts and other STD’s. The CDC has released this statement: “The amount of bacteria and potential viruses on these hair ties and rubber bands, which are made from used unsanitary condoms, has 4 times the bacteria found on a public restroom toilet. Consumers could potentially be infected with AIDS, warts, herpes and other venereal diseases if they hold the rubber bands or hair ties in their mouths while setting their hair. We warn against consumers purchasing these products if they were made in China.” The CDC has not issued a warning about condoms being made into hairbands, and there were no new credible reports of that happening when the Now 8 News report went viral. Now 8 News is one of many fake news websites that appears to look like a local news station in an effort to duping readers into believing it’s stories are true. If you travel to China, it’s probably wise to avoid buying hairbands from street vendors. For shoppers in the U.S., however, there are no credible threats (or CDC warnings) about condoms being made into hairbands. ","Warnings"
"Beware of Burundanga on Business Cards-Truth! & Unverified!","2015-11-16 09:02:50","https://www.truthorfiction.com/beware-of-burundanga-on-business-cards/"," A viral warning claims that a drug called burundanga on a business card poisoned a woman and advises people to beware of what has become known as “the zombie drug.” "," Burundanga is a real drug, but a story about a woman poisoned by burundanga on a business card that has been circulating the web for years is unverified. First, let’s start with what’s true about this viral email warning. Burundanga is derived from trees that grow in the jungles of South America. It’s also called Devil’s Breath, scopolamine or simply “the zombie drug.” It has been used in the medical community to prevent vomiting and motion sickness, but it has become known as “ the world’s scariest drug ” in the underworld drug trade. In a Vice documentary, a drug dealer in Columbia described how burundanga could be blown into someone’s face and within minutes, “you can guide them wherever you want. It’s like they’re a child.” That’s because the zombie drug blocks the brain’s ability to form memories and strips its victims of free will and reason for days at a time. Reports of burundanga poisoning aren’t uncommon in South America. Criminals often use the drugs to sexually assault or rob their victims. The South American publication El Mundo reported in 2013 that a criminal group had used handwritten notes laced with burundanga to poison four victims — which sounds a lot like burundanga on a business card email warning: (An unknown woman) approached insistently with a small paper with handwritten text while following her as she continued to walk in the company of her two minor children. About 100 meters from the first contact, the affected relates, “I felt something in my head, I began to feel dizzy, legs weighed me while asking me where I was, whether he was married or how many children they had.” We can confirm that burundaga is a real drug used by criminals to leave their victims in a zombie-like trance for days, but we have not been able to verify the specific account of burundanga on a business card poisoning a woman. In fact, we weren’t able to find any accounts of burundanga being used on victims in the U.S. So, many of the details about burundanga from the warning email are true, but we cannot confirm any cases of the drug being used outside of South America. ","Warnings"
